D_TEMPORAL_0;D_TERRITORIO_0;D_ESTADOCIVIL_0;D_ESTADOCIVILC2_0;INDICATOR;OBS_VALUE;FREQ
2020;ES61;00;00;;13992.45022;A
2020;ES61;00;1;;12984.57027;A
2020;ES61;00;3;;50.81271;A
2020;ES61;00;5;;957.06724;A
2020;ES61;1;00;;12774.03164;A
2020;ES61;1;1;;12252.15162;A
2020;ES61;1;3;;40.50876;A
2020;ES61;1;5;;481.37126;A
2020;ES61;3;00;;91.07744;A
2020;ES61;3;1;;70.01074;A
2020;ES61;3;3;;1.71681;A
2020;ES61;3;5;;19.34989;A
2020;ES61;5;00;;1127.34114;A
2020;ES61;5;1;;662.40791;A
2020;ES61;5;3;;8.58714;A
2020;ES61;5;5;;456.34609;A
2020;ES611;00;00;;1287.5417;A
2020;ES611;00;1;;1161.18004;A
2020;ES611;00;3;;6.40458;A
2020;ES611;00;5;;119.95708;A
2020;ES611;1;00;;1192.0251;A
2020;ES611;1;1;;1101.07268;A
2020;ES611;1;3;;6.40458;A
2020;ES611;1;5;;84.54784;A
2020;ES611;3;00;;4.26972;A
2020;ES611;3;1;;4.26972;A
2020;ES611;5;00;;91.24688;A
2020;ES611;5;1;;55.83764;A
2020;ES611;5;5;;35.40924;A
2020;ES612;00;00;;1956.38358;A
2020;ES612;00;1;;1815.78686;A
2020;ES612;00;3;;7.34955;A
2020;ES612;00;5;;133.24717;A
2020;ES612;1;00;;1777.88894;A
2020;ES612;1;1;;1733.83062;A
2020;ES612;1;3;;5.24411;A
2020;ES612;1;5;;38.81421;A
2020;ES612;3;00;;19.98219;A
2020;ES612;3;1;;14.73808;A
2020;ES612;3;5;;5.24411;A
2020;ES612;5;00;;158.51245;A
2020;ES612;5;1;;67.21816;A
2020;ES612;5;3;;2.10544;A
2020;ES612;5;5;;89.18885;A
2020;ES613;00;00;;1295.68526;A
2020;ES613;00;1;;1207.81489;A
2020;ES613;00;3;;7.07445;A
2020;ES613;00;5;;80.79592;A
2020;ES613;1;00;;1172.8272;A
2020;ES613;1;1;;1136.33444;A
2020;ES613;1;3;;5.02571;A
2020;ES613;1;5;;31.46705;A
2020;ES613;3;00;;10.05142;A
2020;ES613;3;1;;8.00268;A
2020;ES613;3;5;;2.04874;A
2020;ES613;5;00;;112.80664;A
2020;ES613;5;1;;63.47777;A
2020;ES613;5;3;;2.04874;A
2020;ES613;5;5;;47.28013;A
2020;ES614;00;00;;1333.9225;A
2020;ES614;00;1;;1255.01003;A
2020;ES614;00;3;;2.59639;A
2020;ES614;00;5;;76.31608;A
2020;ES614;1;00;;1240.31934;A
2020;ES614;1;1;;1203.90332;A
2020;ES614;1;3;;2.59639;A
2020;ES614;1;5;;33.81963;A
2020;ES614;5;00;;93.60316;A
2020;ES614;5;1;;51.10671;A
2020;ES614;5;5;;42.49645;A
2020;ES615;00;00;;832.55851;A
2020;ES615;00;1;;765.02667;A
2020;ES615;00;3;;6.11231;A
2020;ES615;00;5;;61.41953;A
2020;ES615;1;00;;763.27627;A
2020;ES615;1;1;;723.39804;A
2020;ES615;1;3;;6.11231;A
2020;ES615;1;5;;33.76592;A
2020;ES615;5;00;;69.28224;A
2020;ES615;5;1;;41.62863;A
2020;ES615;5;5;;27.65361;A
2020;ES616;00;00;;886.77634;A
2020;ES616;00;1;;839.78409;A
2020;ES616;00;5;;46.99225;A
2020;ES616;1;00;;796.74465;A
2020;ES616;1;1;;772.10263;A
2020;ES616;1;5;;24.64202;A
2020;ES616;3;00;;9.39845;A
2020;ES616;3;1;;9.39845;A
2020;ES616;5;00;;80.63324;A
2020;ES616;5;1;;58.28301;A
2020;ES616;5;5;;22.35023;A
2020;ES617;00;00;;3009.31704;A
2020;ES617;00;1;;2751.77361;A
2020;ES617;00;3;;11.69204;A
2020;ES617;00;5;;245.85139;A
2020;ES617;1;00;;2701.25574;A
2020;ES617;1;1;;2550.21181;A
2020;ES617;1;3;;11.69204;A
2020;ES617;1;5;;139.35189;A
2020;ES617;3;00;;35.07612;A
2020;ES617;3;1;;25.73523;A
2020;ES617;3;5;;9.34089;A
2020;ES617;5;00;;272.98518;A
2020;ES617;5;1;;175.82657;A
2020;ES617;5;5;;97.15861;A
2020;ES618;00;00;;3390.26529;A
2020;ES618;00;1;;3188.19408;A
2020;ES618;00;3;;9.58339;A
2020;ES618;00;5;;192.48782;A
2020;ES618;1;00;;3129.6944;A
2020;ES618;1;1;;3031.29808;A
2020;ES618;1;3;;3.43362;A
2020;ES618;1;5;;94.9627;A
2020;ES618;3;00;;12.29954;A
2020;ES618;3;1;;7.86658;A
2020;ES618;3;3;;1.71681;A
2020;ES618;3;5;;2.71615;A
2020;ES618;5;00;;248.27135;A
2020;ES618;5;1;;149.02942;A
2020;ES618;5;3;;4.43296;A
2020;ES618;5;5;;94.80897;A
2019;ES61;00;00;;17078.2748;A
2019;ES61;00;1;;15922.65804;A
2019;ES61;00;3;;77.31374;A
2019;ES61;00;5;;1078.30302;A
2019;ES61;1;00;;15656.69183;A
