D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_SEXOC2_0;INDICATOR;OBS_VALUE;FREQ
2020;ES61;00;00;;13992.45022;A
2020;ES61;00;01;;63.90317;A
2020;ES61;00;06;;13928.54705;A
2020;ES61;01;00;;13913.49376;A
2020;ES61;01;01;;63.90317;A
2020;ES61;01;06;;13849.59059;A
2020;ES61;06;00;;78.95646;A
2020;ES61;06;06;;78.95646;A
2020;ES611;00;00;;1287.5417;A
2020;ES611;00;01;;2.13486;A
2020;ES611;00;06;;1285.40684;A
2020;ES611;01;00;;1282.35178;A
2020;ES611;01;01;;2.13486;A
2020;ES611;01;06;;1280.21692;A
2020;ES611;06;00;;5.18992;A
2020;ES611;06;06;;5.18992;A
2020;ES612;00;00;;1956.38358;A
2020;ES612;00;01;;12.59366;A
2020;ES612;00;06;;1943.78992;A
2020;ES612;01;00;;1943.78992;A
2020;ES612;01;01;;12.59366;A
2020;ES612;01;06;;1931.19626;A
2020;ES612;06;00;;12.59366;A
2020;ES612;06;06;;12.59366;A
2020;ES613;00;00;;1295.68526;A
2020;ES613;00;01;;2.97697;A
2020;ES613;00;06;;1292.70829;A
2020;ES613;01;00;;1290.65955;A
2020;ES613;01;01;;2.97697;A
2020;ES613;01;06;;1287.68258;A
2020;ES613;06;00;;5.02571;A
2020;ES613;06;06;;5.02571;A
2020;ES614;00;00;;1333.9225;A
2020;ES614;00;06;;1333.9225;A
2020;ES614;01;00;;1327.84207;A
2020;ES614;01;06;;1327.84207;A
2020;ES614;06;00;;6.08043;A
2020;ES614;06;06;;6.08043;A
2020;ES615;00;00;;832.55851;A
2020;ES615;00;01;;3.78314;A
2020;ES615;00;06;;828.77537;A
2020;ES615;01;00;;824.99223;A
2020;ES615;01;01;;3.78314;A
2020;ES615;01;06;;821.20909;A
2020;ES615;06;00;;7.56628;A
2020;ES615;06;06;;7.56628;A
2020;ES616;00;00;;886.77634;A
2020;ES616;00;01;;6.47589;A
2020;ES616;00;06;;880.30045;A
2020;ES616;01;00;;883.85378;A
2020;ES616;01;01;;6.47589;A
2020;ES616;01;06;;877.37789;A
2020;ES616;06;00;;2.92256;A
2020;ES616;06;06;;2.92256;A
2020;ES617;00;00;;3009.31704;A
2020;ES617;00;01;;9.34089;A
2020;ES617;00;06;;2999.97615;A
2020;ES617;01;00;;2995.33756;A
2020;ES617;01;01;;9.34089;A
2020;ES617;01;06;;2985.99667;A
2020;ES617;06;00;;13.97948;A
2020;ES617;06;06;;13.97948;A
2020;ES618;00;00;;3390.26529;A
2020;ES618;00;01;;26.59776;A
2020;ES618;00;06;;3363.66753;A
2020;ES618;01;00;;3364.66687;A
2020;ES618;01;01;;26.59776;A
2020;ES618;01;06;;3338.06911;A
2020;ES618;06;00;;25.59842;A
2020;ES618;06;06;;25.59842;A
2019;ES61;00;00;;17078.2748;A
2019;ES61;00;01;;83.76808;A
2019;ES61;00;06;;16994.50672;A
2019;ES61;01;00;;16990.38522;A
2019;ES61;01;01;;83.76808;A
2019;ES61;01;06;;16906.61714;A
2019;ES61;06;00;;87.88958;A
2019;ES61;06;06;;87.88958;A
2019;ES611;00;00;;1684.43364;A
2019;ES611;00;01;;9.8763;A
2019;ES611;00;06;;1674.55734;A
2019;ES611;01;00;;1684.43364;A
2019;ES611;01;01;;9.8763;A
2019;ES611;01;06;;1674.55734;A
2019;ES612;00;00;;2350.11045;A
2019;ES612;00;01;;12.66128;A
2019;ES612;00;06;;2337.44917;A
2019;ES612;01;00;;2323.9076;A
2019;ES612;01;01;;12.66128;A
2019;ES612;01;06;;2311.24632;A
2019;ES612;06;00;;26.20285;A
2019;ES612;06;06;;26.20285;A
2019;ES613;00;00;;1369.08113;A
2019;ES613;00;01;;1.46233;A
2019;ES613;00;06;;1367.6188;A
2019;ES613;01;00;;1358.99051;A
2019;ES613;01;01;;1.46233;A
2019;ES613;01;06;;1357.52818;A
2019;ES613;06;00;;10.09062;A
2019;ES613;06;06;;10.09062;A
2019;ES614;00;00;;1634.5488;A
2019;ES614;00;01;;11.07616;A
2019;ES614;00;06;;1623.47264;A
2019;ES614;01;00;;1628.76288;A
2019;ES614;01;01;;11.07616;A
2019;ES614;01;06;;1617.68672;A
2019;ES614;06;00;;5.78592;A
2019;ES614;06;06;;5.78592;A
2019;ES615;00;00;;1003.79841;A
2019;ES615;00;01;;11.16863;A
2019;ES615;00;06;;992.62978;A
2019;ES615;01;00;;1003.79841;A
2019;ES615;01;01;;11.16863;A
2019;ES615;01;06;;992.62978;A
2019;ES616;00;00;;1181.24056;A
2019;ES616;00;06;;1181.24056;A
2019;ES616;01;00;;1178.20034;A
2019;ES616;01;06;;1178.20034;A
2019;ES616;06;00;;3.04022;A
2019;ES616;06;06;;3.04022;A
2019;ES617;00;00;;3795.50761;A
2019;ES617;00;01;;14.77819;A
2019;ES617;00;06;;3780.72942;A
2019;ES617;01;00;;3777.36705;A
2019;ES617;01;01;;14.77819;A
2019;ES617;01;06;;3762.58886;A
2019;ES617;06;00;;18.14056;A
2019;ES617;06;06;;18.14056;A
2019;ES618;00;00;;4059.5542;A
2019;ES618;00;01;;22.74519;A
2019;ES618;00;06;;4036.80901;A
2019;ES618;01;00;;4034.92479;A
2019;ES618;01;01;;22.74519;A
2019;ES618;01;06;;4012.1796;A
2019;ES618;06;00;;24.62941;A
2019;ES618;06;06;;24.62941;A
2018;ES61;00;00;;16934.828;A
2018;ES61;00;01;;72.9398;A
2018;ES61;00;06;;16861.8882;A
2018;ES61;01;00;;16870.452;A
2018;ES61;01;01;;72.9398;A
2018;ES61;01;06;;16797.5122;A
2018;ES61;06;00;;64.376;A
2018;ES61;06;06;;64.376;A
2018;ES611;00;00;;1456.1395;A
2018;ES611;00;01;;4.4904;A
2018;ES611;00;06;;1451.6491;A
2018;ES611;01;00;;1453.8943;A
2018;ES611;01;01;;4.4904;A
2018;ES611;01;06;;1449.4039;A
2018;ES611;06;00;;2.2452;A
2018;ES611;06;06;;2.2452;A
2018;ES612;00;00;;2490.3415;A
2018;ES612;00;01;;14.2172;A
2018;ES612;00;06;;2476.1243;A
2018;ES612;01;00;;2481.0548;A
2018;ES612;01;01;;14.2172;A
2018;ES612;01;06;;2466.8376;A
2018;ES612;06;00;;9.2867;A
2018;ES612;06;06;;9.2867;A
2018;ES613;00;00;;1405.7198;A
2018;ES613;00;01;;3.0986;A
2018;ES613;00;06;;1402.6212;A
2018;ES613;01;00;;1401.7838;A
2018;ES613;01;01;;3.0986;A
2018;ES613;01;06;;1398.6852;A
2018;ES613;06;00;;3.936;A
2018;ES613;06;06;;3.936;A
2018;ES614;00;00;;1684.5826;A
