D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2020;ES61;000;DIV;13992.45022;A
2020;ES61;0;DIV;6504.66592;A
2020;ES61;1;DIV;3659.29909;A
2020;ES61;2;DIV;3396.99825;A
2020;ES61;3;DIV;396.5127;A
2020;ES61;4;DIV;29.70055;A
2020;ES61;05mas;DIV;5.27371;A
2020;ES611;000;DIV;1287.5417;A
2020;ES611;0;DIV;621.46538;A
2020;ES611;1;DIV;315.95928;A
2020;ES611;2;DIV;309.5547;A
2020;ES611;3;DIV;38.42748;A
2020;ES611;4;DIV;2.13486;A
2020;ES612;000;DIV;1956.38358;A
2020;ES612;0;DIV;865.76566;A
2020;ES612;1;DIV;543.20352;A
2020;ES612;2;DIV;477.93488;A
2020;ES612;3;DIV;65.26864;A
2020;ES612;4;DIV;4.21088;A
2020;ES613;000;DIV;1295.68526;A
2020;ES613;0;DIV;586.82122;A
2020;ES613;1;DIV;340.09084;A
2020;ES613;2;DIV;317.5547;A
2020;ES613;3;DIV;47.12102;A
2020;ES613;4;DIV;4.09748;A
2020;ES614;000;DIV;1333.9225;A
2020;ES614;0;DIV;570.58384;A
2020;ES614;1;DIV;358.30182;A
2020;ES614;2;DIV;360.89821;A
2020;ES614;3;DIV;44.13863;A
2020;ES615;000;DIV;832.55851;A
2020;ES615;0;DIV;376.04119;A
2020;ES615;1;DIV;246.89202;A
2020;ES615;2;DIV;195.65028;A
2020;ES615;3;DIV;13.97502;A
2020;ES616;000;DIV;886.77634;A
2020;ES616;0;DIV;471.77282;A
2020;ES616;1;DIV;207.50176;A
2020;ES616;2;DIV;184.12128;A
2020;ES616;3;DIV;20.45792;A
2020;ES616;05mas;DIV;2.92256;A
2020;ES617;000;DIV;3009.31704;A
2020;ES617;0;DIV;1488.12299;A
2020;ES617;1;DIV;728.8565;A
2020;ES617;2;DIV;710.0473;A
2020;ES617;3;DIV;65.8322;A
2020;ES617;4;DIV;14.1069;A
2020;ES617;05mas;DIV;2.35115;A
2020;ES618;000;DIV;3390.26529;A
2020;ES618;0;DIV;1524.09282;A
2020;ES618;1;DIV;918.49335;A
2020;ES618;2;DIV;841.2369;A
2020;ES618;3;DIV;101.29179;A
2020;ES618;4;DIV;5.15043;A
2019;ES61;000;DIV;17078.2748;A
2019;ES61;0;DIV;7873.34974;A
2019;ES61;1;DIV;4512.6298;A
2019;ES61;2;DIV;4096.56814;A
2019;ES61;3;DIV;522.642;A
2019;ES61;4;DIV;64.13179;A
2019;ES61;05mas;DIV;8.95333;A
2019;ES611;000;DIV;1684.43364;A
2019;ES611;0;DIV;762.64566;A
2019;ES611;1;DIV;452.77251;A
2019;ES611;2;DIV;406.074;A
2019;ES611;3;DIV;54.81999;A
2019;ES611;4;DIV;6.09111;A
2019;ES611;05mas;DIV;2.03037;A
2019;ES612;000;DIV;2350.11045;A
2019;ES612;0;DIV;1046.38673;A
2019;ES612;1;DIV;675.8434;A
