D_TERRITORIO_0;D_ECOICOP_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
ES61;CP01;2021-12;INX;110.785;M
ES61;CP02;2021-12;INX;104.802;M
ES61;CP03;2021-12;INX;113.858;M
ES61;CP04;2021-12;INX;131.055;M
ES61;CP05;2021-12;INX;101.715;M
ES61;CP06;2021-12;INX;103.188;M
ES61;CP07;2021-12;INX;116.443;M
ES61;CP08;2021-12;INX;99.611;M
ES61;CP09;2021-12;INX;100.261;M
ES61;CP10;2021-12;INX;106.941;M
ES61;CP11;2021-12;INX;109.217;M
ES61;CP12;2021-12;INX;105.341;M
ES61;CP01T12;2021-12;INX;111.462;M
ES;CP01;2021-12;INX;111.521;M
ES;CP02;2021-12;INX;106.0;M
ES;CP03;2021-12;INX;114.154;M
ES;CP04;2021-12;INX;126.679;M
ES;CP05;2021-12;INX;103.25;M
ES;CP06;2021-12;INX;103.446;M
ES;CP07;2021-12;INX;116.578;M
ES;CP08;2021-12;INX;99.48;M
ES;CP09;2021-12;INX;101.252;M
ES;CP10;2021-12;INX;104.323;M
ES;CP11;2021-12;INX;109.552;M
ES;CP12;2021-12;INX;106.664;M
ES;CP01T12;2021-12;INX;111.524;M
ES61;CP01;2021-12;RCH_M;1.1;M
ES61;CP02;2021-12;RCH_M;-0.1;M
ES61;CP03;2021-12;RCH_M;-2.1;M
ES61;CP04;2021-12;RCH_M;8.0;M
ES61;CP05;2021-12;RCH_M;0.6;M
ES61;CP06;2021-12;RCH_M;0.0;M
ES61;CP07;2021-12;RCH_M;-1.0;M
ES61;CP08;2021-12;RCH_M;-0.1;M
ES61;CP09;2021-12;RCH_M;0.7;M
ES61;CP10;2021-12;RCH_M;0.0;M
ES61;CP11;2021-12;RCH_M;0.8;M
ES61;CP12;2021-12;RCH_M;0.2;M
ES61;CP01T12;2021-12;RCH_M;1.3;M
ES;CP01;2021-12;RCH_M;1.3;M
ES;CP02;2021-12;RCH_M;-0.1;M
ES;CP03;2021-12;RCH_M;-2.1;M
ES;CP04;2021-12;RCH_M;6.5;M
ES;CP05;2021-12;RCH_M;0.5;M
ES;CP06;2021-12;RCH_M;0.2;M
ES;CP07;2021-12;RCH_M;-0.9;M
ES;CP08;2021-12;RCH_M;-0.1;M
ES;CP09;2021-12;RCH_M;1.2;M
ES;CP10;2021-12;RCH_M;0.0;M
ES;CP11;2021-12;RCH_M;0.5;M
ES;CP12;2021-12;RCH_M;0.2;M
ES;CP01T12;2021-12;RCH_M;1.2;M
ES61;CP01;2021-12;RCH_A;5.0;M
ES61;CP02;2021-12;RCH_A;1.3;M
ES61;CP03;2021-12;RCH_A;0.9;M
ES61;CP04;2021-12;RCH_A;26.7;M
ES61;CP05;2021-12;RCH_A;1.7;M
ES61;CP06;2021-12;RCH_A;1.3;M
ES61;CP07;2021-12;RCH_A;11.1;M
ES61;CP08;2021-12;RCH_A;-0.3;M
ES61;CP09;2021-12;RCH_A;1.4;M
ES61;CP10;2021-12;RCH_A;1.3;M
ES61;CP11;2021-12;RCH_A;3.0;M
ES61;CP12;2021-12;RCH_A;1.3;M
ES61;CP01T12;2021-12;RCH_A;6.7;M
ES;CP01;2021-12;RCH_A;5.0;M
ES;CP02;2021-12;RCH_A;1.6;M
ES;CP03;2021-12;RCH_A;1.0;M
ES;CP04;2021-12;RCH_A;23.3;M
ES;CP05;2021-12;RCH_A;2.1;M
ES;CP06;2021-12;RCH_A;0.9;M
ES;CP07;2021-12;RCH_A;10.9;M
ES;CP08;2021-12;RCH_A;-0.3;M
ES;CP09;2021-12;RCH_A;1.7;M
ES;CP10;2021-12;RCH_A;1.2;M
ES;CP11;2021-12;RCH_A;3.1;M
ES;CP12;2021-12;RCH_A;1.5;M
ES;CP01T12;2021-12;RCH_A;6.5;M
