MACROECO;TIME_PERIOD;OBS_STATUS;REF_AREA;INDICATOR;OBS_VALUE;FREQ;CNAE_09_CRA_NEW
93017;1996;A;ES61;NR;57350701;A;_Z
93017;1997;A;ES61;NR;60979097;A;_Z
93017;1998;A;ES61;NR;65578200;A;_Z
93017;1999;A;ES61;NR;71522194;A;_Z
93017;2000;A;ES61;NR;77632120;A;_Z
93017;2001;A;ES61;NR;83522446;A;_Z
93017;2002;A;ES61;NR;89587622;A;_Z
93017;2003;A;ES61;NR;96524649;A;_Z
93017;2004;A;ES61;NR;104357368;A;_Z
93017;2005;A;ES61;NR;112472637;A;_Z
93017;2006;A;ES61;NR;121533281;A;_Z
93017;2007;A;ES61;NR;131381579;A;_Z
93017;2008;A;ES61;NR;137963669;A;_Z
93017;2009;A;ES61;NR;135205336;A;_Z
93017;2010;A;ES61;NR;137769943;A;_Z
93017;2011;A;ES61;NR;137197993;A;_Z
93017;2012;A;ES61;NR;133145214;A;_Z
93017;2013;A;ES61;NR;130454758;A;_Z
93017;2014;A;ES61;NR;132127404;A;_Z
93017;2015;A;ES61;NR;135100320;A;_Z
93017;2016;A;ES61;NR;138595693;A;_Z
93017;2017;A;ES61;NR;144677147;A;_Z
93017;2018;A;ES61;NR;148995915;A;_Z
93017;2019;P;ES61;NR;150528649;A;_Z
93017;2020;AV;ES61;NR;139626500;A;_Z
93017;2021;1E;ES61;NR;151870089;A;_Z
93018;1996;A;ES61;NR;42691609;A;_Z
93018;1997;A;ES61;NR;45640708;A;_Z
93018;1998;A;ES61;NR;49231111;A;_Z
93018;1999;A;ES61;NR;53879991;A;_Z
93018;2000;A;ES61;NR;58446976;A;_Z
93018;2001;A;ES61;NR;63161385;A;_Z
93018;2002;A;ES61;NR;67752456;A;_Z
93018;2003;A;ES61;NR;72942305;A;_Z
93018;2004;A;ES61;NR;78646919;A;_Z
93018;2005;A;ES61;NR;84685674;A;_Z
93018;2006;A;ES61;NR;91318703;A;_Z
93018;2007;A;ES61;NR;98092028;A;_Z
93018;2008;A;ES61;NR;101252219;A;_Z
93018;2009;A;ES61;NR;96585284;A;_Z
93018;2010;A;ES61;NR;98916104;A;_Z
93018;2011;A;ES61;NR;98568223;A;_Z
93018;2012;A;ES61;NR;96810567;A;_Z
93018;2013;A;ES61;NR;94621797;A;_Z
93018;2014;A;ES61;NR;96348164;A;_Z
93018;2015;A;ES61;NR;98038552;A;_Z
93018;2016;A;ES61;NR;100831644;A;_Z
93018;2017;A;ES61;NR;106064374;A;_Z
93018;2018;A;ES61;NR;109026466;A;_Z
93018;2019;P;ES61;NR;108754713;A;_Z
93018;2020;AV;ES61;NR;95118037;A;_Z
93018;2021;1E;ES61;NR;103472994;A;_Z
93011;1996;A;ES61;NR;14659092;A;_Z
93011;1997;A;ES61;NR;15338389;A;_Z
93011;1998;A;ES61;NR;16347089;A;_Z
93011;1999;A;ES61;NR;17642203;A;_Z
93011;2000;A;ES61;NR;19185144;A;_Z
93011;2001;A;ES61;NR;20361061;A;_Z
93011;2002;A;ES61;NR;21835166;A;_Z
93011;2003;A;ES61;NR;23582344;A;_Z
93011;2004;A;ES61;NR;25710449;A;_Z
93011;2005;A;ES61;NR;27786963;A;_Z
93011;2006;A;ES61;NR;30214578;A;_Z
93011;2007;A;ES61;NR;33289551;A;_Z
93011;2008;A;ES61;NR;36711450;A;_Z
93011;2009;A;ES61;NR;38620052;A;_Z
93011;2010;A;ES61;NR;38853839;A;_Z
93011;2011;A;ES61;NR;38629770;A;_Z
93011;2012;A;ES61;NR;36334647;A;_Z
93011;2013;A;ES61;NR;35832961;A;_Z
93011;2014;A;ES61;NR;35779240;A;_Z
93011;2015;A;ES61;NR;37061768;A;_Z
93011;2016;A;ES61;NR;37764049;A;_Z
93011;2017;A;ES61;NR;38612773;A;_Z
93011;2018;A;ES61;NR;39969449;A;_Z
93011;2019;P;ES61;NR;41773936;A;_Z
93011;2020;AV;ES61;NR;44508463;A;_Z
93011;2021;1E;ES61;NR;48397095;A;_Z
93020;1996;A;ES61;NR;9504092.0;A;_Z
93020;1997;A;ES61;NR;9771428.0;A;_Z
93020;1998;A;ES61;NR;10310419;A;_Z
93020;1999;A;ES61;NR;11172844;A;_Z
93020;2000;A;ES61;NR;11936131;A;_Z
93020;2001;A;ES61;NR;12649411;A;_Z
93020;2002;A;ES61;NR;13512102;A;_Z
93020;2003;A;ES61;NR;14370866;A;_Z
93020;2004;A;ES61;NR;15621513;A;_Z
93020;2005;A;ES61;NR;16650400;A;_Z
93020;2006;A;ES61;NR;18009327;A;_Z
93020;2007;A;ES61;NR;19829144;A;_Z
93020;2008;A;ES61;NR;22621946;A;_Z
93020;2009;A;ES61;NR;23735185;A;_Z
93020;2010;A;ES61;NR;23637000;A;_Z
93020;2011;A;ES61;NR;23092776;A;_Z
93020;2012;A;ES61;NR;21313337;A;_Z
93020;2013;A;ES61;NR;21037643;A;_Z
93020;2014;A;ES61;NR;20974999;A;_Z
93020;2015;A;ES61;NR;21691990;A;_Z
93020;2016;A;ES61;NR;22455754;A;_Z
93020;2017;A;ES61;NR;23046498;A;_Z
93020;2018;A;ES61;NR;23858867;A;_Z
93020;2019;P;ES61;NR;25164530;A;_Z
93020;2020;AV;ES61;NR;;A;_Z
93020;2021;1E;ES61;NR;;A;_Z
93012;1996;A;ES61;NR;5155000.0;A;_Z
93012;1997;A;ES61;NR;5566961.0;A;_Z
93012;1998;A;ES61;NR;6036670.0;A;_Z
93012;1999;A;ES61;NR;6469359.0;A;_Z
93012;2000;A;ES61;NR;7249013.0;A;_Z
93012;2001;A;ES61;NR;7711650.0;A;_Z
93012;2002;A;ES61;NR;8323064.0;A;_Z
