REF_AREA;TIME_PERIOD;CNAE_09_CRA_NEW;OBS_STATUS;INDICATOR;OBS_VALUE;FREQ;MACROECO
ES61;2000;273165;A;CON_INTER_PREC_ADQ;3674471.0;A;_Z
ES61;2000;273129;A;CON_INTER_PREC_ADQ;3674471.0;A;_Z
ES61;2000;273167;A;CON_INTER_PREC_ADQ;3428023.0;A;_Z
ES61;2000;273168;A;CON_INTER_PREC_ADQ;60817.0;A;_Z
ES61;2000;273169;A;CON_INTER_PREC_ADQ;185631.0;A;_Z
ES61;2000;273166;A;CON_INTER_PREC_ADQ;31416071;A;_Z
ES61;2000;273248;A;CON_INTER_PREC_ADQ;28047587;A;_Z
ES61;2000;273130;A;CON_INTER_PREC_ADQ;642058.0;A;_Z
ES61;2000;273170;A;CON_INTER_PREC_ADQ;642058.0;A;_Z
ES61;2000;273131;A;CON_INTER_PREC_ADQ;8099358.0;A;_Z
ES61;2000;273171;A;CON_INTER_PREC_ADQ;1217786.0;A;_Z
ES61;2000;273172;A;CON_INTER_PREC_ADQ;157732.0;A;_Z
ES61;2000;273173;A;CON_INTER_PREC_ADQ;767085.0;A;_Z
ES61;2000;273174;A;CON_INTER_PREC_ADQ;2123924.0;A;_Z
ES61;2000;273175;A;CON_INTER_PREC_ADQ;480173.0;A;_Z
ES61;2000;273176;A;CON_INTER_PREC_ADQ;1055723.0;A;_Z
ES61;2000;273177;A;CON_INTER_PREC_ADQ;974085.0;A;_Z
ES61;2000;273178;A;CON_INTER_PREC_ADQ;1322850.0;A;_Z
ES61;2000;273132;A;CON_INTER_PREC_ADQ;862912.0;A;_Z
ES61;2000;273179;A;CON_INTER_PREC_ADQ;862912.0;A;_Z
ES61;2000;273133;A;CON_INTER_PREC_ADQ;1361390.0;A;_Z
ES61;2000;273180;A;CON_INTER_PREC_ADQ;512958.0;A;_Z
ES61;2000;273181;A;CON_INTER_PREC_ADQ;585366.0;A;_Z
ES61;2000;273182;A;CON_INTER_PREC_ADQ;263066.0;A;_Z
ES61;2000;273134;A;CON_INTER_PREC_ADQ;7228221.0;A;_Z
ES61;2000;273183;A;CON_INTER_PREC_ADQ;6929036.0;A;_Z
ES61;2000;273184;A;CON_INTER_PREC_ADQ;299185.0;A;_Z
ES61;2000;273135;A;CON_INTER_PREC_ADQ;158743.0;A;_Z
ES61;2000;273185;A;CON_INTER_PREC_ADQ;158743.0;A;_Z
ES61;2000;273136;A;CON_INTER_PREC_ADQ;2579469.0;A;_Z
ES61;2000;273186;A;CON_INTER_PREC_ADQ;467896.0;A;_Z
ES61;2000;273189;A;CON_INTER_PREC_ADQ;1463316.0;A;_Z
ES61;2000;273188;A;CON_INTER_PREC_ADQ;201105.0;A;_Z
ES61;2000;273187;A;CON_INTER_PREC_ADQ;447152.0;A;_Z
ES61;2000;273137;A;CON_INTER_PREC_ADQ;3343226.0;A;_Z
ES61;2000;273190;A;CON_INTER_PREC_ADQ;2173040.0;A;_Z
ES61;2000;273191;A;CON_INTER_PREC_ADQ;1170186.0;A;_Z
ES61;2000;273138;A;CON_INTER_PREC_ADQ;405835.0;A;_Z
ES61;2000;273192;A;CON_INTER_PREC_ADQ;405835.0;A;_Z
ES61;2000;273139;A;CON_INTER_PREC_ADQ;276371.0;A;_Z
ES61;2000;273193;A;CON_INTER_PREC_ADQ;276371.0;A;_Z
ES61;2000;273140;A;CON_INTER_PREC_ADQ;346716.0;A;_Z
ES61;2000;273194;A;CON_INTER_PREC_ADQ;346716.0;A;_Z
ES61;2000;273141;A;CON_INTER_PREC_ADQ;1412456.0;A;_Z
ES61;2000;273195;A;CON_INTER_PREC_ADQ;721385.0;A;_Z
ES61;2000;273196;A;CON_INTER_PREC_ADQ;320783.0;A;_Z
ES61;2000;273197;A;CON_INTER_PREC_ADQ;370288.0;A;_Z
ES61;2000;273142;A;CON_INTER_PREC_ADQ;1972890.0;A;_Z
ES61;2000;273198;A;CON_INTER_PREC_ADQ;900693.0;A;_Z
ES61;2000;273199;A;CON_INTER_PREC_ADQ;459830.0;A;_Z
ES61;2000;273200;A;CON_INTER_PREC_ADQ;612367.0;A;_Z
ES61;2000;273143;A;CON_INTER_PREC_ADQ;1846820.0;A;_Z
ES61;2000;273201;A;CON_INTER_PREC_ADQ;1222607.0;A;_Z
ES61;2000;273202;A;CON_INTER_PREC_ADQ;624213.0;A;_Z
ES61;2000;273144;A;CON_INTER_PREC_ADQ;879606.0;A;_Z
ES61;2000;273203;A;CON_INTER_PREC_ADQ;318155.0;A;_Z
ES61;2000;273204;A;CON_INTER_PREC_ADQ;561451.0;A;_Z
ES61;2000;273249;A;CON_INTER_PREC_ADQ;15888637;A;_Z
ES61;2000;273145;A;CON_INTER_PREC_ADQ;15888637;A;_Z
ES61;2000;273205;A;CON_INTER_PREC_ADQ;15888637;A;_Z
ES61;2000;273251;A;CON_INTER_PREC_ADQ;32232966;A;_Z
ES61;2000;273250;A;CON_INTER_PREC_ADQ;16321901;A;_Z
ES61;2000;273146;A;CON_INTER_PREC_ADQ;6988652.0;A;_Z
ES61;2000;273206;A;CON_INTER_PREC_ADQ;1359452.0;A;_Z
ES61;2000;273207;A;CON_INTER_PREC_ADQ;2722261.0;A;_Z
ES61;2000;273208;A;CON_INTER_PREC_ADQ;2906939.0;A;_Z
ES61;2000;273147;A;CON_INTER_PREC_ADQ;4194678.0;A;_Z
ES61;2000;273209;A;CON_INTER_PREC_ADQ;2552851.0;A;_Z
ES61;2000;273210;A;CON_INTER_PREC_ADQ;294461.0;A;_Z
ES61;2000;273211;A;CON_INTER_PREC_ADQ;1146607.0;A;_Z
ES61;2000;273212;A;CON_INTER_PREC_ADQ;200759.0;A;_Z
ES61;2000;273148;A;CON_INTER_PREC_ADQ;5138571.0;A;_Z
ES61;2000;273213;A;CON_INTER_PREC_ADQ;698090.0;A;_Z
ES61;2000;273214;A;CON_INTER_PREC_ADQ;4440481.0;A;_Z
ES61;2000;273253;A;CON_INTER_PREC_ADQ;1907663.0;A;_Z
ES61;2000;273149;A;CON_INTER_PREC_ADQ;698654.0;A;_Z
ES61;2000;273215;A;CON_INTER_PREC_ADQ;247791.0;A;_Z
ES61;2000;273216;A;CON_INTER_PREC_ADQ;450863.0;A;_Z
ES61;2000;273150;A;CON_INTER_PREC_ADQ;1034764.0;A;_Z
ES61;2000;273217;A;CON_INTER_PREC_ADQ;1034764.0;A;_Z
ES61;2000;273151;A;CON_INTER_PREC_ADQ;174245.0;A;_Z
ES61;2000;273218;A;CON_INTER_PREC_ADQ;174245.0;A;_Z
ES61;2000;273254;A;CON_INTER_PREC_ADQ;1909804.0;A;_Z
ES61;2000;273152;A;CON_INTER_PREC_ADQ;1909804.0;A;_Z
ES61;2000;273219;A;CON_INTER_PREC_ADQ;990401.0;A;_Z
ES61;2000;273220;A;CON_INTER_PREC_ADQ;649687.0;A;_Z
ES61;2000;273221;A;CON_INTER_PREC_ADQ;269716.0;A;_Z
ES61;2000;273255;A;CON_INTER_PREC_ADQ;1440124.0;A;_Z
ES61;2000;273153;A;CON_INTER_PREC_ADQ;1440124.0;A;_Z
ES61;2000;273222;A;CON_INTER_PREC_ADQ;1440124.0;A;_Z
ES61;2000;273256;A;CON_INTER_PREC_ADQ;3551818.0;A;_Z
ES61;2000;273154;A;CON_INTER_PREC_ADQ;1381426.0;A;_Z
ES61;2000;273223;A;CON_INTER_PREC_ADQ;665627.0;A;_Z
ES61;2000;273224;A;CON_INTER_PREC_ADQ;715799.0;A;_Z
ES61;2000;273155;A;CON_INTER_PREC_ADQ;82044.0;A;_Z
ES61;2000;273225;A;CON_INTER_PREC_ADQ;82044.0;A;_Z
ES61;2000;273156;A;CON_INTER_PREC_ADQ;674770.0;A;_Z
ES61;2000;273226;A;CON_INTER_PREC_ADQ;271203.0;A;_Z
ES61;2000;273227;A;CON_INTER_PREC_ADQ;384338.0;A;_Z
ES61;2000;273228;A;CON_INTER_PREC_ADQ;19229.0;A;_Z
ES61;2000;273157;A;CON_INTER_PREC_ADQ;1413578.0;A;_Z
ES61;2000;273229;A;CON_INTER_PREC_ADQ;259808.0;A;_Z
ES61;2000;273230;A;CON_INTER_PREC_ADQ;235416.0;A;_Z
ES61;2000;273231;A;CON_INTER_PREC_ADQ;179175.0;A;_Z
ES61;2000;273232;A;CON_INTER_PREC_ADQ;93171.0;A;_Z
ES61;2000;273233;A;CON_INTER_PREC_ADQ;306490.0;A;_Z
ES61;2000;273234;A;CON_INTER_PREC_ADQ;339518.0;A;_Z
ES61;2000;273257;A;CON_INTER_PREC_ADQ;5093330.0;A;_Z
ES61;2000;273158;A;CON_INTER_PREC_ADQ;1881661.0;A;_Z
ES61;2000;273235;A;CON_INTER_PREC_ADQ;1881661.0;A;_Z
ES61;2000;273159;A;CON_INTER_PREC_ADQ;799707.0;A;_Z
ES61;2000;273236;A;CON_INTER_PREC_ADQ;519471.0;A;_Z
ES61;2000;273237;A;CON_INTER_PREC_ADQ;280236.0;A;_Z
ES61;2000;273160;A;CON_INTER_PREC_ADQ;2043054.0;A;_Z
ES61;2000;273238;A;CON_INTER_PREC_ADQ;932941.0;A;_Z
ES61;2000;273239;A;CON_INTER_PREC_ADQ;1110113.0;A;_Z
ES61;2000;273161;A;CON_INTER_PREC_ADQ;368908.0;A;_Z
ES61;2000;273240;A;CON_INTER_PREC_ADQ;122457.0;A;_Z
ES61;2000;273241;A;CON_INTER_PREC_ADQ;246451.0;A;_Z
ES61;2000;273259;A;CON_INTER_PREC_ADQ;2008326.0;A;_Z
ES61;2000;273162;A;CON_INTER_PREC_ADQ;1217138.0;A;_Z
ES61;2000;273242;A;CON_INTER_PREC_ADQ;690485.0;A;_Z
ES61;2000;273243;A;CON_INTER_PREC_ADQ;526653.0;A;_Z
ES61;2000;273163;A;CON_INTER_PREC_ADQ;791188.0;A;_Z
ES61;2000;273244;A;CON_INTER_PREC_ADQ;250887.0;A;_Z
ES61;2000;273245;A;CON_INTER_PREC_ADQ;64187.0;A;_Z
ES61;2000;273246;A;CON_INTER_PREC_ADQ;476114.0;A;_Z
ES61;2000;273164;A;CON_INTER_PREC_ADQ;0.0;A;_Z
ES61;2000;273247;A;CON_INTER_PREC_ADQ;0.0;A;_Z
ES61;2000;273260;A;CON_INTER_PREC_ADQ;83212145;A;_Z
ES61;2000;273261;A;CON_INTER_PREC_ADQ;;A;_Z
ES61;2000;273252;A;CON_INTER_PREC_ADQ;;A;_Z
ES61;2000;273258;A;CON_INTER_PREC_ADQ;;A;_Z
ES61;2001;273165;A;CON_INTER_PREC_ADQ;4279019.0;A;_Z
ES61;2001;273129;A;CON_INTER_PREC_ADQ;4279019.0;A;_Z
ES61;2001;273167;A;CON_INTER_PREC_ADQ;4013084.0;A;_Z
ES61;2001;273168;A;CON_INTER_PREC_ADQ;75813.0;A;_Z
ES61;2001;273169;A;CON_INTER_PREC_ADQ;190122.0;A;_Z
ES61;2001;273166;A;CON_INTER_PREC_ADQ;31766055;A;_Z
ES61;2001;273248;A;CON_INTER_PREC_ADQ;28611020;A;_Z
ES61;2001;273130;A;CON_INTER_PREC_ADQ;540087.0;A;_Z
ES61;2001;273170;A;CON_INTER_PREC_ADQ;540087.0;A;_Z
ES61;2001;273131;A;CON_INTER_PREC_ADQ;8886881.0;A;_Z
ES61;2001;273171;A;CON_INTER_PREC_ADQ;1423167.0;A;_Z
ES61;2001;273172;A;CON_INTER_PREC_ADQ;170049.0;A;_Z
ES61;2001;273173;A;CON_INTER_PREC_ADQ;859684.0;A;_Z
ES61;2001;273174;A;CON_INTER_PREC_ADQ;2275830.0;A;_Z
ES61;2001;273175;A;CON_INTER_PREC_ADQ;539406.0;A;_Z
ES61;2001;273176;A;CON_INTER_PREC_ADQ;1104117.0;A;_Z
ES61;2001;273177;A;CON_INTER_PREC_ADQ;1050200.0;A;_Z
ES61;2001;273178;A;CON_INTER_PREC_ADQ;1464428.0;A;_Z
ES61;2001;273132;A;CON_INTER_PREC_ADQ;877595.0;A;_Z
ES61;2001;273179;A;CON_INTER_PREC_ADQ;877595.0;A;_Z
ES61;2001;273133;A;CON_INTER_PREC_ADQ;1305934.0;A;_Z
ES61;2001;273180;A;CON_INTER_PREC_ADQ;494934.0;A;_Z
