LUG_DEF;MES;D_G102_0;SEXO;TIME_PERIOD;REF_AREA;INDICATOR;OBS_VALUE;FREQ;EDAD;CIE10;G102_OTRAS_CAUSAS
838404;55908;838410;M;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55908;838410;F;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55908;838410;_T;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55908;838411;M;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55908;838411;F;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55908;838411;_T;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55908;57731;M;2020;ES61;DEATHS;1132.0;A;_Z;_Z;_Z
838404;55908;57731;F;2020;ES61;DEATHS;1214.0;A;_Z;_Z;_Z
838404;55908;57731;_T;2020;ES61;DEATHS;2346.0;A;_Z;_Z;_Z
838404;55908;;M;2020;ES61;DEATHS;1132.0;A;_Z;_Z;_Z
838404;55908;;F;2020;ES61;DEATHS;1214.0;A;_Z;_Z;_Z
838404;55908;;_T;2020;ES61;DEATHS;2346.0;A;_Z;_Z;_Z
838404;55909;838410;M;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55909;838410;F;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55909;838410;_T;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55909;838411;M;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55909;838411;F;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55909;838411;_T;2020;ES61;DEATHS;;A;_Z;_Z;_Z
838404;55909;57731;M;2020;ES61;DEATHS;966.0;A;_Z;_Z;_Z
838404;55909;57731;F;2020;ES61;DEATHS;1032.0;A;_Z;_Z;_Z
838404;55909;57731;_T;2020;ES61;DEATHS;1998.0;A;_Z;_Z;_Z
838404;55909;;M;2020;ES61;DEATHS;966.0;A;_Z;_Z;_Z
838404;55909;;F;2020;ES61;DEATHS;1032.0;A;_Z;_Z;_Z
838404;55909;;_T;2020;ES61;DEATHS;1998.0;A;_Z;_Z;_Z
838404;55910;838410;M;2020;ES61;DEATHS;5.0;A;_Z;_Z;_Z
838404;55910;838410;F;2020;ES61;DEATHS;6.0;A;_Z;_Z;_Z
838404;55910;838410;_T;2020;ES61;DEATHS;11.0;A;_Z;_Z;_Z
838404;55910;838411;M;2020;ES61;DEATHS;20.0;A;_Z;_Z;_Z
838404;55910;838411;F;2020;ES61;DEATHS;22.0;A;_Z;_Z;_Z
838404;55910;838411;_T;2020;ES61;DEATHS;42.0;A;_Z;_Z;_Z
838404;55910;57731;M;2020;ES61;DEATHS;1215.0;A;_Z;_Z;_Z
838404;55910;57731;F;2020;ES61;DEATHS;1282.0;A;_Z;_Z;_Z
838404;55910;57731;_T;2020;ES61;DEATHS;2497.0;A;_Z;_Z;_Z
838404;55910;;M;2020;ES61;DEATHS;1240.0;A;_Z;_Z;_Z
838404;55910;;F;2020;ES61;DEATHS;1310.0;A;_Z;_Z;_Z
838404;55910;;_T;2020;ES61;DEATHS;2550.0;A;_Z;_Z;_Z
838404;55911;838410;M;2020;ES61;DEATHS;10.0;A;_Z;_Z;_Z
838404;55911;838410;F;2020;ES61;DEATHS;6.0;A;_Z;_Z;_Z
838404;55911;838410;_T;2020;ES61;DEATHS;16.0;A;_Z;_Z;_Z
838404;55911;838411;M;2020;ES61;DEATHS;47.0;A;_Z;_Z;_Z
838404;55911;838411;F;2020;ES61;DEATHS;44.0;A;_Z;_Z;_Z
