D_TEMPORAL_0;D_TERRITORIO_0;D_CNAE09_0;INDICATOR;OBS_VALUE;FREQ
2020;3676;6949;ESTABLECIMIENTO;611726.0;A
2020;3676;6980;ESTABLECIMIENTO;;A
2020;3676;6981;ESTABLECIMIENTO;;A
2020;3676;7056;ESTABLECIMIENTO;;A
2020;3676;7029;ESTABLECIMIENTO;;A
2020;3676;6990;ESTABLECIMIENTO;;A
2020;3676;7001;ESTABLECIMIENTO;;A
2020;3676;7004;ESTABLECIMIENTO;;A
2020;3676;7014;ESTABLECIMIENTO;;A
2020;3676;7017;ESTABLECIMIENTO;;A
2020;3676;7023;ESTABLECIMIENTO;;A
2020;3676;7026;ESTABLECIMIENTO;;A
2020;3676;7028;ESTABLECIMIENTO;;A
2020;3676;7044;ESTABLECIMIENTO;;A
2020;3676;7032;ESTABLECIMIENTO;;A
2020;3676;7035;ESTABLECIMIENTO;;A
2020;3676;7038;ESTABLECIMIENTO;;A
2020;3676;7041;ESTABLECIMIENTO;;A
2020;3676;7043;ESTABLECIMIENTO;;A
2020;3676;7055;ESTABLECIMIENTO;;A
2020;3676;7048;ESTABLECIMIENTO;;A
2020;3676;7052;ESTABLECIMIENTO;;A
2020;3676;7054;ESTABLECIMIENTO;;A
2020;3676;7057;ESTABLECIMIENTO;40085.0;A
2020;3676;7058;ESTABLECIMIENTO;40085.0;A
2020;3676;7109;ESTABLECIMIENTO;627.0;A
2020;3676;7067;ESTABLECIMIENTO;13.0;A
2020;3676;7061;ESTABLECIMIENTO;13.0;A
2020;3676;7064;ESTABLECIMIENTO;;A
2020;3676;7066;ESTABLECIMIENTO;;A
2020;3676;7076;ESTABLECIMIENTO;2.0;A
2020;3676;7070;ESTABLECIMIENTO;1.0;A
2020;3676;7073;ESTABLECIMIENTO;1.0;A
2020;3676;7075;ESTABLECIMIENTO;;A
2020;3676;7086;ESTABLECIMIENTO;25.0;A
2020;3676;7079;ESTABLECIMIENTO;9.0;A
2020;3676;7083;ESTABLECIMIENTO;16.0;A
2020;3676;7085;ESTABLECIMIENTO;;A
