D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_SEXOC2_0;INDICATOR;OBS_VALUE;FREQ
2020;ES61;_T;_T;DIV;13992.45022;A
2020;ES61;_T;M;DIV;63.90317;A
2020;ES61;_T;F;DIV;13928.54705;A
2020;ES61;M;_T;DIV;13913.49376;A
2020;ES61;M;M;DIV;63.90317;A
2020;ES61;M;F;DIV;13849.59059;A
2020;ES61;F;_T;DIV;78.95646;A
2020;ES61;F;F;DIV;78.95646;A
2020;ES611;_T;_T;DIV;1287.5417;A
2020;ES611;_T;M;DIV;2.13486;A
2020;ES611;_T;F;DIV;1285.40684;A
2020;ES611;M;_T;DIV;1282.35178;A
2020;ES611;M;M;DIV;2.13486;A
2020;ES611;M;F;DIV;1280.21692;A
2020;ES611;F;_T;DIV;5.18992;A
2020;ES611;F;F;DIV;5.18992;A
2020;ES612;_T;_T;DIV;1956.38358;A
2020;ES612;_T;M;DIV;12.59366;A
2020;ES612;_T;F;DIV;1943.78992;A
2020;ES612;M;_T;DIV;1943.78992;A
2020;ES612;M;M;DIV;12.59366;A
2020;ES612;M;F;DIV;1931.19626;A
2020;ES612;F;_T;DIV;12.59366;A
2020;ES612;F;F;DIV;12.59366;A
2020;ES613;_T;_T;DIV;1295.68526;A
2020;ES613;_T;M;DIV;2.97697;A
2020;ES613;_T;F;DIV;1292.70829;A
2020;ES613;M;_T;DIV;1290.65955;A
2020;ES613;M;M;DIV;2.97697;A
2020;ES613;M;F;DIV;1287.68258;A
2020;ES613;F;_T;DIV;5.02571;A
2020;ES613;F;F;DIV;5.02571;A
2020;ES614;_T;_T;DIV;1333.9225;A
2020;ES614;_T;F;DIV;1333.9225;A
2020;ES614;M;_T;DIV;1327.84207;A
2020;ES614;M;F;DIV;1327.84207;A
2020;ES614;F;_T;DIV;6.08043;A
2020;ES614;F;F;DIV;6.08043;A
2020;ES615;_T;_T;DIV;832.55851;A
2020;ES615;_T;M;DIV;3.78314;A
2020;ES615;_T;F;DIV;828.77537;A
2020;ES615;M;_T;DIV;824.99223;A
2020;ES615;M;M;DIV;3.78314;A
2020;ES615;M;F;DIV;821.20909;A
2020;ES615;F;_T;DIV;7.56628;A
2020;ES615;F;F;DIV;7.56628;A
2020;ES616;_T;_T;DIV;886.77634;A
2020;ES616;_T;M;DIV;6.47589;A
2020;ES616;_T;F;DIV;880.30045;A
