D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2020;ES61;00;DIV;13992.45022;A
2020;ES61;11;DIV;12436.98899;A
2020;ES61;10;DIV;12436.98899;A
2020;ES61;1;DIV;12436.98899;A
2020;ES61;22;DIV;1555.46123;A
2020;ES61;20;DIV;1042.35649;A
2020;ES61;2;DIV;504.9678;A
2020;ES61;3;DIV;537.38869;A
2020;ES61;30;DIV;513.10474;A
2020;ES61;4;DIV;363.16796;A
2020;ES61;5;DIV;149.93678;A
2020;ES611;00;DIV;1287.5417;A
2020;ES611;11;DIV;1015.01572;A
2020;ES611;10;DIV;1015.01572;A
2020;ES611;1;DIV;1015.01572;A
2020;ES611;22;DIV;272.52598;A
2020;ES611;20;DIV;170.89926;A
2020;ES611;2;DIV;83.0019;A
2020;ES611;3;DIV;87.89736;A
2020;ES611;30;DIV;101.62672;A
2020;ES611;4;DIV;64.37708;A
2020;ES611;5;DIV;37.24964;A
2020;ES612;00;DIV;1956.38358;A
2020;ES612;11;DIV;1768.35599;A
2020;ES612;10;DIV;1768.35599;A
2020;ES612;1;DIV;1768.35599;A
2020;ES612;22;DIV;188.02759;A
2020;ES612;20;DIV;134.4753;A
2020;ES612;2;DIV;64.07949;A
2020;ES612;3;DIV;70.39581;A
2020;ES612;30;DIV;53.55229;A
2020;ES612;4;DIV;46.20274;A
2020;ES612;5;DIV;7.34955;A
2020;ES613;00;DIV;1295.68526;A
2020;ES613;11;DIV;1269.4362;A
2020;ES613;10;DIV;1269.4362;A
2020;ES613;1;DIV;1269.4362;A
2020;ES613;22;DIV;26.24906;A
2020;ES613;20;DIV;24.20032;A
2020;ES613;2;DIV;9.12319;A
2020;ES613;3;DIV;15.07713;A
2020;ES613;30;DIV;2.04874;A
2020;ES613;4;DIV;2.04874;A
2020;ES614;00;DIV;1333.9225;A
2020;ES614;11;DIV;1243.73682;A
2020;ES614;10;DIV;1243.73682;A
2020;ES614;1;DIV;1243.73682;A
2020;ES614;22;DIV;90.18568;A
2020;ES614;20;DIV;62.44648;A
2020;ES614;2;DIV;31.22324;A
2020;ES614;3;DIV;31.22324;A
2020;ES614;30;DIV;27.7392;A
2020;ES614;4;DIV;25.14281;A
2020;ES614;5;DIV;2.59639;A
2020;ES615;00;DIV;832.55851;A
2020;ES615;11;DIV;751.05165;A
2020;ES615;10;DIV;751.05165;A
2020;ES615;1;DIV;751.05165;A
2020;ES615;22;DIV;81.50686;A
2020;ES615;20;DIV;57.05762;A
2020;ES615;2;DIV;30.85798;A
2020;ES615;3;DIV;26.19964;A
2020;ES615;30;DIV;24.44924;A
2020;ES615;4;DIV;16.88296;A
2020;ES615;5;DIV;7.56628;A
2020;ES616;00;DIV;886.77634;A
2020;ES616;11;DIV;857.31945;A
2020;ES616;10;DIV;857.31945;A
2020;ES616;1;DIV;857.31945;A
2020;ES616;22;DIV;29.45689;A
2020;ES616;20;DIV;26.53433;A
2020;ES616;2;DIV;10.02922;A
2020;ES616;3;DIV;16.50511;A
2020;ES616;30;DIV;2.92256;A
2020;ES616;4;DIV;2.92256;A
2020;ES617;00;DIV;3009.31704;A
2020;ES617;11;DIV;2350.74632;A
2020;ES617;10;DIV;2350.74632;A
2020;ES617;1;DIV;2350.74632;A
2020;ES617;22;DIV;658.57072;A
2020;ES617;20;DIV;401.85246;A
2020;ES617;2;DIV;196.8595;A
2020;ES617;3;DIV;204.99296;A
2020;ES617;30;DIV;256.71826;A
2020;ES617;4;DIV;167.69311;A
2020;ES617;5;DIV;89.02515;A
2020;ES618;00;DIV;3390.26529;A
2020;ES618;11;DIV;3181.32684;A
2020;ES618;10;DIV;3181.32684;A
2020;ES618;1;DIV;3181.32684;A
2020;ES618;22;DIV;208.93845;A
2020;ES618;20;DIV;164.89072;A
2020;ES618;2;DIV;79.79328;A
2020;ES618;3;DIV;85.09744;A
2020;ES618;30;DIV;44.04773;A
2020;ES618;4;DIV;37.89796;A
2020;ES618;5;DIV;6.14977;A
2019;ES61;00;DIV;17078.2748;A
2019;ES61;11;DIV;15317.02394;A
2019;ES61;10;DIV;15317.02394;A
2019;ES61;1;DIV;15317.02394;A
2019;ES61;22;DIV;1761.25086;A
2019;ES61;20;DIV;1209.68037;A
2019;ES61;2;DIV;624.58277;A
2019;ES61;3;DIV;585.0976;A
2019;ES61;30;DIV;551.57049;A
2019;ES61;4;DIV;406.31594;A
2019;ES61;5;DIV;145.25455;A
2019;ES611;00;DIV;1684.43364;A
2019;ES611;11;DIV;1310.02374;A
2019;ES611;10;DIV;1310.02374;A
2019;ES611;1;DIV;1310.02374;A
2019;ES611;22;DIV;374.4099;A
2019;ES611;20;DIV;223.5099;A
2019;ES611;2;DIV;135.55137;A
2019;ES611;3;DIV;87.95853;A
2019;ES611;30;DIV;150.9;A
2019;ES611;4;DIV;114.3195;A
2019;ES611;5;DIV;36.5805;A
2019;ES612;00;DIV;2350.11045;A
2019;ES612;11;DIV;2186.43527;A
2019;ES612;10;DIV;2186.43527;A
