ESTADO_CIVIL;TIME_PERIOD;CERTIFIC_DISCAPAC;REF_AREA;INDICATOR;OBS_VALUE;FREQ;SEXO;EDAD;NIVEL_ESTUDIOS_TER;RELACTIVIDAD;SITUAC_PROFES;PERCEP_PRES_INVAL;SITUACION_DEPEND;COMP_HOG_ACTIVIDAD;AMBITO_ESTUD_HOG;PRESENC_DISCAPAC
SIN;2020;5732;ES61;POP;2196628.61602;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2020;5733;ES61;POP;141562.17732;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2019;5732;ES61;POP;2138869.09594;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2019;5733;ES61;POP;150234.09646;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2018;5732;ES61;POP;2085365.10365;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2018;5733;ES61;POP;146510.81868;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2017;5732;ES61;POP;2057928.73753;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2017;5733;ES61;POP;144178.83922999998;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2016;5732;ES61;POP;2030672.48351;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2016;5733;ES61;POP;140692.03547;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2015;5732;ES61;POP;2030695.80016;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2015;5733;ES61;POP;124660.28629;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2014;5732;ES61;POP;2057164.41054;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
SIN;2014;5733;ES61;POP;118402.35502999999;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2020;5732;ES61;POP;2584373.96616;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2020;5733;ES61;POP;195476.77277;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2019;5732;ES61;POP;2628013.28772;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2019;5733;ES61;POP;185883.53871000002;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2018;5732;ES61;POP;2645845.55186;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2018;5733;ES61;POP;182517.89487;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2017;5732;ES61;POP;2686516.79207;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2017;5733;ES61;POP;175145.41465;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2016;5732;ES61;POP;2736906.1695;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2016;5733;ES61;POP;179021.54426999998;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2015;5732;ES61;POP;2767286.88531;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2015;5733;ES61;POP;179759.09603;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2014;5732;ES61;POP;2751505.9126299997;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
MAR_REP;2014;5733;ES61;POP;172356.42568000001;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2020;5732;ES61;POP;82197.38669;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2020;5733;ES61;POP;9801.55885;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2019;5732;ES61;POP;83424.82015;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2019;5733;ES61;POP;9012.56143;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2018;5732;ES61;POP;82738.66757;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2018;5733;ES61;POP;12266.36162;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2017;5732;ES61;POP;80695.90383000001;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2017;5733;ES61;POP;11473.95042;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2016;5732;ES61;POP;79633.60881;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2016;5733;ES61;POP;11945.55533;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2015;5732;ES61;POP;83332.36194;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2015;5733;ES61;POP;14550.47085;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2014;5732;ES61;POP;89114.47839999999;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
WID_DTHREP;2014;5733;ES61;POP;11579.6806;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
DIV_DISREP;2020;5732;ES61;POP;323132.40726;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
