D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2015;3143;_T;TOTAL;DEATHS;72001.0;A
2015;3143;_T;Y_LT1;DEATHS;235.0;A
2015;3143;_T;Y1-4;DEATHS;32.0;A
2015;3143;_T;Y5-9;DEATHS;33.0;A
2015;3143;_T;Y10-14;DEATHS;36.0;A
2015;3143;_T;Y15-19;DEATHS;79.0;A
2015;3143;_T;Y20-24;DEATHS;112.0;A
2015;3143;_T;Y25-29;DEATHS;145.0;A
2015;3143;_T;Y30-34;DEATHS;259.0;A
2015;3143;_T;Y35-39;DEATHS;451.0;A
2015;3143;_T;Y40-44;DEATHS;686.0;A
2015;3143;_T;Y45-49;DEATHS;1238.0;A
2015;3143;_T;Y50-54;DEATHS;2018.0;A
2015;3143;_T;Y55-59;DEATHS;2675.0;A
2015;3143;_T;Y60-64;DEATHS;3235.0;A
2015;3143;_T;Y65-69;DEATHS;4454.0;A
2015;3143;_T;Y70-74;DEATHS;6119.0;A
2015;3143;_T;Y75-79;DEATHS;8956.0;A
2015;3143;_T;Y80-84;DEATHS;14184.0;A
2015;3143;_T;Y85-89;DEATHS;14404.0;A
2015;3143;_T;Y90-94;DEATHS;9424.0;A
2015;3143;_T;Y95-99;DEATHS;2731.0;A
2015;3143;_T;Y_GE100;DEATHS;495.0;A
2015;3143;M;TOTAL;DEATHS;36821.0;A
2015;3143;M;Y_LT1;DEATHS;119.0;A
2015;3143;M;Y1-4;DEATHS;19.0;A
2015;3143;M;Y5-9;DEATHS;17.0;A
2015;3143;M;Y10-14;DEATHS;19.0;A
2015;3143;M;Y15-19;DEATHS;62.0;A
2015;3143;M;Y20-24;DEATHS;79.0;A
2015;3143;M;Y25-29;DEATHS;97.0;A
2015;3143;M;Y30-34;DEATHS;190.0;A
2015;3143;M;Y35-39;DEATHS;284.0;A
2015;3143;M;Y40-44;DEATHS;440.0;A
2015;3143;M;Y45-49;DEATHS;777.0;A
2015;3143;M;Y50-54;DEATHS;1413.0;A
2015;3143;M;Y55-59;DEATHS;1841.0;A
2015;3143;M;Y60-64;DEATHS;2261.0;A
2015;3143;M;Y65-69;DEATHS;3094.0;A
2015;3143;M;Y70-74;DEATHS;4011.0;A
2015;3143;M;Y75-79;DEATHS;5241.0;A
2015;3143;M;Y80-84;DEATHS;7137.0;A
