D_TEMPORAL_0;D_NACIONALIDAD_0;D_TERRITORIO_0;D_SEXO_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2011;4780;ES61;_T;4306;HAB;730155.0;A
2011;4780;ES61;_T;4159;HAB;34530.0;A
2011;4780;ES61;_T;4165;HAB;29985.0;A
2011;4780;ES61;_T;4171;HAB;33981.0;A
2011;4780;ES61;_T;4178;HAB;35154.0;A
2011;4780;ES61;_T;4184;HAB;51895.0;A
2011;4780;ES61;_T;4190;HAB;82658.0;A
2011;4780;ES61;_T;4197;HAB;96276.0;A
2011;4780;ES61;_T;4203;HAB;81121.0;A
2011;4780;ES61;_T;4209;HAB;66807.0;A
2011;4780;ES61;_T;4216;HAB;49882.0;A
2011;4780;ES61;_T;4222;HAB;38761.0;A
2011;4780;ES61;_T;4228;HAB;30308.0;A
2011;4780;ES61;_T;4234;HAB;30150.0;A
2011;4780;ES61;_T;4241;HAB;26030.0;A
2011;4780;ES61;_T;4247;HAB;19466.0;A
2011;4780;ES61;_T;4253;HAB;11216.0;A
2011;4780;ES61;_T;4259;HAB;6414.0;A
2011;4780;ES61;_T;4265;HAB;3595.0;A
2011;4780;ES61;_T;4271;HAB;1385.0;A
2011;4780;ES61;_T;4277;HAB;515.0;A
2011;4780;ES61;_T;4304;HAB;26.0;A
2011;4780;ES61;M;4306;HAB;380283.0;A
2011;4780;ES61;M;4159;HAB;17916.0;A
2011;4780;ES61;M;4165;HAB;15435.0;A
2011;4780;ES61;M;4171;HAB;17579.0;A
2011;4780;ES61;M;4178;HAB;18596.0;A
2011;4780;ES61;M;4184;HAB;26377.0;A
2011;4780;ES61;M;4190;HAB;42468.0;A
2011;4780;ES61;M;4197;HAB;51855.0;A
2011;4780;ES61;M;4203;HAB;44021.0;A
2011;4780;ES61;M;4209;HAB;35613.0;A
2011;4780;ES61;M;4216;HAB;25802.0;A
2011;4780;ES61;M;4222;HAB;19341.0;A
2011;4780;ES61;M;4228;HAB;14684.0;A
2011;4780;ES61;M;4234;HAB;14648.0;A
2011;4780;ES61;M;4241;HAB;13478.0;A
2011;4780;ES61;M;4247;HAB;10495.0;A
2011;4780;ES61;M;4253;HAB;6043.0;A
2011;4780;ES61;M;4259;HAB;3309.0;A
2011;4780;ES61;M;4265;HAB;1742.0;A
2011;4780;ES61;M;4271;HAB;635.0;A
2011;4780;ES61;M;4277;HAB;236.0;A
2011;4780;ES61;M;4304;HAB;10.0;A
2011;4780;ES61;F;4306;HAB;349872.0;A
2011;4780;ES61;F;4159;HAB;16614.0;A
2011;4780;ES61;F;4165;HAB;14550.0;A
2011;4780;ES61;F;4171;HAB;16402.0;A
2011;4780;ES61;F;4178;HAB;16558.0;A
2011;4780;ES61;F;4184;HAB;25518.0;A
2011;4780;ES61;F;4190;HAB;40190.0;A
2011;4780;ES61;F;4197;HAB;44421.0;A
2011;4780;ES61;F;4203;HAB;37100.0;A
2011;4780;ES61;F;4209;HAB;31194.0;A
2011;4780;ES61;F;4216;HAB;24080.0;A
2011;4780;ES61;F;4222;HAB;19420.0;A
2011;4780;ES61;F;4228;HAB;15624.0;A
2011;4780;ES61;F;4234;HAB;15502.0;A
2011;4780;ES61;F;4241;HAB;12552.0;A
2011;4780;ES61;F;4247;HAB;8971.0;A
2011;4780;ES61;F;4253;HAB;5173.0;A
2011;4780;ES61;F;4259;HAB;3105.0;A
2011;4780;ES61;F;4265;HAB;1853.0;A
2011;4780;ES61;F;4271;HAB;750.0;A
2011;4780;ES61;F;4277;HAB;279.0;A
2011;4780;ES61;F;4304;HAB;16.0;A
2011;4780;ES611;_T;4306;HAB;155315.0;A
2011;4780;ES611;_T;4159;HAB;9517.0;A
2011;4780;ES611;_T;4165;HAB;6915.0;A
