D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_NACIONALIDAD_0;D_EDAD_0;INDICATOR;OBS_VALUE;FREQ
2021;2402;_T;4781;4306;HAB;1245960.0;A
2021;2402;_T;4781;4172;HAB;188666.0;A
2021;2402;_T;4781;4159;HAB;51330.0;A
2021;2402;_T;4781;4154;HAB;8270.0;A
2021;2402;_T;4781;4155;HAB;9595.0;A
2021;2402;_T;4781;4156;HAB;10350.0;A
2021;2402;_T;4781;4157;HAB;11100.0;A
2021;2402;_T;4781;4158;HAB;12015.0;A
2021;2402;_T;4781;4165;HAB;63056.0;A
2021;2402;_T;4781;4160;HAB;12112.0;A
2021;2402;_T;4781;4161;HAB;12396.0;A
2021;2402;_T;4781;4162;HAB;12094.0;A
2021;2402;_T;4781;4163;HAB;13096.0;A
2021;2402;_T;4781;4164;HAB;13358.0;A
2021;2402;_T;4781;4171;HAB;74280.0;A
2021;2402;_T;4781;4166;HAB;13955.0;A
2021;2402;_T;4781;4167;HAB;14244.0;A
2021;2402;_T;4781;4168;HAB;15235.0;A
2021;2402;_T;4781;4169;HAB;15223.0;A
2021;2402;_T;4781;4170;HAB;15623.0;A
2021;2402;_T;4781;4191;HAB;202359.0;A
2021;2402;_T;4781;4178;HAB;71113.0;A
2021;2402;_T;4781;4173;HAB;14963.0;A
2021;2402;_T;4781;4174;HAB;14600.0;A
2021;2402;_T;4781;4175;HAB;14116.0;A
2021;2402;_T;4781;4176;HAB;13729.0;A
2021;2402;_T;4781;4177;HAB;13705.0;A
2021;2402;_T;4781;4184;HAB;64563.0;A
2021;2402;_T;4781;4179;HAB;13447.0;A
2021;2402;_T;4781;4180;HAB;13129.0;A
2021;2402;_T;4781;4181;HAB;12579.0;A
2021;2402;_T;4781;4182;HAB;12922.0;A
2021;2402;_T;4781;4183;HAB;12486.0;A
2021;2402;_T;4781;4190;HAB;66683.0;A
2021;2402;_T;4781;4185;HAB;12734.0;A
2021;2402;_T;4781;4186;HAB;12809.0;A
2021;2402;_T;4781;4187;HAB;13405.0;A
2021;2402;_T;4781;4188;HAB;13918.0;A
2021;2402;_T;4781;4189;HAB;13817.0;A
2021;2402;_T;4781;4210;HAB;264673.0;A
2021;2402;_T;4781;4197;HAB;74468.0;A
2021;2402;_T;4781;4192;HAB;14425.0;A
2021;2402;_T;4781;4193;HAB;14541.0;A
2021;2402;_T;4781;4194;HAB;14822.0;A
2021;2402;_T;4781;4195;HAB;15160.0;A
2021;2402;_T;4781;4196;HAB;15520.0;A
2021;2402;_T;4781;4203;HAB;87048.0;A
2021;2402;_T;4781;4198;HAB;15950.0;A
2021;2402;_T;4781;4199;HAB;16698.0;A
2021;2402;_T;4781;4200;HAB;17456.0;A
2021;2402;_T;4781;4201;HAB;18141.0;A
2021;2402;_T;4781;4202;HAB;18803.0;A
2021;2402;_T;4781;4209;HAB;103157.0;A
2021;2402;_T;4781;4204;HAB;19711.0;A
2021;2402;_T;4781;4205;HAB;20191.0;A
2021;2402;_T;4781;4206;HAB;20758.0;A
2021;2402;_T;4781;4207;HAB;21215.0;A
2021;2402;_T;4781;4208;HAB;21282.0;A
2021;2402;_T;4781;4235;HAB;375772.0;A
2021;2402;_T;4781;4216;HAB;103181.0;A
2021;2402;_T;4781;4211;HAB;20973.0;A
2021;2402;_T;4781;4212;HAB;21053.0;A
2021;2402;_T;4781;4213;HAB;20412.0;A
2021;2402;_T;4781;4214;HAB;20654.0;A
2021;2402;_T;4781;4215;HAB;20089.0;A
2021;2402;_T;4781;4222;HAB;100591.0;A
2021;2402;_T;4781;4217;HAB;20565.0;A
2021;2402;_T;4781;4218;HAB;20092.0;A
2021;2402;_T;4781;4219;HAB;20051.0;A
2021;2402;_T;4781;4220;HAB;20377.0;A
2021;2402;_T;4781;4221;HAB;19506.0;A
2021;2402;_T;4781;4228;HAB;91680.0;A
2021;2402;_T;4781;4223;HAB;19377.0;A
2021;2402;_T;4781;4224;HAB;19677.0;A
2021;2402;_T;4781;4225;HAB;18295.0;A
2021;2402;_T;4781;4226;HAB;17334.0;A
2021;2402;_T;4781;4227;HAB;16997.0;A
2021;2402;_T;4781;4234;HAB;80320.0;A
2021;2402;_T;4781;4229;HAB;16992.0;A
2021;2402;_T;4781;4230;HAB;16880.0;A
2021;2402;_T;4781;4231;HAB;16334.0;A
2021;2402;_T;4781;4232;HAB;16016.0;A
2021;2402;_T;4781;4233;HAB;14098.0;A
2021;2402;_T;4781;4305;HAB;214490.0;A
2021;2402;_T;4781;4241;HAB;64276.0;A
2021;2402;_T;4781;4236;HAB;13888.0;A
2021;2402;_T;4781;4237;HAB;12767.0;A
2021;2402;_T;4781;4238;HAB;13154.0;A
2021;2402;_T;4781;4239;HAB;12783.0;A
2021;2402;_T;4781;4240;HAB;11684.0;A
2021;2402;_T;4781;4247;HAB;53047.0;A
2021;2402;_T;4781;4242;HAB;10557.0;A
2021;2402;_T;4781;4243;HAB;11007.0;A
2021;2402;_T;4781;4244;HAB;11604.0;A
2021;2402;_T;4781;4245;HAB;10153.0;A
2021;2402;_T;4781;4246;HAB;9726.0;A
2021;2402;_T;4781;4253;HAB;41630.0;A
2021;2402;_T;4781;4248;HAB;10017.0;A
2021;2402;_T;4781;4249;HAB;9092.0;A
2021;2402;_T;4781;4250;HAB;9443.0;A
2021;2402;_T;4781;4251;HAB;6998.0;A
2021;2402;_T;4781;4252;HAB;6080.0;A
2021;2402;_T;4781;4259;HAB;28490.0;A
2021;2402;_T;4781;4254;HAB;7478.0;A
