TIME_PERIOD;REF_AREA;D_CLASEDEPENSION_0;INDICATOR;OBS_VALUE;FREQ;D_SEXO_0;D_EDAD_0;D_PCSSA_JUBVIUDEDAD_0
2011;ES61;5691;NUM_PEN;207353.0;A;_Z;_Z;_Z
2011;ES61;5692;NUM_PEN;754343.0;A;_Z;_Z;_Z
2011;ES61;5693;NUM_PEN;375346.0;A;_Z;_Z;_Z
2011;ES61;275092;NUM_PEN;64160.0;A;_Z;_Z;_Z
2011;ES611;5691;NUM_PEN;8641.0;A;_Z;_Z;_Z
2011;ES611;5692;NUM_PEN;53047.0;A;_Z;_Z;_Z
2011;ES611;5693;NUM_PEN;26656.0;A;_Z;_Z;_Z
2011;ES611;275092;NUM_PEN;4285.0;A;_Z;_Z;_Z
2011;2241;5691;NUM_PEN;31.0;A;_Z;_Z;_Z
2011;2241;5692;NUM_PEN;302.0;A;_Z;_Z;_Z
2011;2241;5693;NUM_PEN;99.0;A;_Z;_Z;_Z
2011;2241;275092;NUM_PEN;9.0;A;_Z;_Z;_Z
2011;2242;5691;NUM_PEN;40.0;A;_Z;_Z;_Z
2011;2242;5692;NUM_PEN;291.0;A;_Z;_Z;_Z
2011;2242;5693;NUM_PEN;94.0;A;_Z;_Z;_Z
2011;2242;275092;NUM_PEN;14.0;A;_Z;_Z;_Z
2011;2243;5691;NUM_PEN;400.0;A;_Z;_Z;_Z
2011;2243;5692;NUM_PEN;2105.0;A;_Z;_Z;_Z
2011;2243;5693;NUM_PEN;1118.0;A;_Z;_Z;_Z
2011;2243;275092;NUM_PEN;157.0;A;_Z;_Z;_Z
2011;2244;5691;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2244;5692;NUM_PEN;133.0;A;_Z;_Z;_Z
2011;2244;5693;NUM_PEN;52.0;A;_Z;_Z;_Z
2011;2245;5691;NUM_PEN;11.0;A;_Z;_Z;_Z
2011;2245;5692;NUM_PEN;179.0;A;_Z;_Z;_Z
2011;2245;5693;NUM_PEN;73.0;A;_Z;_Z;_Z
2011;2245;275092;NUM_PEN;5.0;A;_Z;_Z;_Z
2011;2246;5691;NUM_PEN;115.0;A;_Z;_Z;_Z
2011;2246;5692;NUM_PEN;1000.0;A;_Z;_Z;_Z
2011;2246;5693;NUM_PEN;494.0;A;_Z;_Z;_Z
2011;2246;275092;NUM_PEN;73.0;A;_Z;_Z;_Z
2011;2247;5691;NUM_PEN;19.0;A;_Z;_Z;_Z
2011;2247;5692;NUM_PEN;186.0;A;_Z;_Z;_Z
2011;2247;5693;NUM_PEN;74.0;A;_Z;_Z;_Z
2011;2247;275092;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2248;5691;NUM_PEN;6.0;A;_Z;_Z;_Z
2011;2248;5692;NUM_PEN;113.0;A;_Z;_Z;_Z
2011;2248;5693;NUM_PEN;45.0;A;_Z;_Z;_Z
2011;2248;275092;NUM_PEN;6.0;A;_Z;_Z;_Z
2011;2249;5691;NUM_PEN;6.0;A;_Z;_Z;_Z
2011;2249;5692;NUM_PEN;38.0;A;_Z;_Z;_Z
2011;2249;5693;NUM_PEN;15.0;A;_Z;_Z;_Z
2011;2250;5691;NUM_PEN;10.0;A;_Z;_Z;_Z
2011;2250;5692;NUM_PEN;92.0;A;_Z;_Z;_Z
2011;2250;5693;NUM_PEN;63.0;A;_Z;_Z;_Z
2011;2250;275092;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2251;5691;NUM_PEN;66.0;A;_Z;_Z;_Z
2011;2251;5692;NUM_PEN;415.0;A;_Z;_Z;_Z
2011;2251;5693;NUM_PEN;194.0;A;_Z;_Z;_Z
2011;2251;275092;NUM_PEN;16.0;A;_Z;_Z;_Z
2011;2252;5692;NUM_PEN;29.0;A;_Z;_Z;_Z
2011;2252;5693;NUM_PEN;16.0;A;_Z;_Z;_Z
2011;2253;5691;NUM_PEN;2237.0;A;_Z;_Z;_Z
2011;2253;5692;NUM_PEN;15487.0;A;_Z;_Z;_Z
2011;2253;5693;NUM_PEN;8332.0;A;_Z;_Z;_Z
2011;2253;275092;NUM_PEN;1337.0;A;_Z;_Z;_Z
2011;2254;5692;NUM_PEN;37.0;A;_Z;_Z;_Z
2011;2254;5693;NUM_PEN;25.0;A;_Z;_Z;_Z
2011;2255;5692;NUM_PEN;33.0;A;_Z;_Z;_Z
2011;2255;5693;NUM_PEN;12.0;A;_Z;_Z;_Z
2011;2256;5691;NUM_PEN;44.0;A;_Z;_Z;_Z
2011;2256;5692;NUM_PEN;305.0;A;_Z;_Z;_Z
2011;2256;5693;NUM_PEN;163.0;A;_Z;_Z;_Z
2011;2256;275092;NUM_PEN;16.0;A;_Z;_Z;_Z
2011;2257;5691;NUM_PEN;26.0;A;_Z;_Z;_Z
2011;2257;5692;NUM_PEN;226.0;A;_Z;_Z;_Z
2011;2257;5693;NUM_PEN;95.0;A;_Z;_Z;_Z
2011;2257;275092;NUM_PEN;15.0;A;_Z;_Z;_Z
2011;2258;5692;NUM_PEN;47.0;A;_Z;_Z;_Z
2011;2258;5693;NUM_PEN;29.0;A;_Z;_Z;_Z
2011;2259;5691;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2259;5692;NUM_PEN;77.0;A;_Z;_Z;_Z
2011;2259;5693;NUM_PEN;24.0;A;_Z;_Z;_Z
2011;2260;5691;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2260;5692;NUM_PEN;64.0;A;_Z;_Z;_Z
2011;2260;5693;NUM_PEN;16.0;A;_Z;_Z;_Z
2011;2260;275092;NUM_PEN;10.0;A;_Z;_Z;_Z
2011;2261;5692;NUM_PEN;47.0;A;_Z;_Z;_Z
2011;2261;5693;NUM_PEN;11.0;A;_Z;_Z;_Z
2011;2262;5691;NUM_PEN;12.0;A;_Z;_Z;_Z
2011;2262;5692;NUM_PEN;74.0;A;_Z;_Z;_Z
2011;2262;5693;NUM_PEN;36.0;A;_Z;_Z;_Z
2011;2262;275092;NUM_PEN;5.0;A;_Z;_Z;_Z
2011;2263;5692;NUM_PEN;45.0;A;_Z;_Z;_Z
2011;2263;5693;NUM_PEN;16.0;A;_Z;_Z;_Z
2011;2264;5691;NUM_PEN;56.0;A;_Z;_Z;_Z
2011;2264;5692;NUM_PEN;280.0;A;_Z;_Z;_Z
2011;2264;5693;NUM_PEN;157.0;A;_Z;_Z;_Z
2011;2264;275092;NUM_PEN;27.0;A;_Z;_Z;_Z
2011;2266;5692;NUM_PEN;21.0;A;_Z;_Z;_Z
2011;2266;5693;NUM_PEN;6.0;A;_Z;_Z;_Z
2011;2267;5691;NUM_PEN;6.0;A;_Z;_Z;_Z
2011;2267;5692;NUM_PEN;59.0;A;_Z;_Z;_Z
2011;2267;5693;NUM_PEN;22.0;A;_Z;_Z;_Z
2011;2268;5691;NUM_PEN;8.0;A;_Z;_Z;_Z
2011;2268;5692;NUM_PEN;49.0;A;_Z;_Z;_Z
2011;2268;5693;NUM_PEN;11.0;A;_Z;_Z;_Z
2011;2269;5691;NUM_PEN;260.0;A;_Z;_Z;_Z
2011;2269;5692;NUM_PEN;1207.0;A;_Z;_Z;_Z
2011;2269;5693;NUM_PEN;737.0;A;_Z;_Z;_Z
2011;2269;275092;NUM_PEN;126.0;A;_Z;_Z;_Z
