TIME_PERIOD;REF_AREA;D_SEXO_0;D_PCSSA_JUBVIUDEDAD_0;INDICATOR;OBS_VALUE;FREQ;D_CLASEDEPENSION_0;D_EDAD_0
2011;ES61;_T;212544;NUM_PEN_PERS;652009.0;A;_Z;_Z
2011;ES61;M;212544;NUM_PEN_PERS;479343.0;A;_Z;_Z
2011;ES61;F;212544;NUM_PEN_PERS;172611.0;A;_Z;_Z
2011;ES61;_U;212544;NUM_PEN_PERS;55.0;A;_Z;_Z
2011;ES611;_T;212544;NUM_PEN_PERS;43975.0;A;_Z;_Z
2011;ES611;M;212544;NUM_PEN_PERS;32279.0;A;_Z;_Z
2011;ES611;F;212544;NUM_PEN_PERS;11694.0;A;_Z;_Z
2011;2241;_T;212544;NUM_PEN_PERS;241.0;A;_Z;_Z
2011;2241;M;212544;NUM_PEN_PERS;145.0;A;_Z;_Z
2011;2241;F;212544;NUM_PEN_PERS;96.0;A;_Z;_Z
2011;2242;_T;212544;NUM_PEN_PERS;233.0;A;_Z;_Z
2011;2242;M;212544;NUM_PEN_PERS;138.0;A;_Z;_Z
2011;2242;F;212544;NUM_PEN_PERS;95.0;A;_Z;_Z
2011;2243;_T;212544;NUM_PEN_PERS;1706.0;A;_Z;_Z
2011;2243;M;212544;NUM_PEN_PERS;1275.0;A;_Z;_Z
2011;2243;F;212544;NUM_PEN_PERS;431.0;A;_Z;_Z
2011;2244;_T;212544;NUM_PEN_PERS;99.0;A;_Z;_Z
2011;2244;M;212544;NUM_PEN_PERS;64.0;A;_Z;_Z
2011;2244;F;212544;NUM_PEN_PERS;35.0;A;_Z;_Z
2011;2245;_T;212544;NUM_PEN_PERS;123.0;A;_Z;_Z
2011;2245;M;212544;NUM_PEN_PERS;73.0;A;_Z;_Z
2011;2245;F;212544;NUM_PEN_PERS;50.0;A;_Z;_Z
2011;2246;_T;212544;NUM_PEN_PERS;822.0;A;_Z;_Z
2011;2246;M;212544;NUM_PEN_PERS;625.0;A;_Z;_Z
2011;2246;F;212544;NUM_PEN_PERS;197.0;A;_Z;_Z
2011;2247;_T;212544;NUM_PEN_PERS;135.0;A;_Z;_Z
2011;2247;M;212544;NUM_PEN_PERS;86.0;A;_Z;_Z
2011;2247;F;212544;NUM_PEN_PERS;49.0;A;_Z;_Z
2011;2248;_T;212544;NUM_PEN_PERS;94.0;A;_Z;_Z
2011;2248;M;212544;NUM_PEN_PERS;80.0;A;_Z;_Z
2011;2248;F;212544;NUM_PEN_PERS;14.0;A;_Z;_Z
2011;2249;_T;212544;NUM_PEN_PERS;29.0;A;_Z;_Z
2011;2249;M;212544;NUM_PEN_PERS;19.0;A;_Z;_Z
2011;2249;F;212544;NUM_PEN_PERS;10.0;A;_Z;_Z
2011;2250;_T;212544;NUM_PEN_PERS;69.0;A;_Z;_Z
2011;2250;M;212544;NUM_PEN_PERS;53.0;A;_Z;_Z
2011;2250;F;212544;NUM_PEN_PERS;16.0;A;_Z;_Z
2011;2251;_T;212544;NUM_PEN_PERS;347.0;A;_Z;_Z
2011;2251;M;212544;NUM_PEN_PERS;272.0;A;_Z;_Z
2011;2251;F;212544;NUM_PEN_PERS;75.0;A;_Z;_Z
2011;2252;_T;212544;NUM_PEN_PERS;24.0;A;_Z;_Z
2011;2252;M;212544;NUM_PEN_PERS;21.0;A;_Z;_Z
2011;2253;_T;212544;NUM_PEN_PERS;13183.0;A;_Z;_Z
2011;2253;M;212544;NUM_PEN_PERS;9773.0;A;_Z;_Z
2011;2253;F;212544;NUM_PEN_PERS;3409.0;A;_Z;_Z
2011;2254;_T;212544;NUM_PEN_PERS;21.0;A;_Z;_Z
2011;2254;M;212544;NUM_PEN_PERS;18.0;A;_Z;_Z
2011;2255;_T;212544;NUM_PEN_PERS;29.0;A;_Z;_Z
2011;2255;M;212544;NUM_PEN_PERS;22.0;A;_Z;_Z
2011;2255;F;212544;NUM_PEN_PERS;7.0;A;_Z;_Z
2011;2256;_T;212544;NUM_PEN_PERS;260.0;A;_Z;_Z
2011;2256;M;212544;NUM_PEN_PERS;198.0;A;_Z;_Z
2011;2256;F;212544;NUM_PEN_PERS;62.0;A;_Z;_Z
2011;2257;_T;212544;NUM_PEN_PERS;194.0;A;_Z;_Z
2011;2257;M;212544;NUM_PEN_PERS;138.0;A;_Z;_Z
2011;2257;F;212544;NUM_PEN_PERS;56.0;A;_Z;_Z
2011;2258;_T;212544;NUM_PEN_PERS;43.0;A;_Z;_Z
2011;2258;M;212544;NUM_PEN_PERS;35.0;A;_Z;_Z
2011;2258;F;212544;NUM_PEN_PERS;8.0;A;_Z;_Z
2011;2259;_T;212544;NUM_PEN_PERS;60.0;A;_Z;_Z
2011;2259;M;212544;NUM_PEN_PERS;37.0;A;_Z;_Z
2011;2259;F;212544;NUM_PEN_PERS;23.0;A;_Z;_Z
2011;2260;_T;212544;NUM_PEN_PERS;59.0;A;_Z;_Z
2011;2260;M;212544;NUM_PEN_PERS;42.0;A;_Z;_Z
2011;2260;F;212544;NUM_PEN_PERS;17.0;A;_Z;_Z
2011;2261;_T;212544;NUM_PEN_PERS;44.0;A;_Z;_Z
2011;2261;M;212544;NUM_PEN_PERS;33.0;A;_Z;_Z
2011;2261;F;212544;NUM_PEN_PERS;11.0;A;_Z;_Z
2011;2262;_T;212544;NUM_PEN_PERS;61.0;A;_Z;_Z
2011;2262;M;212544;NUM_PEN_PERS;42.0;A;_Z;_Z
2011;2262;F;212544;NUM_PEN_PERS;19.0;A;_Z;_Z
2011;2263;_T;212544;NUM_PEN_PERS;32.0;A;_Z;_Z
2011;2263;M;212544;NUM_PEN_PERS;22.0;A;_Z;_Z
2011;2263;F;212544;NUM_PEN_PERS;10.0;A;_Z;_Z
2011;2264;_T;212544;NUM_PEN_PERS;230.0;A;_Z;_Z
2011;2264;M;212544;NUM_PEN_PERS;186.0;A;_Z;_Z
2011;2264;F;212544;NUM_PEN_PERS;44.0;A;_Z;_Z
2011;2266;_T;212544;NUM_PEN_PERS;18.0;A;_Z;_Z
2011;2266;M;212544;NUM_PEN_PERS;15.0;A;_Z;_Z
2011;2267;_T;212544;NUM_PEN_PERS;47.0;A;_Z;_Z
2011;2267;M;212544;NUM_PEN_PERS;32.0;A;_Z;_Z
2011;2267;F;212544;NUM_PEN_PERS;15.0;A;_Z;_Z
2011;2268;_T;212544;NUM_PEN_PERS;41.0;A;_Z;_Z
2011;2268;M;212544;NUM_PEN_PERS;33.0;A;_Z;_Z
2011;2268;F;212544;NUM_PEN_PERS;8.0;A;_Z;_Z
2011;2269;_T;212544;NUM_PEN_PERS;1010.0;A;_Z;_Z
