D_ESTADO_DATO_0;D_TERRITORIO_0;D_SEXO_SOCIOS_0;D_TEMPORAL_0;D_CNAE09_0;INDICATOR;FREQ;D_FORMA_JUR_SOCMER_0;OBS_VALUE
A;ES61;46380;2009;303235;PC;A;_Z;67.38095238095238
A;ES61;46380;2009;303235;SOC_CONST;A;_Z;283.0
A;ES61;46380;2009;303236;PC;A;_Z;67.98886569241476
A;ES61;46380;2009;303236;SOC_CONST;A;_Z;977.0
A;ES61;46380;2009;6949;PC;A;_Z;66.5109398115705
A;ES61;46380;2009;6949;SOC_CONST;A;_Z;8542.0
A;ES61;46380;2009;6963;PC;A;_Z;68.52659110723627
A;ES61;46380;2009;6963;SOC_CONST;A;_Z;786.0
A;ES61;46380;2009;6981;PC;A;_Z;68.34733893557423
A;ES61;46380;2009;6981;SOC_CONST;A;_Z;244.0
A;ES61;46380;2009;7058;PC;A;_Z;61.80620884289746
A;ES61;46380;2009;7058;SOC_CONST;A;_Z;657.0
A;ES61;46380;2009;7663;PC;A;_Z;72.52410166520596
A;ES61;46380;2009;7663;SOC_CONST;A;_Z;1655.0
A;ES61;46380;2009;7716;PC;A;_Z;70.90839402069759
A;ES61;46380;2009;7716;SOC_CONST;A;_Z;1850.0
A;ES61;46380;2009;7889;PC;A;_Z;74.67362924281984
A;ES61;46380;2009;7889;SOC_CONST;A;_Z;286.0
A;ES61;46380;2009;8032;PC;A;_Z;63.21243523316063
A;ES61;46380;2009;8032;SOC_CONST;A;_Z;122.0
A;ES61;46380;2009;8256;PC;A;_Z;51.81674565560821
A;ES61;46380;2009;8256;SOC_CONST;A;_Z;656.0
A;ES61;46380;2009;8346;PC;A;_Z;63.39468302658487
A;ES61;46380;2009;8346;SOC_CONST;A;_Z;310.0
A;ES61;46380;2009;8451;PC;A;_Z;59.81620718462823
A;ES61;46380;2009;8451;SOC_CONST;A;_Z;716.0
A;ES61;46380;2010;303235;PC;A;_Z;72.45370370370371
A;ES61;46380;2010;303235;SOC_CONST;A;_Z;313.0
A;ES61;46380;2010;303236;PC;A;_Z;67.28682170542636
A;ES61;46380;2010;303236;SOC_CONST;A;_Z;868.0
A;ES61;46380;2010;6949;PC;A;_Z;67.99074738773231
A;ES61;46380;2010;6949;SOC_CONST;A;_Z;8524.0
A;ES61;46380;2010;6963;PC;A;_Z;69.30846930846931
A;ES61;46380;2010;6963;SOC_CONST;A;_Z;892.0
A;ES61;46380;2010;6981;PC;A;_Z;71.8266253869969
A;ES61;46380;2010;6981;SOC_CONST;A;_Z;232.0
A;ES61;46380;2010;7058;PC;A;_Z;66.57559198542805
A;ES61;46380;2010;7058;SOC_CONST;A;_Z;731.0
A;ES61;46380;2010;7663;PC;A;_Z;72.16699801192843
A;ES61;46380;2010;7663;SOC_CONST;A;_Z;1452.0
A;ES61;46380;2010;7716;PC;A;_Z;72.58883248730965
A;ES61;46380;2010;7716;SOC_CONST;A;_Z;2002.0
A;ES61;46380;2010;7889;PC;A;_Z;73.30097087378641
A;ES61;46380;2010;7889;SOC_CONST;A;_Z;302.0
A;ES61;46380;2010;8032;PC;A;_Z;60.95238095238096
A;ES61;46380;2010;8032;SOC_CONST;A;_Z;128.0
A;ES61;46380;2010;8256;PC;A;_Z;60.95238095238096
A;ES61;46380;2010;8256;SOC_CONST;A;_Z;640.0
A;ES61;46380;2010;8346;PC;A;_Z;65.04237288135593
A;ES61;46380;2010;8346;SOC_CONST;A;_Z;307.0
A;ES61;46380;2010;8451;PC;A;_Z;55.07124895222128
A;ES61;46380;2010;8451;SOC_CONST;A;_Z;657.0
A;ES61;46380;2011;303235;PC;A;_Z;74.34782608695653
A;ES61;46380;2011;303235;SOC_CONST;A;_Z;342.0
A;ES61;46380;2011;303236;PC;A;_Z;69.88934187536401
A;ES61;46380;2011;303236;SOC_CONST;A;_Z;1200.0
A;ES61;46380;2011;6949;PC;A;_Z;69.42797971863173
A;ES61;46380;2011;6949;SOC_CONST;A;_Z;9722.0
A;ES61;46380;2011;6963;PC;A;_Z;73.08781869688386
A;ES61;46380;2011;6963;SOC_CONST;A;_Z;1032.0
A;ES61;46380;2011;6981;PC;A;_Z;69.6969696969697
A;ES61;46380;2011;6981;SOC_CONST;A;_Z;276.0
A;ES61;46380;2011;7058;PC;A;_Z;72.06208425720621
A;ES61;46380;2011;7058;SOC_CONST;A;_Z;650.0
A;ES61;46380;2011;7663;PC;A;_Z;73.3705772811918
A;ES61;46380;2011;7663;SOC_CONST;A;_Z;1576.0
A;ES61;46380;2011;7716;PC;A;_Z;71.84305967688756
A;ES61;46380;2011;7716;SOC_CONST;A;_Z;2179.0
A;ES61;46380;2011;7889;PC;A;_Z;76.67386609071274
A;ES61;46380;2011;7889;SOC_CONST;A;_Z;355.0
A;ES61;46380;2011;8032;PC;A;_Z;63.68421052631579
A;ES61;46380;2011;8032;SOC_CONST;A;_Z;121.0
A;ES61;46380;2011;8256;PC;A;_Z;62.79527559055118
A;ES61;46380;2011;8256;SOC_CONST;A;_Z;957.0
A;ES61;46380;2011;8346;PC;A;_Z;66.66666666666666
A;ES61;46380;2011;8346;SOC_CONST;A;_Z;312.0
A;ES61;46380;2011;8451;PC;A;_Z;55.96899224806201
A;ES61;46380;2011;8451;SOC_CONST;A;_Z;722.0
A;ES61;46380;2012;303235;PC;A;_Z;73.00613496932516
A;ES61;46380;2012;303235;SOC_CONST;A;_Z;357.0
A;ES61;46380;2012;303236;PC;A;_Z;68.55491329479769
A;ES61;46380;2012;303236;SOC_CONST;A;_Z;1186.0
A;ES61;46380;2012;6949;PC;A;_Z;69.40737155106838
A;ES61;46380;2012;6949;SOC_CONST;A;_Z;10037.0
A;ES61;46380;2012;6963;PC;A;_Z;72.95733911785972
A;ES61;46380;2012;6963;SOC_CONST;A;_Z;1009.0
A;ES61;46380;2012;6981;PC;A;_Z;68.86075949367088
A;ES61;46380;2012;6981;SOC_CONST;A;_Z;272.0
A;ES61;46380;2012;7058;PC;A;_Z;71.11622554660529
A;ES61;46380;2012;7058;SOC_CONST;A;_Z;618.0
A;ES61;46380;2012;7663;PC;A;_Z;72.64911337990327
A;ES61;46380;2012;7663;SOC_CONST;A;_Z;1352.0
A;ES61;46380;2012;7716;PC;A;_Z;71.87239944521497
A;ES61;46380;2012;7716;SOC_CONST;A;_Z;2591.0
A;ES61;46380;2012;7889;PC;A;_Z;79.8780487804878
A;ES61;46380;2012;7889;SOC_CONST;A;_Z;393.0
A;ES61;46380;2012;8032;PC;A;_Z;62.4031007751938
A;ES61;46380;2012;8032;SOC_CONST;A;_Z;161.0
A;ES61;46380;2012;8256;PC;A;_Z;62.36054022313565
A;ES61;46380;2012;8256;SOC_CONST;A;_Z;1062.0
A;ES61;46380;2012;8346;PC;A;_Z;66.89497716894978
A;ES61;46380;2012;8346;SOC_CONST;A;_Z;293.0
A;ES61;46380;2012;8451;PC;A;_Z;60.01615508885298
A;ES61;46380;2012;8451;SOC_CONST;A;_Z;743.0
A;ES61;46380;2013;303235;PC;A;_Z;75.93984962406014
A;ES61;46380;2013;303235;SOC_CONST;A;_Z;303.0
A;ES61;46380;2013;303236;PC;A;_Z;68.875
A;ES61;46380;2013;303236;SOC_CONST;A;_Z;1102.0
A;ES61;46380;2013;6949;PC;A;_Z;69.84323163988812
A;ES61;46380;2013;6949;SOC_CONST;A;_Z;10737.0
A;ES61;46380;2013;6963;PC;A;_Z;71.52274225444957
A;ES61;46380;2013;6963;SOC_CONST;A;_Z;1085.0
A;ES61;46380;2013;6981;PC;A;_Z;69.10891089108911
