D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;D_FORMA_JUR_SOCMER_0;INDICATOR;FREQ;D_CNAE09_0;D_SEXO_SOCIOS_0;OBS_VALUE
A;2241;2003;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2003;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2003;46364;CAP_SUSCRITO;A;_Z;_Z;3100.0
A;2241;2003;46364;SOC_CONST;A;_Z;_Z;1.0
A;2241;2003;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2003;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2003;46367;CAP_SUSCRITO;A;_Z;_Z;3100.0
A;2241;2003;46367;SOC_CONST;A;_Z;_Z;1.0
A;2241;2004;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2004;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2004;46364;CAP_SUSCRITO;A;_Z;_Z;72200.0
A;2241;2004;46364;SOC_CONST;A;_Z;_Z;4.0
A;2241;2004;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2004;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2004;46367;CAP_SUSCRITO;A;_Z;_Z;72200.0
A;2241;2004;46367;SOC_CONST;A;_Z;_Z;4.0
A;2241;2005;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2005;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2005;46364;CAP_SUSCRITO;A;_Z;_Z;24600.0
A;2241;2005;46364;SOC_CONST;A;_Z;_Z;4.0
A;2241;2005;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2005;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2005;46367;CAP_SUSCRITO;A;_Z;_Z;24600.0
A;2241;2005;46367;SOC_CONST;A;_Z;_Z;4.0
A;2241;2006;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2006;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2006;46364;CAP_SUSCRITO;A;_Z;_Z;23112.0
A;2241;2006;46364;SOC_CONST;A;_Z;_Z;4.0
A;2241;2006;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2006;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2006;46367;CAP_SUSCRITO;A;_Z;_Z;23112.0
A;2241;2006;46367;SOC_CONST;A;_Z;_Z;4.0
A;2241;2007;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2007;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2007;46364;CAP_SUSCRITO;A;_Z;_Z;3006.0
A;2241;2007;46364;SOC_CONST;A;_Z;_Z;1.0
A;2241;2007;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2007;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2007;46367;CAP_SUSCRITO;A;_Z;_Z;3006.0
A;2241;2007;46367;SOC_CONST;A;_Z;_Z;1.0
A;2241;2009;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2009;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2009;46364;CAP_SUSCRITO;A;_Z;_Z;6306.0
A;2241;2009;46364;SOC_CONST;A;_Z;_Z;2.0
A;2241;2009;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2009;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2009;46367;CAP_SUSCRITO;A;_Z;_Z;6306.0
A;2241;2009;46367;SOC_CONST;A;_Z;_Z;2.0
A;2241;2010;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2010;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2010;46364;CAP_SUSCRITO;A;_Z;_Z;9000.0
A;2241;2010;46364;SOC_CONST;A;_Z;_Z;1.0
A;2241;2010;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2010;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2010;46367;CAP_SUSCRITO;A;_Z;_Z;9000.0
A;2241;2010;46367;SOC_CONST;A;_Z;_Z;1.0
A;2241;2011;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2011;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2011;46364;CAP_SUSCRITO;A;_Z;_Z;6000.0
A;2241;2011;46364;SOC_CONST;A;_Z;_Z;2.0
A;2241;2011;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2011;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2011;46367;CAP_SUSCRITO;A;_Z;_Z;6000.0
A;2241;2011;46367;SOC_CONST;A;_Z;_Z;2.0
A;2241;2012;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2012;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2012;46364;CAP_SUSCRITO;A;_Z;_Z;770100.0
A;2241;2012;46364;SOC_CONST;A;_Z;_Z;3.0
A;2241;2012;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2012;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2012;46367;CAP_SUSCRITO;A;_Z;_Z;770100.0
A;2241;2012;46367;SOC_CONST;A;_Z;_Z;3.0
A;2241;2013;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2013;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2013;46364;CAP_SUSCRITO;A;_Z;_Z;8420.0
A;2241;2013;46364;SOC_CONST;A;_Z;_Z;2.0
A;2241;2013;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2013;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2013;46367;CAP_SUSCRITO;A;_Z;_Z;8420.0
A;2241;2013;46367;SOC_CONST;A;_Z;_Z;2.0
A;2241;2015;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2015;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2015;46364;CAP_SUSCRITO;A;_Z;_Z;6000.0
A;2241;2015;46364;SOC_CONST;A;_Z;_Z;2.0
A;2241;2015;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2015;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2015;46367;CAP_SUSCRITO;A;_Z;_Z;6000.0
A;2241;2015;46367;SOC_CONST;A;_Z;_Z;2.0
A;2241;2016;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2016;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2016;46364;CAP_SUSCRITO;A;_Z;_Z;63000.0
A;2241;2016;46364;SOC_CONST;A;_Z;_Z;3.0
A;2241;2016;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2016;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2016;46367;CAP_SUSCRITO;A;_Z;_Z;63000.0
A;2241;2016;46367;SOC_CONST;A;_Z;_Z;3.0
A;2241;2017;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2017;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2017;46364;CAP_SUSCRITO;A;_Z;_Z;3000.0
A;2241;2017;46364;SOC_CONST;A;_Z;_Z;1.0
A;2241;2017;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2017;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2017;46367;CAP_SUSCRITO;A;_Z;_Z;3000.0
A;2241;2017;46367;SOC_CONST;A;_Z;_Z;1.0
A;2241;2018;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2018;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2018;46364;CAP_SUSCRITO;A;_Z;_Z;3000.0
A;2241;2018;46364;SOC_CONST;A;_Z;_Z;1.0
A;2241;2018;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2018;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2018;46367;CAP_SUSCRITO;A;_Z;_Z;3000.0
A;2241;2018;46367;SOC_CONST;A;_Z;_Z;1.0
A;2241;2020;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2020;46361;SOC_CONST;A;_Z;_Z;0.0
A;2241;2020;46364;CAP_SUSCRITO;A;_Z;_Z;5000.0
A;2241;2020;46364;SOC_CONST;A;_Z;_Z;1.0
A;2241;2020;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2241;2020;46366;SOC_CONST;A;_Z;_Z;0.0
A;2241;2020;46367;CAP_SUSCRITO;A;_Z;_Z;5000.0
A;2241;2020;46367;SOC_CONST;A;_Z;_Z;1.0
A;2242;2003;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2003;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2003;46364;CAP_SUSCRITO;A;_Z;_Z;3200.0
A;2242;2003;46364;SOC_CONST;A;_Z;_Z;1.0
A;2242;2003;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2003;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2003;46367;CAP_SUSCRITO;A;_Z;_Z;3200.0
A;2242;2003;46367;SOC_CONST;A;_Z;_Z;1.0
A;2242;2004;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2004;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2004;46364;CAP_SUSCRITO;A;_Z;_Z;41920.0
A;2242;2004;46364;SOC_CONST;A;_Z;_Z;3.0
A;2242;2004;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2004;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2004;46367;CAP_SUSCRITO;A;_Z;_Z;41920.0
A;2242;2004;46367;SOC_CONST;A;_Z;_Z;3.0
A;2242;2005;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2005;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2005;46364;CAP_SUSCRITO;A;_Z;_Z;12010.0
A;2242;2005;46364;SOC_CONST;A;_Z;_Z;2.0
A;2242;2005;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2005;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2005;46367;CAP_SUSCRITO;A;_Z;_Z;12010.0
A;2242;2005;46367;SOC_CONST;A;_Z;_Z;2.0
A;2242;2006;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2006;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2006;46364;CAP_SUSCRITO;A;_Z;_Z;3100.0
A;2242;2006;46364;SOC_CONST;A;_Z;_Z;1.0
A;2242;2006;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2006;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2006;46367;CAP_SUSCRITO;A;_Z;_Z;3100.0
A;2242;2006;46367;SOC_CONST;A;_Z;_Z;1.0
A;2242;2008;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2008;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2008;46364;CAP_SUSCRITO;A;_Z;_Z;3006.0
A;2242;2008;46364;SOC_CONST;A;_Z;_Z;1.0
A;2242;2008;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2008;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2008;46367;CAP_SUSCRITO;A;_Z;_Z;3006.0
A;2242;2008;46367;SOC_CONST;A;_Z;_Z;1.0
A;2242;2009;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2009;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2009;46364;CAP_SUSCRITO;A;_Z;_Z;6012.0
A;2242;2009;46364;SOC_CONST;A;_Z;_Z;2.0
A;2242;2009;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2009;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2009;46367;CAP_SUSCRITO;A;_Z;_Z;6012.0
A;2242;2009;46367;SOC_CONST;A;_Z;_Z;2.0
A;2242;2010;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2010;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2010;46364;CAP_SUSCRITO;A;_Z;_Z;6012.0
A;2242;2010;46364;SOC_CONST;A;_Z;_Z;2.0
A;2242;2010;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2010;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2010;46367;CAP_SUSCRITO;A;_Z;_Z;6012.0
A;2242;2010;46367;SOC_CONST;A;_Z;_Z;2.0
A;2242;2011;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2011;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2011;46364;CAP_SUSCRITO;A;_Z;_Z;4000.0
A;2242;2011;46364;SOC_CONST;A;_Z;_Z;1.0
A;2242;2011;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2011;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2011;46367;CAP_SUSCRITO;A;_Z;_Z;4000.0
A;2242;2011;46367;SOC_CONST;A;_Z;_Z;1.0
A;2242;2013;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2013;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2013;46364;CAP_SUSCRITO;A;_Z;_Z;3100.0
A;2242;2013;46364;SOC_CONST;A;_Z;_Z;1.0
A;2242;2013;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2013;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2013;46367;CAP_SUSCRITO;A;_Z;_Z;3100.0
A;2242;2013;46367;SOC_CONST;A;_Z;_Z;1.0
A;2242;2014;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2014;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2014;46364;CAP_SUSCRITO;A;_Z;_Z;22000.0
A;2242;2014;46364;SOC_CONST;A;_Z;_Z;2.0
A;2242;2014;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2014;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2014;46367;CAP_SUSCRITO;A;_Z;_Z;22000.0
A;2242;2014;46367;SOC_CONST;A;_Z;_Z;2.0
A;2242;2015;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2015;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2015;46364;CAP_SUSCRITO;A;_Z;_Z;193500.0
A;2242;2015;46364;SOC_CONST;A;_Z;_Z;1.0
A;2242;2015;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2015;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2015;46367;CAP_SUSCRITO;A;_Z;_Z;193500.0
A;2242;2015;46367;SOC_CONST;A;_Z;_Z;1.0
A;2242;2018;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2018;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2018;46364;CAP_SUSCRITO;A;_Z;_Z;3100.0
A;2242;2018;46364;SOC_CONST;A;_Z;_Z;1.0
A;2242;2018;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2018;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2018;46367;CAP_SUSCRITO;A;_Z;_Z;3100.0
A;2242;2018;46367;SOC_CONST;A;_Z;_Z;1.0
A;2242;2019;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2019;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2019;46364;CAP_SUSCRITO;A;_Z;_Z;51955.0
A;2242;2019;46364;SOC_CONST;A;_Z;_Z;2.0
A;2242;2019;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2019;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2019;46367;CAP_SUSCRITO;A;_Z;_Z;51955.0
A;2242;2019;46367;SOC_CONST;A;_Z;_Z;2.0
A;2242;2020;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2020;46361;SOC_CONST;A;_Z;_Z;0.0
A;2242;2020;46364;CAP_SUSCRITO;A;_Z;_Z;4000.0
A;2242;2020;46364;SOC_CONST;A;_Z;_Z;1.0
A;2242;2020;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2242;2020;46366;SOC_CONST;A;_Z;_Z;0.0
A;2242;2020;46367;CAP_SUSCRITO;A;_Z;_Z;4000.0
A;2242;2020;46367;SOC_CONST;A;_Z;_Z;1.0
A;2243;2003;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2003;46361;SOC_CONST;A;_Z;_Z;0.0
A;2243;2003;46364;CAP_SUSCRITO;A;_Z;_Z;722087.0
A;2243;2003;46364;SOC_CONST;A;_Z;_Z;55.0
A;2243;2003;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2003;46366;SOC_CONST;A;_Z;_Z;0.0
A;2243;2003;46367;CAP_SUSCRITO;A;_Z;_Z;722087.0
A;2243;2003;46367;SOC_CONST;A;_Z;_Z;55.0
A;2243;2004;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2004;46361;SOC_CONST;A;_Z;_Z;0.0
A;2243;2004;46364;CAP_SUSCRITO;A;_Z;_Z;3019348.0
A;2243;2004;46364;SOC_CONST;A;_Z;_Z;68.0
A;2243;2004;46366;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2004;46366;SOC_CONST;A;_Z;_Z;0.0
A;2243;2004;46367;CAP_SUSCRITO;A;_Z;_Z;3019348.0
A;2243;2004;46367;SOC_CONST;A;_Z;_Z;68.0
A;2243;2005;46361;CAP_SUSCRITO;A;_Z;_Z;0.0
A;2243;2005;46361;SOC_CONST;A;_Z;_Z;0.0
