ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
126;;() Sector de actividad (SOCMER_2);Sector de actividad (SOCMER_2);;0
6949;00;(00) TOTAL;TOTAL;;1
6981;1;(1) Agricultura;Agricultura;6949;1
7058;2;(2) Industria y energía;Industria y energía;6949;2
7663;3;(3) Construcción;Construcción;6949;3
7716;4;(4) Comercio y reparaciones;Comercio y reparaciones;6949;4
6963;5;(5) Hostelería;Hostelería;6949;5
7889;6;(6) Transportes y almacenamiento;Transportes y almacenamiento;6949;6
303235;6b;(6b) Información y comunicaciones;Información y comunicaciones;6949;7
8032;7;(7) Banca y seguros;Banca y seguros;6949;8
8256;8;(8) Actividades inmobiliarias;Actividades inmobiliarias;6949;9
303236;9;(9) Actividades profesionales, científicas y técnicas;Actividades profesionales, científicas y técnicas;6949;10
8346;9b;(9b) Actividades administrativas y servicios auxiliares;Actividades administrativas y servicios auxiliares;6949;11
8451;10;(10) Resto de servicios;Resto de servicios;6949;13
7056;A;(A) A. Agricultura, ganadería, silvicultura y pesca;A. Agricultura, ganadería, silvicultura y pesca;6981;17
7029;01;(01) 01. Agricultura, ganadería, caza y servicios relacionados con las mismas;01. Agricultura, ganadería, caza y servicios relacionados con las mismas;7056;45
7044;02;(02) 02. Silvicultura y explotación forestal;02. Silvicultura y explotación forestal;7056;46
7055;03;(03) 03. Pesca y acuicultura;03. Pesca y acuicultura;7056;47
7109;B;(B) B. Industrias extractivas;B. Industrias extractivas;7058;18
7605;C;(C) C. Industria manufacturera;C. Industria manufacturera;7058;19
7627;D;(D) D. Suministro de energía eléctrica, gas, vapor y aire acondicionado;D. Suministro de energía eléctrica, gas, vapor y aire acondicionado;7058;20
7661;E;(E) E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;E. Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;7058;21
7067;05;(05) 05. Extracción de antracita, hulla y lignito;05. Extracción de antracita, hulla y lignito;7109;48
7076;06;(06) 06. Extracción de crudo de petróleo y gas natural;06. Extracción de crudo de petróleo y gas natural;7109;49
7086;07;(07) 07. Extracción de minerales metálicos;07. Extracción de minerales metálicos;7109;50
7099;08;(08) 08. Otras industrias extractivas;08. Otras industrias extractivas;7109;51
7108;09;(09) 09. Actividades de apoyo a las industrias extractivas;09. Actividades de apoyo a las industrias extractivas;7109;52
7170;11;(11) 11. Fabricación de bebidas;11. Fabricación de bebidas;7605;54
7176;12;(12) 12. Industria del tabaco;12. Industria del tabaco;7605;55
7197;13;(13) 13. Industria textil;13. Industria textil;7605;56
7214;14;(14) 14. Confección de prendas de vestir;14. Confección de prendas de vestir;7605;57
7224;15;(15) 15. Industria del cuero y del calzado;15. Industria del cuero y del calzado;7605;58
7237;16;"(16) 16. Industria de la madera y del corcho, excepto muebles; cestería y espartería";"16. Industria de la madera y del corcho, excepto muebles; cestería y espartería";7605;59
7251;17;(17) 17. Industria del papel;17. Industria del papel;7605;60
7263;18;(18) 18. Artes gráficas y reproducción de soportes grabados;18. Artes gráficas y reproducción de soportes grabados;7605;61
7272;19;(19) 19. Coquerías y refino de petróleo;19. Coquerías y refino de petróleo;7605;62
7303;20;(20) 20. Industria química;20. Industria química;7605;63
7312;21;(21) 21. Fabricación de productos farmacéuticos;21. Fabricación de productos farmacéuticos;7605;64
7325;22;(22) 22. Fabricación de productos de caucho y plásticos;22. Fabricación de productos de caucho y plásticos;7605;65
7368;23;(23) 23. Fabricación de otros productos minerales no metálicos;23. Fabricación de otros productos minerales no metálicos;7605;66
7397;24;"(24) 24. Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";"24. Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones";7605;67
7433;25;(25) 25. Fabricación de productos metálicos, excepto maquinaria y equipo;25. Fabricación de productos metálicos, excepto maquinaria y equipo;7605;68
7462;26;(26) 26. Fabricación de productos informáticos, electrónicos y ópticos;26. Fabricación de productos informáticos, electrónicos y ópticos;7605;69
7487;27;(27) 27. Fabricación de material y equipo eléctrico;27. Fabricación de material y equipo eléctrico;7605;70
7521;28;(28) 28. Fabricación de maquinaria y equipo n.c.o.p.;28. Fabricación de maquinaria y equipo n.c.o.p.;7605;71
7534;29;(29) 29. Fabricación de vehículos de motor, remolques y semirremolques;29. Fabricación de vehículos de motor, remolques y semirremolques;7605;72
7555;30;(30) 30. Fabricación de otro material de transporte;30. Fabricación de otro material de transporte;7605;73
7564;31;(31) 31. Fabricación de muebles;31. Fabricación de muebles;7605;74
7588;32;(32) 32. Otras industrias manufactureras;32. Otras industrias manufactureras;7605;75
7604;33;(33) 33. Reparación e instalación de maquinaria y equipo;33. Reparación e instalación de maquinaria y equipo;7605;76
7626;35;(35) 35. Suministro de energía eléctrica, gas, vapor y aire acondicionado;35. Suministro de energía eléctrica, gas, vapor y aire acondicionado;7627;77
7633;36;(36) 36. Captación, depuración y distribución de agua;36. Captación, depuración y distribución de agua;7661;78
7639;37;(37) 37. Recogida y tratamiento de aguas residuales;37. Recogida y tratamiento de aguas residuales;7661;79
7654;38;"(38) 38. Recogida, tratamiento y eliminación de residuos; valorización";"38. Recogida, tratamiento y eliminación de residuos; valorización";7661;80
7660;39;(39) 39. Actividades de descontaminación y otros servicios de gestión de residuos;39. Actividades de descontaminación y otros servicios de gestión de residuos;7661;81
7714;F;(F) F. Construcción;F. Construcción;7663;22
7673;41;(41) 41. Construcción de edificios;41. Construcción de edificios;7714;82
7689;42;(42) 42. Ingeniería civil;42. Ingeniería civil;7714;83
7713;43;(43) 43. Actividades de construcción especializada;43. Actividades de construcción especializada;7714;84
7859;G;"(G) G. Comercio al por mayor y al por menor; Reparación de vehículos de motor y motocicletas";"G. Comercio al por mayor y al por menor; Reparación de vehículos de motor y motocicletas";7716;23
7733;45;(45) 45. Venta y reparación de vehículos de motor y motocicletas;45. Venta y reparación de vehículos de motor y motocicletas;7859;85
7800;46;(46) 46. Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;46. Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;7859;86
7858;47;(47) 47. Comercio al por menor, excepto de vehículos de motor y motocicletas;47. Comercio al por menor, excepto de vehículos de motor y motocicletas;7859;87
7888;I;(I) I. Hostelería;I. Hostelería;6963;38
7874;55;(55) 55. Servicios de alojamiento;55. Servicios de alojamiento;7888;88
7887;56;(56) 56. Servicios de comidas y bebidas;56. Servicios de comidas y bebidas;7888;89
7958;H;(H) H. Transporte y almacenamiento;H. Transporte y almacenamiento;7889;25
7910;49;(49) 49. Transporte terrestre y por tubería;49. Transporte terrestre y por tubería;7958;90
7925;50;(50) 50. Transporte marítimo y por vías navegables interiores;50. Transporte marítimo y por vías navegables interiores;7958;91
7935;51;(51) 51. Transporte aéreo;51. Transporte aéreo;7958;92
7948;52;(52) 52. Almacenamiento y actividades anexas al transporte;52. Almacenamiento y actividades anexas al transporte;7958;93
7957;53;(53) 53. Actividades postales y de correos;53. Actividades postales y de correos;7958;94
8031;J;(J) J. Información y comunicaciones;J. Información y comunicaciones;303235;0
7972;58;(58) 58. Edición;58. Edición;8031;95
7986;59;(59) 59. Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;59. Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical;8031;96
7995;60;(60) 60. Actividades de programación y emisión de radio y televisión;60. Actividades de programación y emisión de radio y televisión;8031;97
8010;61;(61) 61. Telecomunicaciones;61. Telecomunicaciones;8031;98
8019;62;(62) 62. Programación, consultoría y otras actividades relacionadas con la informática;62. Programación, consultoría y otras actividades relacionadas con la informática;8031;99
8030;63;(63) 63. Servicios de información;63. Servicios de información;8031;100
8080;K;(K) K. Actividades financieras y de seguros;K. Actividades financieras y de seguros;8032;27
8050;64;(64) 64. Servicios financieros, excepto seguros y fondos de pensiones;64. Servicios financieros, excepto seguros y fondos de pensiones;8080;101
8063;65;(65) 65. Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;65. Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria;8080;102
8079;66;(66) 66. Actividades auxiliares a los servicios financieros y a los seguros;66. Actividades auxiliares a los servicios financieros y a los seguros;8080;103
8094;L;(L) L. Actividades inmobiliarias;L. Actividades inmobiliarias;8256;31
8093;68;(68) 68. Actividades inmobiliarias;68. Actividades inmobiliarias;8094;104
8165;M;(M) M. Actividades profesionales, científicas y técnicas;M. Actividades profesionales, científicas y técnicas;303236;0
8103;69;(69) 69. Actividades jurídicas y de contabilidad;69. Actividades jurídicas y de contabilidad;8165;105
