ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
2548;;() ECOICOP (2dígitos);ECOICOP (2dígitos);;0
215474;P1_00;(00) Índice general;Índice general;;1
215340;01;(01) Grupo 1. Alimentos y bebidas no alcohólicas;Grupo 1. Alimentos y bebidas no alcohólicas;215474;2
215347;02;(02) Grupo 2. Bebidas alcohólicas y tabaco;Grupo 2. Bebidas alcohólicas y tabaco;215474;3
215353;03;(03) Grupo 3. Vestido y calzado;Grupo 3. Vestido y calzado;215474;4
215372;04;(04) Grupo 4. Viviendas, agua, electricidad gas y otros combustibles;Grupo 4. Viviendas, agua, electricidad gas y otros combustibles;215474;5
215387;05;(05) Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar;215474;6
215396;06;(06) Grupo 6. Sanidad;Grupo 6. Sanidad;215474;7
215411;07;(07) Grupo 7. Transporte;Grupo 7. Transporte;215474;8
215416;08;(08) Grupo 8. Comunicaciones;Grupo 8. Comunicaciones;215474;9
215437;09;(09) Grupo 9. Ocio y cultura;Grupo 9. Ocio y cultura;215474;10
215448;10;(10) Grupo 10. Enseñanza;Grupo 10. Enseñanza;215474;11
215454;11;(11) Grupo 11. Restaurantes y hoteles;Grupo 11. Restaurantes y hoteles;215474;12
215473;12;(12) Grupo 12. Otros bienes y servicios;Grupo 12. Otros bienes y servicios;215474;13
