,id,label,des,parentId
0,2548,() ECOICOP (2dígitos),ECOICOP (2dígitos),null
1,215474,(00) Índice general,Índice general,null
2,215340,(01) Grupo 1. Alimentos y bebidas no alcohólicas,Grupo 1. Alimentos y bebidas no alcohólicas,215474
3,215347,(02) Grupo 2. Bebidas alcohólicas y tabaco,Grupo 2. Bebidas alcohólicas y tabaco,215474
4,215353,(03) Grupo 3. Vestido y calzado,Grupo 3. Vestido y calzado,215474
5,215372,"(04) Grupo 4. Viviendas, agua, electricidad gas y otros combustibles","Grupo 4. Viviendas, agua, electricidad gas y otros combustibles",215474
6,215387,"(05) Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar","Grupo 5. Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",215474
7,215396,(06) Grupo 6. Sanidad,Grupo 6. Sanidad,215474
8,215411,(07) Grupo 7. Transporte,Grupo 7. Transporte,215474
9,215416,(08) Grupo 8. Comunicaciones,Grupo 8. Comunicaciones,215474
10,215437,(09) Grupo 9. Ocio y cultura,Grupo 9. Ocio y cultura,215474
11,215448,(10) Grupo 10. Enseñanza,Grupo 10. Enseñanza,215474
12,215454,(11) Grupo 11. Restaurantes y hoteles,Grupo 11. Restaurantes y hoteles,215474
13,215473,(12) Grupo 12. Otros bienes y servicios,Grupo 12. Otros bienes y servicios,215474
