ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
28;;() Estado civil c2;Estado civil c2;;0
4967;00;(00) Total Estado civil;Total Estado civil;;1
4959;10;(10) Soltero/a;Soltero/a;4967;1
4961;20;(20) Casado/a;Casado/a;4967;2
4963;30;(30) Viudo/a;Viudo/a;4967;3
4966;45;(45) Separado/a o divorciado/a;Separado/a o divorciado/a;4967;4
4968;NC0;(NC0) No consta;No consta;4967;5
4970;NP0;(NP0) No procede;No procede;4967;6
4958;1;(1) Soltero/a;Soltero/a;4959;1
4960;2;(2) Casado/a;Casado/a;4961;1
4962;3;(3) Viudo/a;Viudo/a;4963;1
4964;4;(4) Separado/a;Separado/a;4966;1
4965;5;(5) Divorciado/a;Divorciado/a;4966;2
4969;NC;(NC) No consta;No consta;4968;1
4971;NP;(NP) No procede;No procede;4970;1
