ID;NAME;DESCRIPTION;PARENTCODE;ORDER
25;() Estado civil c1;Estado civil c1;;0
4325;(00) TOTAL;TOTAL;;1
4317;(10) Soltero/a;Soltero/a;4325;1
4319;(20) Casado/a;Casado/a;4325;2
4321;(30) Viudo/a;Viudo/a;4325;3
4324;(45) Separado/a o divorciado/a;Separado/a o divorciado/a;4325;4
4326;(NC0) No consta;No consta;4325;5
4328;(NP0) No procede;No procede;4325;6
4316;(1) Soltero/a;Soltero/a;4317;1
4318;(2) Casado/a;Casado/a;4319;1
4320;(3) Viudo/a;Viudo/a;4321;1
4322;(4) Separado/a;Separado/a;4324;1
4323;(5) Divorciado/a;Divorciado/a;4324;2
4327;(NC) No consta;No consta;4326;1
4329;(NP) No procede;No procede;4328;1
