ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
481;;() Lugar de nacimiento Padrón;Lugar de nacimiento Padrón;;0
54888;00;(00) TOTAL;TOTAL;;1
53700;108;(108) España;España;54888;1
54887;66;(66) Extranjero;Extranjero;54888;2
54893;NP000;(NP000) No procede;No procede;54888;3
54889;NC000;(NC000) No consta;No consta;54888;4
54560;C01;(C01) Andalucía;Andalucía;53700;1
54565;RE;(RE) Resto de España;Resto de España;53700;2
53809;04;(04) Almería;Almería;54560;1
53855;11;(11) Cádiz;Cádiz;54560;2
53933;14;(14) Córdoba;Córdoba;54560;3
54155;18;(18) Granada;Granada;54560;4
54236;21;(21) Huelva;Huelva;54560;5
54344;23;(23) Jaén;Jaén;54560;6
54452;29;(29) Málaga;Málaga;54560;7
54559;41;(41) Sevilla;Sevilla;54560;8
54562;P01NC;(P01NC) No consta provincia;No consta provincia;54560;9
53701;04001;(04001) Abla;Abla;53809;1
53702;04002;(04002) Abrucena;Abrucena;53809;2
53703;04003;(04003) Adra;Adra;53809;3
53704;04004;(04004) Albánchez;Albánchez;53809;4
53705;04005;(04005) Alboloduy;Alboloduy;53809;5
53706;04006;(04006) Albox;Albox;53809;6
53707;04007;(04007) Alcolea;Alcolea;53809;7
53708;04008;(04008) Alcóntar;Alcóntar;53809;8
53709;04009;(04009) Alcudia de Monteagud;Alcudia de Monteagud;53809;9
53710;04010;(04010) Alhabia;Alhabia;53809;10
53711;04011;(04011) Alhama de Almería;Alhama de Almería;53809;11
53712;04012;(04012) Alicún;Alicún;53809;12
53713;04013;(04013) Almería (capital);Almería (capital);53809;13
53714;04014;(04014) Almócita;Almócita;53809;14
53715;04015;(04015) Alsodux;Alsodux;53809;15
53716;04016;(04016) Antas;Antas;53809;16
53717;04017;(04017) Arboleas;Arboleas;53809;17
53718;04018;(04018) Armuña de Almanzora;Armuña de Almanzora;53809;18
53719;04019;(04019) Bacares;Bacares;53809;19
213225;04904;(04904) Balanegra;Balanegra;53809;20
53720;04020;(04020) Bayárcal;Bayárcal;53809;21
53721;04021;(04021) Bayarque;Bayarque;53809;22
53722;04022;(04022) Bédar;Bédar;53809;23
53723;04023;(04023) Beires;Beires;53809;24
53724;04024;(04024) Benahadux;Benahadux;53809;25
53726;04026;(04026) Benitagla;Benitagla;53809;26
53727;04027;(04027) Benizalón;Benizalón;53809;27
53728;04028;(04028) Bentarique;Bentarique;53809;28
53729;04029;(04029) Berja;Berja;53809;29
53730;04030;(04030) Canjáyar;Canjáyar;53809;30
53731;04031;(04031) Cantoria;Cantoria;53809;31
53732;04032;(04032) Carboneras;Carboneras;53809;32
53733;04033;(04033) Castro de Filabres;Castro de Filabres;53809;33
53736;04036;(04036) Chercos;Chercos;53809;34
53737;04037;(04037) Chirivel;Chirivel;53809;35
53734;04034;(04034) Cóbdar;Cóbdar;53809;36
53735;04035;(04035) Cuevas del Almanzora;Cuevas del Almanzora;53809;37
53738;04038;(04038) Dalías;Dalías;53809;38
53806;04902;(04902) Ejido (El);Ejido (El);53809;39
53741;04041;(04041) Enix;Enix;53809;40
53743;04043;(04043) Felix;Felix;53809;41
53744;04044;(04044) Fines;Fines;53809;42
53745;04045;(04045) Fiñana;Fiñana;53809;43
53746;04046;(04046) Fondón;Fondón;53809;44
53747;04047;(04047) Gádor;Gádor;53809;45
53748;04048;(04048) Gallardos (Los);Gallardos (Los);53809;46
53749;04049;(04049) Garrucha;Garrucha;53809;47
53750;04050;(04050) Gérgal;Gérgal;53809;48
53751;04051;(04051) Huécija;Huécija;53809;49
53752;04052;(04052) Huércal de Almería;Huércal de Almería;53809;50
53753;04053;(04053) Huércal-Overa;Huércal-Overa;53809;51
53754;04054;(04054) Illar;Illar;53809;52
53755;04055;(04055) Instinción;Instinción;53809;53
53756;04056;(04056) Laroya;Laroya;53809;54
53757;04057;(04057) Láujar de Andarax;Láujar de Andarax;53809;55
53758;04058;(04058) Líjar;Líjar;53809;56
53759;04059;(04059) Lubrín;Lubrín;53809;57
53760;04060;(04060) Lucainena de las Torres;Lucainena de las Torres;53809;58
53761;04061;(04061) Lúcar;Lúcar;53809;59
53762;04062;(04062) Macael;Macael;53809;60
53763;04063;(04063) María;María;53809;61
53764;04064;(04064) Mojácar;Mojácar;53809;62
53807;04903;(04903) Mojonera (La);Mojonera (La);53809;63
53765;04065;(04065) Nacimiento;Nacimiento;53809;64
53766;04066;(04066) Níjar;Níjar;53809;65
