ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
1343;;() Cuadro macroeconómico;Cuadro macroeconómico;;0
93017;GCF;(GCF) Gasto en consumo final regional;Gasto en consumo final regional;;1
93018;GCFH;(GCFH) Gasto en consumo individual de los hogares regional *;Gasto en consumo individual de los hogares regional *;;2
93011;CAAPP;(CAAPP) Gasto en consumo de las AAPP e ISFLSH;Gasto en consumo de las AAPP e ISFLSH;;3
93020;INDIV;(INDIV) Gasto en consumo individual (AAPP e ISFLSH);Gasto en consumo individual (AAPP e ISFLSH);;4
93012;COLEC;(COLEC) Gasto en consumo colectivo;Gasto en consumo colectivo;;5
93016;FBC;(FBC) Formación bruta de capital;Formación bruta de capital;;6
93013;DREG;(DREG) Demanda regional;Demanda regional;;7
93015;EXP;(EXP) Exportaciones de bienes y servicios;Exportaciones de bienes y servicios;;8
93019;IMP;(IMP) Importaciones de bienes y servicios;Importaciones de bienes y servicios;;9
93023;PIBD;(PIBD) Producto Interior Bruto a precios de mercado. Demanda;Producto Interior Bruto a precios de mercado. Demanda;;10
93077;VAB_TOTAL;(VAB_TOTAL) VAB pb Total;VAB pb Total;;11
93065;VAB_A;(VAB_A) VAB Agricultura, ganadería, silvicultura y pesca;VAB Agricultura, ganadería, silvicultura y pesca;;12
93066;VAB_B_E;(VAB_B_E) VAB Industria;VAB Industria;;13
93067;VAB_C;(VAB_C) VAB - De las cuales: Industria manufacturera;VAB - De las cuales: Industria manufacturera;;14
93068;VAB_F;(VAB_F) VAB Construcción;VAB Construcción;;15
93070;VAB_G_U;(VAB_G_U) VAB Servicios;VAB Servicios;;16
93069;VAB_G_I;(VAB_G_I) VAB Comercio, transporte y hostelería;VAB Comercio, transporte y hostelería;;17
93071;VAB_J;(VAB_J) VAB Información y comunicaciones;VAB Información y comunicaciones;;18
93072;VAB_K;(VAB_K) VAB Actividades financieras y de seguros;VAB Actividades financieras y de seguros;;19
93073;VAB_L;(VAB_L) VAB Actividades inmobiliarias;VAB Actividades inmobiliarias;;20
93074;VAB_M_N;(VAB_M_N) VAB Actividades profesionales;VAB Actividades profesionales;;21
93075;VAB_O_Q;(VAB_O_Q) VAB Administración pública, sanidad y educación;VAB Administración pública, sanidad y educación;;22
93076;VAB_R_U;(VAB_R_U) VAB Actividades artísticas, recreativas y otros servicios;VAB Actividades artísticas, recreativas y otros servicios;;23
93021;INSP;(INSP) Impuestos netos sobre los productos;Impuestos netos sobre los productos;;24
93024;PIBO;(PIBO) Producto Interior Bruto a precios de mercado. Oferta;Producto Interior Bruto a precios de mercado. Oferta;;25
93064;RA_TOTAL;(RA_TOTAL) Remuneración de asalariados (RA);Remuneración de asalariados (RA);;26
93052;RA_A;(RA_A) RA Agricultura, ganadería, silvicultura y pesca;RA Agricultura, ganadería, silvicultura y pesca;;27
