ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
3757;;() Macromagnitudes CPA;Macromagnitudes CPA;;0
273760;01;(01) Producción a precios básicos;Producción a precios básicos;;1
273761;02;(02) Consumos intermedios a precios de adquisición;Consumos intermedios a precios de adquisición;;2
273762;03;(03) Valor Añadido Bruto a precios básicos. Valor;Valor Añadido Bruto a precios básicos. Valor;;3
273763;04;(04) Impuestos netos sobre los productos. Valor;Impuestos netos sobre los productos. Valor;;4
273764;05;(05) Producto interior bruto a precios de mercado. Valor;Producto interior bruto a precios de mercado. Valor;;5
273765;06;(06) Valor Añadido Bruto a precios básicos. Índices de Volumen Encadenado;Valor Añadido Bruto a precios básicos. Índices de Volumen Encadenado;;6
273766;07;(07) Impuestos netos sobre los productos. Índices de Volumen Encadenado;Impuestos netos sobre los productos. Índices de Volumen Encadenado;;7
273767;08;(08) Producto interior bruto a precios de mercado. Índices de Volumen Encadenado;Producto interior bruto a precios de mercado. Índices de Volumen Encadenado;;8
273768;09;(09) Remuneración de Asalariados;Remuneración de Asalariados;;9
273769;10;(10) Otros impuestos netos sobre la producción;Otros impuestos netos sobre la producción;;10
273770;11;(11) Excedente Bruto de Explotación y Renta mixta;Excedente Bruto de Explotación y Renta mixta;;11
273771;12;(12) Puestos de trabajo totales;Puestos de trabajo totales;;12
273772;13;(13) Puestos de trabajo asalariados;Puestos de trabajo asalariados;;13
273773;14;(14) Puestos de trabajo no asalariados;Puestos de trabajo no asalariados;;14
358501;15;(15) Impuestos netos sobre la producción e importaciones;Impuestos netos sobre la producción e importaciones;;15
