ID;COD;NAME;DESCRIPTION;PARENTCODE;ORDER
36;;() Número de hijos menores de edad;Número de hijos menores de edad;;0
5661;000;(000) Total;Total;;1
5635;00;(00) Ningún hijo menor;Ningún hijo menor;5661;1
5637;01;(01) 1 hijo;1 hijo;5661;2
5639;02;(02) 2 hijos;2 hijos;5661;3
5641;03;(03) 3 hijos;3 hijos;5661;4
5643;04;(04) 4 hijos;4 hijos;5661;5
5660;05+;(05+) Más de 4 hijos;Más de 4 hijos;5661;6
5662;NC0;(NC0) No consta;No consta;5661;7
5634;0;(0) Ningún hijo menor;Ningún hijo menor;5635;1
5636;1;(1) 1 hijo;1 hijo;5637;1
5638;2;(2) 2 hijos;2 hijos;5639;1
5640;3;(3) 3 hijos;3 hijos;5641;1
5642;4;(4) 4 hijos;4 hijos;5643;1
5655;5;(5) 5 hijos;5 hijos;5660;1
5656;6;(6) 6 hijos;6 hijos;5660;2
5657;7;(7) 7 hijos;7 hijos;5660;3
5658;8;(8) 8 hijos;8 hijos;5660;4
5659;9;(9) 9 hijos;9 hijos;5660;5
5644;10;(10) 10 hijos;10 hijos;5660;6
5645;11;(11) 11 hijos;11 hijos;5660;7
5646;12;(12) 12 hijos;12 hijos;5660;8
5647;13;(13) 13 hijos;13 hijos;5660;9
5648;14;(14) 14 hijos;14 hijos;5660;10
5649;15;(15) 15 hijos;15 hijos;5660;11
5650;16;(16) 16 hijos;16 hijos;5660;12
5651;17;(17) 17 hijos;17 hijos;5660;13
5652;18;(18) 18 hijos;18 hijos;5660;14
5653;19;(19) 19 hijos;19 hijos;5660;15
5654;20;(20) 20 hijos;20 hijos;5660;16
5663;NC;(NC) No consta;No consta;5662;1
