ID;NAME;DESCRIPTION;PARENTCODE;ORDER
3758;() Secciones Cnae09 CPA;Secciones Cnae09 CPA;;0
273774;(00) Total;Total;;1
273825;(VAB000) Valor añadido bruto a precios de mercado;Valor añadido bruto a precios de mercado;;2
273829;(INSP000) Impuestos netos sobre los productos;Impuestos netos sobre los productos;;3
273835;(PIB000) Producto interior bruto a precios de mercado;Producto interior bruto a precios de mercado;;4
273775;(S1) Agricultura, ganadería, selvicultura y pesca;Agricultura, ganadería, selvicultura y pesca;273774;1
273778;(S2) Industria;Industria;273774;3
273784;(S3) Construcción;Construcción;273774;4
273787;(S4) Total Servicios;Total Servicios;273774;5
513102;(NC00) No consta;No consta;273774;6
273776;(S11) Agricultura, ganadería, selvicultura y pesca;Agricultura, ganadería, selvicultura y pesca;273775;1
273777;(A) A. Agricultura, ganadería, selvicultura y pesca;A. Agricultura, ganadería, selvicultura y pesca;273776;1
273779;"(S21) B,C,D,E. Industrias extractivas; industria manufacturera; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación";"B,C,D,E. Industrias extractivas; industria manufacturera; suministro de energía eléctrica, gas, vapor y aire acondicionado; suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación";273778;1
273780;(B) B. Industrias extractivas;B. Industrias extractivas;273779;1
273781;(C) C. Industria manufacturera;C. Industria manufacturera;273779;2
273782;(D) D. Suministro de energía eléctrica, gas, vapor y aire acondicionado;D. Suministro de energía eléctrica, gas, vapor y aire acondicionado;273779;3
273783;"(E) E. Suministro de agua; actividades de saneamiento, gestión de residuos y descontaminación";"E. Suministro de agua; actividades de saneamiento, gestión de residuos y descontaminación";273779;4
273785;(S31) Construcción;Construcción;273784;1
273786;(F) F. Construcción;F. Construcción;273785;1
273788;"(S41) G,H,I. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería";"G,H,I. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas; transporte y almacenamiento; hostelería";273787;1
273792;(S42) Información y comunicaciones;Información y comunicaciones;273787;2
273794;(S43) Actividades financieras y de seguros;Actividades financieras y de seguros;273787;3
273796;(S44) Actividades inmobiliarias;Actividades inmobiliarias;273787;4
273798;"(S45) M,N. Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares";"M,N. Actividades profesionales, científicas y técnicas; actividades administrativas y servicios auxiliares";273787;5
273801;"(S46) O,P,Q. Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales";"O,P,Q. Administración pública y defensa; seguridad social obligatoria; educación; actividades sanitarias y de servicios sociales";273787;6
273805;"(S47) R,S,T,U. Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios ";"R,S,T,U. Actividades artísticas, recreativas y de entretenimiento; reparación de artículos de uso doméstico y otros servicios ";273787;7
273789;"(G) G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";"G. Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas";273788;1
273790;(H) H. Transporte y almacenamiento;H. Transporte y almacenamiento;273788;2
273791;(I) I. Hostelería;I. Hostelería;273788;3
273793;(J) J. Información y comunicaciones;J. Información y comunicaciones;273792;1
273795;(K) K. Actividades financieras y de seguros;K. Actividades financieras y de seguros;273794;1
273797;(L) L. Actividades inmobiliarias;L. Actividades inmobiliarias;273796;1
273799;(M) M. Actividades profesionales, científicas y técnicas;M. Actividades profesionales, científicas y técnicas;273798;1
273800;(N) N. Actividades administrativas y servicios auxiliares;N. Actividades administrativas y servicios auxiliares;273798;2
273802;"(O) O. Administración pública y defensa; seguridad social obligatoria";"O. Administración pública y defensa; seguridad social obligatoria";273801;1
273803;(P) P. Educación;P. Educación;273801;2
273804;(Q) Q. Actividades sanitarias y de servicios sociales;Q. Actividades sanitarias y de servicios sociales;273801;3
273806;(R) R. Actividades artísticas, recreativas y de entretenimiento;R. Actividades artísticas, recreativas y de entretenimiento;273805;1
273807;(S) S. Otros servicios;S. Otros servicios;273805;2
273808;(T) T. Actividades de los hogares como empleadores de personal doméstico o como productores de bienes y servicios para uso propio;T. Actividades de los hogares como empleadores de personal doméstico o como productores de bienes y servicios para uso propio;273805;3
513103;(NC0) No consta;No consta;513102;1
513104;(NC) No consta;No consta;513103;1
273826;(VAB00) Valor añadido bruto a precios de mercado;Valor añadido bruto a precios de mercado;273825;2
273827;(VAB0) Valor añadido bruto a precios de mercado;Valor añadido bruto a precios de mercado;273826;1
303755;(VAB) Valor añadido bruto a precios de mercado;Valor añadido bruto a precios de mercado;273827;1
273830;(INSP00) Impuestos netos sobre los productos;Impuestos netos sobre los productos;273829;2
273832;(INSP0) Impuestos netos sobre los productos;Impuestos netos sobre los productos;273830;1
273833;(INSP) Impuestos netos sobre los productos;Impuestos netos sobre los productos;273832;1
273836;(PIB00) Producto interior bruto a precios de mercado;Producto interior bruto a precios de mercado;273835;1
273837;(PIB0) Producto interior bruto a precios de mercado;Producto interior bruto a precios de mercado;273836;1
273838;(PIB) Producto interior bruto a precios de mercado;Producto interior bruto a precios de mercado;273837;1
