,id,label,des,parentId
0,1,() Anual,Anual,null
1,181106,(2070) 2070,2070,null
2,181087,(2069) 2069,2069,null
3,181068,(2068) 2068,2068,null
4,181049,(2067) 2067,2067,null
5,181030,(2066) 2066,2066,null
6,181011,(2065) 2065,2065,null
7,180992,(2064) 2064,2064,null
8,180973,(2063) 2063,2063,null
9,180954,(2062) 2062,2062,null
10,180935,(2061) 2061,2061,null
11,180916,(2060) 2060,2060,null
12,180897,(2059) 2059,2059,null
13,180878,(2058) 2058,2058,null
14,180859,(2057) 2057,2057,null
15,180840,(2056) 2056,2056,null
16,180821,(2055) 2055,2055,null
17,180802,(2054) 2054,2054,null
18,180783,(2053) 2053,2053,null
19,180764,(2052) 2052,2052,null
20,180745,(2051) 2051,2051,null
21,180726,(2050) 2050,2050,null
22,180707,(2049) 2049,2049,null
23,180688,(2048) 2048,2048,null
24,180669,(2047) 2047,2047,null
25,180650,(2046) 2046,2046,null
26,180631,(2045) 2045,2045,null
27,180612,(2044) 2044,2044,null
28,180593,(2043) 2043,2043,null
29,180574,(2042) 2042,2042,null
30,180555,(2041) 2041,2041,null
31,180536,(2040) 2040,2040,null
32,180517,(2039) 2039,2039,null
33,180498,(2038) 2038,2038,null
34,180479,(2037) 2037,2037,null
35,180460,(2036) 2036,2036,null
36,180441,(2035) 2035,2035,null
37,180422,(2034) 2034,2034,null
38,180403,(2033) 2033,2033,null
39,180384,(2032) 2032,2032,null
40,180365,(2031) 2031,2031,null
41,180346,(2030) 2030,2030,null
42,180327,(2029) 2029,2029,null
43,180308,(2028) 2028,2028,null
44,180289,(2027) 2027,2027,null
45,180270,(2026) 2026,2026,null
46,180251,(2025) 2025,2025,null
47,180232,(2024) 2024,2024,null
48,180213,(2023) 2023,2023,null
49,180194,(2022) 2022,2022,null
50,180175,(2021) 2021,2021,null
51,180156,(2020) 2020,2020,null
52,55536,(2019) 2019,2019,null
53,55517,(2018) 2018,2018,null
54,55498,(2017) 2017,2017,null
55,2239,(2016) 2016,2016,null
56,2204,(2015) 2015,2015,null
57,2185,(2014) 2014,2014,null
58,2166,(2013) 2013,2013,null
59,2147,(2012) 2012,2012,null
60,2128,(2011) 2011,2011,null
61,2109,(2010) 2010,2010,null
62,2090,(2009) 2009,2009,null
63,2071,(2008) 2008,2008,null
64,2052,(2007) 2007,2007,null
65,2033,(2006) 2006,2006,null
66,2014,(2005) 2005,2005,null
67,1995,(2004) 2004,2004,null
68,1976,(2003) 2003,2003,null
69,1957,(2002) 2002,2002,null
70,1938,(2001) 2001,2001,null
71,1919,(2000) 2000,2000,null
72,1900,(1999) 1999,1999,null
73,1881,(1998) 1998,1998,null
74,1862,(1997) 1997,1997,null
75,1843,(1996) 1996,1996,null
76,1824,(1995) 1995,1995,null
77,1805,(1994) 1994,1994,null
78,1786,(1993) 1993,1993,null
79,1767,(1992) 1992,1992,null
80,1748,(1991) 1991,1991,null
81,1729,(1990) 1990,1990,null
82,1710,(1989) 1989,1989,null
83,1691,(1988) 1988,1988,null
84,1672,(1987) 1987,1987,null
85,1653,(1986) 1986,1986,null
86,1634,(1985) 1985,1985,null
87,1615,(1984) 1984,1984,null
88,1596,(1983) 1983,1983,null
89,1577,(1982) 1982,1982,null
90,1558,(1981) 1981,1981,null
91,1539,(1980) 1980,1980,null
92,1520,(1979) 1979,1979,null
93,1501,(1978) 1978,1978,null
94,1482,(1977) 1977,1977,null
95,1463,(1976) 1976,1976,null
96,1444,(1975) 1975,1975,null
97,1425,(1974) 1974,1974,null
98,1406,(1973) 1973,1973,null
99,1387,(1972) 1972,1972,null
100,1368,(1971) 1971,1971,null
101,1349,(1970) 1970,1970,null
102,1330,(1969) 1969,1969,null
103,1311,(1968) 1968,1968,null
104,1292,(1967) 1967,1967,null
105,1273,(1966) 1966,1966,null
106,1254,(1965) 1965,1965,null
107,1235,(1964) 1964,1964,null
108,1216,(1963) 1963,1963,null
109,1197,(1962) 1962,1962,null
110,1178,(1961) 1961,1961,null
111,1159,(1960) 1960,1960,null
112,1140,(1959) 1959,1959,null
113,1121,(1958) 1958,1958,null
114,1102,(1957) 1957,1957,null
115,1083,(1956) 1956,1956,null
116,1064,(1955) 1955,1955,null
117,1045,(1954) 1954,1954,null
118,1026,(1953) 1953,1953,null
119,1007,(1952) 1952,1952,null
120,988,(1951) 1951,1951,null
121,969,(1950) 1950,1950,null
122,950,(1949) 1949,1949,null
123,931,(1948) 1948,1948,null
124,912,(1947) 1947,1947,null
125,893,(1946) 1946,1946,null
126,874,(1945) 1945,1945,null
127,855,(1944) 1944,1944,null
128,836,(1943) 1943,1943,null
129,817,(1942) 1942,1942,null
130,798,(1941) 1941,1941,null
131,779,(1940) 1940,1940,null
132,760,(1939) 1939,1939,null
133,741,(1938) 1938,1938,null
134,722,(1937) 1937,1937,null
135,703,(1936) 1936,1936,null
136,684,(1935) 1935,1935,null
137,665,(1934) 1934,1934,null
138,646,(1933) 1933,1933,null
139,627,(1932) 1932,1932,null
140,608,(1931) 1931,1931,null
141,589,(1930) 1930,1930,null
142,570,(1929) 1929,1929,null
143,551,(1928) 1928,1928,null
144,532,(1927) 1927,1927,null
145,513,(1926) 1926,1926,null
146,494,(1925) 1925,1925,null
147,475,(1924) 1924,1924,null
148,456,(1923) 1923,1923,null
149,437,(1922) 1922,1922,null
150,418,(1921) 1921,1921,null
151,399,(1920) 1920,1920,null
152,380,(1919) 1919,1919,null
153,361,(1918) 1918,1918,null
154,342,(1917) 1917,1917,null
155,323,(1916) 1916,1916,null
156,304,(1915) 1915,1915,null
157,285,(1914) 1914,1914,null
158,266,(1913) 1913,1913,null
159,247,(1912) 1912,1912,null
160,228,(1911) 1911,1911,null
161,209,(1910) 1910,1910,null
162,190,(1909) 1909,1909,null
163,171,(1908) 1908,1908,null
164,152,(1907) 1907,1907,null
165,133,(1906) 1906,1906,null
166,114,(1905) 1905,1905,null
167,95,(1904) 1904,1904,null
168,76,(1903) 1903,1903,null
169,57,(1902) 1902,1902,null
170,38,(1901) 1901,1901,null
171,19,(1900) 1900,1900,null
