,id,label,des,parentId
0,21,() España/Andalucía/Provincias Andalucía,España/Andalucía/Provincias Andalucía,null
1,2240,(108) España,España,null
2,3143,(C01) Andalucía,Andalucía,2240
3,2352,(04) Almería,Almería,3143
4,2402,(11) Cádiz,Cádiz,3143
5,2482,(14) Córdoba,Córdoba,3143
6,2713,(18) Granada,Granada,3143
7,2797,(21) Huelva,Huelva,3143
8,2911,(23) Jaén,Jaén,3143
9,3023,(29) Málaga,Málaga,3143
10,3142,(41) Sevilla,Sevilla,3143
11,3144,(C01NC) Provincia sin especificar,Provincia sin especificar,3143
