ID;NAME;DESCRIPTION;PARENTCODE;ORDER
21;() TOTAL/Andalucía/Resto España/Provincias Andalucía/Municipios;TOTAL/Andalucía/Resto España/Provincias Andalucía/Municipios;;0
3676;(00) TOTAL;TOTAL;;1
ES61;(C01) Andalucía;Andalucía;3676;2
3341;(RE00) Resto de España;Resto de España;3676;3
ES611;(04) Almería;Almería;ES61;4
ES612;(11) Cádiz;Cádiz;ES61;5
ES613;(14) Córdoba;Córdoba;ES61;6
ES614;(18) Granada;Granada;ES61;7
ES615;(21) Huelva;Huelva;ES61;8
ES616;(23) Jaén;Jaén;ES61;9
ES617;(29) Málaga;Málaga;ES61;10
ES618;(41) Sevilla;Sevilla;ES61;11
2241;(04001) Abla;Abla;ES611;13
2242;(04002) Abrucena;Abrucena;ES611;14
2243;(04003) Adra;Adra;ES611;15
2244;(04004) Albanchez;Albanchez;ES611;16
2245;(04005) Alboloduy;Alboloduy;ES611;17
2246;(04006) Albox;Albox;ES611;18
2247;(04007) Alcolea;Alcolea;ES611;19
2248;(04008) Alcóntar;Alcóntar;ES611;20
2249;(04009) Alcudia de Monteagud;Alcudia de Monteagud;ES611;21
2250;(04010) Alhabia;Alhabia;ES611;22
2251;(04011) Alhama de Almería;Alhama de Almería;ES611;23
2252;(04012) Alicún;Alicún;ES611;24
2253;(04013) Almería (capital);Almería (capital);ES611;25
2254;(04014) Almócita;Almócita;ES611;26
2255;(04015) Alsodux;Alsodux;ES611;27
2256;(04016) Antas;Antas;ES611;28
2257;(04017) Arboleas;Arboleas;ES611;29
2258;(04018) Armuña de Almanzora;Armuña de Almanzora;ES611;30
2259;(04019) Bacares;Bacares;ES611;31
9563;(04904) Balanegra;Balanegra;ES611;32
2260;(04020) Bayárcal;Bayárcal;ES611;33
2261;(04021) Bayarque;Bayarque;ES611;34
2262;(04022) Bédar;Bédar;ES611;35
2263;(04023) Beires;Beires;ES611;36
2264;(04024) Benahadux;Benahadux;ES611;37
2265;(04025) Benínar;Benínar;ES611;38
2266;(04026) Benitagla;Benitagla;ES611;39
2267;(04027) Benizalón;Benizalón;ES611;40
2268;(04028) Bentarique;Bentarique;ES611;41
2269;(04029) Berja;Berja;ES611;42
2270;(04030) Canjáyar;Canjáyar;ES611;43
2271;(04031) Cantoria;Cantoria;ES611;44
2272;(04032) Carboneras;Carboneras;ES611;45
2273;(04033) Castro de Filabres;Castro de Filabres;ES611;46
2277;(04036) Chercos;Chercos;ES611;47
2278;(04037) Chirivel;Chirivel;ES611;48
2274;(04034) Cóbdar;Cóbdar;ES611;49
2276;(04035) Cuevas de Vera;Cuevas de Vera;ES611;50
2279;(04038) Dalías;Dalías;ES611;52
2280;(04039) Darrical;Darrical;ES611;53
2281;(04040) Doña María Ocaña;Doña María Ocaña;ES611;54
2347;(04902) Ejido (El);Ejido (El);ES611;55
2282;(04041) Enix;Enix;ES611;56
2283;(04042) Escúllar;Escúllar;ES611;57
2284;(04043) Felix;Felix;ES611;58
2285;(04044) Fines;Fines;ES611;59
2286;(04045) Fiñana;Fiñana;ES611;60
2287;(04046) Fondón;Fondón;ES611;61
2288;(04047) Gádor;Gádor;ES611;62
2289;(04048) Gallardos (Los);Gallardos (Los);ES611;63
2290;(04049) Garrucha;Garrucha;ES611;64
2291;(04050) Gérgal;Gérgal;ES611;65
2292;(04051) Huécija;Huécija;ES611;66
2293;(04052) Huércal de Almería;Huércal de Almería;ES611;67
2294;(04053) Huércal-Overa;Huércal-Overa;ES611;68
2295;(04054) Íllar;Íllar;ES611;69
2296;(04055) Instinción;Instinción;ES611;70
2297;(04056) Laroya;Laroya;ES611;71
2298;(04057) Láujar de Andarax;Láujar de Andarax;ES611;72
2299;(04058) Líjar;Líjar;ES611;73
2300;(04059) Lubrín;Lubrín;ES611;74
2301;(04060) Lucainena de las Torres;Lucainena de las Torres;ES611;75
2302;(04061) Lúcar;Lúcar;ES611;76
2303;(04062) Macael;Macael;ES611;77
2304;(04063) María;María;ES611;78
2305;(04064) Mojácar;Mojácar;ES611;79
2348;(04903) Mojonera (La);Mojonera (La);ES611;80
2306;(04065) Nacimiento;Nacimiento;ES611;81
2307;(04066) Níjar;Níjar;ES611;82
2345;(04504) Ocaña;Ocaña;ES611;83
2308;(04067) Ohanes;Ohanes;ES611;84
2309;(04068) Olula de Castro;Olula de Castro;ES611;85
2310;(04069) Olula del Río;Olula del Río;ES611;86
2311;(04070) Oria;Oria;ES611;87
2312;(04071) Padules;Padules;ES611;88
2313;(04072) Partaloa;Partaloa;ES611;89
2314;(04073) Paterna del Río;Paterna del Río;ES611;90
2315;(04074) Pechina;Pechina;ES611;91
2316;(04075) Pulpí;Pulpí;ES611;92
2317;(04076) Purchena;Purchena;ES611;93
2318;(04077) Rágol;Rágol;ES611;94
2319;(04078) Rioja;Rioja;ES611;95
2320;(04079) Roquetas de Mar;Roquetas de Mar;ES611;96
2321;(04080) Santa Cruz de Marchena;Santa Cruz de Marchena;ES611;97
2322;(04081) Santa Fe de Mondújar;Santa Fe de Mondújar;ES611;98
2323;(04082) Senés;Senés;ES611;99
2324;(04083) Serón;Serón;ES611;100
2325;(04084) Sierro;Sierro;ES611;101
2326;(04085) Somontín;Somontín;ES611;102
2327;(04086) Sorbas;Sorbas;ES611;103
2328;(04087) Suflí;Suflí;ES611;104
2329;(04088) Tabernas;Tabernas;ES611;105
2330;(04089) Taberno;Taberno;ES611;106
2331;(04090) Tahal;Tahal;ES611;107
2332;(04091) Terque;Terque;ES611;108
2333;(04092) Tíjola;Tíjola;ES611;109
2346;(04901) Tres Villas (Las);Tres Villas (Las);ES611;110
2334;(04093) Turre;Turre;ES611;111
2335;(04094) Turrillas;Turrillas;ES611;112
2336;(04095) Uleila del Campo;Uleila del Campo;ES611;113
2337;(04096) Urrácal;Urrácal;ES611;114
2338;(04097) Velefique;Velefique;ES611;115
2339;(04098) Vélez-Blanco;Vélez-Blanco;ES611;116
2340;(04099) Vélez-Rubio;Vélez-Rubio;ES611;117
2341;(04100) Vera;Vera;ES611;118
2342;(04101) Viator;Viator;ES611;119
2343;(04102) Vícar;Vícar;ES611;120
2344;(04103) Zurgena;Zurgena;ES611;121
2349;(04NC) Municipio de Almería sin especificar;Municipio de Almería sin especificar;ES611;122
2353;(11001) Alcalá de los Gazules;Alcalá de los Gazules;ES612;123
2354;(11002) Alcalá del Valle;Alcalá del Valle;ES612;124
2355;(11003) Algar;Algar;ES612;125
2356;(11004) Algeciras;Algeciras;ES612;126
2357;(11005) Algodonales;Algodonales;ES612;127
2358;(11006) Arcos de la Frontera;Arcos de la Frontera;ES612;128
2359;(11007) Barbate de Franco;Barbate de Franco;ES612;129
2361;(11008) Barrios (Los);Barrios (Los);ES612;131
2397;(11901) Benalup;Benalup;ES612;132
2362;(11009) Benaocaz;Benaocaz;ES612;134
2363;(11010) Bornos;Bornos;ES612;135
2364;(11011) Bosque (El);Bosque (El);ES612;136
2365;(11012) Cádiz (capital);Cádiz (capital);ES612;137
2366;(11013) Castellar de la Frontera;Castellar de la Frontera;ES612;138
2368;(11015) Chiclana de la Frontera;Chiclana de la Frontera;ES612;139
2369;(11016) Chipiona;Chipiona;ES612;140
2367;(11014) Conil de la Frontera;Conil de la Frontera;ES612;141
2370;(11017) Espera;Espera;ES612;142
2371;(11018) Gastor (El);Gastor (El);ES612;143
2372;(11019) Grazalema;Grazalema;ES612;144
2373;(11020) Jerez de la Frontera;Jerez de la Frontera;ES612;145
2374;(11021) Jimena de la Frontera;Jimena de la Frontera;ES612;146
2375;(11022) Línea de la Concepción (La);Línea de la Concepción (La);ES612;147
2376;(11023) Medina Sidonia;Medina Sidonia;ES612;148
2377;(11024) Olvera;Olvera;ES612;149
2378;(11025) Paterna de Rivera;Paterna de Rivera;ES612;150
2379;(11026) Prado del Rey;Prado del Rey;ES612;151
2380;(11027) Puerto de Santa María (El);Puerto de Santa María (El);ES612;152
2381;(11028) Puerto Real;Puerto Real;ES612;153
2382;(11029) Puerto Serrano;Puerto Serrano;ES612;154
2383;(11030) Rota;Rota;ES612;155
2384;(11031) San Fernando;San Fernando;ES612;156
2398;(11902) San José del Valle;San José del Valle;ES612;157
2385;(11032) Sanlúcar de Barrameda;Sanlúcar de Barrameda;ES612;158
280346;(11903) San Martín del Tesorillo;San Martín del Tesorillo;ES612;159
2386;(11033) San Roque;San Roque;ES612;160
2387;(11034) Setenil de las Bodegas;Setenil de las Bodegas;ES612;161
2388;(11035) Tarifa;Tarifa;ES612;162
2389;(11036) Torre Alháquime;Torre Alháquime;ES612;163
2390;(11037) Trebujena;Trebujena;ES612;164
2391;(11038) Ubrique;Ubrique;ES612;165
2392;(11039) Vejer de la Frontera;Vejer de la Frontera;ES612;166
2393;(11040) Villaluenga del Rosario;Villaluenga del Rosario;ES612;167
2394;(11041) Villamartín;Villamartín;ES612;168
2395;(11042) Zahara;Zahara;ES612;169
2399;(11NC) Municipio de Cádiz sin especificar;Municipio de Cádiz sin especificar;ES612;170
2403;(14001) Adamuz;Adamuz;ES613;170
2404;(14002) Aguilar de la Frontera;Aguilar de la Frontera;ES613;171
2405;(14003) Alcaracejos;Alcaracejos;ES613;172
2406;(14004) Almedinilla;Almedinilla;ES613;173
2407;(14005) Almodóvar del Río;Almodóvar del Río;ES613;174
2408;(14006) Añora;Añora;ES613;175
2409;(14007) Baena;Baena;ES613;176
2410;(14008) Belalcázar;Belalcázar;ES613;177
2411;(14009) Belmez;Belmez;ES613;178
2412;(14010) Benamejí;Benamejí;ES613;179
2413;(14011) Blázquez (Los);Blázquez (Los);ES613;180
2414;(14012) Bujalance;Bujalance;ES613;181
2415;(14013) Cabra;Cabra;ES613;182
2416;(14014) Cañete de las Torres;Cañete de las Torres;ES613;183
2417;(14015) Carcabuey;Carcabuey;ES613;184
2418;(14016) Cardeña;Cardeña;ES613;185
2419;(14017) Carlota (La);Carlota (La);ES613;186
2420;(14018) Carpio (El);Carpio (El);ES613;187
2421;(14019) Castro del Río;Castro del Río;ES613;188
2422;(14020) Conquista;Conquista;ES613;189
2423;(14021) Córdoba (capital);Córdoba (capital);ES613;190
2424;(14022) Doña Mencía;Doña Mencía;ES613;191
2425;(14023) Dos Torres;Dos Torres;ES613;192
2426;(14024) Encinas Reales;Encinas Reales;ES613;193
2427;(14025) Espejo;Espejo;ES613;194
2428;(14026) Espiel;Espiel;ES613;195
2429;(14027) Fernán-Núñez;Fernán-Núñez;ES613;196
280347;(14901) Fuente Carreteros;Fuente Carreteros;ES613;197
2430;(14028) Fuente la Lancha;Fuente la Lancha;ES613;198
2431;(14029) Fuente Obejuna;Fuente Obejuna;ES613;199
2432;(14030) Fuente Palmera;Fuente Palmera;ES613;200
2433;(14031) Fuente-Tójar;Fuente-Tójar;ES613;201
2434;(14032) Granjuela (La);Granjuela (La);ES613;202
