D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
40123;55698;2020;3143;Viajeros;930067.797321636;A
40123;55698;2020;2352;Viajeros;91193.873556689;A
40123;55698;2020;2402;Viajeros;84085.767440761;A
40123;55698;2020;2482;Viajeros;22343.11349339;A
40123;55698;2020;2713;Viajeros;112380.831758885;A
40123;55698;2020;2797;Viajeros;57604.418781114;A
40123;55698;2020;2911;Viajeros;40267.859685749;A
40123;55698;2020;3023;Viajeros;395301.304344756;A
40123;55698;2020;3142;Viajeros;126890.628260292;A
40123;55698;2019;3143;Viajeros;2678774.506997564;A
40123;55698;2019;2352;Viajeros;204374.391329095;A
40123;55698;2019;2402;Viajeros;171287.148413614;A
40123;55698;2019;2482;Viajeros;55354.686709142;A
40123;55698;2019;2713;Viajeros;279449.654807855;A
40123;55698;2019;2797;Viajeros;97008.568110513;A
40123;55698;2019;2911;Viajeros;67575.888298483;A
40123;55698;2019;3023;Viajeros;1350138.776944469;A
40123;55698;2019;3142;Viajeros;453585.392384393;A
40123;55698;2018;3143;Viajeros;2463634.422599692;A
40123;55698;2018;2352;Viajeros;180236.814458268;A
40123;55698;2018;2402;Viajeros;163842.363886458;A
40123;55698;2018;2482;Viajeros;49681.698238556;A
40123;55698;2018;2713;Viajeros;243951.99143174;A
40123;55698;2018;2797;Viajeros;96417.092824213;A
40123;55698;2018;2911;Viajeros;64500.890730637;A
40123;55698;2018;3023;Viajeros;1223039.64239058;A
40123;55698;2018;3142;Viajeros;441963.92863924;A
40123;55698;2017;3143;Viajeros;2412102.496178468;A
40123;55698;2017;2352;Viajeros;191527.197841568;A
40123;55698;2017;2402;Viajeros;145682.283767538;A
40123;55698;2017;2482;Viajeros;53219.031901845;A
40123;55698;2017;2713;Viajeros;174337.06708319;A
40123;55698;2017;2797;Viajeros;87182.722961854;A
40123;55698;2017;2911;Viajeros;60608.163847603;A
40123;55698;2017;3023;Viajeros;1304498.3207938;A
40123;55698;2017;3142;Viajeros;395047.70798107;A
40123;55698;2016;3143;Viajeros;2069123.534211478;A
40123;55698;2016;2352;Viajeros;155801.699517597;A
40123;55698;2016;2402;Viajeros;121780.442851828;A
40123;55698;2016;2482;Viajeros;44798.904618933;A
40123;55698;2016;2713;Viajeros;224278.61949212;A
40123;55698;2016;2797;Viajeros;70219.535138845;A
40123;55698;2016;2911;Viajeros;57145.302772535;A
40123;55698;2016;3023;Viajeros;1084574.86476315;A
40123;55698;2016;3142;Viajeros;310524.16505647;A
40123;55698;2015;3143;Viajeros;1825127.547829718;A
40123;55698;2015;2352;Viajeros;150229.622614769;A
40123;55698;2015;2402;Viajeros;114421.230568495;A
40123;55698;2015;2482;Viajeros;32507.705757518;A
40123;55698;2015;2713;Viajeros;197616.52281978;A
40123;55698;2015;2797;Viajeros;75676.695509904;A
40123;55698;2015;2911;Viajeros;45949.096226142;A
40123;55698;2015;3023;Viajeros;971952.86568515;A
40123;55698;2015;3142;Viajeros;236773.80864796;A
40123;55698;2014;3143;Viajeros;1609259.992651685;A
40123;55698;2014;2352;Viajeros;127859.939879253;A
40123;55698;2014;2402;Viajeros;110307.447948369;A
40123;55698;2014;2482;Viajeros;27758.788236645;A
40123;55698;2014;2713;Viajeros;153523.522498653;A
40123;55698;2014;2797;Viajeros;72602.995665251;A
40123;55698;2014;2911;Viajeros;39878.032487904;A
40123;55698;2014;3023;Viajeros;858621.82862341;A
40123;55698;2014;3142;Viajeros;218707.4373122;A
40123;55565;2020;3143;Viajeros;657996.718614773;A
40123;55565;2020;2352;Viajeros;82691.666529249;A
40123;55565;2020;2402;Viajeros;74957.775195725;A
40123;55565;2020;2482;Viajeros;17550.747628007;A
40123;55565;2020;2713;Viajeros;90194.978762174;A
40123;55565;2020;2797;Viajeros;54408.692005017;A
40123;55565;2020;2911;Viajeros;39398.404885012;A
40123;55565;2020;3023;Viajeros;222764.230276987;A
