D_ESTADO_DATO_0;D_TERRITORIO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;3143;55564;2014;Viajeros;744177.990390521;A
40123;3143;55564;2015;Viajeros;846973.822334957;A
40123;3143;55564;2016;Viajeros;943150.607579163;A
40123;3143;55564;2017;Viajeros;1083480.457462017;A
40123;3143;55564;2018;Viajeros;1112291.175576792;A
40123;3143;55564;2019;Viajeros;1259806.81745749;A
40123;3143;55564;2020;Viajeros;657996.718614773;A
40123;3143;55543;2014;Viajeros;393703.7199937;A
40123;3143;55543;2015;Viajeros;440660.125852;A
40123;3143;55543;2016;Viajeros;483741.890915;A
40123;3143;55543;2017;Viajeros;559499.7507619;A
40123;3143;55543;2018;Viajeros;558351.473064;A
40123;3143;55543;2019;Viajeros;625961.704948635;A
40123;3143;55543;2020;Viajeros;373177.612511087;A
40123;3143;55563;2014;Viajeros;350474.270396821;A
40123;3143;55563;2015;Viajeros;406313.696482957;A
40123;3143;55563;2016;Viajeros;459408.716664163;A
40123;3143;55563;2017;Viajeros;523980.706700117;A
40123;3143;55563;2018;Viajeros;553939.702512792;A
40123;3143;55563;2019;Viajeros;633845.112508855;A
40123;3143;55563;2020;Viajeros;284819.106103686;A
40123;3143;55545;2014;Viajeros;7463.455067818;A
40123;3143;55545;2015;Viajeros;8750.96286886;A
40123;3143;55545;2016;Viajeros;9774.43642526;A
40123;3143;55545;2017;Viajeros;11042.67135914;A
40123;3143;55545;2018;Viajeros;12035.57552276;A
40123;3143;55545;2019;Viajeros;13928.758137989;A
40123;3143;55545;2020;Viajeros;3890.719335495;A
40123;3143;55546;2014;Viajeros;4220.271876773;A
40123;3143;55546;2015;Viajeros;6002.889729397;A
40123;3143;55546;2016;Viajeros;10268.264067603;A
40123;3143;55546;2017;Viajeros;7091.9055358;A
40123;3143;55546;2018;Viajeros;8380.37063034;A
40123;3143;55546;2019;Viajeros;9923.798902977;A
40123;3143;55546;2020;Viajeros;2727.479720943;A
40123;3143;55547;2014;Viajeros;6689.607392793;A
40123;3143;55547;2015;Viajeros;7147.71714737;A
40123;3143;55547;2016;Viajeros;8390.726806863;A
40123;3143;55547;2017;Viajeros;10138.739391531;A
40123;3143;55547;2018;Viajeros;13123.04197535;A
40123;3143;55547;2019;Viajeros;15511.331224096;A
40123;3143;55547;2020;Viajeros;4195.664514179;A
40123;3143;55548;2014;Viajeros;4630.055918116;A
40123;3143;55548;2015;Viajeros;5369.24599711;A
40123;3143;55548;2016;Viajeros;5773.83361007;A
40123;3143;55548;2017;Viajeros;5875.450649713;A
40123;3143;55548;2018;Viajeros;6822.44197681;A
40123;3143;55548;2019;Viajeros;7588.888713654;A
40123;3143;55548;2020;Viajeros;2425.679471465;A
40123;3143;55549;2014;Viajeros;20990.01621496;A
40123;3143;55549;2015;Viajeros;20663.30083259;A
40123;3143;55549;2016;Viajeros;24187.12931143;A
40123;3143;55549;2017;Viajeros;27531.63422487;A
40123;3143;55549;2018;Viajeros;30265.08440117;A
40123;3143;55549;2019;Viajeros;33343.22225837;A
40123;3143;55549;2020;Viajeros;13446.411993788;A
40123;3143;55550;2014;Viajeros;21324.06609337;A
40123;3143;55550;2015;Viajeros;23556.6242765;A
40123;3143;55550;2016;Viajeros;26760.05370731;A
40123;3143;55550;2017;Viajeros;33567.99287096;A
40123;3143;55550;2018;Viajeros;35198.6507654;A
40123;3143;55550;2019;Viajeros;39428.208914749;A
40123;3143;55550;2020;Viajeros;17250.255714247;A
40123;3143;55551;2014;Viajeros;29585.79641158;A
40123;3143;55551;2015;Viajeros;36395.764653;A
40123;3143;55551;2016;Viajeros;43056.9548507;A
40123;3143;55551;2017;Viajeros;44204.68434811;A
40123;3143;55551;2018;Viajeros;52379.8467183;A
40123;3143;55551;2019;Viajeros;59894.256193605;A
40123;3143;55551;2020;Viajeros;22138.666338165;A
40123;3143;55552;2014;Viajeros;32296.27848521;A
40123;3143;55552;2015;Viajeros;39319.34358866;A
40123;3143;55552;2016;Viajeros;43629.28520924;A
40123;3143;55552;2017;Viajeros;49629.07262001;A
40123;3143;55552;2018;Viajeros;54759.02634885;A
40123;3143;55552;2019;Viajeros;60189.649937062;A
40123;3143;55552;2020;Viajeros;25271.270803498;A
40123;3143;55553;2014;Viajeros;25346.75000558;A
40123;3143;55553;2015;Viajeros;31670.98420211;A
40123;3143;55553;2016;Viajeros;34532.74776281;A
40123;3143;55553;2017;Viajeros;39142.59254789;A
40123;3143;55553;2018;Viajeros;42891.43030891;A
40123;3143;55553;2019;Viajeros;44748.073855229;A
40123;3143;55553;2020;Viajeros;21714.57249498;A
40123;3143;55554;2014;Viajeros;9344.702567642;A
40123;3143;55554;2015;Viajeros;9899.70180242;A
40123;3143;55554;2016;Viajeros;14278.54344628;A
40123;3143;55554;2017;Viajeros;15410.47558764;A
40123;3143;55554;2018;Viajeros;15051.26987451;A
40123;3143;55554;2019;Viajeros;17877.200588677;A
40123;3143;55554;2020;Viajeros;13066.233013772;A
40123;3143;55555;2014;Viajeros;134536.1457512;A
40123;3143;55555;2015;Viajeros;148318.4859854;A
40123;3143;55555;2016;Viajeros;162847.3894222;A
40123;3143;55555;2017;Viajeros;196454.5177243;A
40123;3143;55555;2018;Viajeros;191327.6331084;A
40123;3143;55555;2019;Viajeros;228373.134096806;A
40123;3143;55555;2020;Viajeros;108287.544956056;A
40123;3143;55556;2014;Viajeros;21332.49506113;A
40123;3143;55556;2015;Viajeros;27248.22866087;A
40123;3143;55556;2016;Viajeros;29018.53807335;A
40123;3143;55556;2017;Viajeros;36604.97819859;A
40123;3143;55556;2018;Viajeros;38608.34800588;A
40123;3143;55556;2019;Viajeros;42903.900912385;A
40123;3143;55556;2020;Viajeros;20374.956253214;A
40123;3143;55557;2014;Viajeros;4103.619373568;A
40123;3143;55557;2015;Viajeros;4640.577487753;A
40123;3143;55557;2016;Viajeros;5841.00607329;A
40123;3143;55557;2017;Viajeros;5393.04665856;A
40123;3143;55557;2018;Viajeros;6208.01762548;A
40123;3143;55557;2019;Viajeros;6610.245245578;A
40123;3143;55557;2020;Viajeros;2725.956571693;A
40123;3143;55558;2014;Viajeros;14707.38165367;A
40123;3143;55558;2015;Viajeros;19541.25552168;A
40123;3143;55558;2016;Viajeros;21721.17717513;A
40123;3143;55558;2017;Viajeros;22081.88470978;A
40123;3143;55558;2018;Viajeros;25002.61498703;A
40123;3143;55558;2019;Viajeros;29619.330663475;A
40123;3143;55558;2020;Viajeros;16275.724972779;A
40123;3143;55559;2014;Viajeros;2431.621279812;A
40123;3143;55559;2015;Viajeros;3030.789289053;A
40123;3143;55559;2016;Viajeros;3223.023279368;A
40123;3143;55559;2017;Viajeros;2919.232573299;A
40123;3143;55559;2018;Viajeros;3223.418105157;A
40123;3143;55559;2019;Viajeros;3692.491300631;A
40123;3143;55559;2020;Viajeros;1514.286514806;A
40123;3143;55544;2014;Viajeros;6933.102503222;A
40123;3143;55544;2015;Viajeros;8906.82466398;A
40123;3143;55544;2016;Viajeros;8607.24372026;A
40123;3143;55544;2017;Viajeros;9419.92397425;A
40123;3143;55544;2018;Viajeros;10434.21006121;A
40123;3143;55544;2019;Viajeros;11139.959330981;A
40123;3143;55544;2020;Viajeros;5471.292381361;A
40123;3143;55561;2014;Viajeros;2849.972866421;A
40123;3143;55561;2015;Viajeros;3715.387015206;A
40123;3143;55561;2016;Viajeros;5206.48104321;A
40123;3143;55561;2017;Viajeros;4531.224474604;A
40123;3143;55561;2018;Viajeros;5234.726798005;A
40123;3143;55561;2019;Viajeros;5590.528688656;A
40123;3143;55561;2020;Viajeros;2396.660735276;A
40123;3143;55562;2014;Viajeros;1688.931873956;A
40123;3143;55562;2015;Viajeros;2135.612760998;A
40123;3143;55562;2016;Viajeros;2291.882679789;A
40123;3143;55562;2017;Viajeros;2940.67925107;A
40123;3143;55562;2018;Viajeros;2993.99529923;A
40123;3143;55562;2019;Viajeros;3482.133543935;A
40123;3143;55562;2020;Viajeros;1645.730317969;A
40123;2352;55564;2014;Viajeros;107659.332069012;A
40123;2352;55564;2015;Viajeros;127023.061324258;A
40123;2352;55564;2016;Viajeros;130458.94968484;A
40123;2352;55564;2017;Viajeros;158325.30469054;A
40123;2352;55564;2018;Viajeros;149325.303027549;A
40123;2352;55564;2019;Viajeros;171976.706573538;A
40123;2352;55564;2020;Viajeros;82691.666529249;A
40123;2352;55543;2014;Viajeros;42654.833008;A
40123;2352;55543;2015;Viajeros;47161.452089;A
40123;2352;55543;2016;Viajeros;51620.618002;A
40123;2352;55543;2017;Viajeros;65256.724402;A
40123;2352;55543;2018;Viajeros;58204.459059;A
40123;2352;55543;2019;Viajeros;68768.629054217;A
40123;2352;55543;2020;Viajeros;37321.186847729;A
40123;2352;55563;2014;Viajeros;65004.499061012;A
40123;2352;55563;2015;Viajeros;79861.609235258;A
40123;2352;55563;2016;Viajeros;78838.33168284;A
40123;2352;55563;2017;Viajeros;93068.58028854;A
40123;2352;55563;2018;Viajeros;91120.843968549;A
40123;2352;55563;2019;Viajeros;103208.077519321;A
40123;2352;55563;2020;Viajeros;45370.47968152;A
40123;2352;55545;2014;Viajeros;1896.1134187;A
40123;2352;55545;2015;Viajeros;2134.3095036;A
40123;2352;55545;2016;Viajeros;2333.6676503;A
40123;2352;55545;2017;Viajeros;2304.9761625;A
40123;2352;55545;2018;Viajeros;2631.2461141;A
40123;2352;55545;2019;Viajeros;2048.874745299;A
40123;2352;55545;2020;Viajeros;576.937576258;A
40123;2352;55546;2014;Viajeros;22.433467742;A
40123;2352;55546;2015;Viajeros;96.833333333;A
40123;2352;55546;2016;Viajeros;2107.3548155;A
40123;2352;55546;2017;Viajeros;1337.3856994;A
40123;2352;55546;2018;Viajeros;1565.76085;A
40123;2352;55546;2019;Viajeros;1103.168164559;A
40123;2352;55546;2020;Viajeros;75.032590126;A
40123;2352;55547;2014;Viajeros;164.86923423;A
40123;2352;55547;2015;Viajeros;156.42050035;A
40123;2352;55547;2016;Viajeros;350.86847052;A
40123;2352;55547;2017;Viajeros;330.0460138;A
40123;2352;55547;2018;Viajeros;367.42121409;A
40123;2352;55547;2019;Viajeros;452.660816462;A
40123;2352;55547;2020;Viajeros;279.865316921;A
40123;2352;55548;2014;Viajeros;187.25;A
40123;2352;55548;2015;Viajeros;208.3552608;A
40123;2352;55548;2016;Viajeros;293.53644765;A
40123;2352;55548;2017;Viajeros;477.63041078;A
40123;2352;55548;2018;Viajeros;688.2938564;A
40123;2352;55548;2019;Viajeros;595.533327625;A
40123;2352;55548;2020;Viajeros;278.780564476;A
40123;2352;55549;2014;Viajeros;3345.9265996;A
40123;2352;55549;2015;Viajeros;2402.0341666;A
40123;2352;55549;2016;Viajeros;3165.8532279;A
40123;2352;55549;2017;Viajeros;4332.058343;A
40123;2352;55549;2018;Viajeros;4794.4148106;A
40123;2352;55549;2019;Viajeros;4954.676243945;A
40123;2352;55549;2020;Viajeros;2032.352367826;A
40123;2352;55550;2014;Viajeros;4437.7344351;A
40123;2352;55550;2015;Viajeros;5416.904849;A
40123;2352;55550;2016;Viajeros;4528.8589022;A
40123;2352;55550;2017;Viajeros;6727.299425;A
40123;2352;55550;2018;Viajeros;7153.4855558;A
40123;2352;55550;2019;Viajeros;9282.055813067;A
40123;2352;55550;2020;Viajeros;3268.700933588;A
40123;2352;55551;2014;Viajeros;4072.8103757;A
40123;2352;55551;2015;Viajeros;5705.0928258;A
40123;2352;55551;2016;Viajeros;7838.9000877;A
40123;2352;55551;2017;Viajeros;7006.1680244;A
40123;2352;55551;2018;Viajeros;8110.6372448;A
40123;2352;55551;2019;Viajeros;8421.602107268;A
40123;2352;55551;2020;Viajeros;3285.157199412;A
40123;2352;55552;2014;Viajeros;8266.4943487;A
40123;2352;55552;2015;Viajeros;10594.929032;A
40123;2352;55552;2016;Viajeros;11492.00719;A
40123;2352;55552;2017;Viajeros;14040.643329;A
40123;2352;55552;2018;Viajeros;12862.206449;A
40123;2352;55552;2019;Viajeros;14140.466189131;A
40123;2352;55552;2020;Viajeros;5623.731210884;A
40123;2352;55553;2014;Viajeros;439.75434974;A
40123;2352;55553;2015;Viajeros;817.56172418;A
40123;2352;55553;2016;Viajeros;1957.8855507;A
40123;2352;55553;2017;Viajeros;1317.8832502;A
40123;2352;55553;2018;Viajeros;1478.4813096;A
40123;2352;55553;2019;Viajeros;1831.01253815;A
40123;2352;55553;2020;Viajeros;893.157682717;A
40123;2352;55554;2014;Viajeros;610.611709;A
40123;2352;55554;2015;Viajeros;703.69551741;A
