D_ESTADO_DATO_0;D_RESITUR_0;D_TEMPORAL_0;D_PARQUES_TURISMO_0;INDICATOR;OBS_VALUE;FREQ
40123;55698;2014;55537;Viajeros;124015.768307953;A
40123;55698;2014;55538;Viajeros;100459.691140729;A
40123;55698;2014;55539;Viajeros;35617.595991531;A
40123;55698;2014;55540;Viajeros;70885.145665374;A
40123;55698;2014;55541;Viajeros;818456.95189567;A
40123;55698;2015;55537;Viajeros;147719.884062799;A
40123;55698;2015;55538;Viajeros;108076.680682792;A
40123;55698;2015;55539;Viajeros;33737.147496372;A
40123;55698;2015;55540;Viajeros;74063.791507864;A
40123;55698;2015;55541;Viajeros;910012.35540001;A
40123;55698;2016;55537;Viajeros;155346.215164127;A
40123;55698;2016;55538;Viajeros;110687.770295738;A
40123;55698;2016;55539;Viajeros;36354.652259975;A
40123;55698;2016;55540;Viajeros;67111.076283791;A
40123;55698;2016;55541;Viajeros;1023225.58164875;A
40123;55698;2017;55537;Viajeros;190865.013543258;A
40123;55698;2017;55538;Viajeros;132420.879319668;A
40123;55698;2017;55539;Viajeros;33185.141902936;A
40123;55698;2017;55540;Viajeros;84832.423052987;A
40123;55698;2017;55541;Viajeros;1212044.00808474;A
40123;55698;2018;55537;Viajeros;178960.698491228;A
40123;55698;2018;55538;Viajeros;138987.851447056;A
40123;55698;2018;55539;Viajeros;32467.672727577;A
40123;55698;2018;55540;Viajeros;93899.62001019;A
40123;55698;2018;55541;Viajeros;1107445.32719988;A
40123;55698;2019;55537;Viajeros;204374.391329095;A
40123;55698;2019;55538;Viajeros;138268.131051942;A
40123;55698;2019;55539;Viajeros;29421.956597223;A
40123;55698;2019;55540;Viajeros;94012.201146095;A
40123;55698;2019;55541;Viajeros;1238608.948246756;A
40123;55698;2020;55537;Viajeros;88696.368794784;A
40123;55698;2020;55538;Viajeros;71849.064364533;A
40123;55698;2020;55539;Viajeros;12469.034272081;A
40123;55698;2020;55540;Viajeros;55819.92886582;A
40123;55698;2020;55541;Viajeros;351468.624442757;A
40123;55565;2014;55537;Viajeros;103914.649240722;A
40123;55565;2014;55538;Viajeros;73813.98741083;A
40123;55565;2014;55539;Viajeros;30196.291372853;A
40123;55565;2014;55540;Viajeros;65628.456723517;A
40123;55565;2014;55541;Viajeros;206778.85827354;A
40123;55565;2015;55537;Viajeros;124575.926768648;A
40123;55565;2015;55538;Viajeros;77052.73594256;A
40123;55565;2015;55539;Viajeros;27361.410788856;A
40123;55565;2015;55540;Viajeros;68789.838550151;A
40123;55565;2015;55541;Viajeros;240349.54807431;A
40123;55565;2016;55537;Viajeros;130036.74363884;A
40123;55565;2016;55538;Viajeros;80782.695716802;A
40123;55565;2016;55539;Viajeros;29502.717634294;A
40123;55565;2016;55540;Viajeros;60268.071878147;A
40123;55565;2016;55541;Viajeros;263816.26133366;A
40123;55565;2017;55537;Viajeros;157877.78311894;A
40123;55565;2017;55538;Viajeros;89358.79745852;A
40123;55565;2017;55539;Viajeros;26147.335776574;A
40123;55565;2017;55540;Viajeros;78064.52931908;A
40123;55565;2017;55541;Viajeros;326967.10275638;A
40123;55565;2018;55537;Viajeros;148221.957233649;A
40123;55565;2018;55538;Viajeros;92631.182557778;A
40123;55565;2018;55539;Viajeros;26694.046970057;A
40123;55565;2018;55540;Viajeros;82367.607707232;A
40123;55565;2018;55541;Viajeros;279782.30744241;A
40123;55565;2019;55537;Viajeros;171976.706573538;A
40123;55565;2019;55538;Viajeros;97902.556445682;A
40123;55565;2019;55539;Viajeros;24954.846875001;A
40123;55565;2019;55540;Viajeros;83368.964663408;A
40123;55565;2019;55541;Viajeros;370897.690537318;A
40123;55565;2020;55537;Viajeros;80358.125656233;A
