D_ESTADO_DATO_0;D_PUNTOS_TURISTICOS_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;70666;55698;2020;Viajeros;4847.906464624;A
40123;70666;55698;2019;Viajeros;5828.477566153;A
40123;70666;55698;2018;Viajeros;5136.013593768;A
40123;70666;55698;2017;Viajeros;6474.206757359;A
40123;70666;55565;2020;Viajeros;4396.284286943;A
40123;70666;55565;2019;Viajeros;4495.337757833;A
40123;70666;55565;2018;Viajeros;4558.476061983;A
40123;70666;55565;2017;Viajeros;5866.570640399;A
40123;70666;55697;2020;Viajeros;451.622177681;A
40123;70666;55697;2019;Viajeros;1333.13980832;A
40123;70666;55697;2018;Viajeros;577.537531785;A
40123;70666;55697;2017;Viajeros;607.63611696;A
40123;70666;55577;2020;Viajeros;18.448369565;A
40123;70666;55577;2019;Viajeros;223.978344946;A
40123;70666;55577;2018;Viajeros;40.164128352;A
40123;70666;55577;2017;Viajeros;58.164912281;A
40123;70666;516705;2019;Viajeros;10.377568493;A
40123;70666;516705;2017;Viajeros;17.214736842;A
40123;70666;516706;2019;Viajeros;50.998715753;A
40123;70666;516706;2018;Viajeros;-;A
40123;70666;516706;2017;Viajeros;35.396023392;A
40123;70666;55568;2020;Viajeros;206.04678151;A
40123;70666;55568;2019;Viajeros;430.557077626;A
40123;70666;55568;2018;Viajeros;98.479856757;A
40123;70666;55568;2017;Viajeros;97.469239766;A
40123;70666;516710;2018;Viajeros;19.758237548;A
40123;70666;516711;2020;Viajeros;-;A
40123;70666;516711;2019;Viajeros;92.08910211;A
40123;70666;516711;2018;Viajeros;-;A
40123;70666;516711;2017;Viajeros;56.316163743;A
40123;70666;55571;2019;Viajeros;52.892123288;A
40123;70666;55571;2018;Viajeros;31.370254267;A
40123;70666;55571;2017;Viajeros;74.817777778;A
40123;70666;516713;2020;Viajeros;18.448369565;A
40123;70666;516713;2019;Viajeros;96.909305621;A
40123;70666;516713;2018;Viajeros;31.790038314;A
40123;70666;516713;2017;Viajeros;38.162573099;A
40123;70666;516715;2019;Viajeros;22.66609589;A
40123;70666;516715;2018;Viajeros;17.42800418;A
40123;70666;55574;2020;Viajeros;69.596801347;A
40123;70666;55574;2019;Viajeros;193.153837609;A
40123;70666;55574;2018;Viajeros;227.00014368;A
40123;70666;55574;2017;Viajeros;42.877192982;A
40123;70666;516716;2020;Viajeros;-;A
40123;70666;516716;2019;Viajeros;17.547945205;A
40123;70666;516716;2018;Viajeros;14.658764368;A
40123;70666;516717;2019;Viajeros;-;A
40123;70666;516717;2018;Viajeros;-;A
40123;70666;516717;2017;Viajeros;-;A
40123;70666;516718;2020;Viajeros;41.217391304;A
40123;70666;516718;2018;Viajeros;-;A
40123;70666;516718;2017;Viajeros;12.701754386;A
40123;70666;516720;2019;Viajeros;20.925;A
40123;70666;516720;2018;Viajeros;26.43908046;A
40123;70666;516720;2017;Viajeros;19.476023392;A
40123;70666;516721;2020;Viajeros;17.417929293;A
40123;70666;516721;2019;Viajeros;22.57619863;A
40123;70666;516721;2018;Viajeros;-;A
40123;70666;516721;2017;Viajeros;-;A
40123;70666;516722;2020;Viajeros;26.902210511;A
40123;70666;516722;2019;Viajeros;12.246575342;A
40123;70666;516722;2018;Viajeros;11.15158046;A
40123;70666;516722;2017;Viajeros;21.226666667;A
40123;70666;516724;2020;Viajeros;34.798400673;A
40123;70666;516724;2019;Viajeros;-;A
40123;70666;516724;2017;Viajeros;-;A
40123;70666;516725;2019;Viajeros;74.523287671;A
40123;70666;516725;2018;Viajeros;22.703490073;A
40123;70666;516725;2017;Viajeros;59.832982456;A
40123;70666;516726;2017;Viajeros;30.934222222;A
40123;70666;516727;2017;Viajeros;28.476023392;A
40123;55107;55698;2020;Viajeros;22058.092515958;A
40123;55107;55698;2019;Viajeros;76482.479166664;A
40123;55107;55698;2018;Viajeros;61409.311905529;A
40123;55107;55698;2017;Viajeros;60272.625779409;A
40123;55107;55698;2016;Viajeros;52836.690625742;A
40123;55107;55698;2015;Viajeros;56785.102850817;A
40123;55107;55698;2014;Viajeros;54720.312499707;A
40123;55107;55565;2020;Viajeros;20916.854404634;A
40123;55107;55565;2019;Viajeros;64518.880833331;A
40123;55107;55565;2018;Viajeros;49969.275595988;A
40123;55107;55565;2017;Viajeros;50499.677259542;A
40123;55107;55565;2016;Viajeros;48102.821875756;A
40123;55107;55565;2015;Viajeros;52880.262938576;A
