D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;3143;2020;Personal medio empleado;2887.503559677;A
40123;3143;2019;Personal medio empleado;4821.319179383;A
40123;3143;2018;Personal medio empleado;4589.074675564;A
40123;3143;2017;Personal medio empleado;4504.268904882;A
40123;3143;2016;Personal medio empleado;4055.70805272;A
40123;3143;2015;Personal medio empleado;3897.561508709;A
40123;3143;2014;Personal medio empleado;3618.666400353;A
40123;2352;2020;Personal medio empleado;200.167021507;A
40123;2352;2019;Personal medio empleado;297.493188354;A
40123;2352;2018;Personal medio empleado;274.03225421;A
40123;2352;2017;Personal medio empleado;270.34934464;A
40123;2352;2016;Personal medio empleado;242.20387027;A
40123;2352;2015;Personal medio empleado;219.86441842;A
40123;2352;2014;Personal medio empleado;188.92344527;A
40123;2402;2020;Personal medio empleado;252.677767668;A
40123;2402;2019;Personal medio empleado;330.416254721;A
40123;2402;2018;Personal medio empleado;358.9758075;A
40123;2402;2017;Personal medio empleado;328.46800412;A
40123;2402;2016;Personal medio empleado;297.97692269;A
40123;2402;2015;Personal medio empleado;290.94569423;A
40123;2402;2014;Personal medio empleado;340.01412314;A
40123;2482;2020;Personal medio empleado;65.067163513;A
40123;2482;2019;Personal medio empleado;86.822828656;A
40123;2482;2018;Personal medio empleado;85.270357415;A
40123;2482;2017;Personal medio empleado;86.2544269;A
40123;2482;2016;Personal medio empleado;81.390861186;A
40123;2482;2015;Personal medio empleado;76.317951839;A
40123;2482;2014;Personal medio empleado;61.205834324;A
40123;2713;2020;Personal medio empleado;296.268380223;A
40123;2713;2019;Personal medio empleado;493.496100707;A
40123;2713;2018;Personal medio empleado;439.33155711;A
40123;2713;2017;Personal medio empleado;383.15148071;A
40123;2713;2016;Personal medio empleado;396.63048302;A
40123;2713;2015;Personal medio empleado;407.25260777;A
40123;2713;2014;Personal medio empleado;329.80967824;A
40123;2797;2020;Personal medio empleado;56.970937355;A
40123;2797;2019;Personal medio empleado;89.473525751;A
40123;2797;2018;Personal medio empleado;74.885385869;A
40123;2797;2017;Personal medio empleado;80.226645662;A
40123;2797;2016;Personal medio empleado;65.420139014;A
40123;2797;2015;Personal medio empleado;58.07012272;A
40123;2797;2014;Personal medio empleado;42.609178819;A
40123;2911;2020;Personal medio empleado;106.099985057;A
40123;2911;2019;Personal medio empleado;165.310847297;A
40123;2911;2018;Personal medio empleado;145.85620453;A
40123;2911;2017;Personal medio empleado;138.85717404;A
40123;2911;2016;Personal medio empleado;149.91132072;A
40123;2911;2015;Personal medio empleado;127.65651781;A
40123;2911;2014;Personal medio empleado;134.43620054;A
40123;3023;2020;Personal medio empleado;1605.992316513;A
40123;3023;2019;Personal medio empleado;2867.923515716;A
40123;3023;2018;Personal medio empleado;2736.2639749;A
40123;3023;2017;Personal medio empleado;2821.5899752;A
40123;3023;2016;Personal medio empleado;2480.4351222;A
40123;3023;2015;Personal medio empleado;2388.5880342;A
40123;3023;2014;Personal medio empleado;2224.8954142;A
40123;3142;2020;Personal medio empleado;304.259987841;A
40123;3142;2019;Personal medio empleado;490.382918181;A
40123;3142;2018;Personal medio empleado;474.45913403;A
40123;3142;2017;Personal medio empleado;395.37185361;A
40123;3142;2016;Personal medio empleado;341.73933362;A
40123;3142;2015;Personal medio empleado;328.86616172;A
40123;3142;2014;Personal medio empleado;296.77252582;A
40124;3143;2021;Personal medio empleado;3607.416856677;A
40124;2352;2021;Personal medio empleado;275.674703129;A
40124;2402;2021;Personal medio empleado;349.694809645;A
40124;2482;2021;Personal medio empleado;78.425940275;A
40124;2713;2021;Personal medio empleado;368.662602731;A
