OBS_STATUS;TERRITORIO;TEMPORAL;RESITUR;INDICATOR;OBS_VALUE;FREQ
A;ES61;2020;55698;VIAJEROS;930067.797321636;A
A;ES61;2020;55565;VIAJEROS;657996.718614773;A
A;ES61;2020;55697;VIAJEROS;272071.078706863;A
A;ES61;2019;55698;VIAJEROS;2678774.506997564;A
A;ES61;2019;55565;VIAJEROS;1259806.81745749;A
A;ES61;2019;55697;VIAJEROS;1418967.689540074;A
A;ES61;2018;55698;VIAJEROS;2463634.422599692;A
A;ES61;2018;55565;VIAJEROS;1112291.175576792;A
A;ES61;2018;55697;VIAJEROS;1351343.2470229;A
A;ES61;2017;55698;VIAJEROS;2412102.496178468;A
A;ES61;2017;55565;VIAJEROS;1083480.457462017;A
A;ES61;2017;55697;VIAJEROS;1328622.038716451;A
A;ES61;2016;55698;VIAJEROS;2069123.534211478;A
A;ES61;2016;55565;VIAJEROS;943150.607579163;A
A;ES61;2016;55697;VIAJEROS;1125972.926632315;A
A;ES61;2015;55698;VIAJEROS;1825127.547829718;A
A;ES61;2015;55565;VIAJEROS;846973.822334957;A
A;ES61;2015;55697;VIAJEROS;978153.725494761;A
A;ES61;2014;55698;VIAJEROS;1609259.992651685;A
A;ES61;2014;55565;VIAJEROS;744177.990390521;A
A;ES61;2014;55697;VIAJEROS;865082.002261164;A
A;ES611;2020;55698;VIAJEROS;91193.873556689;A
A;ES611;2020;55565;VIAJEROS;82691.666529249;A
A;ES611;2020;55697;VIAJEROS;8502.20702744;A
A;ES611;2019;55698;VIAJEROS;204374.391329095;A
A;ES611;2019;55565;VIAJEROS;171976.706573538;A
A;ES611;2019;55697;VIAJEROS;32397.684755557;A
A;ES611;2018;55698;VIAJEROS;180236.814458268;A
A;ES611;2018;55565;VIAJEROS;149325.303027549;A
A;ES611;2018;55697;VIAJEROS;30911.511430719;A
A;ES611;2017;55698;VIAJEROS;191527.197841568;A
A;ES611;2017;55565;VIAJEROS;158325.30469054;A
A;ES611;2017;55697;VIAJEROS;33201.893151028;A
A;ES611;2016;55698;VIAJEROS;155801.699517597;A
A;ES611;2016;55565;VIAJEROS;130458.94968484;A
A;ES611;2016;55697;VIAJEROS;25342.749832757;A
A;ES611;2015;55698;VIAJEROS;150229.622614769;A
A;ES611;2015;55565;VIAJEROS;127023.061324258;A
A;ES611;2015;55697;VIAJEROS;23206.561290511;A
A;ES611;2014;55698;VIAJEROS;127859.939879253;A
A;ES611;2014;55565;VIAJEROS;107659.332069012;A
A;ES611;2014;55697;VIAJEROS;20200.607810241;A
A;ES612;2020;55698;VIAJEROS;84085.767440761;A
A;ES612;2020;55565;VIAJEROS;74957.775195725;A
A;ES612;2020;55697;VIAJEROS;9127.992245036;A
A;ES612;2019;55698;VIAJEROS;171287.148413614;A
A;ES612;2019;55565;VIAJEROS;120739.97646934;A
A;ES612;2019;55697;VIAJEROS;50547.171944274;A
A;ES612;2018;55698;VIAJEROS;163842.363886458;A
A;ES612;2018;55565;VIAJEROS;110468.516318538;A
A;ES612;2018;55697;VIAJEROS;53373.84756792;A
A;ES612;2017;55698;VIAJEROS;145682.283767538;A
A;ES612;2017;55565;VIAJEROS;100845.48170529;A
A;ES612;2017;55697;VIAJEROS;44836.802062248;A
A;ES612;2016;55698;VIAJEROS;121780.442851828;A
A;ES612;2016;55565;VIAJEROS;89890.889628882;A
A;ES612;2016;55697;VIAJEROS;31889.553222946;A
A;ES612;2015;55698;VIAJEROS;114421.230568495;A
A;ES612;2015;55565;VIAJEROS;81110.47038909;A
A;ES612;2015;55697;VIAJEROS;33310.760179405;A
A;ES612;2014;55698;VIAJEROS;110307.447948369;A
A;ES612;2014;55565;VIAJEROS;80942.60879773;A
A;ES612;2014;55697;VIAJEROS;29364.839150639;A
A;ES613;2020;55698;VIAJEROS;22343.11349339;A
A;ES613;2020;55565;VIAJEROS;17550.747628007;A
A;ES613;2020;55697;VIAJEROS;4792.365865383;A
A;ES613;2019;55698;VIAJEROS;55354.686709142;A
A;ES613;2019;55565;VIAJEROS;33240.268119486;A
A;ES613;2019;55697;VIAJEROS;22114.418589656;A
A;ES613;2018;55698;VIAJEROS;49681.698238556;A
A;ES613;2018;55565;VIAJEROS;29282.820489006;A
A;ES613;2018;55697;VIAJEROS;20398.87774955;A
A;ES613;2017;55698;VIAJEROS;53219.031901845;A
A;ES613;2017;55565;VIAJEROS;27799.913100576;A
A;ES613;2017;55697;VIAJEROS;25419.118801269;A
A;ES613;2016;55698;VIAJEROS;44798.904618933;A
A;ES613;2016;55565;VIAJEROS;27482.407577508;A
A;ES613;2016;55697;VIAJEROS;17316.497041425;A
A;ES613;2015;55698;VIAJEROS;32507.705757518;A
A;ES613;2015;55565;VIAJEROS;22070.626083042;A
A;ES613;2015;55697;VIAJEROS;10437.079674476;A
A;ES613;2014;55698;VIAJEROS;27758.788236645;A
A;ES613;2014;55565;VIAJEROS;16870.706884902;A
A;ES613;2014;55697;VIAJEROS;10888.081351743;A
A;ES614;2020;55698;VIAJEROS;112380.831758885;A
A;ES614;2020;55565;VIAJEROS;90194.978762174;A
A;ES614;2020;55697;VIAJEROS;22185.852996711;A
A;ES614;2019;55698;VIAJEROS;279449.654807855;A
A;ES614;2019;55565;VIAJEROS;169480.338341005;A
A;ES614;2019;55697;VIAJEROS;109969.31646685;A
A;ES614;2018;55698;VIAJEROS;243951.99143174;A
A;ES614;2018;55565;VIAJEROS;146908.99338808;A
A;ES614;2018;55697;VIAJEROS;97042.99804366;A
A;ES614;2017;55698;VIAJEROS;174337.06708319;A
A;ES614;2017;55565;VIAJEROS;107187.50372152;A
A;ES614;2017;55697;VIAJEROS;67149.56336167;A
A;ES614;2016;55698;VIAJEROS;224278.61949212;A
A;ES614;2016;55565;VIAJEROS;135709.06546172;A
A;ES614;2016;55697;VIAJEROS;88569.5540304;A
A;ES614;2015;55698;VIAJEROS;197616.52281978;A
A;ES614;2015;55565;VIAJEROS;119503.07008263;A
A;ES614;2015;55697;VIAJEROS;78113.45273715;A
A;ES614;2014;55698;VIAJEROS;153523.522498653;A
A;ES614;2014;55565;VIAJEROS;98429.23962664;A
A;ES614;2014;55697;VIAJEROS;55094.282872013;A
A;ES615;2020;55698;VIAJEROS;57604.418781114;A
A;ES615;2020;55565;VIAJEROS;54408.692005017;A
A;ES615;2020;55697;VIAJEROS;3195.726776097;A
A;ES615;2019;55698;VIAJEROS;97008.568110513;A
A;ES615;2019;55565;VIAJEROS;86289.613521239;A
