OBS_STATUS;RESITUR;TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
A;55698;2020;ES61;VIAJEROS;930067.797321636;A
A;55698;2020;ES611;VIAJEROS;91193.873556689;A
A;55698;2020;ES612;VIAJEROS;84085.767440761;A
A;55698;2020;ES613;VIAJEROS;22343.11349339;A
A;55698;2020;ES614;VIAJEROS;112380.831758885;A
A;55698;2020;ES615;VIAJEROS;57604.418781114;A
A;55698;2020;ES616;VIAJEROS;40267.859685749;A
A;55698;2020;ES617;VIAJEROS;395301.304344756;A
A;55698;2020;ES618;VIAJEROS;126890.628260292;A
A;55698;2019;ES61;VIAJEROS;2678774.506997564;A
A;55698;2019;ES611;VIAJEROS;204374.391329095;A
A;55698;2019;ES612;VIAJEROS;171287.148413614;A
A;55698;2019;ES613;VIAJEROS;55354.686709142;A
A;55698;2019;ES614;VIAJEROS;279449.654807855;A
A;55698;2019;ES615;VIAJEROS;97008.568110513;A
A;55698;2019;ES616;VIAJEROS;67575.888298483;A
A;55698;2019;ES617;VIAJEROS;1350138.776944469;A
A;55698;2019;ES618;VIAJEROS;453585.392384393;A
A;55698;2018;ES61;VIAJEROS;2463634.422599692;A
A;55698;2018;ES611;VIAJEROS;180236.814458268;A
A;55698;2018;ES612;VIAJEROS;163842.363886458;A
A;55698;2018;ES613;VIAJEROS;49681.698238556;A
A;55698;2018;ES614;VIAJEROS;243951.99143174;A
A;55698;2018;ES615;VIAJEROS;96417.092824213;A
A;55698;2018;ES616;VIAJEROS;64500.890730637;A
A;55698;2018;ES617;VIAJEROS;1223039.64239058;A
A;55698;2018;ES618;VIAJEROS;441963.92863924;A
A;55698;2017;ES61;VIAJEROS;2412102.496178468;A
A;55698;2017;ES611;VIAJEROS;191527.197841568;A
A;55698;2017;ES612;VIAJEROS;145682.283767538;A
A;55698;2017;ES613;VIAJEROS;53219.031901845;A
A;55698;2017;ES614;VIAJEROS;174337.06708319;A
A;55698;2017;ES615;VIAJEROS;87182.722961854;A
A;55698;2017;ES616;VIAJEROS;60608.163847603;A
A;55698;2017;ES617;VIAJEROS;1304498.3207938;A
A;55698;2017;ES618;VIAJEROS;395047.70798107;A
A;55698;2016;ES61;VIAJEROS;2069123.534211478;A
A;55698;2016;ES611;VIAJEROS;155801.699517597;A
A;55698;2016;ES612;VIAJEROS;121780.442851828;A
A;55698;2016;ES613;VIAJEROS;44798.904618933;A
A;55698;2016;ES614;VIAJEROS;224278.61949212;A
A;55698;2016;ES615;VIAJEROS;70219.535138845;A
A;55698;2016;ES616;VIAJEROS;57145.302772535;A
A;55698;2016;ES617;VIAJEROS;1084574.86476315;A
A;55698;2016;ES618;VIAJEROS;310524.16505647;A
A;55698;2015;ES61;VIAJEROS;1825127.547829718;A
A;55698;2015;ES611;VIAJEROS;150229.622614769;A
A;55698;2015;ES612;VIAJEROS;114421.230568495;A
A;55698;2015;ES613;VIAJEROS;32507.705757518;A
A;55698;2015;ES614;VIAJEROS;197616.52281978;A
A;55698;2015;ES615;VIAJEROS;75676.695509904;A
A;55698;2015;ES616;VIAJEROS;45949.096226142;A
A;55698;2015;ES617;VIAJEROS;971952.86568515;A
A;55698;2015;ES618;VIAJEROS;236773.80864796;A
A;55698;2014;ES61;VIAJEROS;1609259.992651685;A
A;55698;2014;ES611;VIAJEROS;127859.939879253;A
A;55698;2014;ES612;VIAJEROS;110307.447948369;A
A;55698;2014;ES613;VIAJEROS;27758.788236645;A
A;55698;2014;ES614;VIAJEROS;153523.522498653;A
A;55698;2014;ES615;VIAJEROS;72602.995665251;A
A;55698;2014;ES616;VIAJEROS;39878.032487904;A
A;55698;2014;ES617;VIAJEROS;858621.82862341;A
A;55698;2014;ES618;VIAJEROS;218707.4373122;A
A;55565;2020;ES61;VIAJEROS;657996.718614773;A
A;55565;2020;ES611;VIAJEROS;82691.666529249;A
A;55565;2020;ES612;VIAJEROS;74957.775195725;A
A;55565;2020;ES613;VIAJEROS;17550.747628007;A
A;55565;2020;ES614;VIAJEROS;90194.978762174;A
A;55565;2020;ES615;VIAJEROS;54408.692005017;A
A;55565;2020;ES616;VIAJEROS;39398.404885012;A
A;55565;2020;ES617;VIAJEROS;222764.230276987;A
A;55565;2020;ES618;VIAJEROS;76030.223332602;A
A;55565;2019;ES61;VIAJEROS;1259806.81745749;A
A;55565;2019;ES611;VIAJEROS;171976.706573538;A
A;55565;2019;ES612;VIAJEROS;120739.97646934;A
A;55565;2019;ES613;VIAJEROS;33240.268119486;A
A;55565;2019;ES614;VIAJEROS;169480.338341005;A
A;55565;2019;ES615;VIAJEROS;86289.613521239;A
A;55565;2019;ES616;VIAJEROS;65108.244226304;A
A;55565;2019;ES617;VIAJEROS;424351.846558812;A
A;55565;2019;ES618;VIAJEROS;188619.823647766;A
A;55565;2018;ES61;VIAJEROS;1112291.175576792;A
A;55565;2018;ES611;VIAJEROS;149325.303027549;A
A;55565;2018;ES612;VIAJEROS;110468.516318538;A
A;55565;2018;ES613;VIAJEROS;29282.820489006;A
A;55565;2018;ES614;VIAJEROS;146908.99338808;A
A;55565;2018;ES615;VIAJEROS;84801.995461192;A
A;55565;2018;ES616;VIAJEROS;61851.533073647;A
A;55565;2018;ES617;VIAJEROS;335047.1336556;A
A;55565;2018;ES618;VIAJEROS;194604.88016318;A
A;55565;2017;ES61;VIAJEROS;1083480.457462017;A
A;55565;2017;ES611;VIAJEROS;158325.30469054;A
A;55565;2017;ES612;VIAJEROS;100845.48170529;A
A;55565;2017;ES613;VIAJEROS;27799.913100576;A
A;55565;2017;ES614;VIAJEROS;107187.50372152;A
A;55565;2017;ES615;VIAJEROS;80273.70540334;A
A;55565;2017;ES616;VIAJEROS;58050.962717271;A
A;55565;2017;ES617;VIAJEROS;374158.65632434;A
A;55565;2017;ES618;VIAJEROS;176838.92979914;A
A;55565;2016;ES61;VIAJEROS;943150.607579163;A
A;55565;2016;ES611;VIAJEROS;130458.94968484;A
A;55565;2016;ES612;VIAJEROS;89890.889628882;A
A;55565;2016;ES613;VIAJEROS;27482.407577508;A
A;55565;2016;ES614;VIAJEROS;135709.06546172;A
A;55565;2016;ES615;VIAJEROS;63268.107813837;A
A;55565;2016;ES616;VIAJEROS;53620.871395516;A
A;55565;2016;ES617;VIAJEROS;292297.75511856;A
A;55565;2016;ES618;VIAJEROS;150422.5608983;A
A;55565;2015;ES61;VIAJEROS;846973.822334957;A
A;55565;2015;ES611;VIAJEROS;127023.061324258;A
A;55565;2015;ES612;VIAJEROS;81110.47038909;A
A;55565;2015;ES613;VIAJEROS;22070.626083042;A
A;55565;2015;ES614;VIAJEROS;119503.07008263;A
A;55565;2015;ES615;VIAJEROS;70383.219629034;A
A;55565;2015;ES616;VIAJEROS;43383.548572233;A
A;55565;2015;ES617;VIAJEROS;269900.9937469;A
A;55565;2015;ES618;VIAJEROS;113598.83250777;A
A;55565;2014;ES61;VIAJEROS;744177.990390521;A
A;55565;2014;ES611;VIAJEROS;107659.332069012;A
A;55565;2014;ES612;VIAJEROS;80942.60879773;A
A;55565;2014;ES613;VIAJEROS;16870.706884902;A
A;55565;2014;ES614;VIAJEROS;98429.23962664;A
A;55565;2014;ES615;VIAJEROS;67301.165056807;A
A;55565;2014;ES616;VIAJEROS;37908.11471695;A
A;55565;2014;ES617;VIAJEROS;231424.88355138;A
A;55565;2014;ES618;VIAJEROS;103641.9396871;A
A;55697;2020;ES61;VIAJEROS;272071.078706863;A
A;55697;2020;ES611;VIAJEROS;8502.20702744;A
A;55697;2020;ES612;VIAJEROS;9127.992245036;A
A;55697;2020;ES613;VIAJEROS;4792.365865383;A
A;55697;2020;ES614;VIAJEROS;22185.852996711;A
A;55697;2020;ES615;VIAJEROS;3195.726776097;A
A;55697;2020;ES616;VIAJEROS;869.454800737;A
A;55697;2020;ES617;VIAJEROS;172537.074067769;A
A;55697;2020;ES618;VIAJEROS;50860.40492769;A
A;55697;2019;ES61;VIAJEROS;1418967.689540074;A
A;55697;2019;ES611;VIAJEROS;32397.684755557;A
A;55697;2019;ES612;VIAJEROS;50547.171944274;A
A;55697;2019;ES613;VIAJEROS;22114.418589656;A
A;55697;2019;ES614;VIAJEROS;109969.31646685;A
A;55697;2019;ES615;VIAJEROS;10718.954589274;A
A;55697;2019;ES616;VIAJEROS;2467.644072179;A
A;55697;2019;ES617;VIAJEROS;925786.930385657;A
A;55697;2019;ES618;VIAJEROS;264965.568736627;A
A;55697;2018;ES61;VIAJEROS;1351343.2470229;A
A;55697;2018;ES611;VIAJEROS;30911.511430719;A
A;55697;2018;ES612;VIAJEROS;53373.84756792;A
A;55697;2018;ES613;VIAJEROS;20398.87774955;A
A;55697;2018;ES614;VIAJEROS;97042.99804366;A
A;55697;2018;ES615;VIAJEROS;11615.097363021;A
A;55697;2018;ES616;VIAJEROS;2649.35765699;A
A;55697;2018;ES617;VIAJEROS;887992.50873498;A
A;55697;2018;ES618;VIAJEROS;247359.04847606;A
A;55697;2017;ES61;VIAJEROS;1328622.038716451;A
A;55697;2017;ES611;VIAJEROS;33201.893151028;A
A;55697;2017;ES612;VIAJEROS;44836.802062248;A
A;55697;2017;ES613;VIAJEROS;25419.118801269;A
A;55697;2017;ES614;VIAJEROS;67149.56336167;A
A;55697;2017;ES615;VIAJEROS;6909.017558514;A
A;55697;2017;ES616;VIAJEROS;2557.201130332;A
A;55697;2017;ES617;VIAJEROS;930339.66446946;A
A;55697;2017;ES618;VIAJEROS;218208.77818193;A
A;55697;2016;ES61;VIAJEROS;1125972.926632315;A
A;55697;2016;ES611;VIAJEROS;25342.749832757;A
A;55697;2016;ES612;VIAJEROS;31889.553222946;A
A;55697;2016;ES613;VIAJEROS;17316.497041425;A
A;55697;2016;ES614;VIAJEROS;88569.5540304;A
A;55697;2016;ES615;VIAJEROS;6951.427325008;A
A;55697;2016;ES616;VIAJEROS;3524.431377019;A
A;55697;2016;ES617;VIAJEROS;792277.10964459;A
A;55697;2016;ES618;VIAJEROS;160101.60415817;A
A;55697;2015;ES61;VIAJEROS;978153.725494761;A
A;55697;2015;ES611;VIAJEROS;23206.561290511;A
A;55697;2015;ES612;VIAJEROS;33310.760179405;A
A;55697;2015;ES613;VIAJEROS;10437.079674476;A
A;55697;2015;ES614;VIAJEROS;78113.45273715;A
