OBS_STATUS;TERRITORIO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES61;55564;2014;VIAJEROS;744177.990390521;A
A;ES61;55564;2015;VIAJEROS;846973.822334957;A
A;ES61;55564;2016;VIAJEROS;943150.607579163;A
A;ES61;55564;2017;VIAJEROS;1083480.457462017;A
A;ES61;55564;2018;VIAJEROS;1112291.175576792;A
A;ES61;55564;2019;VIAJEROS;1259806.81745749;A
A;ES61;55564;2020;VIAJEROS;657996.718614773;A
A;ES61;55543;2014;VIAJEROS;393703.7199937;A
A;ES61;55543;2015;VIAJEROS;440660.125852;A
A;ES61;55543;2016;VIAJEROS;483741.890915;A
A;ES61;55543;2017;VIAJEROS;559499.7507619;A
A;ES61;55543;2018;VIAJEROS;558351.473064;A
A;ES61;55543;2019;VIAJEROS;625961.704948635;A
A;ES61;55543;2020;VIAJEROS;373177.612511087;A
A;ES61;55563;2014;VIAJEROS;350474.270396821;A
A;ES61;55563;2015;VIAJEROS;406313.696482957;A
A;ES61;55563;2016;VIAJEROS;459408.716664163;A
A;ES61;55563;2017;VIAJEROS;523980.706700117;A
A;ES61;55563;2018;VIAJEROS;553939.702512792;A
A;ES61;55563;2019;VIAJEROS;633845.112508855;A
A;ES61;55563;2020;VIAJEROS;284819.106103686;A
A;ES61;55545;2014;VIAJEROS;7463.455067818;A
A;ES61;55545;2015;VIAJEROS;8750.96286886;A
A;ES61;55545;2016;VIAJEROS;9774.43642526;A
A;ES61;55545;2017;VIAJEROS;11042.67135914;A
A;ES61;55545;2018;VIAJEROS;12035.57552276;A
A;ES61;55545;2019;VIAJEROS;13928.758137989;A
A;ES61;55545;2020;VIAJEROS;3890.719335495;A
A;ES61;55546;2014;VIAJEROS;4220.271876773;A
A;ES61;55546;2015;VIAJEROS;6002.889729397;A
A;ES61;55546;2016;VIAJEROS;10268.264067603;A
A;ES61;55546;2017;VIAJEROS;7091.9055358;A
A;ES61;55546;2018;VIAJEROS;8380.37063034;A
A;ES61;55546;2019;VIAJEROS;9923.798902977;A
A;ES61;55546;2020;VIAJEROS;2727.479720943;A
A;ES61;55547;2014;VIAJEROS;6689.607392793;A
A;ES61;55547;2015;VIAJEROS;7147.71714737;A
A;ES61;55547;2016;VIAJEROS;8390.726806863;A
A;ES61;55547;2017;VIAJEROS;10138.739391531;A
A;ES61;55547;2018;VIAJEROS;13123.04197535;A
A;ES61;55547;2019;VIAJEROS;15511.331224096;A
A;ES61;55547;2020;VIAJEROS;4195.664514179;A
A;ES61;55548;2014;VIAJEROS;4630.055918116;A
A;ES61;55548;2015;VIAJEROS;5369.24599711;A
A;ES61;55548;2016;VIAJEROS;5773.83361007;A
A;ES61;55548;2017;VIAJEROS;5875.450649713;A
A;ES61;55548;2018;VIAJEROS;6822.44197681;A
A;ES61;55548;2019;VIAJEROS;7588.888713654;A
A;ES61;55548;2020;VIAJEROS;2425.679471465;A
A;ES61;55549;2014;VIAJEROS;20990.01621496;A
A;ES61;55549;2015;VIAJEROS;20663.30083259;A
A;ES61;55549;2016;VIAJEROS;24187.12931143;A
A;ES61;55549;2017;VIAJEROS;27531.63422487;A
A;ES61;55549;2018;VIAJEROS;30265.08440117;A
A;ES61;55549;2019;VIAJEROS;33343.22225837;A
A;ES61;55549;2020;VIAJEROS;13446.411993788;A
A;ES61;55550;2014;VIAJEROS;21324.06609337;A
A;ES61;55550;2015;VIAJEROS;23556.6242765;A
A;ES61;55550;2016;VIAJEROS;26760.05370731;A
A;ES61;55550;2017;VIAJEROS;33567.99287096;A
A;ES61;55550;2018;VIAJEROS;35198.6507654;A
A;ES61;55550;2019;VIAJEROS;39428.208914749;A
A;ES61;55550;2020;VIAJEROS;17250.255714247;A
A;ES61;55551;2014;VIAJEROS;29585.79641158;A
A;ES61;55551;2015;VIAJEROS;36395.764653;A
A;ES61;55551;2016;VIAJEROS;43056.9548507;A
A;ES61;55551;2017;VIAJEROS;44204.68434811;A
A;ES61;55551;2018;VIAJEROS;52379.8467183;A
A;ES61;55551;2019;VIAJEROS;59894.256193605;A
A;ES61;55551;2020;VIAJEROS;22138.666338165;A
A;ES61;55552;2014;VIAJEROS;32296.27848521;A
A;ES61;55552;2015;VIAJEROS;39319.34358866;A
A;ES61;55552;2016;VIAJEROS;43629.28520924;A
A;ES61;55552;2017;VIAJEROS;49629.07262001;A
A;ES61;55552;2018;VIAJEROS;54759.02634885;A
A;ES61;55552;2019;VIAJEROS;60189.649937062;A
A;ES61;55552;2020;VIAJEROS;25271.270803498;A
A;ES61;55553;2014;VIAJEROS;25346.75000558;A
A;ES61;55553;2015;VIAJEROS;31670.98420211;A
A;ES61;55553;2016;VIAJEROS;34532.74776281;A
A;ES61;55553;2017;VIAJEROS;39142.59254789;A
A;ES61;55553;2018;VIAJEROS;42891.43030891;A
A;ES61;55553;2019;VIAJEROS;44748.073855229;A
A;ES61;55553;2020;VIAJEROS;21714.57249498;A
A;ES61;55554;2014;VIAJEROS;9344.702567642;A
A;ES61;55554;2015;VIAJEROS;9899.70180242;A
A;ES61;55554;2016;VIAJEROS;14278.54344628;A
A;ES61;55554;2017;VIAJEROS;15410.47558764;A
A;ES61;55554;2018;VIAJEROS;15051.26987451;A
A;ES61;55554;2019;VIAJEROS;17877.200588677;A
A;ES61;55554;2020;VIAJEROS;13066.233013772;A
A;ES61;55555;2014;VIAJEROS;134536.1457512;A
A;ES61;55555;2015;VIAJEROS;148318.4859854;A
A;ES61;55555;2016;VIAJEROS;162847.3894222;A
A;ES61;55555;2017;VIAJEROS;196454.5177243;A
A;ES61;55555;2018;VIAJEROS;191327.6331084;A
A;ES61;55555;2019;VIAJEROS;228373.134096806;A
A;ES61;55555;2020;VIAJEROS;108287.544956056;A
A;ES61;55556;2014;VIAJEROS;21332.49506113;A
A;ES61;55556;2015;VIAJEROS;27248.22866087;A
A;ES61;55556;2016;VIAJEROS;29018.53807335;A
A;ES61;55556;2017;VIAJEROS;36604.97819859;A
A;ES61;55556;2018;VIAJEROS;38608.34800588;A
A;ES61;55556;2019;VIAJEROS;42903.900912385;A
A;ES61;55556;2020;VIAJEROS;20374.956253214;A
A;ES61;55557;2014;VIAJEROS;4103.619373568;A
A;ES61;55557;2015;VIAJEROS;4640.577487753;A
A;ES61;55557;2016;VIAJEROS;5841.00607329;A
A;ES61;55557;2017;VIAJEROS;5393.04665856;A
A;ES61;55557;2018;VIAJEROS;6208.01762548;A
A;ES61;55557;2019;VIAJEROS;6610.245245578;A
A;ES61;55557;2020;VIAJEROS;2725.956571693;A
A;ES61;55558;2014;VIAJEROS;14707.38165367;A
A;ES61;55558;2015;VIAJEROS;19541.25552168;A
A;ES61;55558;2016;VIAJEROS;21721.17717513;A
A;ES61;55558;2017;VIAJEROS;22081.88470978;A
A;ES61;55558;2018;VIAJEROS;25002.61498703;A
A;ES61;55558;2019;VIAJEROS;29619.330663475;A
A;ES61;55558;2020;VIAJEROS;16275.724972779;A
A;ES61;55559;2014;VIAJEROS;2431.621279812;A
A;ES61;55559;2015;VIAJEROS;3030.789289053;A
A;ES61;55559;2016;VIAJEROS;3223.023279368;A
A;ES61;55559;2017;VIAJEROS;2919.232573299;A
A;ES61;55559;2018;VIAJEROS;3223.418105157;A
A;ES61;55559;2019;VIAJEROS;3692.491300631;A
A;ES61;55559;2020;VIAJEROS;1514.286514806;A
A;ES61;55544;2014;VIAJEROS;6933.102503222;A
A;ES61;55544;2015;VIAJEROS;8906.82466398;A
A;ES61;55544;2016;VIAJEROS;8607.24372026;A
A;ES61;55544;2017;VIAJEROS;9419.92397425;A
A;ES61;55544;2018;VIAJEROS;10434.21006121;A
A;ES61;55544;2019;VIAJEROS;11139.959330981;A
A;ES61;55544;2020;VIAJEROS;5471.292381361;A
A;ES61;55561;2014;VIAJEROS;2849.972866421;A
A;ES61;55561;2015;VIAJEROS;3715.387015206;A
A;ES61;55561;2016;VIAJEROS;5206.48104321;A
A;ES61;55561;2017;VIAJEROS;4531.224474604;A
A;ES61;55561;2018;VIAJEROS;5234.726798005;A
A;ES61;55561;2019;VIAJEROS;5590.528688656;A
A;ES61;55561;2020;VIAJEROS;2396.660735276;A
A;ES61;55562;2014;VIAJEROS;1688.931873956;A
A;ES61;55562;2015;VIAJEROS;2135.612760998;A
A;ES61;55562;2016;VIAJEROS;2291.882679789;A
A;ES61;55562;2017;VIAJEROS;2940.67925107;A
A;ES61;55562;2018;VIAJEROS;2993.99529923;A
A;ES61;55562;2019;VIAJEROS;3482.133543935;A
A;ES61;55562;2020;VIAJEROS;1645.730317969;A
A;ES611;55564;2014;VIAJEROS;107659.332069012;A
A;ES611;55564;2015;VIAJEROS;127023.061324258;A
A;ES611;55564;2016;VIAJEROS;130458.94968484;A
A;ES611;55564;2017;VIAJEROS;158325.30469054;A
A;ES611;55564;2018;VIAJEROS;149325.303027549;A
A;ES611;55564;2019;VIAJEROS;171976.706573538;A
A;ES611;55564;2020;VIAJEROS;82691.666529249;A
