OBS_STATUS;RESITUR;TEMPORAL;PARQUES_TURISMO;INDICATOR;OBS_VALUE;FREQ
A;55698;2014;55537;VIAJEROS;124015.768307953;A
A;55698;2014;55538;VIAJEROS;100459.691140729;A
A;55698;2014;55539;VIAJEROS;35617.595991531;A
A;55698;2014;55540;VIAJEROS;70885.145665374;A
A;55698;2014;55541;VIAJEROS;818456.95189567;A
A;55698;2015;55537;VIAJEROS;147719.884062799;A
A;55698;2015;55538;VIAJEROS;108076.680682792;A
A;55698;2015;55539;VIAJEROS;33737.147496372;A
A;55698;2015;55540;VIAJEROS;74063.791507864;A
A;55698;2015;55541;VIAJEROS;910012.35540001;A
A;55698;2016;55537;VIAJEROS;155346.215164127;A
A;55698;2016;55538;VIAJEROS;110687.770295738;A
A;55698;2016;55539;VIAJEROS;36354.652259975;A
A;55698;2016;55540;VIAJEROS;67111.076283791;A
A;55698;2016;55541;VIAJEROS;1023225.58164875;A
A;55698;2017;55537;VIAJEROS;190865.013543258;A
A;55698;2017;55538;VIAJEROS;132420.879319668;A
A;55698;2017;55539;VIAJEROS;33185.141902936;A
A;55698;2017;55540;VIAJEROS;84832.423052987;A
A;55698;2017;55541;VIAJEROS;1212044.00808474;A
A;55698;2018;55537;VIAJEROS;178960.698491228;A
A;55698;2018;55538;VIAJEROS;138987.851447056;A
A;55698;2018;55539;VIAJEROS;32467.672727577;A
A;55698;2018;55540;VIAJEROS;93899.62001019;A
A;55698;2018;55541;VIAJEROS;1107445.32719988;A
A;55698;2019;55537;VIAJEROS;204374.391329095;A
A;55698;2019;55538;VIAJEROS;138268.131051942;A
A;55698;2019;55539;VIAJEROS;29421.956597223;A
A;55698;2019;55540;VIAJEROS;94012.201146095;A
A;55698;2019;55541;VIAJEROS;1238608.948246756;A
A;55698;2020;55537;VIAJEROS;88696.368794784;A
A;55698;2020;55538;VIAJEROS;71849.064364533;A
A;55698;2020;55539;VIAJEROS;12469.034272081;A
A;55698;2020;55540;VIAJEROS;55819.92886582;A
A;55698;2020;55541;VIAJEROS;351468.624442757;A
A;55565;2014;55537;VIAJEROS;103914.649240722;A
A;55565;2014;55538;VIAJEROS;73813.98741083;A
A;55565;2014;55539;VIAJEROS;30196.291372853;A
A;55565;2014;55540;VIAJEROS;65628.456723517;A
A;55565;2014;55541;VIAJEROS;206778.85827354;A
A;55565;2015;55537;VIAJEROS;124575.926768648;A
A;55565;2015;55538;VIAJEROS;77052.73594256;A
A;55565;2015;55539;VIAJEROS;27361.410788856;A
A;55565;2015;55540;VIAJEROS;68789.838550151;A
A;55565;2015;55541;VIAJEROS;240349.54807431;A
A;55565;2016;55537;VIAJEROS;130036.74363884;A
A;55565;2016;55538;VIAJEROS;80782.695716802;A
A;55565;2016;55539;VIAJEROS;29502.717634294;A
A;55565;2016;55540;VIAJEROS;60268.071878147;A
A;55565;2016;55541;VIAJEROS;263816.26133366;A
A;55565;2017;55537;VIAJEROS;157877.78311894;A
A;55565;2017;55538;VIAJEROS;89358.79745852;A
A;55565;2017;55539;VIAJEROS;26147.335776574;A
A;55565;2017;55540;VIAJEROS;78064.52931908;A
A;55565;2017;55541;VIAJEROS;326967.10275638;A
A;55565;2018;55537;VIAJEROS;148221.957233649;A
A;55565;2018;55538;VIAJEROS;92631.182557778;A
A;55565;2018;55539;VIAJEROS;26694.046970057;A
A;55565;2018;55540;VIAJEROS;82367.607707232;A
A;55565;2018;55541;VIAJEROS;279782.30744241;A
A;55565;2019;55537;VIAJEROS;171976.706573538;A
A;55565;2019;55538;VIAJEROS;97902.556445682;A
A;55565;2019;55539;VIAJEROS;24954.846875001;A
A;55565;2019;55540;VIAJEROS;83368.964663408;A
A;55565;2019;55541;VIAJEROS;370897.690537318;A
A;55565;2020;55537;VIAJEROS;80358.125656233;A
A;55565;2020;55538;VIAJEROS;64049.5648011;A
A;55565;2020;55539;VIAJEROS;11443.93040865;A
A;55565;2020;55540;VIAJEROS;52633.157645278;A
A;55565;2020;55541;VIAJEROS;188825.998488753;A
A;55697;2014;55537;VIAJEROS;20101.119067231;A
A;55697;2014;55538;VIAJEROS;26645.703729899;A
A;55697;2014;55539;VIAJEROS;5421.304618678;A
A;55697;2014;55540;VIAJEROS;5256.688941857;A
A;55697;2014;55541;VIAJEROS;611678.09362213;A
A;55697;2015;55537;VIAJEROS;23143.957294151;A
A;55697;2015;55538;VIAJEROS;31023.944740232;A
A;55697;2015;55539;VIAJEROS;6375.736707516;A
A;55697;2015;55540;VIAJEROS;5273.952957713;A
A;55697;2015;55541;VIAJEROS;669662.8073257;A
A;55697;2016;55537;VIAJEROS;25309.471525287;A
A;55697;2016;55538;VIAJEROS;29905.074578936;A
A;55697;2016;55539;VIAJEROS;6851.934625681;A
A;55697;2016;55540;VIAJEROS;6843.004405644;A
A;55697;2016;55541;VIAJEROS;759409.32031509;A
A;55697;2017;55537;VIAJEROS;32987.230424318;A
A;55697;2017;55538;VIAJEROS;43062.081861148;A
A;55697;2017;55539;VIAJEROS;7037.806126362;A
A;55697;2017;55540;VIAJEROS;6767.893733907;A
A;55697;2017;55541;VIAJEROS;885076.90532836;A
A;55697;2018;55537;VIAJEROS;30738.741257579;A
A;55697;2018;55538;VIAJEROS;46356.668889278;A
A;55697;2018;55539;VIAJEROS;5773.62575752;A
A;55697;2018;55540;VIAJEROS;11532.012302958;A
A;55697;2018;55541;VIAJEROS;827663.01975747;A
A;55697;2019;55537;VIAJEROS;32397.684755557;A
A;55697;2019;55538;VIAJEROS;40365.57460626;A
A;55697;2019;55539;VIAJEROS;4467.109722222;A
A;55697;2019;55540;VIAJEROS;10643.236482687;A
