OBS_STATUS;PUNTOS_TURISTICOS;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;70666;55698;2020;VIAJEROS;4847.906464624;A
A;70666;55698;2019;VIAJEROS;5828.477566153;A
A;70666;55698;2018;VIAJEROS;5136.013593768;A
A;70666;55698;2017;VIAJEROS;6474.206757359;A
A;70666;55565;2020;VIAJEROS;4396.284286943;A
A;70666;55565;2019;VIAJEROS;4495.337757833;A
A;70666;55565;2018;VIAJEROS;4558.476061983;A
A;70666;55565;2017;VIAJEROS;5866.570640399;A
A;70666;55697;2020;VIAJEROS;451.622177681;A
A;70666;55697;2019;VIAJEROS;1333.13980832;A
A;70666;55697;2018;VIAJEROS;577.537531785;A
A;70666;55697;2017;VIAJEROS;607.63611696;A
A;70666;55577;2020;VIAJEROS;18.448369565;A
A;70666;55577;2019;VIAJEROS;223.978344946;A
A;70666;55577;2018;VIAJEROS;40.164128352;A
A;70666;55577;2017;VIAJEROS;58.164912281;A
A;70666;516705;2019;VIAJEROS;10.377568493;A
A;70666;516705;2017;VIAJEROS;17.214736842;A
A;70666;516706;2019;VIAJEROS;50.998715753;A
A;70666;516706;2017;VIAJEROS;35.396023392;A
A;70666;55568;2020;VIAJEROS;206.04678151;A
A;70666;55568;2019;VIAJEROS;430.557077626;A
A;70666;55568;2018;VIAJEROS;98.479856757;A
A;70666;55568;2017;VIAJEROS;97.469239766;A
A;70666;516710;2018;VIAJEROS;19.758237548;A
A;70666;516711;2019;VIAJEROS;92.08910211;A
A;70666;516711;2017;VIAJEROS;56.316163743;A
A;70666;55571;2019;VIAJEROS;52.892123288;A
A;70666;55571;2018;VIAJEROS;31.370254267;A
A;70666;55571;2017;VIAJEROS;74.817777778;A
A;70666;516713;2020;VIAJEROS;18.448369565;A
A;70666;516713;2019;VIAJEROS;96.909305621;A
A;70666;516713;2018;VIAJEROS;31.790038314;A
A;70666;516713;2017;VIAJEROS;38.162573099;A
A;70666;516715;2019;VIAJEROS;22.66609589;A
A;70666;516715;2018;VIAJEROS;17.42800418;A
A;70666;55574;2020;VIAJEROS;69.596801347;A
A;70666;55574;2019;VIAJEROS;193.153837609;A
A;70666;55574;2018;VIAJEROS;227.00014368;A
A;70666;55574;2017;VIAJEROS;42.877192982;A
A;70666;516716;2019;VIAJEROS;17.547945205;A
A;70666;516716;2018;VIAJEROS;14.658764368;A
A;70666;516718;2020;VIAJEROS;41.217391304;A
A;70666;516718;2017;VIAJEROS;12.701754386;A
A;70666;516720;2019;VIAJEROS;20.925;A
A;70666;516720;2018;VIAJEROS;26.43908046;A
A;70666;516720;2017;VIAJEROS;19.476023392;A
A;70666;516721;2020;VIAJEROS;17.417929293;A
A;70666;516721;2019;VIAJEROS;22.57619863;A
A;70666;516722;2020;VIAJEROS;26.902210511;A
A;70666;516722;2019;VIAJEROS;12.246575342;A
