D_TEMPORAL_0;D_SEXO_0;D_NACIONALIDAD_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2019;3689;4334;516728;Número de autónomos;36750.0;A
2019;3689;4334;516748;Número de autónomos;43200.0;A
2019;3689;4334;516749;Número de autónomos;37075.0;A
2019;3689;4334;516750;Número de autónomos;44050.0;A
2019;3689;4334;516751;Número de autónomos;20550.0;A
2019;3689;4334;516752;Número de autónomos;29875.0;A
2019;3689;4334;516753;Número de autónomos;67950.0;A
2019;3689;4334;516754;Número de autónomos;77650.0;A
2019;3689;4334;515892;Número de autónomos;359575.0;A
2019;3689;4780;516728;Número de autónomos;4550.0;A
2019;3689;4780;516748;Número de autónomos;2950.0;A
2019;3689;4780;516749;Número de autónomos;1225.0;A
2019;3689;4780;516750;Número de autónomos;3650.0;A
2019;3689;4780;516751;Número de autónomos;1425.0;A
2019;3689;4780;516752;Número de autónomos;675.0;A
2019;3689;4780;516753;Número de autónomos;17750.0;A
2019;3689;4780;516754;Número de autónomos;3425.0;A
2019;3689;4780;515892;Número de autónomos;35900.0;A
2019;3689;4781;516728;Número de autónomos;41300.0;A
2019;3689;4781;516748;Número de autónomos;46150.0;A
2019;3689;4781;516749;Número de autónomos;38300.0;A
2019;3689;4781;516750;Número de autónomos;47700.0;A
2019;3689;4781;516751;Número de autónomos;21975.0;A
2019;3689;4781;516752;Número de autónomos;30550.0;A
2019;3689;4781;516753;Número de autónomos;85700.0;A
2019;3689;4781;516754;Número de autónomos;81075.0;A
2019;3689;4781;515892;Número de autónomos;395475.0;A
2019;3690;4334;516728;Número de autónomos;22600.0;A
2019;3690;4334;516748;Número de autónomos;22550.0;A
2019;3690;4334;516749;Número de autónomos;19150.0;A
2019;3690;4334;516750;Número de autónomos;22900.0;A
2019;3690;4334;516751;Número de autónomos;10225.0;A
2019;3690;4334;516752;Número de autónomos;15400.0;A
2019;3690;4334;516753;Número de autónomos;38450.0;A
2019;3690;4334;516754;Número de autónomos;42175.0;A
2019;3690;4334;515892;Número de autónomos;194875.0;A
2019;3690;4780;516728;Número de autónomos;2525.0;A
2019;3690;4780;516748;Número de autónomos;1725.0;A
2019;3690;4780;516749;Número de autónomos;550.0;A
2019;3690;4780;516750;Número de autónomos;2325.0;A
2019;3690;4780;516751;Número de autónomos;900.0;A
2019;3690;4780;516752;Número de autónomos;525.0;A
2019;3690;4780;516753;Número de autónomos;11425.0;A
2019;3690;4780;516754;Número de autónomos;2550.0;A
2019;3690;4780;515892;Número de autónomos;22725.0;A
2019;3690;4781;516728;Número de autónomos;25125.0;A
2019;3690;4781;516748;Número de autónomos;24275.0;A
2019;3690;4781;516749;Número de autónomos;19700.0;A
2019;3690;4781;516750;Número de autónomos;25225.0;A
2019;3690;4781;516751;Número de autónomos;11125.0;A
2019;3690;4781;516752;Número de autónomos;15925.0;A
2019;3690;4781;516753;Número de autónomos;49875.0;A
2019;3690;4781;516754;Número de autónomos;44725.0;A
2019;3690;4781;515892;Número de autónomos;217600.0;A
2019;3691;4334;516728;Número de autónomos;59350.0;A
2019;3691;4334;516748;Número de autónomos;65750.0;A
2019;3691;4334;516749;Número de autónomos;56225.0;A
2019;3691;4334;516750;Número de autónomos;66950.0;A
2019;3691;4334;516751;Número de autónomos;30775.0;A
2019;3691;4334;516752;Número de autónomos;45275.0;A
2019;3691;4334;516753;Número de autónomos;106400.0;A
2019;3691;4334;516754;Número de autónomos;119825.0;A
2019;3691;4334;515892;Número de autónomos;554450.0;A
2019;3691;4780;516728;Número de autónomos;7075.0;A
2019;3691;4780;516748;Número de autónomos;4675.0;A
2019;3691;4780;516749;Número de autónomos;1775.0;A
2019;3691;4780;516750;Número de autónomos;5975.0;A
2019;3691;4780;516751;Número de autónomos;2325.0;A
2019;3691;4780;516752;Número de autónomos;1200.0;A
2019;3691;4780;516753;Número de autónomos;29175.0;A
2019;3691;4780;516754;Número de autónomos;5975.0;A
2019;3691;4780;515892;Número de autónomos;58625.0;A
2019;3691;4781;516728;Número de autónomos;66425.0;A
2019;3691;4781;516748;Número de autónomos;70425.0;A
2019;3691;4781;516749;Número de autónomos;58000.0;A
2019;3691;4781;516750;Número de autónomos;72925.0;A
2019;3691;4781;516751;Número de autónomos;33100.0;A
2019;3691;4781;516752;Número de autónomos;46475.0;A
2019;3691;4781;516753;Número de autónomos;135575.0;A
2019;3691;4781;516754;Número de autónomos;125800.0;A
2019;3691;4781;515892;Número de autónomos;613075.0;A
2020;3689;4334;516728;Número de autónomos;37025.0;A
2020;3689;4334;516748;Número de autónomos;43000.0;A
2020;3689;4334;516749;Número de autónomos;35975.0;A
2020;3689;4334;516750;Número de autónomos;43800.0;A
2020;3689;4334;516751;Número de autónomos;20500.0;A
2020;3689;4334;516752;Número de autónomos;29350.0;A
2020;3689;4334;516753;Número de autónomos;67750.0;A
2020;3689;4334;516754;Número de autónomos;77025.0;A
2020;3689;4334;515892;Número de autónomos;356875.0;A
2020;3689;4780;516728;Número de autónomos;4575.0;A
2020;3689;4780;516748;Número de autónomos;2925.0;A
2020;3689;4780;516749;Número de autónomos;1150.0;A
2020;3689;4780;516750;Número de autónomos;3650.0;A
2020;3689;4780;516751;Número de autónomos;1500.0;A
2020;3689;4780;516752;Número de autónomos;725.0;A
2020;3689;4780;516753;Número de autónomos;18225.0;A
2020;3689;4780;516754;Número de autónomos;3450.0;A
2020;3689;4780;515892;Número de autónomos;36425.0;A
2020;3689;4781;516728;Número de autónomos;41600.0;A
2020;3689;4781;516748;Número de autónomos;45925.0;A
2020;3689;4781;516749;Número de autónomos;37125.0;A
2020;3689;4781;516750;Número de autónomos;47450.0;A
2020;3689;4781;516751;Número de autónomos;22000.0;A
