D_TEMPORAL_0;D_SEXO_0;D_AA_TIPOCOTIZACA_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2019;3689;515771;516728;Número de autónomos;41300.0;A
2019;3689;515771;516748;Número de autónomos;46150.0;A
2019;3689;515771;516749;Número de autónomos;38300.0;A
2019;3689;515771;516750;Número de autónomos;47700.0;A
2019;3689;515771;516751;Número de autónomos;21975.0;A
2019;3689;515771;516752;Número de autónomos;30550.0;A
2019;3689;515771;516753;Número de autónomos;85700.0;A
2019;3689;515771;516754;Número de autónomos;81075.0;A
2019;3689;515771;515892;Número de autónomos;395475.0;A
2019;3689;515772;516728;Número de autónomos;35250.0;A
2019;3689;515772;516748;Número de autónomos;37175.0;A
2019;3689;515772;516749;Número de autónomos;30450.0;A
2019;3689;515772;516750;Número de autónomos;39100.0;A
2019;3689;515772;516751;Número de autónomos;17450.0;A
2019;3689;515772;516752;Número de autónomos;20875.0;A
2019;3689;515772;516753;Número de autónomos;70300.0;A
2019;3689;515772;516754;Número de autónomos;66050.0;A
2019;3689;515772;515892;Número de autónomos;319075.0;A
2019;3689;515774;516728;Número de autónomos;6050.0;A
2019;3689;515774;516748;Número de autónomos;8975.0;A
2019;3689;515774;516749;Número de autónomos;7850.0;A
2019;3689;515774;516750;Número de autónomos;8600.0;A
2019;3689;515774;516751;Número de autónomos;4525.0;A
2019;3689;515774;516752;Número de autónomos;9675.0;A
2019;3689;515774;516753;Número de autónomos;15400.0;A
2019;3689;515774;516754;Número de autónomos;15025.0;A
2019;3689;515774;515892;Número de autónomos;76400.0;A
2019;3689;515775;516728;Número de autónomos;4550.0;A
2019;3689;515775;516748;Número de autónomos;6275.0;A
2019;3689;515775;516749;Número de autónomos;5775.0;A
2019;3689;515775;516750;Número de autónomos;6350.0;A
2019;3689;515775;516751;Número de autónomos;3200.0;A
2019;3689;515775;516752;Número de autónomos;7700.0;A
2019;3689;515775;516753;Número de autónomos;11800.0;A
2019;3689;515775;516754;Número de autónomos;10825.0;A
2019;3689;515775;515892;Número de autónomos;56675.0;A
2019;3689;515776;516728;Número de autónomos;*;A
2019;3689;515776;516748;Número de autónomos;825.0;A
2019;3689;515776;516749;Número de autónomos;*;A
2019;3689;515776;516750;Número de autónomos;625.0;A
2019;3689;515776;516751;Número de autónomos;*;A
2019;3689;515776;516752;Número de autónomos;*;A
2019;3689;515776;516753;Número de autónomos;1075.0;A
2019;3689;515776;516754;Número de autónomos;1325.0;A
2019;3689;515776;515892;Número de autónomos;5250.0;A
2019;3689;515777;516728;Número de autónomos;1225.0;A
2019;3689;515777;516748;Número de autónomos;1875.0;A
2019;3689;515777;516749;Número de autónomos;1625.0;A
2019;3689;515777;516750;Número de autónomos;1625.0;A
2019;3689;515777;516751;Número de autónomos;950.0;A
2019;3689;515777;516752;Número de autónomos;1700.0;A
2019;3689;515777;516753;Número de autónomos;2525.0;A
2019;3689;515777;516754;Número de autónomos;2875.0;A
2019;3689;515777;515892;Número de autónomos;14475.0;A
2019;3690;515771;516728;Número de autónomos;25125.0;A
2019;3690;515771;516748;Número de autónomos;24275.0;A
2019;3690;515771;516749;Número de autónomos;19700.0;A
2019;3690;515771;516750;Número de autónomos;25225.0;A
2019;3690;515771;516751;Número de autónomos;11125.0;A
2019;3690;515771;516752;Número de autónomos;15925.0;A
2019;3690;515771;516753;Número de autónomos;49875.0;A
2019;3690;515771;516754;Número de autónomos;44725.0;A
2019;3690;515771;515892;Número de autónomos;217600.0;A
2019;3690;515772;516728;Número de autónomos;20800.0;A
2019;3690;515772;516748;Número de autónomos;19875.0;A
2019;3690;515772;516749;Número de autónomos;15575.0;A
2019;3690;515772;516750;Número de autónomos;20100.0;A
2019;3690;515772;516751;Número de autónomos;8875.0;A
2019;3690;515772;516752;Número de autónomos;12875.0;A
2019;3690;515772;516753;Número de autónomos;40225.0;A
2019;3690;515772;516754;Número de autónomos;35350.0;A
2019;3690;515772;515892;Número de autónomos;175000.0;A
2019;3690;515774;516728;Número de autónomos;4325.0;A
2019;3690;515774;516748;Número de autónomos;4400.0;A
2019;3690;515774;516749;Número de autónomos;4125.0;A
2019;3690;515774;516750;Número de autónomos;5125.0;A
2019;3690;515774;516751;Número de autónomos;2250.0;A
2019;3690;515774;516752;Número de autónomos;3050.0;A
2019;3690;515774;516753;Número de autónomos;9650.0;A
2019;3690;515774;516754;Número de autónomos;9375.0;A
2019;3690;515774;515892;Número de autónomos;42600.0;A
2019;3690;515775;516728;Número de autónomos;3125.0;A
2019;3690;515775;516748;Número de autónomos;2800.0;A
2019;3690;515775;516749;Número de autónomos;2925.0;A
2019;3690;515775;516750;Número de autónomos;3500.0;A
2019;3690;515775;516751;Número de autónomos;1500.0;A
2019;3690;515775;516752;Número de autónomos;2000.0;A
2019;3690;515775;516753;Número de autónomos;6825.0;A
2019;3690;515775;516754;Número de autónomos;6500.0;A
2019;3690;515775;515892;Número de autónomos;29450.0;A
2019;3690;515776;516728;Número de autónomos;500.0;A
2019;3690;515776;516748;Número de autónomos;525.0;A
2019;3690;515776;516749;Número de autónomos;*;A
2019;3690;515776;516750;Número de autónomos;*;A
2019;3690;515776;516751;Número de autónomos;*;A
2019;3690;515776;516752;Número de autónomos;*;A
2019;3690;515776;516753;Número de autónomos;1075.0;A
2019;3690;515776;516754;Número de autónomos;975.0;A
2019;3690;515776;515892;Número de autónomos;4525.0;A
2019;3690;515777;516728;Número de autónomos;700.0;A
2019;3690;515777;516748;Número de autónomos;1075.0;A
2019;3690;515777;516749;Número de autónomos;800.0;A
2019;3690;515777;516750;Número de autónomos;1200.0;A
2019;3690;515777;516751;Número de autónomos;500.0;A
2019;3690;515777;516752;Número de autónomos;700.0;A
2019;3690;515777;516753;Número de autónomos;1750.0;A
2019;3690;515777;516754;Número de autónomos;1900.0;A
2019;3690;515777;515892;Número de autónomos;8625.0;A
2019;3691;515771;516728;Número de autónomos;66425.0;A
2019;3691;515771;516748;Número de autónomos;70425.0;A
2019;3691;515771;516749;Número de autónomos;58000.0;A
2019;3691;515771;516750;Número de autónomos;72925.0;A
2019;3691;515771;516751;Número de autónomos;33100.0;A
2019;3691;515771;516752;Número de autónomos;46475.0;A
2019;3691;515771;516753;Número de autónomos;135575.0;A
2019;3691;515771;516754;Número de autónomos;125800.0;A
2019;3691;515771;515892;Número de autónomos;613075.0;A
2019;3691;515772;516728;Número de autónomos;56050.0;A
2019;3691;515772;516748;Número de autónomos;57050.0;A
2019;3691;515772;516749;Número de autónomos;46025.0;A
2019;3691;515772;516750;Número de autónomos;59200.0;A
2019;3691;515772;516751;Número de autónomos;26325.0;A
2019;3691;515772;516752;Número de autónomos;33750.0;A
2019;3691;515772;516753;Número de autónomos;110525.0;A
2019;3691;515772;516754;Número de autónomos;101400.0;A
