D_TEMPORAL_0;D_SEXO_0;D_AA_TIPODEHOGAR_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2019;3689;515756;516728;Número de autónomos;6625.0;A
2019;3689;515756;516748;Número de autónomos;8325.0;A
2019;3689;515756;516749;Número de autónomos;4500.0;A
2019;3689;515756;516750;Número de autónomos;10275.0;A
2019;3689;515756;516751;Número de autónomos;4625.0;A
2019;3689;515756;516752;Número de autónomos;4500.0;A
2019;3689;515756;516753;Número de autónomos;14925.0;A
2019;3689;515756;516754;Número de autónomos;10525.0;A
2019;3689;515756;515892;Número de autónomos;64850.0;A
2019;3689;515757;516728;Número de autónomos;5950.0;A
2019;3689;515757;516748;Número de autónomos;7650.0;A
2019;3689;515757;516749;Número de autónomos;4400.0;A
2019;3689;515757;516750;Número de autónomos;9275.0;A
2019;3689;515757;516751;Número de autónomos;4325.0;A
2019;3689;515757;516752;Número de autónomos;4175.0;A
2019;3689;515757;516753;Número de autónomos;14000.0;A
2019;3689;515757;516754;Número de autónomos;9650.0;A
2019;3689;515757;515892;Número de autónomos;59900.0;A
2019;3689;515758;516728;Número de autónomos;675.0;A
2019;3689;515758;516748;Número de autónomos;675.0;A
2019;3689;515758;516749;Número de autónomos;*;A
2019;3689;515758;516750;Número de autónomos;1000.0;A
2019;3689;515758;516751;Número de autónomos;*;A
2019;3689;515758;516752;Número de autónomos;*;A
2019;3689;515758;516753;Número de autónomos;925.0;A
2019;3689;515758;516754;Número de autónomos;875.0;A
2019;3689;515758;515892;Número de autónomos;4950.0;A
2019;3689;515759;516728;Número de autónomos;15775.0;A
2019;3689;515759;516748;Número de autónomos;19025.0;A
2019;3689;515759;516749;Número de autónomos;16025.0;A
2019;3689;515759;516750;Número de autónomos;19325.0;A
2019;3689;515759;516751;Número de autónomos;9150.0;A
2019;3689;515759;516752;Número de autónomos;12550.0;A
2019;3689;515759;516753;Número de autónomos;32350.0;A
2019;3689;515759;516754;Número de autónomos;34050.0;A
2019;3689;515759;515892;Número de autónomos;159575.0;A
2019;3689;515761;516728;Número de autónomos;7325.0;A
2019;3689;515761;516748;Número de autónomos;8900.0;A
2019;3689;515761;516749;Número de autónomos;7175.0;A
2019;3689;515761;516750;Número de autónomos;11150.0;A
2019;3689;515761;516751;Número de autónomos;5000.0;A
2019;3689;515761;516752;Número de autónomos;6650.0;A
2019;3689;515761;516753;Número de autónomos;17275.0;A
2019;3689;515761;516754;Número de autónomos;13150.0;A
2019;3689;515761;515892;Número de autónomos;77500.0;A
2019;3689;515762;516728;Número de autónomos;8450.0;A
2019;3689;515762;516748;Número de autónomos;10125.0;A
2019;3689;515762;516749;Número de autónomos;8850.0;A
2019;3689;515762;516750;Número de autónomos;8175.0;A
2019;3689;515762;516751;Número de autónomos;4150.0;A
2019;3689;515762;516752;Número de autónomos;5900.0;A
2019;3689;515762;516753;Número de autónomos;15075.0;A
2019;3689;515762;516754;Número de autónomos;20900.0;A
2019;3689;515762;515892;Número de autónomos;82075.0;A
2019;3689;515760;516728;Número de autónomos;18000.0;A
2019;3689;515760;516748;Número de autónomos;18200.0;A
2019;3689;515760;516749;Número de autónomos;17525.0;A
2019;3689;515760;516750;Número de autónomos;16925.0;A
2019;3689;515760;516751;Número de autónomos;7700.0;A
2019;3689;515760;516752;Número de autónomos;13325.0;A
2019;3689;515760;516753;Número de autónomos;34625.0;A
2019;3689;515760;516754;Número de autónomos;35175.0;A
2019;3689;515760;515892;Número de autónomos;162275.0;A
2019;3689;515763;516728;Número de autónomos;12075.0;A
2019;3689;515763;516748;Número de autónomos;12950.0;A
2019;3689;515763;516749;Número de autónomos;12350.0;A
2019;3689;515763;516750;Número de autónomos;11750.0;A
2019;3689;515763;516751;Número de autónomos;5175.0;A
2019;3689;515763;516752;Número de autónomos;10075.0;A
2019;3689;515763;516753;Número de autónomos;22500.0;A
2019;3689;515763;516754;Número de autónomos;24400.0;A
2019;3689;515763;515892;Número de autónomos;111850.0;A
2019;3689;515764;516728;Número de autónomos;5925.0;A
2019;3689;515764;516748;Número de autónomos;5250.0;A
2019;3689;515764;516749;Número de autónomos;5175.0;A
2019;3689;515764;516750;Número de autónomos;5175.0;A
2019;3689;515764;516751;Número de autónomos;2525.0;A
2019;3689;515764;516752;Número de autónomos;3250.0;A
2019;3689;515764;516753;Número de autónomos;12125.0;A
2019;3689;515764;516754;Número de autónomos;10775.0;A
2019;3689;515764;515892;Número de autónomos;50425.0;A
2019;3689;516585;516728;Número de autónomos;900.0;A
2019;3689;516585;516748;Número de autónomos;600.0;A
2019;3689;516585;516749;Número de autónomos;*;A
2019;3689;516585;516750;Número de autónomos;1175.0;A
2019;3689;516585;516751;Número de autónomos;500.0;A
2019;3689;516585;516752;Número de autónomos;*;A
2019;3689;516585;516753;Número de autónomos;3800.0;A
2019;3689;516585;516754;Número de autónomos;1325.0;A
2019;3689;516585;515892;Número de autónomos;8775.0;A
2019;3689;515755;516728;Número de autónomos;41300.0;A
2019;3689;515755;516748;Número de autónomos;46150.0;A
2019;3689;515755;516749;Número de autónomos;38300.0;A
2019;3689;515755;516750;Número de autónomos;47700.0;A
2019;3689;515755;516751;Número de autónomos;21975.0;A
2019;3689;515755;516752;Número de autónomos;30550.0;A
2019;3689;515755;516753;Número de autónomos;85700.0;A
2019;3689;515755;516754;Número de autónomos;81075.0;A
2019;3689;515755;515892;Número de autónomos;395475.0;A
2019;3690;515756;516728;Número de autónomos;4150.0;A
2019;3690;515756;516748;Número de autónomos;4350.0;A
2019;3690;515756;516749;Número de autónomos;2425.0;A
2019;3690;515756;516750;Número de autónomos;5500.0;A
2019;3690;515756;516751;Número de autónomos;2100.0;A
2019;3690;515756;516752;Número de autónomos;2000.0;A
2019;3690;515756;516753;Número de autónomos;9325.0;A
2019;3690;515756;516754;Número de autónomos;5675.0;A
2019;3690;515756;515892;Número de autónomos;35850.0;A
2019;3690;515757;516728;Número de autónomos;3025.0;A
2019;3690;515757;516748;Número de autónomos;3125.0;A
2019;3690;515757;516749;Número de autónomos;1750.0;A
2019;3690;515757;516750;Número de autónomos;4350.0;A
2019;3690;515757;516751;Número de autónomos;1550.0;A
2019;3690;515757;516752;Número de autónomos;1425.0;A
2019;3690;515757;516753;Número de autónomos;7175.0;A
2019;3690;515757;516754;Número de autónomos;4025.0;A
2019;3690;515757;515892;Número de autónomos;26625.0;A
2019;3690;515758;516728;Número de autónomos;1125.0;A
2019;3690;515758;516748;Número de autónomos;1225.0;A
2019;3690;515758;516749;Número de autónomos;675.0;A
2019;3690;515758;516750;Número de autónomos;1150.0;A
2019;3690;515758;516751;Número de autónomos;550.0;A
2019;3690;515758;516752;Número de autónomos;575.0;A
2019;3690;515758;516753;Número de autónomos;2150.0;A
2019;3690;515758;516754;Número de autónomos;1650.0;A
2019;3690;515758;515892;Número de autónomos;9225.0;A
2019;3690;515759;516728;Número de autónomos;9850.0;A
2019;3690;515759;516748;Número de autónomos;10500.0;A
2019;3690;515759;516749;Número de autónomos;8250.0;A
2019;3690;515759;516750;Número de autónomos;10475.0;A
2019;3690;515759;516751;Número de autónomos;5000.0;A
2019;3690;515759;516752;Número de autónomos;6600.0;A
2019;3690;515759;516753;Número de autónomos;19850.0;A
2019;3690;515759;516754;Número de autónomos;19700.0;A
2019;3690;515759;515892;Número de autónomos;91150.0;A
2019;3690;515761;516728;Número de autónomos;4800.0;A
2019;3690;515761;516748;Número de autónomos;5275.0;A
2019;3690;515761;516749;Número de autónomos;3900.0;A
2019;3690;515761;516750;Número de autónomos;6375.0;A
2019;3690;515761;516751;Número de autónomos;2325.0;A
2019;3690;515761;516752;Número de autónomos;3475.0;A
2019;3690;515761;516753;Número de autónomos;10300.0;A
2019;3690;515761;516754;Número de autónomos;8300.0;A
2019;3690;515761;515892;Número de autónomos;45450.0;A
