D_TEMPORAL_0;D_SEXO_0;D_AA_TIPOULTIEMPR_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2019;3689;515779;516728;Número de autónomos;29550.0;A
2019;3689;515779;516748;Número de autónomos;31250.0;A
2019;3689;515779;516749;Número de autónomos;25400.0;A
2019;3689;515779;516750;Número de autónomos;32850.0;A
2019;3689;515779;516751;Número de autónomos;14725.0;A
2019;3689;515779;516752;Número de autónomos;21525.0;A
2019;3689;515779;516753;Número de autónomos;56800.0;A
2019;3689;515779;516754;Número de autónomos;52350.0;A
2019;3689;515779;515892;Número de autónomos;266050.0;A
2019;3689;515780;516728;Número de autónomos;4075.0;A
2019;3689;515780;516748;Número de autónomos;5175.0;A
2019;3689;515780;516749;Número de autónomos;6100.0;A
2019;3689;515780;516750;Número de autónomos;6725.0;A
2019;3689;515780;516751;Número de autónomos;3475.0;A
2019;3689;515780;516752;Número de autónomos;3850.0;A
2019;3689;515780;516753;Número de autónomos;9750.0;A
2019;3689;515780;516754;Número de autónomos;9025.0;A
2019;3689;515780;515892;Número de autónomos;48650.0;A
2019;3689;515781;516728;Número de autónomos;5650.0;A
2019;3689;515781;516748;Número de autónomos;6125.0;A
2019;3689;515781;516749;Número de autónomos;4200.0;A
2019;3689;515781;516750;Número de autónomos;5175.0;A
2019;3689;515781;516751;Número de autónomos;2275.0;A
2019;3689;515781;516752;Número de autónomos;2875.0;A
2019;3689;515781;516753;Número de autónomos;13925.0;A
2019;3689;515781;516754;Número de autónomos;14675.0;A
2019;3689;515781;515892;Número de autónomos;55450.0;A
2019;3689;515782;516728;Número de autónomos;2025.0;A
2019;3689;515782;516748;Número de autónomos;3600.0;A
2019;3689;515782;516749;Número de autónomos;2600.0;A
2019;3689;515782;516750;Número de autónomos;2950.0;A
2019;3689;515782;516751;Número de autónomos;1500.0;A
2019;3689;515782;516752;Número de autónomos;2300.0;A
2019;3689;515782;516753;Número de autónomos;5225.0;A
2019;3689;515782;516754;Número de autónomos;5025.0;A
2019;3689;515782;515892;Número de autónomos;25325.0;A
2019;3689;515778;516728;Número de autónomos;41300.0;A
2019;3689;515778;516748;Número de autónomos;46150.0;A
2019;3689;515778;516749;Número de autónomos;38300.0;A
2019;3689;515778;516750;Número de autónomos;47700.0;A
2019;3689;515778;516751;Número de autónomos;21975.0;A
2019;3689;515778;516752;Número de autónomos;30550.0;A
2019;3689;515778;516753;Número de autónomos;85700.0;A
2019;3689;515778;516754;Número de autónomos;81075.0;A
2019;3689;515778;515892;Número de autónomos;395475.0;A
2019;3690;515779;516728;Número de autónomos;18000.0;A
2019;3690;515779;516748;Número de autónomos;16325.0;A
2019;3690;515779;516749;Número de autónomos;12450.0;A
2019;3690;515779;516750;Número de autónomos;17550.0;A
2019;3690;515779;516751;Número de autónomos;7025.0;A
2019;3690;515779;516752;Número de autónomos;11075.0;A
2019;3690;515779;516753;Número de autónomos;33425.0;A
2019;3690;515779;516754;Número de autónomos;30875.0;A
2019;3690;515779;515892;Número de autónomos;147675.0;A
2019;3690;515780;516728;Número de autónomos;2450.0;A
2019;3690;515780;516748;Número de autónomos;2550.0;A
2019;3690;515780;516749;Número de autónomos;2550.0;A
2019;3690;515780;516750;Número de autónomos;2675.0;A
2019;3690;515780;516751;Número de autónomos;1550.0;A
2019;3690;515780;516752;Número de autónomos;1725.0;A
2019;3690;515780;516753;Número de autónomos;4675.0;A
2019;3690;515780;516754;Número de autónomos;3300.0;A
2019;3690;515780;515892;Número de autónomos;21725.0;A
2019;3690;515781;516728;Número de autónomos;1825.0;A
2019;3690;515781;516748;Número de autónomos;1925.0;A
2019;3690;515781;516749;Número de autónomos;1675.0;A
2019;3690;515781;516750;Número de autónomos;1900.0;A
2019;3690;515781;516751;Número de autónomos;750.0;A
2019;3690;515781;516752;Número de autónomos;875.0;A
2019;3690;515781;516753;Número de autónomos;5150.0;A
2019;3690;515781;516754;Número de autónomos;4750.0;A
2019;3690;515781;515892;Número de autónomos;19125.0;A
2019;3690;515782;516728;Número de autónomos;2850.0;A
2019;3690;515782;516748;Número de autónomos;3475.0;A
2019;3690;515782;516749;Número de autónomos;3025.0;A
2019;3690;515782;516750;Número de autónomos;3100.0;A
2019;3690;515782;516751;Número de autónomos;1800.0;A
2019;3690;515782;516752;Número de autónomos;2250.0;A
2019;3690;515782;516753;Número de autónomos;6625.0;A
2019;3690;515782;516754;Número de autónomos;5800.0;A
2019;3690;515782;515892;Número de autónomos;29075.0;A
2019;3690;515778;516728;Número de autónomos;25125.0;A
2019;3690;515778;516748;Número de autónomos;24275.0;A
