D_TEMPORAL_0;D_SEXO_0;D_AA_SITPREVULTEM_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2019;3689;515798;516728;Número de autónomos;22375.0;A
2019;3689;515798;516748;Número de autónomos;21725.0;A
2019;3689;515798;516749;Número de autónomos;18800.0;A
2019;3689;515798;516750;Número de autónomos;21650.0;A
2019;3689;515798;516751;Número de autónomos;10450.0;A
2019;3689;515798;516752;Número de autónomos;16025.0;A
2019;3689;515798;516753;Número de autónomos;36350.0;A
2019;3689;515798;516754;Número de autónomos;38050.0;A
2019;3689;515798;515892;Número de autónomos;186675.0;A
2019;3689;518710;516728;Número de autónomos;5025.0;A
2019;3689;518710;516748;Número de autónomos;7850.0;A
2019;3689;518710;516749;Número de autónomos;5525.0;A
2019;3689;518710;516750;Número de autónomos;7025.0;A
2019;3689;518710;516751;Número de autónomos;2750.0;A
2019;3689;518710;516752;Número de autónomos;4300.0;A
2019;3689;518710;516753;Número de autónomos;12200.0;A
2019;3689;518710;516754;Número de autónomos;13725.0;A
2019;3689;518710;515892;Número de autónomos;58900.0;A
2019;3689;515799;516728;Número de autónomos;17350.0;A
2019;3689;515799;516748;Número de autónomos;13875.0;A
2019;3689;515799;516749;Número de autónomos;13275.0;A
2019;3689;515799;516750;Número de autónomos;14625.0;A
2019;3689;515799;516751;Número de autónomos;7700.0;A
2019;3689;515799;516752;Número de autónomos;11725.0;A
2019;3689;515799;516753;Número de autónomos;24150.0;A
2019;3689;515799;516754;Número de autónomos;24325.0;A
2019;3689;515799;515892;Número de autónomos;127775.0;A
2019;3689;518711;516728;Número de autónomos;18925.0;A
2019;3689;518711;516748;Número de autónomos;24425.0;A
2019;3689;518711;516749;Número de autónomos;19500.0;A
2019;3689;518711;516750;Número de autónomos;26050.0;A
2019;3689;518711;516751;Número de autónomos;11525.0;A
2019;3689;518711;516752;Número de autónomos;14525.0;A
2019;3689;518711;516753;Número de autónomos;49350.0;A
2019;3689;518711;516754;Número de autónomos;43025.0;A
2019;3689;518711;515892;Número de autónomos;208800.0;A
2019;3689;518712;516728;Número de autónomos;3800.0;A
2019;3689;518712;516748;Número de autónomos;4125.0;A
2019;3689;518712;516749;Número de autónomos;3850.0;A
2019;3689;518712;516750;Número de autónomos;4750.0;A
2019;3689;518712;516751;Número de autónomos;2075.0;A
2019;3689;518712;516752;Número de autónomos;2600.0;A
2019;3689;518712;516753;Número de autónomos;11225.0;A
2019;3689;518712;516754;Número de autónomos;6825.0;A
2019;3689;518712;515892;Número de autónomos;39500.0;A
2019;3689;518713;516728;Número de autónomos;11675.0;A
2019;3689;518713;516748;Número de autónomos;15250.0;A
2019;3689;518713;516749;Número de autónomos;11975.0;A
2019;3689;518713;516750;Número de autónomos;15800.0;A
2019;3689;518713;516751;Número de autónomos;7400.0;A
2019;3689;518713;516752;Número de autónomos;8975.0;A
2019;3689;518713;516753;Número de autónomos;29025.0;A
2019;3689;518713;516754;Número de autónomos;26150.0;A
2019;3689;518713;515892;Número de autónomos;127150.0;A
2019;3689;518714;516728;Número de autónomos;3450.0;A
2019;3689;518714;516748;Número de autónomos;5050.0;A
2019;3689;518714;516749;Número de autónomos;3675.0;A
2019;3689;518714;516750;Número de autónomos;5500.0;A
2019;3689;518714;516751;Número de autónomos;2050.0;A
2019;3689;518714;516752;Número de autónomos;2950.0;A
2019;3689;518714;516753;Número de autónomos;9100.0;A
