D_TEMPORAL_0;D_SEXO_0;D_MCVL_SECTORACTIVIDAD_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2019;3689;55152;516728;Número de autónomos;14000.0;A
2019;3689;55152;516748;Número de autónomos;2450.0;A
2019;3689;55152;516749;Número de autónomos;5225.0;A
2019;3689;55152;516750;Número de autónomos;5425.0;A
2019;3689;55152;516751;Número de autónomos;2975.0;A
2019;3689;55152;516752;Número de autónomos;4675.0;A
2019;3689;55152;516753;Número de autónomos;3575.0;A
2019;3689;55152;516754;Número de autónomos;4725.0;A
2019;3689;55152;515892;Número de autónomos;43175.0;A
2019;3689;55153;516728;Número de autónomos;1700.0;A
2019;3689;55153;516748;Número de autónomos;2525.0;A
2019;3689;55153;516749;Número de autónomos;3875.0;A
2019;3689;55153;516750;Número de autónomos;3325.0;A
2019;3689;55153;516751;Número de autónomos;1475.0;A
2019;3689;55153;516752;Número de autónomos;3425.0;A
2019;3689;55153;516753;Número de autónomos;4225.0;A
2019;3689;55153;516754;Número de autónomos;5600.0;A
2019;3689;55153;515892;Número de autónomos;26400.0;A
2019;3689;55154;516728;Número de autónomos;4525.0;A
2019;3689;55154;516748;Número de autónomos;5600.0;A
2019;3689;55154;516749;Número de autónomos;4850.0;A
2019;3689;55154;516750;Número de autónomos;6925.0;A
2019;3689;55154;516751;Número de autónomos;2450.0;A
2019;3689;55154;516752;Número de autónomos;4125.0;A
2019;3689;55154;516753;Número de autónomos;13275.0;A
2019;3689;55154;516754;Número de autónomos;9600.0;A
2019;3689;55154;515892;Número de autónomos;51725.0;A
2019;3689;55155;516728;Número de autónomos;10875.0;A
2019;3689;55155;516748;Número de autónomos;19100.0;A
2019;3689;55155;516749;Número de autónomos;13050.0;A
2019;3689;55155;516750;Número de autónomos;17000.0;A
2019;3689;55155;516751;Número de autónomos;8525.0;A
2019;3689;55155;516752;Número de autónomos;10275.0;A
2019;3689;55155;516753;Número de autónomos;30750.0;A
2019;3689;55155;516754;Número de autónomos;29675.0;A
2019;3689;55155;515892;Número de autónomos;140200.0;A
2019;3689;OTRO_SERV;516728;Número de autónomos;10200.0;A
2019;3689;OTRO_SERV;516748;Número de autónomos;16475.0;A
2019;3689;OTRO_SERV;516749;Número de autónomos;11300.0;A
2019;3689;OTRO_SERV;516750;Número de autónomos;15025.0;A
2019;3689;OTRO_SERV;516751;Número de autónomos;6550.0;A
2019;3689;OTRO_SERV;516752;Número de autónomos;8050.0;A
2019;3689;OTRO_SERV;516753;Número de autónomos;33875.0;A
2019;3689;OTRO_SERV;516754;Número de autónomos;31475.0;A
2019;3689;OTRO_SERV;515892;Número de autónomos;133975.0;A
2019;3689;55158;516728;Número de autónomos;41300.0;A
2019;3689;55158;516748;Número de autónomos;46150.0;A
2019;3689;55158;516749;Número de autónomos;38300.0;A
2019;3689;55158;516750;Número de autónomos;47700.0;A
2019;3689;55158;516751;Número de autónomos;21975.0;A
2019;3689;55158;516752;Número de autónomos;30550.0;A
2019;3689;55158;516753;Número de autónomos;85700.0;A
2019;3689;55158;516754;Número de autónomos;81075.0;A
2019;3689;55158;515892;Número de autónomos;395475.0;A
2019;3690;55152;516728;Número de autónomos;7325.0;A
2019;3690;55152;516748;Número de autónomos;650.0;A
2019;3690;55152;516749;Número de autónomos;2050.0;A
2019;3690;55152;516750;Número de autónomos;2275.0;A
2019;3690;55152;516751;Número de autónomos;1125.0;A
2019;3690;55152;516752;Número de autónomos;1475.0;A
2019;3690;55152;516753;Número de autónomos;1225.0;A
2019;3690;55152;516754;Número de autónomos;2275.0;A
2019;3690;55152;515892;Número de autónomos;18425.0;A
2019;3690;55153;516728;Número de autónomos;600.0;A
2019;3690;55153;516748;Número de autónomos;725.0;A
2019;3690;55153;516749;Número de autónomos;1225.0;A
2019;3690;55153;516750;Número de autónomos;1050.0;A
2019;3690;55153;516751;Número de autónomos;*;A
2019;3690;55153;516752;Número de autónomos;1075.0;A
2019;3690;55153;516753;Número de autónomos;1575.0;A
2019;3690;55153;516754;Número de autónomos;2125.0;A
2019;3690;55153;515892;Número de autónomos;8700.0;A
2019;3690;55154;516728;Número de autónomos;500.0;A
2019;3690;55154;516748;Número de autónomos;800.0;A
2019;3690;55154;516749;Número de autónomos;*;A
2019;3690;55154;516750;Número de autónomos;*;A
2019;3690;55154;516751;Número de autónomos;*;A
2019;3690;55154;516752;Número de autónomos;*;A
2019;3690;55154;516753;Número de autónomos;1925.0;A
2019;3690;55154;516754;Número de autónomos;1250.0;A
2019;3690;55154;515892;Número de autónomos;6050.0;A
2019;3690;55155;516728;Número de autónomos;8425.0;A
2019;3690;55155;516748;Número de autónomos;11325.0;A
2019;3690;55155;516749;Número de autónomos;8525.0;A
2019;3690;55155;516750;Número de autónomos;9925.0;A
2019;3690;55155;516751;Número de autónomos;5425.0;A
2019;3690;55155;516752;Número de autónomos;6950.0;A
2019;3690;55155;516753;Número de autónomos;20500.0;A
2019;3690;55155;516754;Número de autónomos;19500.0;A
2019;3690;55155;515892;Número de autónomos;91350.0;A
2019;3690;OTRO_SERV;516728;Número de autónomos;8275.0;A
2019;3690;OTRO_SERV;516748;Número de autónomos;10775.0;A
2019;3690;OTRO_SERV;516749;Número de autónomos;7450.0;A
2019;3690;OTRO_SERV;516750;Número de autónomos;11550.0;A
2019;3690;OTRO_SERV;516751;Número de autónomos;4050.0;A
2019;3690;OTRO_SERV;516752;Número de autónomos;6075.0;A
2019;3690;OTRO_SERV;516753;Número de autónomos;24650.0;A
2019;3690;OTRO_SERV;516754;Número de autónomos;19575.0;A
2019;3690;OTRO_SERV;515892;Número de autónomos;93075.0;A
2019;3690;55158;516728;Número de autónomos;25125.0;A
2019;3690;55158;516748;Número de autónomos;24275.0;A
2019;3690;55158;516749;Número de autónomos;19700.0;A
2019;3690;55158;516750;Número de autónomos;25225.0;A
2019;3690;55158;516751;Número de autónomos;11125.0;A
2019;3690;55158;516752;Número de autónomos;15925.0;A
2019;3690;55158;516753;Número de autónomos;49875.0;A
2019;3690;55158;516754;Número de autónomos;44725.0;A
2019;3690;55158;515892;Número de autónomos;217600.0;A
2019;3691;55152;516728;Número de autónomos;21325.0;A
2019;3691;55152;516748;Número de autónomos;3100.0;A
2019;3691;55152;516749;Número de autónomos;7275.0;A
2019;3691;55152;516750;Número de autónomos;7700.0;A
2019;3691;55152;516751;Número de autónomos;4100.0;A
2019;3691;55152;516752;Número de autónomos;6150.0;A
2019;3691;55152;516753;Número de autónomos;4800.0;A
2019;3691;55152;516754;Número de autónomos;7000.0;A
2019;3691;55152;515892;Número de autónomos;61600.0;A
2019;3691;55153;516728;Número de autónomos;2300.0;A
2019;3691;55153;516748;Número de autónomos;3250.0;A
2019;3691;55153;516749;Número de autónomos;5100.0;A
2019;3691;55153;516750;Número de autónomos;4375.0;A
2019;3691;55153;516751;Número de autónomos;1750.0;A
2019;3691;55153;516752;Número de autónomos;4500.0;A
2019;3691;55153;516753;Número de autónomos;5800.0;A
2019;3691;55153;516754;Número de autónomos;7725.0;A
2019;3691;55153;515892;Número de autónomos;35100.0;A
2019;3691;55154;516728;Número de autónomos;5025.0;A
2019;3691;55154;516748;Número de autónomos;6400.0;A
2019;3691;55154;516749;Número de autónomos;5300.0;A
2019;3691;55154;516750;Número de autónomos;7350.0;A
2019;3691;55154;516751;Número de autónomos;2700.0;A
2019;3691;55154;516752;Número de autónomos;4475.0;A
2019;3691;55154;516753;Número de autónomos;15200.0;A
2019;3691;55154;516754;Número de autónomos;10850.0;A
2019;3691;55154;515892;Número de autónomos;57775.0;A
2019;3691;55155;516728;Número de autónomos;19300.0;A
2019;3691;55155;516748;Número de autónomos;30425.0;A
2019;3691;55155;516749;Número de autónomos;21575.0;A
2019;3691;55155;516750;Número de autónomos;26925.0;A
2019;3691;55155;516751;Número de autónomos;13950.0;A
2019;3691;55155;516752;Número de autónomos;17225.0;A
2019;3691;55155;516753;Número de autónomos;51250.0;A
2019;3691;55155;516754;Número de autónomos;49175.0;A
2019;3691;55155;515892;Número de autónomos;231550.0;A
2019;3691;OTRO_SERV;516728;Número de autónomos;18475.0;A
2019;3691;OTRO_SERV;516748;Número de autónomos;27250.0;A
2019;3691;OTRO_SERV;516749;Número de autónomos;18750.0;A
2019;3691;OTRO_SERV;516750;Número de autónomos;26575.0;A
2019;3691;OTRO_SERV;516751;Número de autónomos;10600.0;A
2019;3691;OTRO_SERV;516752;Número de autónomos;14125.0;A
2019;3691;OTRO_SERV;516753;Número de autónomos;58525.0;A
2019;3691;OTRO_SERV;516754;Número de autónomos;51050.0;A
2019;3691;OTRO_SERV;515892;Número de autónomos;227050.0;A
2019;3691;55158;516728;Número de autónomos;66425.0;A
2019;3691;55158;516748;Número de autónomos;70425.0;A
2019;3691;55158;516749;Número de autónomos;58000.0;A
2019;3691;55158;516750;Número de autónomos;72925.0;A
2019;3691;55158;516751;Número de autónomos;33100.0;A
2019;3691;55158;516752;Número de autónomos;46475.0;A
2019;3691;55158;516753;Número de autónomos;135575.0;A
2019;3691;55158;516754;Número de autónomos;125800.0;A
2019;3691;55158;515892;Número de autónomos;613075.0;A
2020;3689;55152;516728;Número de autónomos;14025.0;A
2020;3689;55152;516748;Número de autónomos;2600.0;A
2020;3689;55152;516749;Número de autónomos;5350.0;A
2020;3689;55152;516750;Número de autónomos;5650.0;A
2020;3689;55152;516751;Número de autónomos;3100.0;A
2020;3689;55152;516752;Número de autónomos;4700.0;A
2020;3689;55152;516753;Número de autónomos;3850.0;A
2020;3689;55152;516754;Número de autónomos;4925.0;A
2020;3689;55152;515892;Número de autónomos;44325.0;A
2020;3689;55153;516728;Número de autónomos;1525.0;A
2020;3689;55153;516748;Número de autónomos;2425.0;A
2020;3689;55153;516749;Número de autónomos;3850.0;A
2020;3689;55153;516750;Número de autónomos;3275.0;A
2020;3689;55153;516751;Número de autónomos;1450.0;A
2020;3689;55153;516752;Número de autónomos;3225.0;A
2020;3689;55153;516753;Número de autónomos;3925.0;A
2020;3689;55153;516754;Número de autónomos;5275.0;A
2020;3689;55153;515892;Número de autónomos;25200.0;A
2020;3689;55154;516728;Número de autónomos;4725.0;A
2020;3689;55154;516748;Número de autónomos;5675.0;A
2020;3689;55154;516749;Número de autónomos;4425.0;A
2020;3689;55154;516750;Número de autónomos;7325.0;A
2020;3689;55154;516751;Número de autónomos;2475.0;A
2020;3689;55154;516752;Número de autónomos;4300.0;A
2020;3689;55154;516753;Número de autónomos;13400.0;A
2020;3689;55154;516754;Número de autónomos;9600.0;A
2020;3689;55154;515892;Número de autónomos;52275.0;A
2020;3689;55155;516728;Número de autónomos;10850.0;A
2020;3689;55155;516748;Número de autónomos;18600.0;A
2020;3689;55155;516749;Número de autónomos;12475.0;A
2020;3689;55155;516750;Número de autónomos;16450.0;A
2020;3689;55155;516751;Número de autónomos;8325.0;A
2020;3689;55155;516752;Número de autónomos;9975.0;A
2020;3689;55155;516753;Número de autónomos;30375.0;A
2020;3689;55155;516754;Número de autónomos;29150.0;A
2020;3689;55155;515892;Número de autónomos;137175.0;A
2020;3689;OTRO_SERV;516728;Número de autónomos;10475.0;A
2020;3689;OTRO_SERV;516748;Número de autónomos;16625.0;A
2020;3689;OTRO_SERV;516749;Número de autónomos;11025.0;A
2020;3689;OTRO_SERV;516750;Número de autónomos;14750.0;A
2020;3689;OTRO_SERV;516751;Número de autónomos;6650.0;A
2020;3689;OTRO_SERV;516752;Número de autónomos;7875.0;A
2020;3689;OTRO_SERV;516753;Número de autónomos;34425.0;A
2020;3689;OTRO_SERV;516754;Número de autónomos;31525.0;A
2020;3689;OTRO_SERV;515892;Número de autónomos;134325.0;A
2020;3689;55158;516728;Número de autónomos;41600.0;A
2020;3689;55158;516748;Número de autónomos;45925.0;A
2020;3689;55158;516749;Número de autónomos;37125.0;A
2020;3689;55158;516750;Número de autónomos;47450.0;A
2020;3689;55158;516751;Número de autónomos;22000.0;A
2020;3689;55158;516752;Número de autónomos;30075.0;A
2020;3689;55158;516753;Número de autónomos;85975.0;A
2020;3689;55158;516754;Número de autónomos;80475.0;A
2020;3689;55158;515892;Número de autónomos;393300.0;A
2020;3690;55152;516728;Número de autónomos;7875.0;A
2020;3690;55152;516748;Número de autónomos;650.0;A
2020;3690;55152;516749;Número de autónomos;1975.0;A
2020;3690;55152;516750;Número de autónomos;2325.0;A
2020;3690;55152;516751;Número de autónomos;1100.0;A
2020;3690;55152;516752;Número de autónomos;1500.0;A
2020;3690;55152;516753;Número de autónomos;1200.0;A
2020;3690;55152;516754;Número de autónomos;2400.0;A
2020;3690;55152;515892;Número de autónomos;19050.0;A
2020;3690;55153;516728;Número de autónomos;575.0;A
2020;3690;55153;516748;Número de autónomos;800.0;A
2020;3690;55153;516749;Número de autónomos;1225.0;A
2020;3690;55153;516750;Número de autónomos;1075.0;A
2020;3690;55153;516751;Número de autónomos;*;A
2020;3690;55153;516752;Número de autónomos;975.0;A
2020;3690;55153;516753;Número de autónomos;1575.0;A
2020;3690;55153;516754;Número de autónomos;1975.0;A
2020;3690;55153;515892;Número de autónomos;8525.0;A
2020;3690;55154;516728;Número de autónomos;*;A
2020;3690;55154;516748;Número de autónomos;725.0;A
2020;3690;55154;516749;Número de autónomos;500.0;A
2020;3690;55154;516750;Número de autónomos;*;A
2020;3690;55154;516751;Número de autónomos;*;A
2020;3690;55154;516752;Número de autónomos;*;A
2020;3690;55154;516753;Número de autónomos;1800.0;A
2020;3690;55154;516754;Número de autónomos;1200.0;A
2020;3690;55154;515892;Número de autónomos;5825.0;A
2020;3690;55155;516728;Número de autónomos;7950.0;A
2020;3690;55155;516748;Número de autónomos;10975.0;A
2020;3690;55155;516749;Número de autónomos;8025.0;A
2020;3690;55155;516750;Número de autónomos;9850.0;A
2020;3690;55155;516751;Número de autónomos;5225.0;A
2020;3690;55155;516752;Número de autónomos;7025.0;A
2020;3690;55155;516753;Número de autónomos;19675.0;A
2020;3690;55155;516754;Número de autónomos;18500.0;A
2020;3690;55155;515892;Número de autónomos;87975.0;A
2020;3690;OTRO_SERV;516728;Número de autónomos;8500.0;A
2020;3690;OTRO_SERV;516748;Número de autónomos;10925.0;A
2020;3690;OTRO_SERV;516749;Número de autónomos;7800.0;A
2020;3690;OTRO_SERV;516750;Número de autónomos;11350.0;A
2020;3690;OTRO_SERV;516751;Número de autónomos;4375.0;A
2020;3690;OTRO_SERV;516752;Número de autónomos;5825.0;A
2020;3690;OTRO_SERV;516753;Número de autónomos;24850.0;A
2020;3690;OTRO_SERV;516754;Número de autónomos;20725.0;A
2020;3690;OTRO_SERV;515892;Número de autónomos;95075.0;A
2020;3690;55158;516728;Número de autónomos;25375.0;A
2020;3690;55158;516748;Número de autónomos;24075.0;A
2020;3690;55158;516749;Número de autónomos;19525.0;A
2020;3690;55158;516750;Número de autónomos;25000.0;A
2020;3690;55158;516751;Número de autónomos;11275.0;A
2020;3690;55158;516752;Número de autónomos;15725.0;A
2020;3690;55158;516753;Número de autónomos;49100.0;A
2020;3690;55158;516754;Número de autónomos;44800.0;A
2020;3690;55158;515892;Número de autónomos;216450.0;A
2020;3691;55152;516728;Número de autónomos;21900.0;A
2020;3691;55152;516748;Número de autónomos;3250.0;A
2020;3691;55152;516749;Número de autónomos;7325.0;A
2020;3691;55152;516750;Número de autónomos;7975.0;A
2020;3691;55152;516751;Número de autónomos;4200.0;A
2020;3691;55152;516752;Número de autónomos;6200.0;A
2020;3691;55152;516753;Número de autónomos;5050.0;A
2020;3691;55152;516754;Número de autónomos;7325.0;A
2020;3691;55152;515892;Número de autónomos;63375.0;A
2020;3691;55153;516728;Número de autónomos;2100.0;A
2020;3691;55153;516748;Número de autónomos;3225.0;A
2020;3691;55153;516749;Número de autónomos;5075.0;A
2020;3691;55153;516750;Número de autónomos;4350.0;A
2020;3691;55153;516751;Número de autónomos;1725.0;A
2020;3691;55153;516752;Número de autónomos;4200.0;A
2020;3691;55153;516753;Número de autónomos;5500.0;A
2020;3691;55153;516754;Número de autónomos;7250.0;A
2020;3691;55153;515892;Número de autónomos;33725.0;A
2020;3691;55154;516728;Número de autónomos;5200.0;A
2020;3691;55154;516748;Número de autónomos;6400.0;A
2020;3691;55154;516749;Número de autónomos;4925.0;A
2020;3691;55154;516750;Número de autónomos;7725.0;A
2020;3691;55154;516751;Número de autónomos;2775.0;A
2020;3691;55154;516752;Número de autónomos;4700.0;A
2020;3691;55154;516753;Número de autónomos;15200.0;A
2020;3691;55154;516754;Número de autónomos;10800.0;A
2020;3691;55154;515892;Número de autónomos;58100.0;A
2020;3691;55155;516728;Número de autónomos;18800.0;A
2020;3691;55155;516748;Número de autónomos;29575.0;A
2020;3691;55155;516749;Número de autónomos;20500.0;A
2020;3691;55155;516750;Número de autónomos;26300.0;A
2020;3691;55155;516751;Número de autónomos;13550.0;A
2020;3691;55155;516752;Número de autónomos;17000.0;A
2020;3691;55155;516753;Número de autónomos;50050.0;A
2020;3691;55155;516754;Número de autónomos;47650.0;A
2020;3691;55155;515892;Número de autónomos;225150.0;A
2020;3691;OTRO_SERV;516728;Número de autónomos;18975.0;A
2020;3691;OTRO_SERV;516748;Número de autónomos;27550.0;A
2020;3691;OTRO_SERV;516749;Número de autónomos;18825.0;A
2020;3691;OTRO_SERV;516750;Número de autónomos;26100.0;A
2020;3691;OTRO_SERV;516751;Número de autónomos;11025.0;A
2020;3691;OTRO_SERV;516752;Número de autónomos;13700.0;A
2020;3691;OTRO_SERV;516753;Número de autónomos;59275.0;A
2020;3691;OTRO_SERV;516754;Número de autónomos;52250.0;A
2020;3691;OTRO_SERV;515892;Número de autónomos;229400.0;A
2020;3691;55158;516728;Número de autónomos;66975.0;A
2020;3691;55158;516748;Número de autónomos;70000.0;A
2020;3691;55158;516749;Número de autónomos;56650.0;A
2020;3691;55158;516750;Número de autónomos;72450.0;A
2020;3691;55158;516751;Número de autónomos;33275.0;A
2020;3691;55158;516752;Número de autónomos;45800.0;A
2020;3691;55158;516753;Número de autónomos;135075.0;A
2020;3691;55158;516754;Número de autónomos;125275.0;A
2020;3691;55158;515892;Número de autónomos;609750.0;A
