D_TEMPORAL_0;D_SEXO_0;D_AA_BASECOTIZAC_0;D_AA_TERRITROIO_0;INDICATOR;OBS_VALUE;FREQ
2019;3689;515815;516728;Número de autónomos;29425.0;A
2019;3689;515815;516748;Número de autónomos;32125.0;A
2019;3689;515815;516749;Número de autónomos;25850.0;A
2019;3689;515815;516750;Número de autónomos;33050.0;A
2019;3689;515815;516751;Número de autónomos;14400.0;A
2019;3689;515815;516752;Número de autónomos;21275.0;A
2019;3689;515815;516753;Número de autónomos;53850.0;A
2019;3689;515815;516754;Número de autónomos;52050.0;A
2019;3689;515815;515892;Número de autónomos;263550.0;A
2019;3689;515816;516728;Número de autónomos;9475.0;A
2019;3689;515816;516748;Número de autónomos;10650.0;A
2019;3689;515816;516749;Número de autónomos;9325.0;A
2019;3689;515816;516750;Número de autónomos;10750.0;A
2019;3689;515816;516751;Número de autónomos;5975.0;A
2019;3689;515816;516752;Número de autónomos;7050.0;A
2019;3689;515816;516753;Número de autónomos;25400.0;A
2019;3689;515816;516754;Número de autónomos;22075.0;A
2019;3689;515816;515892;Número de autónomos;101725.0;A
2019;3689;515817;516728;Número de autónomos;2400.0;A
2019;3689;515817;516748;Número de autónomos;3375.0;A
2019;3689;515817;516749;Número de autónomos;3125.0;A
2019;3689;515817;516750;Número de autónomos;3900.0;A
2019;3689;515817;516751;Número de autónomos;1600.0;A
2019;3689;515817;516752;Número de autónomos;2225.0;A
2019;3689;515817;516753;Número de autónomos;6450.0;A
2019;3689;515817;516754;Número de autónomos;6950.0;A
2019;3689;515817;515892;Número de autónomos;30200.0;A
2019;3689;515814;516728;Número de autónomos;41300.0;A
2019;3689;515814;516748;Número de autónomos;46150.0;A
2019;3689;515814;516749;Número de autónomos;38300.0;A
2019;3689;515814;516750;Número de autónomos;47700.0;A
2019;3689;515814;516751;Número de autónomos;21975.0;A
2019;3689;515814;516752;Número de autónomos;30550.0;A
2019;3689;515814;516753;Número de autónomos;85700.0;A
2019;3689;515814;516754;Número de autónomos;81075.0;A
2019;3689;515814;515892;Número de autónomos;395475.0;A
2019;3690;515815;516728;Número de autónomos;19300.0;A
2019;3690;515815;516748;Número de autónomos;17450.0;A
2019;3690;515815;516749;Número de autónomos;14175.0;A
2019;3690;515815;516750;Número de autónomos;18725.0;A
2019;3690;515815;516751;Número de autónomos;8125.0;A
2019;3690;515815;516752;Número de autónomos;12450.0;A
2019;3690;515815;516753;Número de autónomos;34425.0;A
2019;3690;515815;516754;Número de autónomos;32750.0;A
2019;3690;515815;515892;Número de autónomos;158500.0;A
2019;3690;515816;516728;Número de autónomos;4950.0;A
2019;3690;515816;516748;Número de autónomos;5850.0;A
2019;3690;515816;516749;Número de autónomos;4850.0;A
2019;3690;515816;516750;Número de autónomos;5300.0;A
2019;3690;515816;516751;Número de autónomos;2700.0;A
2019;3690;515816;516752;Número de autónomos;3025.0;A
2019;3690;515816;516753;Número de autónomos;13450.0;A
2019;3690;515816;516754;Número de autónomos;10575.0;A
2019;3690;515816;515892;Número de autónomos;51150.0;A
2019;3690;515817;516728;Número de autónomos;875.0;A
2019;3690;515817;516748;Número de autónomos;975.0;A
2019;3690;515817;516749;Número de autónomos;675.0;A
2019;3690;515817;516750;Número de autónomos;1200.0;A
2019;3690;515817;516751;Número de autónomos;*;A
2019;3690;515817;516752;Número de autónomos;*;A
2019;3690;515817;516753;Número de autónomos;2000.0;A
2019;3690;515817;516754;Número de autónomos;1400.0;A
2019;3690;515817;515892;Número de autónomos;7950.0;A
2019;3690;515814;516728;Número de autónomos;25125.0;A
2019;3690;515814;516748;Número de autónomos;24275.0;A
2019;3690;515814;516749;Número de autónomos;19700.0;A
2019;3690;515814;516750;Número de autónomos;25225.0;A
2019;3690;515814;516751;Número de autónomos;11125.0;A
2019;3690;515814;516752;Número de autónomos;15925.0;A
2019;3690;515814;516753;Número de autónomos;49875.0;A
2019;3690;515814;516754;Número de autónomos;44725.0;A
2019;3690;515814;515892;Número de autónomos;217600.0;A
2019;3691;515815;516728;Número de autónomos;48725.0;A
2019;3691;515815;516748;Número de autónomos;49575.0;A
2019;3691;515815;516749;Número de autónomos;40025.0;A
2019;3691;515815;516750;Número de autónomos;51775.0;A
2019;3691;515815;516751;Número de autónomos;22525.0;A
2019;3691;515815;516752;Número de autónomos;33725.0;A
2019;3691;515815;516753;Número de autónomos;88275.0;A
2019;3691;515815;516754;Número de autónomos;84800.0;A
2019;3691;515815;515892;Número de autónomos;422050.0;A
2019;3691;515816;516728;Número de autónomos;14425.0;A
2019;3691;515816;516748;Número de autónomos;16500.0;A
2019;3691;515816;516749;Número de autónomos;14175.0;A
2019;3691;515816;516750;Número de autónomos;16050.0;A
2019;3691;515816;516751;Número de autónomos;8675.0;A
2019;3691;515816;516752;Número de autónomos;10075.0;A
2019;3691;515816;516753;Número de autónomos;38850.0;A
2019;3691;515816;516754;Número de autónomos;32650.0;A
2019;3691;515816;515892;Número de autónomos;152875.0;A
2019;3691;515817;516728;Número de autónomos;3275.0;A
2019;3691;515817;516748;Número de autónomos;4350.0;A
2019;3691;515817;516749;Número de autónomos;3800.0;A
2019;3691;515817;516750;Número de autónomos;5100.0;A
2019;3691;515817;516751;Número de autónomos;1900.0;A
2019;3691;515817;516752;Número de autónomos;2675.0;A
2019;3691;515817;516753;Número de autónomos;8450.0;A
2019;3691;515817;516754;Número de autónomos;8350.0;A
2019;3691;515817;515892;Número de autónomos;38150.0;A
2019;3691;515814;516728;Número de autónomos;66425.0;A
2019;3691;515814;516748;Número de autónomos;70425.0;A
2019;3691;515814;516749;Número de autónomos;58000.0;A
2019;3691;515814;516750;Número de autónomos;72925.0;A
2019;3691;515814;516751;Número de autónomos;33100.0;A
2019;3691;515814;516752;Número de autónomos;46475.0;A
2019;3691;515814;516753;Número de autónomos;135575.0;A
2019;3691;515814;516754;Número de autónomos;125800.0;A
2019;3691;515814;515892;Número de autónomos;613075.0;A
2020;3689;515815;516728;Número de autónomos;29400.0;A
2020;3689;515815;516748;Número de autónomos;31800.0;A
2020;3689;515815;516749;Número de autónomos;24800.0;A
2020;3689;515815;516750;Número de autónomos;32425.0;A
2020;3689;515815;516751;Número de autónomos;13925.0;A
2020;3689;515815;516752;Número de autónomos;20800.0;A
2020;3689;515815;516753;Número de autónomos;53950.0;A
2020;3689;515815;516754;Número de autónomos;51150.0;A
2020;3689;515815;515892;Número de autónomos;259600.0;A
2020;3689;515816;516728;Número de autónomos;9825.0;A
2020;3689;515816;516748;Número de autónomos;10725.0;A
2020;3689;515816;516749;Número de autónomos;9275.0;A
2020;3689;515816;516750;Número de autónomos;11300.0;A
2020;3689;515816;516751;Número de autónomos;6300.0;A
2020;3689;515816;516752;Número de autónomos;7075.0;A
2020;3689;515816;516753;Número de autónomos;25750.0;A
2020;3689;515816;516754;Número de autónomos;22375.0;A
2020;3689;515816;515892;Número de autónomos;103750.0;A
2020;3689;515817;516728;Número de autónomos;2375.0;A
2020;3689;515817;516748;Número de autónomos;3400.0;A
2020;3689;515817;516749;Número de autónomos;3050.0;A
2020;3689;515817;516750;Número de autónomos;3725.0;A
2020;3689;515817;516751;Número de autónomos;1775.0;A
2020;3689;515817;516752;Número de autónomos;2200.0;A
2020;3689;515817;516753;Número de autónomos;6275.0;A
2020;3689;515817;516754;Número de autónomos;6950.0;A
2020;3689;515817;515892;Número de autónomos;29950.0;A
2020;3689;515814;516728;Número de autónomos;41600.0;A
2020;3689;515814;516748;Número de autónomos;45925.0;A
2020;3689;515814;516749;Número de autónomos;37125.0;A
2020;3689;515814;516750;Número de autónomos;47450.0;A
2020;3689;515814;516751;Número de autónomos;22000.0;A
2020;3689;515814;516752;Número de autónomos;30075.0;A
2020;3689;515814;516753;Número de autónomos;85975.0;A
2020;3689;515814;516754;Número de autónomos;80475.0;A
2020;3689;515814;515892;Número de autónomos;393300.0;A
2020;3690;515815;516728;Número de autónomos;19325.0;A
2020;3690;515815;516748;Número de autónomos;17275.0;A
2020;3690;515815;516749;Número de autónomos;13700.0;A
2020;3690;515815;516750;Número de autónomos;18350.0;A
2020;3690;515815;516751;Número de autónomos;8075.0;A
2020;3690;515815;516752;Número de autónomos;12175.0;A
2020;3690;515815;516753;Número de autónomos;33675.0;A
2020;3690;515815;516754;Número de autónomos;32700.0;A
2020;3690;515815;515892;Número de autónomos;156300.0;A
2020;3690;515816;516728;Número de autónomos;5175.0;A
2020;3690;515816;516748;Número de autónomos;5650.0;A
2020;3690;515816;516749;Número de autónomos;5000.0;A
2020;3690;515816;516750;Número de autónomos;5525.0;A
2020;3690;515816;516751;Número de autónomos;2850.0;A
2020;3690;515816;516752;Número de autónomos;3150.0;A
2020;3690;515816;516753;Número de autónomos;13450.0;A
2020;3690;515816;516754;Número de autónomos;10675.0;A
2020;3690;515816;515892;Número de autónomos;51950.0;A
2020;3690;515817;516728;Número de autónomos;875.0;A
2020;3690;515817;516748;Número de autónomos;1150.0;A
2020;3690;515817;516749;Número de autónomos;825.0;A
2020;3690;515817;516750;Número de autónomos;1125.0;A
2020;3690;515817;516751;Número de autónomos;*;A
2020;3690;515817;516752;Número de autónomos;*;A
2020;3690;515817;516753;Número de autónomos;1975.0;A
2020;3690;515817;516754;Número de autónomos;1425.0;A
2020;3690;515817;515892;Número de autónomos;8200.0;A
2020;3690;515814;516728;Número de autónomos;25375.0;A
2020;3690;515814;516748;Número de autónomos;24075.0;A
2020;3690;515814;516749;Número de autónomos;19525.0;A
2020;3690;515814;516750;Número de autónomos;25000.0;A
2020;3690;515814;516751;Número de autónomos;11275.0;A
2020;3690;515814;516752;Número de autónomos;15725.0;A
2020;3690;515814;516753;Número de autónomos;49100.0;A
2020;3690;515814;516754;Número de autónomos;44800.0;A
2020;3690;515814;515892;Número de autónomos;216450.0;A
2020;3691;515815;516728;Número de autónomos;48725.0;A
2020;3691;515815;516748;Número de autónomos;49075.0;A
2020;3691;515815;516749;Número de autónomos;38500.0;A
2020;3691;515815;516750;Número de autónomos;50775.0;A
2020;3691;515815;516751;Número de autónomos;22000.0;A
2020;3691;515815;516752;Número de autónomos;32975.0;A
2020;3691;515815;516753;Número de autónomos;87625.0;A
2020;3691;515815;516754;Número de autónomos;83850.0;A
2020;3691;515815;515892;Número de autónomos;415900.0;A
2020;3691;515816;516728;Número de autónomos;15000.0;A
2020;3691;515816;516748;Número de autónomos;16375.0;A
2020;3691;515816;516749;Número de autónomos;14275.0;A
2020;3691;515816;516750;Número de autónomos;16825.0;A
2020;3691;515816;516751;Número de autónomos;9150.0;A
2020;3691;515816;516752;Número de autónomos;10225.0;A
2020;3691;515816;516753;Número de autónomos;39200.0;A
2020;3691;515816;516754;Número de autónomos;33050.0;A
2020;3691;515816;515892;Número de autónomos;155700.0;A
2020;3691;515817;516728;Número de autónomos;3250.0;A
2020;3691;515817;516748;Número de autónomos;4550.0;A
2020;3691;515817;516749;Número de autónomos;3875.0;A
2020;3691;515817;516750;Número de autónomos;4850.0;A
2020;3691;515817;516751;Número de autónomos;2125.0;A
2020;3691;515817;516752;Número de autónomos;2600.0;A
2020;3691;515817;516753;Número de autónomos;8250.0;A
2020;3691;515817;516754;Número de autónomos;8375.0;A
2020;3691;515817;515892;Número de autónomos;38150.0;A
2020;3691;515814;516728;Número de autónomos;66975.0;A
2020;3691;515814;516748;Número de autónomos;70000.0;A
2020;3691;515814;516749;Número de autónomos;56650.0;A
2020;3691;515814;516750;Número de autónomos;72450.0;A
2020;3691;515814;516751;Número de autónomos;33275.0;A
2020;3691;515814;516752;Número de autónomos;45800.0;A
2020;3691;515814;516753;Número de autónomos;135075.0;A
2020;3691;515814;516754;Número de autónomos;125275.0;A
2020;3691;515814;515892;Número de autónomos;609750.0;A
