D_TEMPORAL_0;D_SEXO_0;D_MES_0;D_AA_TERRITROIO_0;D_AA_TIPOMOVIMIEN_0;INDICATOR;OBS_VALUE;FREQ
2019;3689;55908;516728;515927;Número de movimientos;*;A
2019;3689;55908;516748;515927;Número de movimientos;575.0;A
2019;3689;55908;516749;515927;Número de movimientos;625.0;A
2019;3689;55908;516750;515927;Número de movimientos;600.0;A
2019;3689;55908;516751;515927;Número de movimientos;*;A
2019;3689;55908;516752;515927;Número de movimientos;*;A
2019;3689;55908;516753;515927;Número de movimientos;1125.0;A
2019;3689;55908;516754;515927;Número de movimientos;775.0;A
2019;3689;55908;515892;515927;Número de movimientos;4675.0;A
2019;3689;55909;516728;515927;Número de movimientos;*;A
2019;3689;55909;516748;515927;Número de movimientos;*;A
2019;3689;55909;516749;515927;Número de movimientos;*;A
2019;3689;55909;516750;515927;Número de movimientos;675.0;A
2019;3689;55909;516751;515927;Número de movimientos;*;A
2019;3689;55909;516752;515927;Número de movimientos;*;A
2019;3689;55909;516753;515927;Número de movimientos;900.0;A
2019;3689;55909;516754;515927;Número de movimientos;725.0;A
2019;3689;55909;515892;515927;Número de movimientos;3825.0;A
2019;3689;55910;516728;515927;Número de movimientos;600.0;A
2019;3689;55910;516748;515927;Número de movimientos;575.0;A
2019;3689;55910;516749;515927;Número de movimientos;500.0;A
2019;3689;55910;516750;515927;Número de movimientos;775.0;A
2019;3689;55910;516751;515927;Número de movimientos;*;A
2019;3689;55910;516752;515927;Número de movimientos;525.0;A
2019;3689;55910;516753;515927;Número de movimientos;1100.0;A
2019;3689;55910;516754;515927;Número de movimientos;1025.0;A
2019;3689;55910;515892;515927;Número de movimientos;5525.0;A
2019;3689;55911;516728;515927;Número de movimientos;*;A
2019;3689;55911;516748;515927;Número de movimientos;*;A
2019;3689;55911;516749;515927;Número de movimientos;600.0;A
2019;3689;55911;516750;515927;Número de movimientos;650.0;A
2019;3689;55911;516751;515927;Número de movimientos;*;A
2019;3689;55911;516752;515927;Número de movimientos;*;A
2019;3689;55911;516753;515927;Número de movimientos;1050.0;A
2019;3689;55911;516754;515927;Número de movimientos;925.0;A
2019;3689;55911;515892;515927;Número de movimientos;4425.0;A
2019;3689;55912;516728;515927;Número de movimientos;*;A
2019;3689;55912;516748;515927;Número de movimientos;725.0;A
2019;3689;55912;516749;515927;Número de movimientos;550.0;A
2019;3689;55912;516750;515927;Número de movimientos;525.0;A
2019;3689;55912;516751;515927;Número de movimientos;*;A
2019;3689;55912;516752;515927;Número de movimientos;*;A
2019;3689;55912;516753;515927;Número de movimientos;1050.0;A
2019;3689;55912;516754;515927;Número de movimientos;1000.0;A
2019;3689;55912;515892;515927;Número de movimientos;4850.0;A
2019;3689;55913;516728;515927;Número de movimientos;525.0;A
2019;3689;55913;516748;515927;Número de movimientos;600.0;A
2019;3689;55913;516749;515927;Número de movimientos;550.0;A
2019;3689;55913;516750;515927;Número de movimientos;850.0;A
2019;3689;55913;516751;515927;Número de movimientos;*;A
2019;3689;55913;516752;515927;Número de movimientos;*;A
2019;3689;55913;516753;515927;Número de movimientos;1150.0;A
2019;3689;55913;516754;515927;Número de movimientos;1125.0;A
2019;3689;55913;515892;515927;Número de movimientos;5700.0;A
2019;3689;55914;516728;515927;Número de movimientos;575.0;A
2019;3689;55914;516748;515927;Número de movimientos;550.0;A
2019;3689;55914;516749;515927;Número de movimientos;650.0;A
2019;3689;55914;516750;515927;Número de movimientos;675.0;A
2019;3689;55914;516751;515927;Número de movimientos;*;A
2019;3689;55914;516752;515927;Número de movimientos;*;A
2019;3689;55914;516753;515927;Número de movimientos;1225.0;A
2019;3689;55914;516754;515927;Número de movimientos;1200.0;A
2019;3689;55914;515892;515927;Número de movimientos;5725.0;A
2019;3689;55915;516728;515927;Número de movimientos;*;A
2019;3689;55915;516748;515927;Número de movimientos;650.0;A
2019;3689;55915;516749;515927;Número de movimientos;*;A
2019;3689;55915;516750;515927;Número de movimientos;500.0;A
2019;3689;55915;516751;515927;Número de movimientos;550.0;A
2019;3689;55915;516752;515927;Número de movimientos;550.0;A
2019;3689;55915;516753;515927;Número de movimientos;850.0;A
2019;3689;55915;516754;515927;Número de movimientos;900.0;A
2019;3689;55915;515892;515927;Número de movimientos;4500.0;A
2019;3689;55916;516728;515927;Número de movimientos;*;A
2019;3689;55916;516748;515927;Número de movimientos;1050.0;A
2019;3689;55916;516749;515927;Número de movimientos;750.0;A
2019;3689;55916;516750;515927;Número de movimientos;700.0;A
2019;3689;55916;516751;515927;Número de movimientos;550.0;A
2019;3689;55916;516752;515927;Número de movimientos;625.0;A
2019;3689;55916;516753;515927;Número de movimientos;1375.0;A
2019;3689;55916;516754;515927;Número de movimientos;1100.0;A
2019;3689;55916;515892;515927;Número de movimientos;6625.0;A
2019;3689;55917;516728;515927;Número de movimientos;*;A
2019;3689;55917;516748;515927;Número de movimientos;725.0;A
2019;3689;55917;516749;515927;Número de movimientos;*;A
2019;3689;55917;516750;515927;Número de movimientos;600.0;A
2019;3689;55917;516751;515927;Número de movimientos;*;A
2019;3689;55917;516752;515927;Número de movimientos;*;A
2019;3689;55917;516753;515927;Número de movimientos;1275.0;A
2019;3689;55917;516754;515927;Número de movimientos;1050.0;A
2019;3689;55917;515892;515927;Número de movimientos;5100.0;A
2019;3689;55918;516728;515927;Número de movimientos;800.0;A
2019;3689;55918;516748;515927;Número de movimientos;575.0;A
2019;3689;55918;516749;515927;Número de movimientos;*;A
2019;3689;55918;516750;515927;Número de movimientos;725.0;A
2019;3689;55918;516751;515927;Número de movimientos;*;A
2019;3689;55918;516752;515927;Número de movimientos;575.0;A
2019;3689;55918;516753;515927;Número de movimientos;1125.0;A
2019;3689;55918;516754;515927;Número de movimientos;825.0;A
2019;3689;55918;515892;515927;Número de movimientos;5375.0;A
2019;3689;55919;516728;515927;Número de movimientos;625.0;A
2019;3689;55919;516748;515927;Número de movimientos;900.0;A
2019;3689;55919;516749;515927;Número de movimientos;850.0;A
2019;3689;55919;516750;515927;Número de movimientos;575.0;A
2019;3689;55919;516751;515927;Número de movimientos;*;A
2019;3689;55919;516752;515927;Número de movimientos;*;A
2019;3689;55919;516753;515927;Número de movimientos;1650.0;A
2019;3689;55919;516754;515927;Número de movimientos;1275.0;A
2019;3689;55919;515892;515927;Número de movimientos;6625.0;A
2019;3689;55920;516728;515927;Número de movimientos;5475.0;A
2019;3689;55920;516748;515927;Número de movimientos;7750.0;A
2019;3689;55920;516749;515927;Número de movimientos;6575.0;A
2019;3689;55920;516750;515927;Número de movimientos;7850.0;A
2019;3689;55920;516751;515927;Número de movimientos;4025.0;A
2019;3689;55920;516752;515927;Número de movimientos;5275.0;A
2019;3689;55920;516753;515927;Número de movimientos;13875.0;A
2019;3689;55920;516754;515927;Número de movimientos;11925.0;A
2019;3689;55920;515892;515927;Número de movimientos;62950.0;A
2019;3690;55908;516728;515927;Número de movimientos;*;A
2019;3690;55908;516748;515927;Número de movimientos;*;A
2019;3690;55908;516749;515927;Número de movimientos;*;A
2019;3690;55908;516750;515927;Número de movimientos;*;A
2019;3690;55908;516751;515927;Número de movimientos;*;A
2019;3690;55908;516752;515927;Número de movimientos;*;A
2019;3690;55908;516753;515927;Número de movimientos;1000.0;A
2019;3690;55908;516754;515927;Número de movimientos;650.0;A
2019;3690;55908;515892;515927;Número de movimientos;3000.0;A
2019;3690;55909;516728;515927;Número de movimientos;*;A
2019;3690;55909;516748;515927;Número de movimientos;550.0;A
2019;3690;55909;516749;515927;Número de movimientos;*;A
2019;3690;55909;516750;515927;Número de movimientos;*;A
2019;3690;55909;516751;515927;Número de movimientos;*;A
2019;3690;55909;516752;515927;Número de movimientos;*;A
2019;3690;55909;516753;515927;Número de movimientos;625.0;A
2019;3690;55909;516754;515927;Número de movimientos;600.0;A
2019;3690;55909;515892;515927;Número de movimientos;2850.0;A
2019;3690;55910;516728;515927;Número de movimientos;*;A
2019;3690;55910;516748;515927;Número de movimientos;*;A
2019;3690;55910;516749;515927;Número de movimientos;*;A
2019;3690;55910;516750;515927;Número de movimientos;550.0;A
2019;3690;55910;516751;515927;Número de movimientos;*;A
2019;3690;55910;516752;515927;Número de movimientos;*;A
2019;3690;55910;516753;515927;Número de movimientos;750.0;A
2019;3690;55910;516754;515927;Número de movimientos;900.0;A
2019;3690;55910;515892;515927;Número de movimientos;3700.0;A
2019;3690;55911;516728;515927;Número de movimientos;*;A
2019;3690;55911;516748;515927;Número de movimientos;*;A
2019;3690;55911;516749;515927;Número de movimientos;*;A
2019;3690;55911;516750;515927;Número de movimientos;*;A
2019;3690;55911;516751;515927;Número de movimientos;*;A
2019;3690;55911;516752;515927;Número de movimientos;*;A
2019;3690;55911;516753;515927;Número de movimientos;550.0;A
2019;3690;55911;516754;515927;Número de movimientos;675.0;A
2019;3690;55911;515892;515927;Número de movimientos;2775.0;A
2019;3690;55912;516728;515927;Número de movimientos;*;A
2019;3690;55912;516748;515927;Número de movimientos;500.0;A
2019;3690;55912;516749;515927;Número de movimientos;*;A
2019;3690;55912;516750;515927;Número de movimientos;*;A
2019;3690;55912;516751;515927;Número de movimientos;*;A
2019;3690;55912;516752;515927;Número de movimientos;*;A
2019;3690;55912;516753;515927;Número de movimientos;550.0;A
2019;3690;55912;516754;515927;Número de movimientos;850.0;A
2019;3690;55912;515892;515927;Número de movimientos;3175.0;A
2019;3690;55913;516728;515927;Número de movimientos;*;A
2019;3690;55913;516748;515927;Número de movimientos;600.0;A
2019;3690;55913;516749;515927;Número de movimientos;*;A
2019;3690;55913;516750;515927;Número de movimientos;500.0;A
2019;3690;55913;516751;515927;Número de movimientos;*;A
2019;3690;55913;516752;515927;Número de movimientos;*;A
2019;3690;55913;516753;515927;Número de movimientos;1500.0;A
2019;3690;55913;516754;515927;Número de movimientos;1475.0;A
2019;3690;55913;515892;515927;Número de movimientos;5450.0;A
2019;3690;55914;516728;515927;Número de movimientos;*;A
2019;3690;55914;516748;515927;Número de movimientos;*;A
2019;3690;55914;516749;515927;Número de movimientos;*;A
2019;3690;55914;516750;515927;Número de movimientos;*;A
2019;3690;55914;516751;515927;Número de movimientos;*;A
2019;3690;55914;516752;515927;Número de movimientos;*;A
2019;3690;55914;516753;515927;Número de movimientos;925.0;A
2019;3690;55914;516754;515927;Número de movimientos;1225.0;A
2019;3690;55914;515892;515927;Número de movimientos;3750.0;A
2019;3690;55915;516728;515927;Número de movimientos;*;A
2019;3690;55915;516748;515927;Número de movimientos;600.0;A
2019;3690;55915;516749;515927;Número de movimientos;*;A
2019;3690;55915;516750;515927;Número de movimientos;500.0;A
2019;3690;55915;516751;515927;Número de movimientos;*;A
2019;3690;55915;516752;515927;Número de movimientos;*;A
2019;3690;55915;516753;515927;Número de movimientos;625.0;A
2019;3690;55915;516754;515927;Número de movimientos;625.0;A
2019;3690;55915;515892;515927;Número de movimientos;3950.0;A
2019;3690;55916;516728;515927;Número de movimientos;*;A
2019;3690;55916;516748;515927;Número de movimientos;525.0;A
2019;3690;55916;516749;515927;Número de movimientos;*;A
2019;3690;55916;516750;515927;Número de movimientos;700.0;A
2019;3690;55916;516751;515927;Número de movimientos;*;A
2019;3690;55916;516752;515927;Número de movimientos;*;A
2019;3690;55916;516753;515927;Número de movimientos;1400.0;A
2019;3690;55916;516754;515927;Número de movimientos;750.0;A
2019;3690;55916;515892;515927;Número de movimientos;4550.0;A
2019;3690;55917;516728;515927;Número de movimientos;*;A
2019;3690;55917;516748;515927;Número de movimientos;675.0;A
2019;3690;55917;516749;515927;Número de movimientos;*;A
2019;3690;55917;516750;515927;Número de movimientos;*;A
2019;3690;55917;516751;515927;Número de movimientos;*;A
2019;3690;55917;516752;515927;Número de movimientos;*;A
2019;3690;55917;516753;515927;Número de movimientos;1175.0;A
2019;3690;55917;516754;515927;Número de movimientos;575.0;A
2019;3690;55917;515892;515927;Número de movimientos;3850.0;A
2019;3690;55918;516728;515927;Número de movimientos;*;A
2019;3690;55918;516748;515927;Número de movimientos;*;A
2019;3690;55918;516749;515927;Número de movimientos;*;A
2019;3690;55918;516750;515927;Número de movimientos;*;A
2019;3690;55918;516751;515927;Número de movimientos;*;A
2019;3690;55918;516752;515927;Número de movimientos;*;A
2019;3690;55918;516753;515927;Número de movimientos;750.0;A
2019;3690;55918;516754;515927;Número de movimientos;675.0;A
2019;3690;55918;515892;515927;Número de movimientos;2925.0;A
2019;3690;55919;516728;515927;Número de movimientos;*;A
2019;3690;55919;516748;515927;Número de movimientos;675.0;A
2019;3690;55919;516749;515927;Número de movimientos;*;A
2019;3690;55919;516750;515927;Número de movimientos;600.0;A
2019;3690;55919;516751;515927;Número de movimientos;*;A
2019;3690;55919;516752;515927;Número de movimientos;*;A
2019;3690;55919;516753;515927;Número de movimientos;1275.0;A
2019;3690;55919;516754;515927;Número de movimientos;800.0;A
2019;3690;55919;515892;515927;Número de movimientos;4650.0;A
2019;3690;55920;516728;515927;Número de movimientos;3750.0;A
2019;3690;55920;516748;515927;Número de movimientos;5825.0;A
2019;3690;55920;516749;515927;Número de movimientos;3375.0;A
2019;3690;55920;516750;515927;Número de movimientos;5400.0;A
2019;3690;55920;516751;515927;Número de movimientos;2225.0;A
2019;3690;55920;516752;515927;Número de movimientos;2775.0;A
2019;3690;55920;516753;515927;Número de movimientos;11125.0;A
2019;3690;55920;516754;515927;Número de movimientos;9800.0;A
2019;3690;55920;515892;515927;Número de movimientos;44625.0;A
2019;3691;55908;516728;515927;Número de movimientos;575.0;A
2019;3691;55908;516748;515927;Número de movimientos;825.0;A
2019;3691;55908;516749;515927;Número de movimientos;1050.0;A
2019;3691;55908;516750;515927;Número de movimientos;875.0;A
2019;3691;55908;516751;515927;Número de movimientos;*;A
2019;3691;55908;516752;515927;Número de movimientos;*;A
2019;3691;55908;516753;515927;Número de movimientos;2125.0;A
2019;3691;55908;516754;515927;Número de movimientos;1425.0;A
2019;3691;55908;515892;515927;Número de movimientos;7675.0;A
2019;3691;55909;516728;515927;Número de movimientos;650.0;A
2019;3691;55909;516748;515927;Número de movimientos;1000.0;A
2019;3691;55909;516749;515927;Número de movimientos;550.0;A
2019;3691;55909;516750;515927;Número de movimientos;925.0;A
2019;3691;55909;516751;515927;Número de movimientos;*;A
2019;3691;55909;516752;515927;Número de movimientos;*;A
2019;3691;55909;516753;515927;Número de movimientos;1525.0;A
2019;3691;55909;516754;515927;Número de movimientos;1325.0;A
2019;3691;55909;515892;515927;Número de movimientos;6675.0;A
2019;3691;55910;516728;515927;Número de movimientos;975.0;A
2019;3691;55910;516748;515927;Número de movimientos;950.0;A
2019;3691;55910;516749;515927;Número de movimientos;775.0;A
2019;3691;55910;516750;515927;Número de movimientos;1325.0;A
2019;3691;55910;516751;515927;Número de movimientos;500.0;A
2019;3691;55910;516752;515927;Número de movimientos;875.0;A
2019;3691;55910;516753;515927;Número de movimientos;1850.0;A
2019;3691;55910;516754;515927;Número de movimientos;1925.0;A
2019;3691;55910;515892;515927;Número de movimientos;9225.0;A
2019;3691;55911;516728;515927;Número de movimientos;500.0;A
2019;3691;55911;516748;515927;Número de movimientos;725.0;A
2019;3691;55911;516749;515927;Número de movimientos;900.0;A
2019;3691;55911;516750;515927;Número de movimientos;1075.0;A
2019;3691;55911;516751;515927;Número de movimientos;*;A
2019;3691;55911;516752;515927;Número de movimientos;*;A
2019;3691;55911;516753;515927;Número de movimientos;1600.0;A
2019;3691;55911;516754;515927;Número de movimientos;1600.0;A
2019;3691;55911;515892;515927;Número de movimientos;7200.0;A
2019;3691;55912;516728;515927;Número de movimientos;650.0;A
2019;3691;55912;516748;515927;Número de movimientos;1225.0;A
2019;3691;55912;516749;515927;Número de movimientos;800.0;A
2019;3691;55912;516750;515927;Número de movimientos;925.0;A
2019;3691;55912;516751;515927;Número de movimientos;*;A
2019;3691;55912;516752;515927;Número de movimientos;*;A
2019;3691;55912;516753;515927;Número de movimientos;1600.0;A
2019;3691;55912;516754;515927;Número de movimientos;1850.0;A
2019;3691;55912;515892;515927;Número de movimientos;8025.0;A
2019;3691;55913;516728;515927;Número de movimientos;1000.0;A
2019;3691;55913;516748;515927;Número de movimientos;1200.0;A
2019;3691;55913;516749;515927;Número de movimientos;825.0;A
2019;3691;55913;516750;515927;Número de movimientos;1350.0;A
2019;3691;55913;516751;515927;Número de movimientos;650.0;A
2019;3691;55913;516752;515927;Número de movimientos;850.0;A
2019;3691;55913;516753;515927;Número de movimientos;2650.0;A
2019;3691;55913;516754;515927;Número de movimientos;2600.0;A
2019;3691;55913;515892;515927;Número de movimientos;11150.0;A
2019;3691;55914;516728;515927;Número de movimientos;900.0;A
2019;3691;55914;516748;515927;Número de movimientos;800.0;A
2019;3691;55914;516749;515927;Número de movimientos;950.0;A
2019;3691;55914;516750;515927;Número de movimientos;1150.0;A
2019;3691;55914;516751;515927;Número de movimientos;525.0;A
2019;3691;55914;516752;515927;Número de movimientos;550.0;A
2019;3691;55914;516753;515927;Número de movimientos;2150.0;A
2019;3691;55914;516754;515927;Número de movimientos;2425.0;A
2019;3691;55914;515892;515927;Número de movimientos;9475.0;A
2019;3691;55915;516728;515927;Número de movimientos;500.0;A
2019;3691;55915;516748;515927;Número de movimientos;1250.0;A
2019;3691;55915;516749;515927;Número de movimientos;850.0;A
2019;3691;55915;516750;515927;Número de movimientos;1000.0;A
2019;3691;55915;516751;515927;Número de movimientos;950.0;A
2019;3691;55915;516752;515927;Número de movimientos;875.0;A
2019;3691;55915;516753;515927;Número de movimientos;1475.0;A
2019;3691;55915;516754;515927;Número de movimientos;1525.0;A
2019;3691;55915;515892;515927;Número de movimientos;8450.0;A
2019;3691;55916;516728;515927;Número de movimientos;750.0;A
2019;3691;55916;516748;515927;Número de movimientos;1575.0;A
2019;3691;55916;516749;515927;Número de movimientos;925.0;A
2019;3691;55916;516750;515927;Número de movimientos;1400.0;A
