TEMPORAL;TERRITORIO;DURACEMPREND;ANOCELEBRMATRIM;MULTIVARIABL;INDICATOR;OBS_VALUE;FREQ
2020;ES611;516633;5083;516632;SUPERVIVIENTES;8550.0;A
2020;ES611;516633;5084;516632;SUPERVIVIENTES;9025.0;A
2020;ES611;516633;5085;516632;SUPERVIVIENTES;8325.0;A
2020;ES611;516633;5086;516632;SUPERVIVIENTES;7925.0;A
2020;ES611;516633;5087;516632;SUPERVIVIENTES;8525.0;A
2020;ES611;516633;5088;516632;SUPERVIVIENTES;7700.0;A
2020;ES611;516633;5089;516632;SUPERVIVIENTES;9700.0;A
2020;ES611;516633;5090;516632;SUPERVIVIENTES;10400.0;A
2020;ES611;516633;5091;516632;SUPERVIVIENTES;10500.0;A
2020;ES611;516633;5092;516632;SUPERVIVIENTES;10675.0;A
2020;ES611;516633;5093;516632;SUPERVIVIENTES;11175.0;A
2020;ES611;516633;5094;516632;SUPERVIVIENTES;10500.0;A
2020;ES611;516633;5095;516632;SUPERVIVIENTES;11575.0;A
2020;ES611;516633;5096;516632;SUPERVIVIENTES;10925.0;A
2020;ES611;516633;5097;516632;SUPERVIVIENTES;9200.0;A
2020;ES611;516606;5083;516632;SUPERVIVIENTES;6275.0;A
2020;ES611;516606;5084;516632;SUPERVIVIENTES;5850.0;A
2020;ES611;516606;5085;516632;SUPERVIVIENTES;5075.0;A
2020;ES611;516606;5086;516632;SUPERVIVIENTES;4550.0;A
2020;ES611;516606;5087;516632;SUPERVIVIENTES;4950.0;A
2020;ES611;516606;5088;516632;SUPERVIVIENTES;4475.0;A
2020;ES611;516606;5089;516632;SUPERVIVIENTES;5325.0;A
2020;ES611;516606;5090;516632;SUPERVIVIENTES;5900.0;A
2020;ES611;516606;5091;516632;SUPERVIVIENTES;6425.0;A
2020;ES611;516606;5092;516632;SUPERVIVIENTES;6150.0;A
2020;ES611;516606;5093;516632;SUPERVIVIENTES;6350.0;A
2020;ES611;516606;5094;516632;SUPERVIVIENTES;5750.0;A
2020;ES611;516606;5095;516632;SUPERVIVIENTES;6750.0;A
2020;ES611;516606;5096;516632;SUPERVIVIENTES;6875.0;A
2020;ES611;516607;5083;516632;SUPERVIVIENTES;4900.0;A
2020;ES611;516607;5084;516632;SUPERVIVIENTES;3900.0;A
2020;ES611;516607;5085;516632;SUPERVIVIENTES;3675.0;A
2020;ES611;516607;5086;516632;SUPERVIVIENTES;3650.0;A
2020;ES611;516607;5087;516632;SUPERVIVIENTES;3825.0;A
2020;ES611;516607;5088;516632;SUPERVIVIENTES;3450.0;A
2020;ES611;516607;5089;516632;SUPERVIVIENTES;4150.0;A
2020;ES611;516607;5090;516632;SUPERVIVIENTES;4700.0;A
2020;ES611;516607;5091;516632;SUPERVIVIENTES;5125.0;A
2020;ES611;516607;5092;516632;SUPERVIVIENTES;4950.0;A
2020;ES611;516607;5093;516632;SUPERVIVIENTES;4875.0;A
2020;ES611;516607;5094;516632;SUPERVIVIENTES;4425.0;A
2020;ES611;516607;5095;516632;SUPERVIVIENTES;5250.0;A
2020;ES611;516608;5083;516632;SUPERVIVIENTES;3675.0;A
2020;ES611;516608;5084;516632;SUPERVIVIENTES;2975.0;A
2020;ES611;516608;5085;516632;SUPERVIVIENTES;2975.0;A
2020;ES611;516608;5086;516632;SUPERVIVIENTES;2975.0;A
2020;ES611;516608;5087;516632;SUPERVIVIENTES;3325.0;A
2020;ES611;516608;5088;516632;SUPERVIVIENTES;2775.0;A
2020;ES611;516608;5089;516632;SUPERVIVIENTES;3625.0;A
2020;ES611;516608;5090;516632;SUPERVIVIENTES;3850.0;A
2020;ES611;516608;5091;516632;SUPERVIVIENTES;4325.0;A
2020;ES611;516608;5092;516632;SUPERVIVIENTES;4050.0;A
2020;ES611;516608;5093;516632;SUPERVIVIENTES;4175.0;A
2020;ES611;516608;5094;516632;SUPERVIVIENTES;3700.0;A
2020;ES611;516609;5083;516632;SUPERVIVIENTES;2925.0;A
2020;ES611;516609;5084;516632;SUPERVIVIENTES;2650.0;A
2020;ES611;516609;5085;516632;SUPERVIVIENTES;2300.0;A
2020;ES611;516609;5086;516632;SUPERVIVIENTES;2525.0;A
2020;ES611;516609;5087;516632;SUPERVIVIENTES;2850.0;A
2020;ES611;516609;5088;516632;SUPERVIVIENTES;2600.0;A
2020;ES611;516609;5089;516632;SUPERVIVIENTES;3275.0;A
2020;ES611;516609;5090;516632;SUPERVIVIENTES;3475.0;A
2020;ES611;516609;5091;516632;SUPERVIVIENTES;3950.0;A
2020;ES611;516609;5092;516632;SUPERVIVIENTES;3725.0;A
2020;ES611;516609;5093;516632;SUPERVIVIENTES;3625.0;A
2020;ES611;516610;5083;516632;SUPERVIVIENTES;2450.0;A
2020;ES611;516610;5084;516632;SUPERVIVIENTES;2375.0;A
2020;ES611;516610;5085;516632;SUPERVIVIENTES;2075.0;A
2020;ES611;516610;5086;516632;SUPERVIVIENTES;2200.0;A
2020;ES611;516610;5087;516632;SUPERVIVIENTES;2400.0;A
2020;ES611;516610;5088;516632;SUPERVIVIENTES;2375.0;A
2020;ES611;516610;5089;516632;SUPERVIVIENTES;3025.0;A
2020;ES611;516610;5090;516632;SUPERVIVIENTES;3200.0;A
2020;ES611;516610;5091;516632;SUPERVIVIENTES;3550.0;A
2020;ES611;516610;5092;516632;SUPERVIVIENTES;3250.0;A
2020;ES611;516611;5083;516632;SUPERVIVIENTES;2275.0;A
2020;ES611;516611;5084;516632;SUPERVIVIENTES;2050.0;A
2020;ES611;516611;5085;516632;SUPERVIVIENTES;1975.0;A
2020;ES611;516611;5086;516632;SUPERVIVIENTES;1975.0;A
2020;ES611;516611;5087;516632;SUPERVIVIENTES;2200.0;A
2020;ES611;516611;5088;516632;SUPERVIVIENTES;2050.0;A
2020;ES611;516611;5089;516632;SUPERVIVIENTES;2450.0;A
2020;ES611;516611;5090;516632;SUPERVIVIENTES;2925.0;A
2020;ES611;516611;5091;516632;SUPERVIVIENTES;3150.0;A
2020;ES611;516612;5083;516632;SUPERVIVIENTES;1975.0;A
2020;ES611;516612;5084;516632;SUPERVIVIENTES;1825.0;A
2020;ES611;516612;5085;516632;SUPERVIVIENTES;1850.0;A
2020;ES611;516612;5086;516632;SUPERVIVIENTES;1850.0;A
2020;ES611;516612;5087;516632;SUPERVIVIENTES;1975.0;A
2020;ES611;516612;5088;516632;SUPERVIVIENTES;1800.0;A
2020;ES611;516612;5089;516632;SUPERVIVIENTES;2225.0;A
2020;ES611;516612;5090;516632;SUPERVIVIENTES;2725.0;A
2020;ES611;516613;5083;516632;SUPERVIVIENTES;1675.0;A
2020;ES611;516613;5084;516632;SUPERVIVIENTES;1675.0;A
2020;ES611;516613;5085;516632;SUPERVIVIENTES;1725.0;A
2020;ES611;516613;5086;516632;SUPERVIVIENTES;1750.0;A
2020;ES611;516613;5087;516632;SUPERVIVIENTES;1850.0;A
2020;ES611;516613;5088;516632;SUPERVIVIENTES;1750.0;A
2020;ES611;516613;5089;516632;SUPERVIVIENTES;2075.0;A
2020;ES611;516614;5083;516632;SUPERVIVIENTES;1525.0;A
2020;ES611;516614;5084;516632;SUPERVIVIENTES;1525.0;A
2020;ES611;516614;5085;516632;SUPERVIVIENTES;1625.0;A
2020;ES611;516614;5086;516632;SUPERVIVIENTES;1650.0;A
2020;ES611;516614;5087;516632;SUPERVIVIENTES;1825.0;A
2020;ES611;516614;5088;516632;SUPERVIVIENTES;1575.0;A
2020;ES611;516615;5083;516632;SUPERVIVIENTES;1450.0;A
2020;ES611;516615;5084;516632;SUPERVIVIENTES;1450.0;A
2020;ES611;516615;5085;516632;SUPERVIVIENTES;1525.0;A
2020;ES611;516615;5086;516632;SUPERVIVIENTES;1500.0;A
2020;ES611;516615;5087;516632;SUPERVIVIENTES;1700.0;A
2020;ES612;516633;5083;516632;SUPERVIVIENTES;11300.0;A
2020;ES612;516633;5084;516632;SUPERVIVIENTES;10600.0;A
2020;ES612;516633;5085;516632;SUPERVIVIENTES;10000.0;A
2020;ES612;516633;5086;516632;SUPERVIVIENTES;9750.0;A
2020;ES612;516633;5087;516632;SUPERVIVIENTES;10975.0;A
2020;ES612;516633;5088;516632;SUPERVIVIENTES;11875.0;A
2020;ES612;516633;5089;516632;SUPERVIVIENTES;13075.0;A
2020;ES612;516633;5090;516632;SUPERVIVIENTES;14725.0;A
2020;ES612;516633;5091;516632;SUPERVIVIENTES;16025.0;A
2020;ES612;516633;5092;516632;SUPERVIVIENTES;15500.0;A
2020;ES612;516633;5093;516632;SUPERVIVIENTES;14950.0;A
2020;ES612;516633;5094;516632;SUPERVIVIENTES;14450.0;A
2020;ES612;516633;5095;516632;SUPERVIVIENTES;16650.0;A
2020;ES612;516633;5096;516632;SUPERVIVIENTES;15075.0;A
2020;ES612;516633;5097;516632;SUPERVIVIENTES;13625.0;A
2020;ES612;516606;5083;516632;SUPERVIVIENTES;7375.0;A
2020;ES612;516606;5084;516632;SUPERVIVIENTES;6600.0;A
2020;ES612;516606;5085;516632;SUPERVIVIENTES;5975.0;A
2020;ES612;516606;5086;516632;SUPERVIVIENTES;5625.0;A
2020;ES612;516606;5087;516632;SUPERVIVIENTES;5850.0;A
2020;ES612;516606;5088;516632;SUPERVIVIENTES;6300.0;A
2020;ES612;516606;5089;516632;SUPERVIVIENTES;6500.0;A
2020;ES612;516606;5090;516632;SUPERVIVIENTES;7500.0;A
2020;ES612;516606;5091;516632;SUPERVIVIENTES;7700.0;A
2020;ES612;516606;5092;516632;SUPERVIVIENTES;7725.0;A
2020;ES612;516606;5093;516632;SUPERVIVIENTES;7125.0;A
2020;ES612;516606;5094;516632;SUPERVIVIENTES;6700.0;A
2020;ES612;516606;5095;516632;SUPERVIVIENTES;9275.0;A
2020;ES612;516606;5096;516632;SUPERVIVIENTES;7425.0;A
2020;ES612;516607;5083;516632;SUPERVIVIENTES;5725.0;A
2020;ES612;516607;5084;516632;SUPERVIVIENTES;4750.0;A
2020;ES612;516607;5085;516632;SUPERVIVIENTES;4325.0;A
2020;ES612;516607;5086;516632;SUPERVIVIENTES;4325.0;A
2020;ES612;516607;5087;516632;SUPERVIVIENTES;4275.0;A
2020;ES612;516607;5088;516632;SUPERVIVIENTES;4600.0;A
2020;ES612;516607;5089;516632;SUPERVIVIENTES;4825.0;A
2020;ES612;516607;5090;516632;SUPERVIVIENTES;5775.0;A
2020;ES612;516607;5091;516632;SUPERVIVIENTES;5300.0;A
2020;ES612;516607;5092;516632;SUPERVIVIENTES;5500.0;A
2020;ES612;516607;5093;516632;SUPERVIVIENTES;5100.0;A
2020;ES612;516607;5094;516632;SUPERVIVIENTES;4875.0;A
2020;ES612;516607;5095;516632;SUPERVIVIENTES;6625.0;A
2020;ES612;516608;5083;516632;SUPERVIVIENTES;4325.0;A
2020;ES612;516608;5084;516632;SUPERVIVIENTES;4025.0;A
2020;ES612;516608;5085;516632;SUPERVIVIENTES;3625.0;A
2020;ES612;516608;5086;516632;SUPERVIVIENTES;3050.0;A
2020;ES612;516608;5087;516632;SUPERVIVIENTES;3400.0;A
2020;ES612;516608;5088;516632;SUPERVIVIENTES;3775.0;A
2020;ES612;516608;5089;516632;SUPERVIVIENTES;4050.0;A
2020;ES612;516608;5090;516632;SUPERVIVIENTES;4475.0;A
2020;ES612;516608;5091;516632;SUPERVIVIENTES;4500.0;A
2020;ES612;516608;5092;516632;SUPERVIVIENTES;4350.0;A
2020;ES612;516608;5093;516632;SUPERVIVIENTES;4125.0;A
