TEMPORAL;SEXO;NACIONALIDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;M;ES;ES611;NUME_AUTO;36750.0;A
2019;M;ES;ES612;NUME_AUTO;43200.0;A
2019;M;ES;ES613;NUME_AUTO;37075.0;A
2019;M;ES;ES614;NUME_AUTO;44050.0;A
2019;M;ES;ES615;NUME_AUTO;20550.0;A
2019;M;ES;ES616;NUME_AUTO;29875.0;A
2019;M;ES;ES617;NUME_AUTO;67950.0;A
2019;M;ES;ES618;NUME_AUTO;77650.0;A
2019;M;ES;515892;NUME_AUTO;359575.0;A
2019;M;OTHER_SPAIN;ES611;NUME_AUTO;4550.0;A
2019;M;OTHER_SPAIN;ES612;NUME_AUTO;2950.0;A
2019;M;OTHER_SPAIN;ES613;NUME_AUTO;1225.0;A
2019;M;OTHER_SPAIN;ES614;NUME_AUTO;3650.0;A
2019;M;OTHER_SPAIN;ES615;NUME_AUTO;1425.0;A
2019;M;OTHER_SPAIN;ES616;NUME_AUTO;675.0;A
2019;M;OTHER_SPAIN;ES617;NUME_AUTO;17750.0;A
2019;M;OTHER_SPAIN;ES618;NUME_AUTO;3425.0;A
2019;M;OTHER_SPAIN;515892;NUME_AUTO;35900.0;A
2019;M;TOTAL;ES611;NUME_AUTO;41300.0;A
2019;M;TOTAL;ES612;NUME_AUTO;46150.0;A
2019;M;TOTAL;ES613;NUME_AUTO;38300.0;A
2019;M;TOTAL;ES614;NUME_AUTO;47700.0;A
2019;M;TOTAL;ES615;NUME_AUTO;21975.0;A
2019;M;TOTAL;ES616;NUME_AUTO;30550.0;A
2019;M;TOTAL;ES617;NUME_AUTO;85700.0;A
2019;M;TOTAL;ES618;NUME_AUTO;81075.0;A
2019;M;TOTAL;515892;NUME_AUTO;395475.0;A
2019;F;ES;ES611;NUME_AUTO;22600.0;A
2019;F;ES;ES612;NUME_AUTO;22550.0;A
2019;F;ES;ES613;NUME_AUTO;19150.0;A
2019;F;ES;ES614;NUME_AUTO;22900.0;A
2019;F;ES;ES615;NUME_AUTO;10225.0;A
2019;F;ES;ES616;NUME_AUTO;15400.0;A
2019;F;ES;ES617;NUME_AUTO;38450.0;A
2019;F;ES;ES618;NUME_AUTO;42175.0;A
2019;F;ES;515892;NUME_AUTO;194875.0;A
2019;F;OTHER_SPAIN;ES611;NUME_AUTO;2525.0;A
2019;F;OTHER_SPAIN;ES612;NUME_AUTO;1725.0;A
2019;F;OTHER_SPAIN;ES613;NUME_AUTO;550.0;A
