TEMPORAL;SEXO;AA_TIPOCOTIZACA;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;M;515771;ES611;NUME_AUTO;41300.0;A
2019;M;515771;ES612;NUME_AUTO;46150.0;A
2019;M;515771;ES613;NUME_AUTO;38300.0;A
2019;M;515771;ES614;NUME_AUTO;47700.0;A
2019;M;515771;ES615;NUME_AUTO;21975.0;A
2019;M;515771;ES616;NUME_AUTO;30550.0;A
2019;M;515771;ES617;NUME_AUTO;85700.0;A
2019;M;515771;ES618;NUME_AUTO;81075.0;A
2019;M;515771;515892;NUME_AUTO;395475.0;A
2019;M;515772;ES611;NUME_AUTO;35250.0;A
2019;M;515772;ES612;NUME_AUTO;37175.0;A
2019;M;515772;ES613;NUME_AUTO;30450.0;A
2019;M;515772;ES614;NUME_AUTO;39100.0;A
2019;M;515772;ES615;NUME_AUTO;17450.0;A
2019;M;515772;ES616;NUME_AUTO;20875.0;A
2019;M;515772;ES617;NUME_AUTO;70300.0;A
2019;M;515772;ES618;NUME_AUTO;66050.0;A
2019;M;515772;515892;NUME_AUTO;319075.0;A
2019;M;515774;ES611;NUME_AUTO;6050.0;A
2019;M;515774;ES612;NUME_AUTO;8975.0;A
2019;M;515774;ES613;NUME_AUTO;7850.0;A
2019;M;515774;ES614;NUME_AUTO;8600.0;A
2019;M;515774;ES615;NUME_AUTO;4525.0;A
2019;M;515774;ES616;NUME_AUTO;9675.0;A
2019;M;515774;ES617;NUME_AUTO;15400.0;A
2019;M;515774;ES618;NUME_AUTO;15025.0;A
2019;M;515774;515892;NUME_AUTO;76400.0;A
2019;M;515775;ES611;NUME_AUTO;4550.0;A
2019;M;515775;ES612;NUME_AUTO;6275.0;A
2019;M;515775;ES613;NUME_AUTO;5775.0;A
2019;M;515775;ES614;NUME_AUTO;6350.0;A
2019;M;515775;ES615;NUME_AUTO;3200.0;A
2019;M;515775;ES616;NUME_AUTO;7700.0;A
2019;M;515775;ES617;NUME_AUTO;11800.0;A
2019;M;515775;ES618;NUME_AUTO;10825.0;A
2019;M;515775;515892;NUME_AUTO;56675.0;A
2019;M;515776;ES612;NUME_AUTO;825.0;A
2019;M;515776;ES614;NUME_AUTO;625.0;A
2019;M;515776;ES617;NUME_AUTO;1075.0;A
2019;M;515776;ES618;NUME_AUTO;1325.0;A
2019;M;515776;515892;NUME_AUTO;5250.0;A
2019;M;515777;ES611;NUME_AUTO;1225.0;A
2019;M;515777;ES612;NUME_AUTO;1875.0;A
2019;M;515777;ES613;NUME_AUTO;1625.0;A
2019;M;515777;ES614;NUME_AUTO;1625.0;A
2019;M;515777;ES615;NUME_AUTO;950.0;A
2019;M;515777;ES616;NUME_AUTO;1700.0;A
2019;M;515777;ES617;NUME_AUTO;2525.0;A
2019;M;515777;ES618;NUME_AUTO;2875.0;A
2019;M;515777;515892;NUME_AUTO;14475.0;A
2019;F;515771;ES611;NUME_AUTO;25125.0;A
2019;F;515771;ES612;NUME_AUTO;24275.0;A
2019;F;515771;ES613;NUME_AUTO;19700.0;A
2019;F;515771;ES614;NUME_AUTO;25225.0;A
2019;F;515771;ES615;NUME_AUTO;11125.0;A
2019;F;515771;ES616;NUME_AUTO;15925.0;A
2019;F;515771;ES617;NUME_AUTO;49875.0;A
2019;F;515771;ES618;NUME_AUTO;44725.0;A
2019;F;515771;515892;NUME_AUTO;217600.0;A
2019;F;515772;ES611;NUME_AUTO;20800.0;A
2019;F;515772;ES612;NUME_AUTO;19875.0;A
2019;F;515772;ES613;NUME_AUTO;15575.0;A
2019;F;515772;ES614;NUME_AUTO;20100.0;A
2019;F;515772;ES615;NUME_AUTO;8875.0;A
2019;F;515772;ES616;NUME_AUTO;12875.0;A
2019;F;515772;ES617;NUME_AUTO;40225.0;A
2019;F;515772;ES618;NUME_AUTO;35350.0;A
2019;F;515772;515892;NUME_AUTO;175000.0;A
2019;F;515774;ES611;NUME_AUTO;4325.0;A
2019;F;515774;ES612;NUME_AUTO;4400.0;A
2019;F;515774;ES613;NUME_AUTO;4125.0;A
2019;F;515774;ES614;NUME_AUTO;5125.0;A
2019;F;515774;ES615;NUME_AUTO;2250.0;A
2019;F;515774;ES616;NUME_AUTO;3050.0;A
2019;F;515774;ES617;NUME_AUTO;9650.0;A
2019;F;515774;ES618;NUME_AUTO;9375.0;A
2019;F;515774;515892;NUME_AUTO;42600.0;A
2019;F;515775;ES611;NUME_AUTO;3125.0;A
2019;F;515775;ES612;NUME_AUTO;2800.0;A
2019;F;515775;ES613;NUME_AUTO;2925.0;A
2019;F;515775;ES614;NUME_AUTO;3500.0;A
2019;F;515775;ES615;NUME_AUTO;1500.0;A
2019;F;515775;ES616;NUME_AUTO;2000.0;A
2019;F;515775;ES617;NUME_AUTO;6825.0;A
2019;F;515775;ES618;NUME_AUTO;6500.0;A
2019;F;515775;515892;NUME_AUTO;29450.0;A
2019;F;515776;ES611;NUME_AUTO;500.0;A
2019;F;515776;ES612;NUME_AUTO;525.0;A
2019;F;515776;ES617;NUME_AUTO;1075.0;A
2019;F;515776;ES618;NUME_AUTO;975.0;A
2019;F;515776;515892;NUME_AUTO;4525.0;A
2019;F;515777;ES611;NUME_AUTO;700.0;A
2019;F;515777;ES612;NUME_AUTO;1075.0;A
2019;F;515777;ES613;NUME_AUTO;800.0;A
2019;F;515777;ES614;NUME_AUTO;1200.0;A
