TEMPORAL;SEXO;AA_TIPODEHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;M;515756;ES611;NUME_AUTO;6625.0;A
2019;M;515756;ES612;NUME_AUTO;8325.0;A
2019;M;515756;ES613;NUME_AUTO;4500.0;A
2019;M;515756;ES614;NUME_AUTO;10275.0;A
2019;M;515756;ES615;NUME_AUTO;4625.0;A
2019;M;515756;ES616;NUME_AUTO;4500.0;A
2019;M;515756;ES617;NUME_AUTO;14925.0;A
2019;M;515756;ES618;NUME_AUTO;10525.0;A
2019;M;515756;515892;NUME_AUTO;64850.0;A
2019;M;515757;ES611;NUME_AUTO;5950.0;A
2019;M;515757;ES612;NUME_AUTO;7650.0;A
2019;M;515757;ES613;NUME_AUTO;4400.0;A
2019;M;515757;ES614;NUME_AUTO;9275.0;A
2019;M;515757;ES615;NUME_AUTO;4325.0;A
2019;M;515757;ES616;NUME_AUTO;4175.0;A
2019;M;515757;ES617;NUME_AUTO;14000.0;A
2019;M;515757;ES618;NUME_AUTO;9650.0;A
2019;M;515757;515892;NUME_AUTO;59900.0;A
2019;M;515758;ES611;NUME_AUTO;675.0;A
2019;M;515758;ES612;NUME_AUTO;675.0;A
2019;M;515758;ES614;NUME_AUTO;1000.0;A
2019;M;515758;ES617;NUME_AUTO;925.0;A
2019;M;515758;ES618;NUME_AUTO;875.0;A
2019;M;515758;515892;NUME_AUTO;4950.0;A
2019;M;515759;ES611;NUME_AUTO;15775.0;A
2019;M;515759;ES612;NUME_AUTO;19025.0;A
2019;M;515759;ES613;NUME_AUTO;16025.0;A
2019;M;515759;ES614;NUME_AUTO;19325.0;A
2019;M;515759;ES615;NUME_AUTO;9150.0;A
2019;M;515759;ES616;NUME_AUTO;12550.0;A
2019;M;515759;ES617;NUME_AUTO;32350.0;A
2019;M;515759;ES618;NUME_AUTO;34050.0;A
2019;M;515759;515892;NUME_AUTO;159575.0;A
2019;M;515761;ES611;NUME_AUTO;7325.0;A
2019;M;515761;ES612;NUME_AUTO;8900.0;A
2019;M;515761;ES613;NUME_AUTO;7175.0;A
2019;M;515761;ES614;NUME_AUTO;11150.0;A
2019;M;515761;ES615;NUME_AUTO;5000.0;A
2019;M;515761;ES616;NUME_AUTO;6650.0;A
2019;M;515761;ES617;NUME_AUTO;17275.0;A
2019;M;515761;ES618;NUME_AUTO;13150.0;A
2019;M;515761;515892;NUME_AUTO;77500.0;A
2019;M;515762;ES611;NUME_AUTO;8450.0;A
2019;M;515762;ES612;NUME_AUTO;10125.0;A
2019;M;515762;ES613;NUME_AUTO;8850.0;A
2019;M;515762;ES614;NUME_AUTO;8175.0;A
2019;M;515762;ES615;NUME_AUTO;4150.0;A
2019;M;515762;ES616;NUME_AUTO;5900.0;A
2019;M;515762;ES617;NUME_AUTO;15075.0;A
2019;M;515762;ES618;NUME_AUTO;20900.0;A
2019;M;515762;515892;NUME_AUTO;82075.0;A
2019;M;515760;ES611;NUME_AUTO;18000.0;A
2019;M;515760;ES612;NUME_AUTO;18200.0;A
2019;M;515760;ES613;NUME_AUTO;17525.0;A
2019;M;515760;ES614;NUME_AUTO;16925.0;A
2019;M;515760;ES615;NUME_AUTO;7700.0;A
2019;M;515760;ES616;NUME_AUTO;13325.0;A
2019;M;515760;ES617;NUME_AUTO;34625.0;A
2019;M;515760;ES618;NUME_AUTO;35175.0;A
2019;M;515760;515892;NUME_AUTO;162275.0;A
2019;M;515763;ES611;NUME_AUTO;12075.0;A
2019;M;515763;ES612;NUME_AUTO;12950.0;A
2019;M;515763;ES613;NUME_AUTO;12350.0;A
2019;M;515763;ES614;NUME_AUTO;11750.0;A
2019;M;515763;ES615;NUME_AUTO;5175.0;A
2019;M;515763;ES616;NUME_AUTO;10075.0;A
2019;M;515763;ES617;NUME_AUTO;22500.0;A
2019;M;515763;ES618;NUME_AUTO;24400.0;A
2019;M;515763;515892;NUME_AUTO;111850.0;A
2019;M;515764;ES611;NUME_AUTO;5925.0;A
2019;M;515764;ES612;NUME_AUTO;5250.0;A
2019;M;515764;ES613;NUME_AUTO;5175.0;A
2019;M;515764;ES614;NUME_AUTO;5175.0;A
2019;M;515764;ES615;NUME_AUTO;2525.0;A
2019;M;515764;ES616;NUME_AUTO;3250.0;A
2019;M;515764;ES617;NUME_AUTO;12125.0;A
2019;M;515764;ES618;NUME_AUTO;10775.0;A
2019;M;515764;515892;NUME_AUTO;50425.0;A
2019;M;516585;ES611;NUME_AUTO;900.0;A
2019;M;516585;ES612;NUME_AUTO;600.0;A
2019;M;516585;ES614;NUME_AUTO;1175.0;A
2019;M;516585;ES615;NUME_AUTO;500.0;A
2019;M;516585;ES617;NUME_AUTO;3800.0;A
2019;M;516585;ES618;NUME_AUTO;1325.0;A
2019;M;516585;515892;NUME_AUTO;8775.0;A
2019;M;515755;ES611;NUME_AUTO;41300.0;A
2019;M;515755;ES612;NUME_AUTO;46150.0;A
2019;M;515755;ES613;NUME_AUTO;38300.0;A
2019;M;515755;ES614;NUME_AUTO;47700.0;A
2019;M;515755;ES615;NUME_AUTO;21975.0;A
2019;M;515755;ES616;NUME_AUTO;30550.0;A
2019;M;515755;ES617;NUME_AUTO;85700.0;A
2019;M;515755;ES618;NUME_AUTO;81075.0;A
2019;M;515755;515892;NUME_AUTO;395475.0;A
2019;F;515756;ES611;NUME_AUTO;4150.0;A
2019;F;515756;ES612;NUME_AUTO;4350.0;A
2019;F;515756;ES613;NUME_AUTO;2425.0;A
2019;F;515756;ES614;NUME_AUTO;5500.0;A
2019;F;515756;ES615;NUME_AUTO;2100.0;A
2019;F;515756;ES616;NUME_AUTO;2000.0;A
2019;F;515756;ES617;NUME_AUTO;9325.0;A
2019;F;515756;ES618;NUME_AUTO;5675.0;A
2019;F;515756;515892;NUME_AUTO;35850.0;A
2019;F;515757;ES611;NUME_AUTO;3025.0;A
2019;F;515757;ES612;NUME_AUTO;3125.0;A
2019;F;515757;ES613;NUME_AUTO;1750.0;A
2019;F;515757;ES614;NUME_AUTO;4350.0;A
2019;F;515757;ES615;NUME_AUTO;1550.0;A
2019;F;515757;ES616;NUME_AUTO;1425.0;A
2019;F;515757;ES617;NUME_AUTO;7175.0;A
2019;F;515757;ES618;NUME_AUTO;4025.0;A
2019;F;515757;515892;NUME_AUTO;26625.0;A
2019;F;515758;ES611;NUME_AUTO;1125.0;A
2019;F;515758;ES612;NUME_AUTO;1225.0;A
2019;F;515758;ES613;NUME_AUTO;675.0;A
2019;F;515758;ES614;NUME_AUTO;1150.0;A
2019;F;515758;ES615;NUME_AUTO;550.0;A
2019;F;515758;ES616;NUME_AUTO;575.0;A
2019;F;515758;ES617;NUME_AUTO;2150.0;A
2019;F;515758;ES618;NUME_AUTO;1650.0;A
2019;F;515758;515892;NUME_AUTO;9225.0;A
2019;F;515759;ES611;NUME_AUTO;9850.0;A
2019;F;515759;ES612;NUME_AUTO;10500.0;A
2019;F;515759;ES613;NUME_AUTO;8250.0;A
2019;F;515759;ES614;NUME_AUTO;10475.0;A
2019;F;515759;ES615;NUME_AUTO;5000.0;A
2019;F;515759;ES616;NUME_AUTO;6600.0;A
2019;F;515759;ES617;NUME_AUTO;19850.0;A
2019;F;515759;ES618;NUME_AUTO;19700.0;A
2019;F;515759;515892;NUME_AUTO;91150.0;A
2019;F;515761;ES611;NUME_AUTO;4800.0;A
2019;F;515761;ES612;NUME_AUTO;5275.0;A
2019;F;515761;ES613;NUME_AUTO;3900.0;A
2019;F;515761;ES614;NUME_AUTO;6375.0;A
2019;F;515761;ES615;NUME_AUTO;2325.0;A
2019;F;515761;ES616;NUME_AUTO;3475.0;A
2019;F;515761;ES617;NUME_AUTO;10300.0;A
2019;F;515761;ES618;NUME_AUTO;8300.0;A
2019;F;515761;515892;NUME_AUTO;45450.0;A
2019;F;515762;ES611;NUME_AUTO;5050.0;A
2019;F;515762;ES612;NUME_AUTO;5225.0;A
2019;F;515762;ES613;NUME_AUTO;4350.0;A
2019;F;515762;ES614;NUME_AUTO;4100.0;A
2019;F;515762;ES615;NUME_AUTO;2675.0;A
2019;F;515762;ES616;NUME_AUTO;3125.0;A
2019;F;515762;ES617;NUME_AUTO;9550.0;A
2019;F;515762;ES618;NUME_AUTO;11400.0;A
2019;F;515762;515892;NUME_AUTO;45700.0;A
2019;F;515760;ES611;NUME_AUTO;10875.0;A
2019;F;515760;ES612;NUME_AUTO;8875.0;A
2019;F;515760;ES613;NUME_AUTO;9000.0;A
2019;F;515760;ES614;NUME_AUTO;8675.0;A
2019;F;515760;ES615;NUME_AUTO;3925.0;A
2019;F;515760;ES616;NUME_AUTO;7200.0;A
2019;F;515760;ES617;NUME_AUTO;18900.0;A
2019;F;515760;ES618;NUME_AUTO;18950.0;A
2019;F;515760;515892;NUME_AUTO;86725.0;A
2019;F;515763;ES611;NUME_AUTO;7450.0;A
2019;F;515763;ES612;NUME_AUTO;6075.0;A
2019;F;515763;ES613;NUME_AUTO;5925.0;A
2019;F;515763;ES614;NUME_AUTO;5850.0;A
2019;F;515763;ES615;NUME_AUTO;2775.0;A
2019;F;515763;ES616;NUME_AUTO;5350.0;A
2019;F;515763;ES617;NUME_AUTO;11150.0;A
2019;F;515763;ES618;NUME_AUTO;12200.0;A
2019;F;515763;515892;NUME_AUTO;56975.0;A
2019;F;515764;ES611;NUME_AUTO;3425.0;A
2019;F;515764;ES612;NUME_AUTO;2800.0;A
2019;F;515764;ES613;NUME_AUTO;3075.0;A
2019;F;515764;ES614;NUME_AUTO;2825.0;A
2019;F;515764;ES615;NUME_AUTO;1150.0;A
2019;F;515764;ES616;NUME_AUTO;1850.0;A
2019;F;515764;ES617;NUME_AUTO;7750.0;A
2019;F;515764;ES618;NUME_AUTO;6750.0;A
2019;F;515764;515892;NUME_AUTO;29750.0;A
2019;F;516585;ES612;NUME_AUTO;550.0;A
2019;F;516585;ES614;NUME_AUTO;575.0;A
2019;F;516585;ES617;NUME_AUTO;1800.0;A
2019;F;516585;515892;NUME_AUTO;3875.0;A
2019;F;515755;ES611;NUME_AUTO;25125.0;A
2019;F;515755;ES612;NUME_AUTO;24275.0;A
2019;F;515755;ES613;NUME_AUTO;19700.0;A
2019;F;515755;ES614;NUME_AUTO;25225.0;A
2019;F;515755;ES615;NUME_AUTO;11125.0;A
2019;F;515755;ES616;NUME_AUTO;15925.0;A
2019;F;515755;ES617;NUME_AUTO;49875.0;A
2019;F;515755;ES618;NUME_AUTO;44725.0;A
2019;F;515755;515892;NUME_AUTO;217600.0;A
2019;_T;515756;ES611;NUME_AUTO;10775.0;A
2019;_T;515756;ES612;NUME_AUTO;12675.0;A
2019;_T;515756;ES613;NUME_AUTO;6925.0;A
2019;_T;515756;ES614;NUME_AUTO;15775.0;A
2019;_T;515756;ES615;NUME_AUTO;6725.0;A
2019;_T;515756;ES616;NUME_AUTO;6500.0;A
