TEMPORAL;SEXO;TIPOULTIEMPR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;M;515779;ES611;NUME_AUTO;29550.0;A
2019;M;515779;ES612;NUME_AUTO;31250.0;A
2019;M;515779;ES613;NUME_AUTO;25400.0;A
2019;M;515779;ES614;NUME_AUTO;32850.0;A
2019;M;515779;ES615;NUME_AUTO;14725.0;A
2019;M;515779;ES616;NUME_AUTO;21525.0;A
2019;M;515779;ES617;NUME_AUTO;56800.0;A
2019;M;515779;ES618;NUME_AUTO;52350.0;A
2019;M;515779;515892;NUME_AUTO;266050.0;A
2019;M;515780;ES611;NUME_AUTO;4075.0;A
2019;M;515780;ES612;NUME_AUTO;5175.0;A
2019;M;515780;ES613;NUME_AUTO;6100.0;A
2019;M;515780;ES614;NUME_AUTO;6725.0;A
2019;M;515780;ES615;NUME_AUTO;3475.0;A
2019;M;515780;ES616;NUME_AUTO;3850.0;A
2019;M;515780;ES617;NUME_AUTO;9750.0;A
2019;M;515780;ES618;NUME_AUTO;9025.0;A
2019;M;515780;515892;NUME_AUTO;48650.0;A
2019;M;515781;ES611;NUME_AUTO;5650.0;A
2019;M;515781;ES612;NUME_AUTO;6125.0;A
2019;M;515781;ES613;NUME_AUTO;4200.0;A
2019;M;515781;ES614;NUME_AUTO;5175.0;A
2019;M;515781;ES615;NUME_AUTO;2275.0;A
2019;M;515781;ES616;NUME_AUTO;2875.0;A
2019;M;515781;ES617;NUME_AUTO;13925.0;A
2019;M;515781;ES618;NUME_AUTO;14675.0;A
2019;M;515781;515892;NUME_AUTO;55450.0;A
2019;M;515782;ES611;NUME_AUTO;2025.0;A
2019;M;515782;ES612;NUME_AUTO;3600.0;A
2019;M;515782;ES613;NUME_AUTO;2600.0;A
2019;M;515782;ES614;NUME_AUTO;2950.0;A
2019;M;515782;ES615;NUME_AUTO;1500.0;A
2019;M;515782;ES616;NUME_AUTO;2300.0;A
2019;M;515782;ES617;NUME_AUTO;5225.0;A
2019;M;515782;ES618;NUME_AUTO;5025.0;A
2019;M;515782;515892;NUME_AUTO;25325.0;A
2019;M;515778;ES611;NUME_AUTO;41300.0;A
2019;M;515778;ES612;NUME_AUTO;46150.0;A
2019;M;515778;ES613;NUME_AUTO;38300.0;A
2019;M;515778;ES614;NUME_AUTO;47700.0;A
2019;M;515778;ES615;NUME_AUTO;21975.0;A
2019;M;515778;ES616;NUME_AUTO;30550.0;A
2019;M;515778;ES617;NUME_AUTO;85700.0;A
2019;M;515778;ES618;NUME_AUTO;81075.0;A
2019;M;515778;515892;NUME_AUTO;395475.0;A
2019;F;515779;ES611;NUME_AUTO;18000.0;A
2019;F;515779;ES612;NUME_AUTO;16325.0;A
2019;F;515779;ES613;NUME_AUTO;12450.0;A
2019;F;515779;ES614;NUME_AUTO;17550.0;A
2019;F;515779;ES615;NUME_AUTO;7025.0;A
2019;F;515779;ES616;NUME_AUTO;11075.0;A
2019;F;515779;ES617;NUME_AUTO;33425.0;A
2019;F;515779;ES618;NUME_AUTO;30875.0;A
2019;F;515779;515892;NUME_AUTO;147675.0;A
2019;F;515780;ES611;NUME_AUTO;2450.0;A
