TEMPORAL;SEXO;AA_SITPREVULTEM;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;M;515798;ES611;NUME_AUTO;22375.0;A
2019;M;515798;ES612;NUME_AUTO;21725.0;A
2019;M;515798;ES613;NUME_AUTO;18800.0;A
2019;M;515798;ES614;NUME_AUTO;21650.0;A
2019;M;515798;ES615;NUME_AUTO;10450.0;A
2019;M;515798;ES616;NUME_AUTO;16025.0;A
2019;M;515798;ES617;NUME_AUTO;36350.0;A
2019;M;515798;ES618;NUME_AUTO;38050.0;A
2019;M;515798;515892;NUME_AUTO;186675.0;A
2019;M;518710;ES611;NUME_AUTO;5025.0;A
2019;M;518710;ES612;NUME_AUTO;7850.0;A
2019;M;518710;ES613;NUME_AUTO;5525.0;A
2019;M;518710;ES614;NUME_AUTO;7025.0;A
2019;M;518710;ES615;NUME_AUTO;2750.0;A
2019;M;518710;ES616;NUME_AUTO;4300.0;A
2019;M;518710;ES617;NUME_AUTO;12200.0;A
2019;M;518710;ES618;NUME_AUTO;13725.0;A
2019;M;518710;515892;NUME_AUTO;58900.0;A
2019;M;515799;ES611;NUME_AUTO;17350.0;A
2019;M;515799;ES612;NUME_AUTO;13875.0;A
2019;M;515799;ES613;NUME_AUTO;13275.0;A
2019;M;515799;ES614;NUME_AUTO;14625.0;A
2019;M;515799;ES615;NUME_AUTO;7700.0;A
2019;M;515799;ES616;NUME_AUTO;11725.0;A
2019;M;515799;ES617;NUME_AUTO;24150.0;A
2019;M;515799;ES618;NUME_AUTO;24325.0;A
2019;M;515799;515892;NUME_AUTO;127775.0;A
2019;M;518711;ES611;NUME_AUTO;18925.0;A
2019;M;518711;ES612;NUME_AUTO;24425.0;A
2019;M;518711;ES613;NUME_AUTO;19500.0;A
2019;M;518711;ES614;NUME_AUTO;26050.0;A
2019;M;518711;ES615;NUME_AUTO;11525.0;A
2019;M;518711;ES616;NUME_AUTO;14525.0;A
2019;M;518711;ES617;NUME_AUTO;49350.0;A
2019;M;518711;ES618;NUME_AUTO;43025.0;A
2019;M;518711;515892;NUME_AUTO;208800.0;A
2019;M;518712;ES611;NUME_AUTO;3800.0;A
2019;M;518712;ES612;NUME_AUTO;4125.0;A
2019;M;518712;ES613;NUME_AUTO;3850.0;A
2019;M;518712;ES614;NUME_AUTO;4750.0;A
2019;M;518712;ES615;NUME_AUTO;2075.0;A
2019;M;518712;ES616;NUME_AUTO;2600.0;A
2019;M;518712;ES617;NUME_AUTO;11225.0;A
2019;M;518712;ES618;NUME_AUTO;6825.0;A
2019;M;518712;515892;NUME_AUTO;39500.0;A
2019;M;518713;ES611;NUME_AUTO;11675.0;A
2019;M;518713;ES612;NUME_AUTO;15250.0;A
2019;M;518713;ES613;NUME_AUTO;11975.0;A
2019;M;518713;ES614;NUME_AUTO;15800.0;A
2019;M;518713;ES615;NUME_AUTO;7400.0;A
2019;M;518713;ES616;NUME_AUTO;8975.0;A
2019;M;518713;ES617;NUME_AUTO;29025.0;A
2019;M;518713;ES618;NUME_AUTO;26150.0;A
2019;M;518713;515892;NUME_AUTO;127150.0;A
2019;M;518714;ES611;NUME_AUTO;3450.0;A
2019;M;518714;ES612;NUME_AUTO;5050.0;A
2019;M;518714;ES613;NUME_AUTO;3675.0;A
2019;M;518714;ES614;NUME_AUTO;5500.0;A
2019;M;518714;ES615;NUME_AUTO;2050.0;A
2019;M;518714;ES616;NUME_AUTO;2950.0;A
2019;M;518714;ES617;NUME_AUTO;9100.0;A
2019;M;518714;ES618;NUME_AUTO;10050.0;A
2019;M;518714;515892;NUME_AUTO;42150.0;A
2019;M;7196;ES611;NUME_AUTO;41300.0;A
2019;M;7196;ES612;NUME_AUTO;46150.0;A
2019;M;7196;ES613;NUME_AUTO;38300.0;A
2019;M;7196;ES614;NUME_AUTO;47700.0;A
2019;M;7196;ES615;NUME_AUTO;21975.0;A
2019;M;7196;ES616;NUME_AUTO;30550.0;A
2019;M;7196;ES617;NUME_AUTO;85700.0;A
2019;M;7196;ES618;NUME_AUTO;81075.0;A
2019;M;7196;515892;NUME_AUTO;395475.0;A
2019;F;515798;ES611;NUME_AUTO;11025.0;A
2019;F;515798;ES612;NUME_AUTO;9425.0;A
2019;F;515798;ES613;NUME_AUTO;8500.0;A
2019;F;515798;ES614;NUME_AUTO;10425.0;A
2019;F;515798;ES615;NUME_AUTO;4200.0;A
2019;F;515798;ES616;NUME_AUTO;6700.0;A
2019;F;515798;ES617;NUME_AUTO;17550.0;A
2019;F;515798;ES618;NUME_AUTO;17475.0;A
2019;F;515798;515892;NUME_AUTO;85975.0;A
2019;F;518710;ES611;NUME_AUTO;2575.0;A
2019;F;518710;ES612;NUME_AUTO;2950.0;A
2019;F;518710;ES613;NUME_AUTO;2075.0;A
2019;F;518710;ES614;NUME_AUTO;3025.0;A
2019;F;518710;ES615;NUME_AUTO;1175.0;A
2019;F;518710;ES616;NUME_AUTO;1975.0;A
2019;F;518710;ES617;NUME_AUTO;5150.0;A
2019;F;518710;ES618;NUME_AUTO;4775.0;A
2019;F;518710;515892;NUME_AUTO;23950.0;A
2019;F;515799;ES611;NUME_AUTO;8450.0;A
2019;F;515799;ES612;NUME_AUTO;6475.0;A
2019;F;515799;ES613;NUME_AUTO;6425.0;A
2019;F;515799;ES614;NUME_AUTO;7400.0;A
2019;F;515799;ES615;NUME_AUTO;3025.0;A
2019;F;515799;ES616;NUME_AUTO;4725.0;A
2019;F;515799;ES617;NUME_AUTO;12400.0;A
2019;F;515799;ES618;NUME_AUTO;12700.0;A
2019;F;515799;515892;NUME_AUTO;62025.0;A
2019;F;518711;ES611;NUME_AUTO;14100.0;A
2019;F;518711;ES612;NUME_AUTO;14850.0;A
2019;F;518711;ES613;NUME_AUTO;11200.0;A
2019;F;518711;ES614;NUME_AUTO;14800.0;A
2019;F;518711;ES615;NUME_AUTO;6925.0;A
2019;F;518711;ES616;NUME_AUTO;9225.0;A
2019;F;518711;ES617;NUME_AUTO;32325.0;A
2019;F;518711;ES618;NUME_AUTO;27250.0;A
2019;F;518711;515892;NUME_AUTO;131625.0;A
2019;F;518712;ES611;NUME_AUTO;2800.0;A
2019;F;518712;ES612;NUME_AUTO;2550.0;A
2019;F;518712;ES613;NUME_AUTO;2300.0;A
2019;F;518712;ES614;NUME_AUTO;2825.0;A
2019;F;518712;ES615;NUME_AUTO;1225.0;A
2019;F;518712;ES616;NUME_AUTO;1800.0;A
2019;F;518712;ES617;NUME_AUTO;7125.0;A
2019;F;518712;ES618;NUME_AUTO;4400.0;A
2019;F;518712;515892;NUME_AUTO;25175.0;A
2019;F;518713;ES611;NUME_AUTO;8650.0;A
2019;F;518713;ES612;NUME_AUTO;9175.0;A
2019;F;518713;ES613;NUME_AUTO;6800.0;A
2019;F;518713;ES614;NUME_AUTO;8850.0;A
2019;F;518713;ES615;NUME_AUTO;4300.0;A
2019;F;518713;ES616;NUME_AUTO;5675.0;A
2019;F;518713;ES617;NUME_AUTO;18700.0;A
2019;F;518713;ES618;NUME_AUTO;16675.0;A
2019;F;518713;515892;NUME_AUTO;79375.0;A
2019;F;518714;ES611;NUME_AUTO;2650.0;A
2019;F;518714;ES612;NUME_AUTO;3125.0;A
2019;F;518714;ES613;NUME_AUTO;2100.0;A
2019;F;518714;ES614;NUME_AUTO;3125.0;A
2019;F;518714;ES615;NUME_AUTO;1400.0;A
2019;F;518714;ES616;NUME_AUTO;1750.0;A
2019;F;518714;ES617;NUME_AUTO;6500.0;A
2019;F;518714;ES618;NUME_AUTO;6175.0;A
2019;F;518714;515892;NUME_AUTO;27075.0;A
2019;F;7196;ES611;NUME_AUTO;25125.0;A
2019;F;7196;ES612;NUME_AUTO;24275.0;A
2019;F;7196;ES613;NUME_AUTO;19700.0;A
2019;F;7196;ES614;NUME_AUTO;25225.0;A
2019;F;7196;ES615;NUME_AUTO;11125.0;A
2019;F;7196;ES616;NUME_AUTO;15925.0;A
2019;F;7196;ES617;NUME_AUTO;49875.0;A
2019;F;7196;ES618;NUME_AUTO;44725.0;A
2019;F;7196;515892;NUME_AUTO;217600.0;A
2019;_T;515798;ES611;NUME_AUTO;33400.0;A
2019;_T;515798;ES612;NUME_AUTO;31150.0;A
2019;_T;515798;ES613;NUME_AUTO;27300.0;A
2019;_T;515798;ES614;NUME_AUTO;32075.0;A
2019;_T;515798;ES615;NUME_AUTO;14650.0;A
2019;_T;515798;ES616;NUME_AUTO;22725.0;A
2019;_T;515798;ES617;NUME_AUTO;53900.0;A
2019;_T;515798;ES618;NUME_AUTO;55525.0;A
2019;_T;515798;515892;NUME_AUTO;272650.0;A
2019;_T;518710;ES611;NUME_AUTO;7600.0;A
2019;_T;518710;ES612;NUME_AUTO;10800.0;A
2019;_T;518710;ES613;NUME_AUTO;7600.0;A
2019;_T;518710;ES614;NUME_AUTO;10050.0;A
2019;_T;518710;ES615;NUME_AUTO;3925.0;A
2019;_T;518710;ES616;NUME_AUTO;6275.0;A
2019;_T;518710;ES617;NUME_AUTO;17350.0;A
2019;_T;518710;ES618;NUME_AUTO;18500.0;A
2019;_T;518710;515892;NUME_AUTO;82850.0;A
2019;_T;515799;ES611;NUME_AUTO;25800.0;A
2019;_T;515799;ES612;NUME_AUTO;20350.0;A
2019;_T;515799;ES613;NUME_AUTO;19700.0;A
2019;_T;515799;ES614;NUME_AUTO;22025.0;A
2019;_T;515799;ES615;NUME_AUTO;10725.0;A
2019;_T;515799;ES616;NUME_AUTO;16450.0;A
2019;_T;515799;ES617;NUME_AUTO;36550.0;A
2019;_T;515799;ES618;NUME_AUTO;37025.0;A
2019;_T;515799;515892;NUME_AUTO;189800.0;A
2019;_T;518711;ES611;NUME_AUTO;33025.0;A
2019;_T;518711;ES612;NUME_AUTO;39275.0;A
2019;_T;518711;ES613;NUME_AUTO;30700.0;A
2019;_T;518711;ES614;NUME_AUTO;40850.0;A
2019;_T;518711;ES615;NUME_AUTO;18450.0;A
2019;_T;518711;ES616;NUME_AUTO;23750.0;A
2019;_T;518711;ES617;NUME_AUTO;81675.0;A
2019;_T;518711;ES618;NUME_AUTO;70275.0;A
2019;_T;518711;515892;NUME_AUTO;340425.0;A
2019;_T;518712;ES611;NUME_AUTO;6600.0;A
2019;_T;518712;ES612;NUME_AUTO;6675.0;A
2019;_T;518712;ES613;NUME_AUTO;6150.0;A
2019;_T;518712;ES614;NUME_AUTO;7575.0;A
2019;_T;518712;ES615;NUME_AUTO;3300.0;A
2019;_T;518712;ES616;NUME_AUTO;4400.0;A
2019;_T;518712;ES617;NUME_AUTO;18350.0;A
2019;_T;518712;ES618;NUME_AUTO;11225.0;A
2019;_T;518712;515892;NUME_AUTO;64675.0;A
2019;_T;518713;ES611;NUME_AUTO;20325.0;A
2019;_T;518713;ES612;NUME_AUTO;24425.0;A
2019;_T;518713;ES613;NUME_AUTO;18775.0;A
2019;_T;518713;ES614;NUME_AUTO;24650.0;A
2019;_T;518713;ES615;NUME_AUTO;11700.0;A
2019;_T;518713;ES616;NUME_AUTO;14650.0;A
2019;_T;518713;ES617;NUME_AUTO;47725.0;A
2019;_T;518713;ES618;NUME_AUTO;42825.0;A
2019;_T;518713;515892;NUME_AUTO;206525.0;A
2019;_T;518714;ES611;NUME_AUTO;6100.0;A
2019;_T;518714;ES612;NUME_AUTO;8175.0;A
