TEMPORAL;SEXO;MCVL_SECTORACTIVIDAD;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;M;55152;ES611;NUME_AUTO;14000.0;A
2019;M;55152;ES612;NUME_AUTO;2450.0;A
2019;M;55152;ES613;NUME_AUTO;5225.0;A
2019;M;55152;ES614;NUME_AUTO;5425.0;A
2019;M;55152;ES615;NUME_AUTO;2975.0;A
2019;M;55152;ES616;NUME_AUTO;4675.0;A
2019;M;55152;ES617;NUME_AUTO;3575.0;A
2019;M;55152;ES618;NUME_AUTO;4725.0;A
2019;M;55152;515892;NUME_AUTO;43175.0;A
2019;M;55153;ES611;NUME_AUTO;1700.0;A
2019;M;55153;ES612;NUME_AUTO;2525.0;A
2019;M;55153;ES613;NUME_AUTO;3875.0;A
2019;M;55153;ES614;NUME_AUTO;3325.0;A
2019;M;55153;ES615;NUME_AUTO;1475.0;A
2019;M;55153;ES616;NUME_AUTO;3425.0;A
2019;M;55153;ES617;NUME_AUTO;4225.0;A
2019;M;55153;ES618;NUME_AUTO;5600.0;A
2019;M;55153;515892;NUME_AUTO;26400.0;A
2019;M;55154;ES611;NUME_AUTO;4525.0;A
2019;M;55154;ES612;NUME_AUTO;5600.0;A
2019;M;55154;ES613;NUME_AUTO;4850.0;A
2019;M;55154;ES614;NUME_AUTO;6925.0;A
2019;M;55154;ES615;NUME_AUTO;2450.0;A
2019;M;55154;ES616;NUME_AUTO;4125.0;A
2019;M;55154;ES617;NUME_AUTO;13275.0;A
2019;M;55154;ES618;NUME_AUTO;9600.0;A
2019;M;55154;515892;NUME_AUTO;51725.0;A
2019;M;55155;ES611;NUME_AUTO;10875.0;A
2019;M;55155;ES612;NUME_AUTO;19100.0;A
2019;M;55155;ES613;NUME_AUTO;13050.0;A
2019;M;55155;ES614;NUME_AUTO;17000.0;A
2019;M;55155;ES615;NUME_AUTO;8525.0;A
2019;M;55155;ES616;NUME_AUTO;10275.0;A
2019;M;55155;ES617;NUME_AUTO;30750.0;A
2019;M;55155;ES618;NUME_AUTO;29675.0;A
2019;M;55155;515892;NUME_AUTO;140200.0;A
2019;M;;ES611;NUME_AUTO;10200.0;A
2019;M;;ES612;NUME_AUTO;16475.0;A
2019;M;;ES613;NUME_AUTO;11300.0;A
2019;M;;ES614;NUME_AUTO;15025.0;A
2019;M;;ES615;NUME_AUTO;6550.0;A
2019;M;;ES616;NUME_AUTO;8050.0;A
2019;M;;ES617;NUME_AUTO;33875.0;A
2019;M;;ES618;NUME_AUTO;31475.0;A
2019;M;;515892;NUME_AUTO;133975.0;A
2019;M;55158;ES611;NUME_AUTO;41300.0;A
2019;M;55158;ES612;NUME_AUTO;46150.0;A
2019;M;55158;ES613;NUME_AUTO;38300.0;A
2019;M;55158;ES614;NUME_AUTO;47700.0;A
2019;M;55158;ES615;NUME_AUTO;21975.0;A
2019;M;55158;ES616;NUME_AUTO;30550.0;A
2019;M;55158;ES617;NUME_AUTO;85700.0;A
2019;M;55158;ES618;NUME_AUTO;81075.0;A
2019;M;55158;515892;NUME_AUTO;395475.0;A
2019;F;55152;ES611;NUME_AUTO;7325.0;A
2019;F;55152;ES612;NUME_AUTO;650.0;A
2019;F;55152;ES613;NUME_AUTO;2050.0;A
2019;F;55152;ES614;NUME_AUTO;2275.0;A
2019;F;55152;ES615;NUME_AUTO;1125.0;A
2019;F;55152;ES616;NUME_AUTO;1475.0;A
2019;F;55152;ES617;NUME_AUTO;1225.0;A
2019;F;55152;ES618;NUME_AUTO;2275.0;A
2019;F;55152;515892;NUME_AUTO;18425.0;A
2019;F;55153;ES611;NUME_AUTO;600.0;A
2019;F;55153;ES612;NUME_AUTO;725.0;A
2019;F;55153;ES613;NUME_AUTO;1225.0;A
2019;F;55153;ES614;NUME_AUTO;1050.0;A
2019;F;55153;ES616;NUME_AUTO;1075.0;A
2019;F;55153;ES617;NUME_AUTO;1575.0;A
2019;F;55153;ES618;NUME_AUTO;2125.0;A
2019;F;55153;515892;NUME_AUTO;8700.0;A
2019;F;55154;ES611;NUME_AUTO;500.0;A
2019;F;55154;ES612;NUME_AUTO;800.0;A
2019;F;55154;ES617;NUME_AUTO;1925.0;A
2019;F;55154;ES618;NUME_AUTO;1250.0;A
2019;F;55154;515892;NUME_AUTO;6050.0;A
2019;F;55155;ES611;NUME_AUTO;8425.0;A
2019;F;55155;ES612;NUME_AUTO;11325.0;A
2019;F;55155;ES613;NUME_AUTO;8525.0;A
2019;F;55155;ES614;NUME_AUTO;9925.0;A
2019;F;55155;ES615;NUME_AUTO;5425.0;A
2019;F;55155;ES616;NUME_AUTO;6950.0;A
2019;F;55155;ES617;NUME_AUTO;20500.0;A
2019;F;55155;ES618;NUME_AUTO;19500.0;A
2019;F;55155;515892;NUME_AUTO;91350.0;A
2019;F;;ES611;NUME_AUTO;8275.0;A
2019;F;;ES612;NUME_AUTO;10775.0;A
2019;F;;ES613;NUME_AUTO;7450.0;A
2019;F;;ES614;NUME_AUTO;11550.0;A
2019;F;;ES615;NUME_AUTO;4050.0;A
2019;F;;ES616;NUME_AUTO;6075.0;A
2019;F;;ES617;NUME_AUTO;24650.0;A
2019;F;;ES618;NUME_AUTO;19575.0;A
2019;F;;515892;NUME_AUTO;93075.0;A
2019;F;55158;ES611;NUME_AUTO;25125.0;A
2019;F;55158;ES612;NUME_AUTO;24275.0;A
2019;F;55158;ES613;NUME_AUTO;19700.0;A
2019;F;55158;ES614;NUME_AUTO;25225.0;A
2019;F;55158;ES615;NUME_AUTO;11125.0;A
2019;F;55158;ES616;NUME_AUTO;15925.0;A
2019;F;55158;ES617;NUME_AUTO;49875.0;A
2019;F;55158;ES618;NUME_AUTO;44725.0;A
2019;F;55158;515892;NUME_AUTO;217600.0;A
2019;_T;55152;ES611;NUME_AUTO;21325.0;A
2019;_T;55152;ES612;NUME_AUTO;3100.0;A
2019;_T;55152;ES613;NUME_AUTO;7275.0;A
2019;_T;55152;ES614;NUME_AUTO;7700.0;A
2019;_T;55152;ES615;NUME_AUTO;4100.0;A
2019;_T;55152;ES616;NUME_AUTO;6150.0;A
2019;_T;55152;ES617;NUME_AUTO;4800.0;A
2019;_T;55152;ES618;NUME_AUTO;7000.0;A
2019;_T;55152;515892;NUME_AUTO;61600.0;A
2019;_T;55153;ES611;NUME_AUTO;2300.0;A
2019;_T;55153;ES612;NUME_AUTO;3250.0;A
2019;_T;55153;ES613;NUME_AUTO;5100.0;A
2019;_T;55153;ES614;NUME_AUTO;4375.0;A
2019;_T;55153;ES615;NUME_AUTO;1750.0;A
2019;_T;55153;ES616;NUME_AUTO;4500.0;A
2019;_T;55153;ES617;NUME_AUTO;5800.0;A
2019;_T;55153;ES618;NUME_AUTO;7725.0;A
2019;_T;55153;515892;NUME_AUTO;35100.0;A
2019;_T;55154;ES611;NUME_AUTO;5025.0;A
2019;_T;55154;ES612;NUME_AUTO;6400.0;A
2019;_T;55154;ES613;NUME_AUTO;5300.0;A
2019;_T;55154;ES614;NUME_AUTO;7350.0;A
2019;_T;55154;ES615;NUME_AUTO;2700.0;A
2019;_T;55154;ES616;NUME_AUTO;4475.0;A
2019;_T;55154;ES617;NUME_AUTO;15200.0;A
2019;_T;55154;ES618;NUME_AUTO;10850.0;A
2019;_T;55154;515892;NUME_AUTO;57775.0;A
2019;_T;55155;ES611;NUME_AUTO;19300.0;A
2019;_T;55155;ES612;NUME_AUTO;30425.0;A
2019;_T;55155;ES613;NUME_AUTO;21575.0;A
2019;_T;55155;ES614;NUME_AUTO;26925.0;A
2019;_T;55155;ES615;NUME_AUTO;13950.0;A
2019;_T;55155;ES616;NUME_AUTO;17225.0;A
2019;_T;55155;ES617;NUME_AUTO;51250.0;A
2019;_T;55155;ES618;NUME_AUTO;49175.0;A
2019;_T;55155;515892;NUME_AUTO;231550.0;A
2019;_T;;ES611;NUME_AUTO;18475.0;A
2019;_T;;ES612;NUME_AUTO;27250.0;A
2019;_T;;ES613;NUME_AUTO;18750.0;A
2019;_T;;ES614;NUME_AUTO;26575.0;A
2019;_T;;ES615;NUME_AUTO;10600.0;A
2019;_T;;ES616;NUME_AUTO;14125.0;A
2019;_T;;ES617;NUME_AUTO;58525.0;A
2019;_T;;ES618;NUME_AUTO;51050.0;A
2019;_T;;515892;NUME_AUTO;227050.0;A
2019;_T;55158;ES611;NUME_AUTO;66425.0;A
2019;_T;55158;ES612;NUME_AUTO;70425.0;A
2019;_T;55158;ES613;NUME_AUTO;58000.0;A
2019;_T;55158;ES614;NUME_AUTO;72925.0;A
2019;_T;55158;ES615;NUME_AUTO;33100.0;A
2019;_T;55158;ES616;NUME_AUTO;46475.0;A
2019;_T;55158;ES617;NUME_AUTO;135575.0;A
2019;_T;55158;ES618;NUME_AUTO;125800.0;A
2019;_T;55158;515892;NUME_AUTO;613075.0;A
2020;M;55152;ES611;NUME_AUTO;14025.0;A
2020;M;55152;ES612;NUME_AUTO;2600.0;A
2020;M;55152;ES613;NUME_AUTO;5350.0;A
2020;M;55152;ES614;NUME_AUTO;5650.0;A
2020;M;55152;ES615;NUME_AUTO;3100.0;A
2020;M;55152;ES616;NUME_AUTO;4700.0;A
2020;M;55152;ES617;NUME_AUTO;3850.0;A
2020;M;55152;ES618;NUME_AUTO;4925.0;A
2020;M;55152;515892;NUME_AUTO;44325.0;A
2020;M;55153;ES611;NUME_AUTO;1525.0;A
2020;M;55153;ES612;NUME_AUTO;2425.0;A
2020;M;55153;ES613;NUME_AUTO;3850.0;A
