TEMPORAL;SEXO;AA_BASECOTIZAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2019;M;515815;ES611;NUME_AUTO;29425.0;A
2019;M;515815;ES612;NUME_AUTO;32125.0;A
2019;M;515815;ES613;NUME_AUTO;25850.0;A
2019;M;515815;ES614;NUME_AUTO;33050.0;A
2019;M;515815;ES615;NUME_AUTO;14400.0;A
2019;M;515815;ES616;NUME_AUTO;21275.0;A
2019;M;515815;ES617;NUME_AUTO;53850.0;A
2019;M;515815;ES618;NUME_AUTO;52050.0;A
2019;M;515815;515892;NUME_AUTO;263550.0;A
2019;M;515816;ES611;NUME_AUTO;9475.0;A
2019;M;515816;ES612;NUME_AUTO;10650.0;A
2019;M;515816;ES613;NUME_AUTO;9325.0;A
2019;M;515816;ES614;NUME_AUTO;10750.0;A
2019;M;515816;ES615;NUME_AUTO;5975.0;A
2019;M;515816;ES616;NUME_AUTO;7050.0;A
2019;M;515816;ES617;NUME_AUTO;25400.0;A
2019;M;515816;ES618;NUME_AUTO;22075.0;A
2019;M;515816;515892;NUME_AUTO;101725.0;A
2019;M;515817;ES611;NUME_AUTO;2400.0;A
2019;M;515817;ES612;NUME_AUTO;3375.0;A
2019;M;515817;ES613;NUME_AUTO;3125.0;A
2019;M;515817;ES614;NUME_AUTO;3900.0;A
2019;M;515817;ES615;NUME_AUTO;1600.0;A
2019;M;515817;ES616;NUME_AUTO;2225.0;A
2019;M;515817;ES617;NUME_AUTO;6450.0;A
2019;M;515817;ES618;NUME_AUTO;6950.0;A
2019;M;515817;515892;NUME_AUTO;30200.0;A
2019;M;515814;ES611;NUME_AUTO;41300.0;A
2019;M;515814;ES612;NUME_AUTO;46150.0;A
2019;M;515814;ES613;NUME_AUTO;38300.0;A
2019;M;515814;ES614;NUME_AUTO;47700.0;A
2019;M;515814;ES615;NUME_AUTO;21975.0;A
2019;M;515814;ES616;NUME_AUTO;30550.0;A
2019;M;515814;ES617;NUME_AUTO;85700.0;A
2019;M;515814;ES618;NUME_AUTO;81075.0;A
2019;M;515814;515892;NUME_AUTO;395475.0;A
2019;F;515815;ES611;NUME_AUTO;19300.0;A
2019;F;515815;ES612;NUME_AUTO;17450.0;A
2019;F;515815;ES613;NUME_AUTO;14175.0;A
2019;F;515815;ES614;NUME_AUTO;18725.0;A
2019;F;515815;ES615;NUME_AUTO;8125.0;A
2019;F;515815;ES616;NUME_AUTO;12450.0;A
2019;F;515815;ES617;NUME_AUTO;34425.0;A
2019;F;515815;ES618;NUME_AUTO;32750.0;A
2019;F;515815;515892;NUME_AUTO;158500.0;A
2019;F;515816;ES611;NUME_AUTO;4950.0;A
2019;F;515816;ES612;NUME_AUTO;5850.0;A
2019;F;515816;ES613;NUME_AUTO;4850.0;A
2019;F;515816;ES614;NUME_AUTO;5300.0;A
2019;F;515816;ES615;NUME_AUTO;2700.0;A
2019;F;515816;ES616;NUME_AUTO;3025.0;A
2019;F;515816;ES617;NUME_AUTO;13450.0;A
2019;F;515816;ES618;NUME_AUTO;10575.0;A
2019;F;515816;515892;NUME_AUTO;51150.0;A
2019;F;515817;ES611;NUME_AUTO;875.0;A
2019;F;515817;ES612;NUME_AUTO;975.0;A
2019;F;515817;ES613;NUME_AUTO;675.0;A
2019;F;515817;ES614;NUME_AUTO;1200.0;A
2019;F;515817;ES617;NUME_AUTO;2000.0;A
2019;F;515817;ES618;NUME_AUTO;1400.0;A
2019;F;515817;515892;NUME_AUTO;7950.0;A
2019;F;515814;ES611;NUME_AUTO;25125.0;A
2019;F;515814;ES612;NUME_AUTO;24275.0;A
2019;F;515814;ES613;NUME_AUTO;19700.0;A
2019;F;515814;ES614;NUME_AUTO;25225.0;A
2019;F;515814;ES615;NUME_AUTO;11125.0;A
2019;F;515814;ES616;NUME_AUTO;15925.0;A
2019;F;515814;ES617;NUME_AUTO;49875.0;A
2019;F;515814;ES618;NUME_AUTO;44725.0;A
2019;F;515814;515892;NUME_AUTO;217600.0;A
2019;_T;515815;ES611;NUME_AUTO;48725.0;A
2019;_T;515815;ES612;NUME_AUTO;49575.0;A
2019;_T;515815;ES613;NUME_AUTO;40025.0;A
2019;_T;515815;ES614;NUME_AUTO;51775.0;A
2019;_T;515815;ES615;NUME_AUTO;22525.0;A
2019;_T;515815;ES616;NUME_AUTO;33725.0;A
2019;_T;515815;ES617;NUME_AUTO;88275.0;A
2019;_T;515815;ES618;NUME_AUTO;84800.0;A
2019;_T;515815;515892;NUME_AUTO;422050.0;A
2019;_T;515816;ES611;NUME_AUTO;14425.0;A
2019;_T;515816;ES612;NUME_AUTO;16500.0;A
2019;_T;515816;ES613;NUME_AUTO;14175.0;A
2019;_T;515816;ES614;NUME_AUTO;16050.0;A
2019;_T;515816;ES615;NUME_AUTO;8675.0;A
2019;_T;515816;ES616;NUME_AUTO;10075.0;A
