TEMPORAL;SEXO;MES;TERRITORIO;TIPOMOVIMIEN;INDICATOR;OBS_VALUE;FREQ
2019;M;55908;ES611;515926;NUME_MOVI;575.0;A
2019;M;55908;ES612;515926;NUME_MOVI;850.0;A
2019;M;55908;ES613;515926;NUME_MOVI;700.0;A
2019;M;55908;ES614;515926;NUME_MOVI;675.0;A
2019;M;55908;ES617;515926;NUME_MOVI;1475.0;A
2019;M;55908;ES618;515926;NUME_MOVI;925.0;A
2019;M;55908;515892;515926;NUME_MOVI;5975.0;A
2019;M;55909;ES611;515926;NUME_MOVI;525.0;A
2019;M;55909;ES612;515926;NUME_MOVI;825.0;A
2019;M;55909;ES614;515926;NUME_MOVI;550.0;A
2019;M;55909;ES617;515926;NUME_MOVI;1725.0;A
2019;M;55909;ES618;515926;NUME_MOVI;1175.0;A
2019;M;55909;515892;515926;NUME_MOVI;5825.0;A
2019;M;55910;ES611;515926;NUME_MOVI;600.0;A
2019;M;55910;ES612;515926;NUME_MOVI;1025.0;A
2019;M;55910;ES614;515926;NUME_MOVI;625.0;A
2019;M;55910;ES616;515926;NUME_MOVI;575.0;A
2019;M;55910;ES617;515926;NUME_MOVI;1500.0;A
2019;M;55910;ES618;515926;NUME_MOVI;725.0;A
2019;M;55910;515892;515926;NUME_MOVI;5650.0;A
2019;M;55911;ES611;515926;NUME_MOVI;700.0;A
2019;M;55911;ES612;515926;NUME_MOVI;825.0;A
2019;M;55911;ES613;515926;NUME_MOVI;800.0;A
2019;M;55911;ES614;515926;NUME_MOVI;750.0;A
2019;M;55911;ES615;515926;NUME_MOVI;525.0;A
2019;M;55911;ES616;515926;NUME_MOVI;525.0;A
2019;M;55911;ES617;515926;NUME_MOVI;1475.0;A
2019;M;55911;ES618;515926;NUME_MOVI;1525.0;A
2019;M;55911;515892;515926;NUME_MOVI;7125.0;A
2019;M;55912;ES611;515926;NUME_MOVI;500.0;A
2019;M;55912;ES612;515926;NUME_MOVI;975.0;A
2019;M;55912;ES613;515926;NUME_MOVI;550.0;A
2019;M;55912;ES614;515926;NUME_MOVI;600.0;A
2019;M;55912;ES616;515926;NUME_MOVI;550.0;A
2019;M;55912;ES617;515926;NUME_MOVI;1100.0;A
2019;M;55912;ES618;515926;NUME_MOVI;1075.0;A
2019;M;55912;515892;515926;NUME_MOVI;5750.0;A
2019;M;55913;ES612;515926;NUME_MOVI;725.0;A
2019;M;55913;ES613;515926;NUME_MOVI;675.0;A
2019;M;55913;ES614;515926;NUME_MOVI;800.0;A
2019;M;55913;ES617;515926;NUME_MOVI;1425.0;A
2019;M;55913;ES618;515926;NUME_MOVI;1300.0;A
2019;M;55913;515892;515926;NUME_MOVI;6325.0;A
2019;M;55914;ES611;515926;NUME_MOVI;550.0;A
2019;M;55914;ES612;515926;NUME_MOVI;675.0;A
2019;M;55914;ES613;515926;NUME_MOVI;500.0;A
2019;M;55914;ES614;515926;NUME_MOVI;750.0;A
2019;M;55914;ES616;515926;NUME_MOVI;600.0;A
2019;M;55914;ES617;515926;NUME_MOVI;1425.0;A
2019;M;55914;ES618;515926;NUME_MOVI;1050.0;A
2019;M;55914;515892;515926;NUME_MOVI;5925.0;A
2019;M;55915;ES612;515926;NUME_MOVI;500.0;A
2019;M;55915;ES617;515926;NUME_MOVI;800.0;A
2019;M;55915;ES618;515926;NUME_MOVI;600.0;A
2019;M;55915;515892;515926;NUME_MOVI;3575.0;A
2019;M;55916;ES611;515926;NUME_MOVI;550.0;A
2019;M;55916;ES612;515926;NUME_MOVI;600.0;A
2019;M;55916;ES614;515926;NUME_MOVI;825.0;A
2019;M;55916;ES616;515926;NUME_MOVI;550.0;A
2019;M;55916;ES617;515926;NUME_MOVI;1425.0;A
2019;M;55916;ES618;515926;NUME_MOVI;1550.0;A
2019;M;55916;515892;515926;NUME_MOVI;6300.0;A
2019;M;55917;ES612;515926;NUME_MOVI;700.0;A
2019;M;55917;ES613;515926;NUME_MOVI;700.0;A
2019;M;55917;ES614;515926;NUME_MOVI;750.0;A
2019;M;55917;ES616;515926;NUME_MOVI;725.0;A
2019;M;55917;ES617;515926;NUME_MOVI;1650.0;A
2019;M;55917;ES618;515926;NUME_MOVI;1275.0;A
2019;M;55917;515892;515926;NUME_MOVI;6750.0;A
