TEMPORAL;SEXO;TERRITORIO;EDAD;INDICATOR;OBS_VALUE;FREQ
2019;M;ES611;Y_LT15;NUME_AUTO;3225.0;A
2019;M;ES611;Y30-44;NUME_AUTO;9200.0;A
2019;M;ES611;Y45-64;NUME_AUTO;12825.0;A
2019;M;ES611;Y50-59;NUME_AUTO;11175.0;A
2019;M;ES611;Y65-100;NUME_AUTO;4875.0;A
2019;M;ES611;TOTAL;NUME_AUTO;41300.0;A
2019;M;ES612;Y_LT15;NUME_AUTO;3800.0;A
2019;M;ES612;Y30-44;NUME_AUTO;9925.0;A
2019;M;ES612;Y45-64;NUME_AUTO;15225.0;A
2019;M;ES612;Y50-59;NUME_AUTO;11975.0;A
2019;M;ES612;Y65-100;NUME_AUTO;5225.0;A
2019;M;ES612;TOTAL;NUME_AUTO;46150.0;A
2019;M;ES613;Y_LT15;NUME_AUTO;2650.0;A
2019;M;ES613;Y30-44;NUME_AUTO;7750.0;A
2019;M;ES613;Y45-64;NUME_AUTO;12025.0;A
2019;M;ES613;Y50-59;NUME_AUTO;10750.0;A
2019;M;ES613;Y65-100;NUME_AUTO;5125.0;A
2019;M;ES613;TOTAL;NUME_AUTO;38300.0;A
2019;M;ES614;Y_LT15;NUME_AUTO;3525.0;A
2019;M;ES614;Y30-44;NUME_AUTO;10300.0;A
2019;M;ES614;Y45-64;NUME_AUTO;15125.0;A
2019;M;ES614;Y50-59;NUME_AUTO;13275.0;A
2019;M;ES614;Y65-100;NUME_AUTO;5475.0;A
2019;M;ES614;TOTAL;NUME_AUTO;47700.0;A
2019;M;ES615;Y_LT15;NUME_AUTO;2025.0;A
2019;M;ES615;Y30-44;NUME_AUTO;3775.0;A
2019;M;ES615;Y45-64;NUME_AUTO;8350.0;A
2019;M;ES615;Y50-59;NUME_AUTO;5150.0;A
2019;M;ES615;Y65-100;NUME_AUTO;2675.0;A
2019;M;ES615;TOTAL;NUME_AUTO;21975.0;A
2019;M;ES616;Y_LT15;NUME_AUTO;2850.0;A
2019;M;ES616;Y30-44;NUME_AUTO;6125.0;A
2019;M;ES616;Y45-64;NUME_AUTO;8775.0;A
2019;M;ES616;Y50-59;NUME_AUTO;9400.0;A
2019;M;ES616;Y65-100;NUME_AUTO;3400.0;A
2019;M;ES616;TOTAL;NUME_AUTO;30550.0;A
2019;M;ES617;Y_LT15;NUME_AUTO;6925.0;A
2019;M;ES617;Y30-44;NUME_AUTO;17275.0;A
2019;M;ES617;Y45-64;NUME_AUTO;28075.0;A
2019;M;ES617;Y50-59;NUME_AUTO;22850.0;A
2019;M;ES617;Y65-100;NUME_AUTO;10575.0;A
2019;M;ES617;TOTAL;NUME_AUTO;85700.0;A
2019;M;ES618;Y_LT15;NUME_AUTO;5625.0;A
2019;M;ES618;Y30-44;NUME_AUTO;17425.0;A
2019;M;ES618;Y45-64;NUME_AUTO;28675.0;A
2019;M;ES618;Y50-59;NUME_AUTO;20700.0;A
2019;M;ES618;Y65-100;NUME_AUTO;8650.0;A
2019;M;ES618;TOTAL;NUME_AUTO;81075.0;A
2019;M;515892;Y_LT15;NUME_AUTO;30850.0;A
