D_ESTADO_DATO_0;D_TERRITORIO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;3143;55698;2020;Viajeros;617553.904630433;A
40123;3143;55698;2019;Viajeros;1101924.529344306;A
40123;3143;55698;2018;Viajeros;988646.569926728;A
40123;3143;55698;2017;Viajeros;962997.771585579;A
40123;3143;55698;2016;Viajeros;975327.225697176;A
40123;3143;55698;2015;Viajeros;914004.512680071;A
40123;3143;55698;2014;Viajeros;827947.582191423;A
40123;3143;55698;2013;Viajeros;782698.829836961;A
40123;3143;55698;2012;Viajeros;761259.175779847;A
40123;3143;55698;2011;Viajeros;794367.224982092;A
40123;3143;55698;2010;Viajeros;812913.946283754;A
40123;3143;55698;2009;Viajeros;893279.330022784;A
40123;3143;55698;2008;Viajeros;928083.49926174;A
40123;3143;55698;2007;Viajeros;997255.073229537;A
40123;3143;55565;2020;Viajeros;511079.845665532;A
40123;3143;55565;2019;Viajeros;777383.307879675;A
40123;3143;55565;2018;Viajeros;677006.103662743;A
40123;3143;55565;2017;Viajeros;664940.970689322;A
40123;3143;55565;2016;Viajeros;669001.227774056;A
40123;3143;55565;2015;Viajeros;638397.398899078;A
40123;3143;55565;2014;Viajeros;575830.210671916;A
40123;3143;55565;2013;Viajeros;525907.365463177;A
40123;3143;55565;2012;Viajeros;514969.700967228;A
40123;3143;55565;2011;Viajeros;555281.64063032;A
40123;3143;55565;2010;Viajeros;560132.208722808;A
40123;3143;55565;2009;Viajeros;607227.394386109;A
40123;3143;55565;2008;Viajeros;624787.117163135;A
40123;3143;55565;2007;Viajeros;686466.614069465;A
40123;3143;55543;2020;Viajeros;405831.97989611;A
40123;3143;55543;2019;Viajeros;598653.923327582;A
40123;3143;55543;2018;Viajeros;521568.755356706;A
40123;3143;55543;2017;Viajeros;518696.95517967;A
40123;3143;55543;2016;Viajeros;514029.28023664;A
40123;3143;55543;2015;Viajeros;494786.30101045;A
40123;3143;55543;2014;Viajeros;440055.715919476;A
40123;3143;55543;2013;Viajeros;404266.17396289;A
40123;3143;55543;2012;Viajeros;393391.449224258;A
40123;3143;55543;2011;Viajeros;414355.82708674;A
40123;3143;55543;2010;Viajeros;425066.77713299;A
40123;3143;55543;2009;Viajeros;443553.603235043;A
40123;3143;55543;2008;Viajeros;454765.342168471;A
40123;3143;55543;2007;Viajeros;508171.27399027;A
40123;3143;55563;2020;Viajeros;105247.865769422;A
40123;3143;55563;2019;Viajeros;178729.384552093;A
40123;3143;55563;2018;Viajeros;155437.348306037;A
40123;3143;55563;2017;Viajeros;146244.015509652;A
40123;3143;55563;2016;Viajeros;154971.947537416;A
40123;3143;55563;2015;Viajeros;143611.097888628;A
40123;3143;55563;2014;Viajeros;135774.49475244;A
40123;3143;55563;2013;Viajeros;121641.191500287;A
40123;3143;55563;2012;Viajeros;121578.25174297;A
40123;3143;55563;2011;Viajeros;140925.81354358;A
40123;3143;55563;2010;Viajeros;135065.431589818;A
40123;3143;55563;2009;Viajeros;163673.791151066;A
40123;3143;55563;2008;Viajeros;170021.774994664;A
40123;3143;55563;2007;Viajeros;178295.340079195;A
40123;3143;55697;2020;Viajeros;106474.058964901;A
40123;3143;55697;2019;Viajeros;324541.221464631;A
40123;3143;55697;2018;Viajeros;311640.466263985;A
40123;3143;55697;2017;Viajeros;298056.800896257;A
40123;3143;55697;2016;Viajeros;306325.99792312;A
40123;3143;55697;2015;Viajeros;275607.113780993;A
40123;3143;55697;2014;Viajeros;252117.371519507;A
