D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55125;55564;2020;Viajeros;14441.902142055;A
40123;55125;55564;2019;Viajeros;17410.271777904;A
40123;55125;55564;2018;Viajeros;15121.379483205;A
40123;55125;55564;2017;Viajeros;15385.011474987;A
40123;55125;55564;2016;Viajeros;12427.587679778;A
40123;55125;55564;2015;Viajeros;12920.676592319;A
40123;55125;55564;2014;Viajeros;13664.503483779;A
40123;55125;55564;2013;Viajeros;11463.510816213;A
40123;55125;55564;2012;Viajeros;10847.253531567;A
40123;55125;55564;2011;Viajeros;12601.480263842;A
40123;55125;55564;2010;Viajeros;12138.994852451;A
40123;55125;55564;2009;Viajeros;12600.41114808;A
40123;55125;55564;2008;Viajeros;12984.949660507;A
40123;55125;55564;2007;Viajeros;14822.871459092;A
40123;55125;55543;2020;Viajeros;11262.032354437;A
40123;55125;55543;2019;Viajeros;11349.303989802;A
40123;55125;55543;2018;Viajeros;10367.5276149;A
40123;55125;55543;2017;Viajeros;9451.8218121;A
40123;55125;55543;2016;Viajeros;8285.1404461;A
40123;55125;55543;2015;Viajeros;8617.87902929;A
40123;55125;55543;2014;Viajeros;9519.37192548;A
40123;55125;55543;2013;Viajeros;7409.56224396;A
40123;55125;55543;2012;Viajeros;6581.80714217;A
40123;55125;55543;2011;Viajeros;6765.70887136;A
40123;55125;55543;2010;Viajeros;6866.33155243;A
40123;55125;55543;2009;Viajeros;6908.57579389;A
40123;55125;55543;2008;Viajeros;6693.25307576;A
40123;55125;55543;2007;Viajeros;8865.4723;A
40123;55125;55563;2020;Viajeros;3179.869787618;A
40123;55125;55563;2019;Viajeros;6060.967788102;A
40123;55125;55563;2018;Viajeros;4753.851868305;A
40123;55125;55563;2017;Viajeros;5933.189662887;A
40123;55125;55563;2016;Viajeros;4142.447233678;A
40123;55125;55563;2015;Viajeros;4302.797563029;A
40123;55125;55563;2014;Viajeros;4145.131558299;A
40123;55125;55563;2013;Viajeros;4053.948572253;A
40123;55125;55563;2012;Viajeros;4265.446389397;A
40123;55125;55563;2011;Viajeros;5835.771392482;A
40123;55125;55563;2010;Viajeros;5272.663300021;A
40123;55125;55563;2009;Viajeros;5691.83535419;A
40123;55125;55563;2008;Viajeros;6291.696584747;A
40123;55125;55563;2007;Viajeros;5957.399159092;A
40123;55125;55545;2020;Viajeros;-;A
40123;55125;55545;2019;Viajeros;-;A
40123;55125;55545;2018;Viajeros;-;A
40123;55125;55545;2017;Viajeros;156.140109397;A
40123;55125;55545;2016;Viajeros;103.210148407;A
40123;55125;55545;2015;Viajeros;153.164186178;A
40123;55125;55545;2014;Viajeros;-;A
40123;55125;55545;2013;Viajeros;-;A
40123;55125;55545;2012;Viajeros;107.878933008;A
40123;55125;55545;2011;Viajeros;152.658042005;A
40123;55125;55545;2010;Viajeros;-;A
40123;55125;55545;2009;Viajeros;301.01354932;A
40123;55125;55545;2008;Viajeros;-;A
40123;55125;55545;2007;Viajeros;202.432951436;A
40123;55125;55546;2020;Viajeros;-;A
40123;55125;55546;2019;Viajeros;-;A
40123;55125;55546;2018;Viajeros;-;A
40123;55125;55546;2017;Viajeros;-;A
