D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;2352;2020;Personal medio empleado;108.89605766200002;A
40123;2352;2019;Personal medio empleado;122.33819857300001;A
40123;2352;2018;Personal medio empleado;118.414290599;A
40123;2352;2017;Personal medio empleado;114.070332196;A
40123;2352;2016;Personal medio empleado;106.08983337200002;A
40123;2352;2015;Personal medio empleado;104.849470172;A
40123;2352;2014;Personal medio empleado;105.256776258;A
40123;2352;2013;Personal medio empleado;107.088284755;A
40123;2352;2012;Personal medio empleado;104.583333334;A
40123;2352;2011;Personal medio empleado;96.32282067;A
40123;2352;2010;Personal medio empleado;88.331547421;A
40123;2352;2009;Personal medio empleado;85.15801779;A
40123;2352;2008;Personal medio empleado;91.370981928;A
40123;2352;2007;Personal medio empleado;106.683332428;A
40123;2402;2020;Personal medio empleado;175.80401226200001;A
40123;2402;2019;Personal medio empleado;222.976781942;A
40123;2402;2018;Personal medio empleado;226.552613402;A
40123;2402;2017;Personal medio empleado;209.45481442599998;A
40123;2402;2016;Personal medio empleado;201.383925488;A
40123;2402;2015;Personal medio empleado;194.93183516800002;A
40123;2402;2014;Personal medio empleado;196.334916411;A
40123;2402;2013;Personal medio empleado;194.61885458700002;A
40123;2402;2012;Personal medio empleado;186.929756193;A
40123;2402;2011;Personal medio empleado;183.90145374;A
40123;2402;2010;Personal medio empleado;175.44125173700002;A
40123;2402;2009;Personal medio empleado;193.711536965;A
40123;2402;2008;Personal medio empleado;199.347526503;A
40123;2402;2007;Personal medio empleado;227.066655283;A
40123;2482;2020;Personal medio empleado;29.824598139000003;A
40123;2482;2019;Personal medio empleado;41.429419499999995;A
40123;2482;2018;Personal medio empleado;38.360813817;A
40123;2482;2017;Personal medio empleado;44.928605832;A
40123;2482;2016;Personal medio empleado;35.80206099;A
40123;2482;2015;Personal medio empleado;34.097458969;A
40123;2482;2014;Personal medio empleado;33.336279451;A
40123;2482;2013;Personal medio empleado;34.094528555000004;A
40123;2482;2012;Personal medio empleado;37.083333333;A
40123;2482;2011;Personal medio empleado;37.576684892;A
40123;2482;2010;Personal medio empleado;43.211310926;A
40123;2482;2009;Personal medio empleado;47.082939808999996;A
40123;2482;2008;Personal medio empleado;52.131921894;A
40123;2482;2007;Personal medio empleado;53.322424763;A
40123;2713;2020;Personal medio empleado;72.744097754;A
40123;2713;2019;Personal medio empleado;110.042989053;A
40123;2713;2018;Personal medio empleado;106.47612722999999;A
40123;2713;2017;Personal medio empleado;103.02120921;A
40123;2713;2016;Personal medio empleado;109.43106568;A
40123;2713;2015;Personal medio empleado;110.583694288;A
40123;2713;2014;Personal medio empleado;112.62010716500001;A
40123;2713;2013;Personal medio empleado;110.021970877;A
40123;2713;2012;Personal medio empleado;102.07862198199999;A
40123;2713;2011;Personal medio empleado;98.38164239899999;A
40123;2713;2010;Personal medio empleado;90.888350645;A
40123;2713;2009;Personal medio empleado;104.339795955;A
40123;2713;2008;Personal medio empleado;110.75350657800001;A
