OBS_STATUS;TERRITORIO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES61;55698;2020;VIAJEROS;617553.904630433;A
A;ES61;55698;2019;VIAJEROS;1101924.529344306;A
A;ES61;55698;2018;VIAJEROS;988646.569926728;A
A;ES61;55698;2017;VIAJEROS;962997.771585579;A
A;ES61;55698;2016;VIAJEROS;975327.225697176;A
A;ES61;55698;2015;VIAJEROS;914004.512680071;A
A;ES61;55698;2014;VIAJEROS;827947.582191423;A
A;ES61;55698;2013;VIAJEROS;782698.829836961;A
A;ES61;55698;2012;VIAJEROS;761259.175779847;A
A;ES61;55698;2011;VIAJEROS;794367.224982092;A
A;ES61;55698;2010;VIAJEROS;812913.946283754;A
A;ES61;55698;2009;VIAJEROS;893279.330022784;A
A;ES61;55698;2008;VIAJEROS;928083.49926174;A
A;ES61;55698;2007;VIAJEROS;997255.073229537;A
A;ES61;55565;2020;VIAJEROS;511079.845665532;A
A;ES61;55565;2019;VIAJEROS;777383.307879675;A
A;ES61;55565;2018;VIAJEROS;677006.103662743;A
A;ES61;55565;2017;VIAJEROS;664940.970689322;A
A;ES61;55565;2016;VIAJEROS;669001.227774056;A
A;ES61;55565;2015;VIAJEROS;638397.398899078;A
A;ES61;55565;2014;VIAJEROS;575830.210671916;A
A;ES61;55565;2013;VIAJEROS;525907.365463177;A
A;ES61;55565;2012;VIAJEROS;514969.700967228;A
A;ES61;55565;2011;VIAJEROS;555281.64063032;A
A;ES61;55565;2010;VIAJEROS;560132.208722808;A
A;ES61;55565;2009;VIAJEROS;607227.394386109;A
A;ES61;55565;2008;VIAJEROS;624787.117163135;A
A;ES61;55565;2007;VIAJEROS;686466.614069465;A
A;ES61;55543;2020;VIAJEROS;405831.97989611;A
A;ES61;55543;2019;VIAJEROS;598653.923327582;A
A;ES61;55543;2018;VIAJEROS;521568.755356706;A
A;ES61;55543;2017;VIAJEROS;518696.95517967;A
A;ES61;55543;2016;VIAJEROS;514029.28023664;A
A;ES61;55543;2015;VIAJEROS;494786.30101045;A
A;ES61;55543;2014;VIAJEROS;440055.715919476;A
A;ES61;55543;2013;VIAJEROS;404266.17396289;A
A;ES61;55543;2012;VIAJEROS;393391.449224258;A
A;ES61;55543;2011;VIAJEROS;414355.82708674;A
A;ES61;55543;2010;VIAJEROS;425066.77713299;A
A;ES61;55543;2009;VIAJEROS;443553.603235043;A
A;ES61;55543;2008;VIAJEROS;454765.342168471;A
A;ES61;55543;2007;VIAJEROS;508171.27399027;A
A;ES61;55563;2020;VIAJEROS;105247.865769422;A
A;ES61;55563;2019;VIAJEROS;178729.384552093;A
A;ES61;55563;2018;VIAJEROS;155437.348306037;A
A;ES61;55563;2017;VIAJEROS;146244.015509652;A
A;ES61;55563;2016;VIAJEROS;154971.947537416;A
A;ES61;55563;2015;VIAJEROS;143611.097888628;A
A;ES61;55563;2014;VIAJEROS;135774.49475244;A
A;ES61;55563;2013;VIAJEROS;121641.191500287;A
A;ES61;55563;2012;VIAJEROS;121578.25174297;A
A;ES61;55563;2011;VIAJEROS;140925.81354358;A
A;ES61;55563;2010;VIAJEROS;135065.431589818;A
A;ES61;55563;2009;VIAJEROS;163673.791151066;A
A;ES61;55563;2008;VIAJEROS;170021.774994664;A
A;ES61;55563;2007;VIAJEROS;178295.340079195;A
A;ES61;55697;2020;VIAJEROS;106474.058964901;A
A;ES61;55697;2019;VIAJEROS;324541.221464631;A
A;ES61;55697;2018;VIAJEROS;311640.466263985;A
A;ES61;55697;2017;VIAJEROS;298056.800896257;A
A;ES61;55697;2016;VIAJEROS;306325.99792312;A
A;ES61;55697;2015;VIAJEROS;275607.113780993;A
A;ES61;55697;2014;VIAJEROS;252117.371519507;A
A;ES61;55697;2013;VIAJEROS;256791.464373784;A
A;ES61;55697;2012;VIAJEROS;246289.474812619;A
A;ES61;55697;2011;VIAJEROS;239085.584351772;A
A;ES61;55697;2010;VIAJEROS;252781.737560946;A
A;ES61;55697;2009;VIAJEROS;286051.935636675;A
A;ES61;55697;2008;VIAJEROS;303296.382098605;A
A;ES61;55697;2007;VIAJEROS;310788.459160072;A
A;ES61;55577;2020;VIAJEROS;23913.908869755;A
A;ES61;55577;2019;VIAJEROS;75518.20725302;A
A;ES61;55577;2018;VIAJEROS;67024.308087698;A
A;ES61;55577;2017;VIAJEROS;63920.99464152;A
A;ES61;55577;2016;VIAJEROS;62550.251062236;A
A;ES61;55577;2015;VIAJEROS;56389.548739898;A
A;ES61;55577;2014;VIAJEROS;51162.465596863;A
A;ES61;55577;2013;VIAJEROS;51332.39423191;A
A;ES61;55577;2012;VIAJEROS;44666.506738302;A
A;ES61;55577;2011;VIAJEROS;41911.456041067;A
A;ES61;55577;2010;VIAJEROS;44349.648800212;A
A;ES61;55577;2009;VIAJEROS;49746.927544811;A
A;ES61;55577;2008;VIAJEROS;48385.33251452;A
A;ES61;55577;2007;VIAJEROS;52380.885843462;A
A;ES61;55568;2020;VIAJEROS;16324.575162081;A
A;ES61;55568;2019;VIAJEROS;64445.673854205;A
A;ES61;55568;2018;VIAJEROS;63364.010251862;A
A;ES61;55568;2017;VIAJEROS;64109.066578111;A
A;ES61;55568;2016;VIAJEROS;68067.401362031;A
A;ES61;55568;2015;VIAJEROS;61993.000012735;A
A;ES61;55568;2014;VIAJEROS;57915.068666223;A
A;ES61;55568;2013;VIAJEROS;56728.126470647;A
A;ES61;55568;2012;VIAJEROS;56535.369428459;A
A;ES61;55568;2011;VIAJEROS;55602.772686373;A
A;ES61;55568;2010;VIAJEROS;55241.233988781;A
A;ES61;55568;2009;VIAJEROS;68943.207338686;A
A;ES61;55568;2008;VIAJEROS;68141.326678101;A
A;ES61;55568;2007;VIAJEROS;71781.768415232;A
A;ES61;55571;2020;VIAJEROS;12668.229918194;A
A;ES61;55571;2019;VIAJEROS;39434.105935399;A
A;ES61;55571;2018;VIAJEROS;38979.859057283;A
A;ES61;55571;2017;VIAJEROS;33838.099387639;A
A;ES61;55571;2016;VIAJEROS;36720.163947448;A
A;ES61;55571;2015;VIAJEROS;32529.563316611;A
A;ES61;55571;2014;VIAJEROS;28057.870473745;A
A;ES61;55571;2013;VIAJEROS;34372.285163364;A
A;ES61;55571;2012;VIAJEROS;30692.762468796;A
A;ES61;55571;2011;VIAJEROS;27040.843730646;A
A;ES61;55571;2010;VIAJEROS;28981.190037764;A
A;ES61;55571;2009;VIAJEROS;29818.816138004;A
A;ES61;55571;2008;VIAJEROS;32264.059506964;A
A;ES61;55571;2007;VIAJEROS;30933.454086659;A
A;ES61;55574;2020;VIAJEROS;24709.396319559;A
A;ES61;55574;2019;VIAJEROS;50050.608242531;A
A;ES61;55574;2018;VIAJEROS;51737.008008206;A
A;ES61;55574;2017;VIAJEROS;48961.132935382;A
A;ES61;55574;2016;VIAJEROS;47595.287590764;A
A;ES61;55574;2015;VIAJEROS;42828.354950984;A
A;ES61;55574;2014;VIAJEROS;39422.753661598;A
A;ES61;55574;2013;VIAJEROS;39932.482127698;A
A;ES61;55574;2012;VIAJEROS;37025.011097816;A
A;ES61;55574;2011;VIAJEROS;32828.475169862;A
A;ES61;55574;2010;VIAJEROS;35984.914281542;A
A;ES61;55574;2009;VIAJEROS;36546.406262756;A
A;ES61;55574;2008;VIAJEROS;41626.404427639;A
A;ES61;55574;2007;VIAJEROS;44278.976722231;A
A;ES61;55696;2020;VIAJEROS;28857.948695312;A
A;ES61;55696;2019;VIAJEROS;95092.626179476;A
A;ES61;55696;2018;VIAJEROS;90535.280858936;A
A;ES61;55696;2017;VIAJEROS;87227.507353605;A
A;ES61;55696;2016;VIAJEROS;91392.893960641;A
A;ES61;55696;2015;VIAJEROS;81866.646760765;A
A;ES61;55696;2014;VIAJEROS;75559.213121078;A
A;ES61;55696;2013;VIAJEROS;74426.176380165;A
A;ES61;55696;2012;VIAJEROS;77369.825079246;A
A;ES61;55696;2011;VIAJEROS;81702.036723824;A
A;ES61;55696;2010;VIAJEROS;88224.750452647;A
A;ES61;55696;2009;VIAJEROS;100996.578352418;A
A;ES61;55696;2008;VIAJEROS;112879.258971381;A
A;ES61;55696;2007;VIAJEROS;111413.374092488;A
A;ES611;55698;2020;VIAJEROS;85682.885550106;A
A;ES611;55698;2019;VIAJEROS;120375.999999997;A
A;ES611;55698;2018;VIAJEROS;105320.999999825;A
A;ES611;55698;2017;VIAJEROS;101451.999999916;A
A;ES611;55698;2016;VIAJEROS;98400.057047628;A
A;ES611;55698;2015;VIAJEROS;94145.999999542;A
A;ES611;55698;2014;VIAJEROS;85663.999999547;A
A;ES611;55698;2013;VIAJEROS;81825.516073406;A
A;ES611;55698;2012;VIAJEROS;75635.999999204;A
A;ES611;55698;2011;VIAJEROS;77535.384976436;A
A;ES611;55698;2010;VIAJEROS;74449.776569875;A
A;ES611;55698;2009;VIAJEROS;76188.947225047;A
A;ES611;55698;2008;VIAJEROS;83263.289049032;A
A;ES611;55698;2007;VIAJEROS;86003.825095694;A
A;ES611;55565;2020;VIAJEROS;65923.114169718;A
A;ES611;55565;2019;VIAJEROS;78435.543551649;A
A;ES611;55565;2018;VIAJEROS;64487.934629182;A
A;ES611;55565;2017;VIAJEROS;67360.143151426;A
A;ES611;55565;2016;VIAJEROS;62998.96302027;A
A;ES611;55565;2015;VIAJEROS;59463.550629181;A
A;ES611;55565;2014;VIAJEROS;56607.942229406;A
A;ES611;55565;2013;VIAJEROS;52417.541214281;A
A;ES611;55565;2012;VIAJEROS;49922.535879156;A
A;ES611;55565;2011;VIAJEROS;50087.829328497;A
A;ES611;55565;2010;VIAJEROS;48246.731037592;A
A;ES611;55565;2009;VIAJEROS;47850.650414597;A
A;ES611;55565;2008;VIAJEROS;55300.532006194;A
