OBS_STATUS;PARQUES_TURISMO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55537;55698;2020;VIAJEROS;78172.805978178;A
A;55537;55698;2019;VIAJEROS;111795.999999997;A
A;55537;55698;2018;VIAJEROS;97850.999999777;A
A;55537;55698;2017;VIAJEROS;94422.999999873;A
A;55537;55698;2016;VIAJEROS;94342.057047596;A
A;55537;55698;2015;VIAJEROS;88726.999999515;A
A;55537;55698;2014;VIAJEROS;78355.999999598;A
A;55537;55698;2013;VIAJEROS;77734.516073384;A
A;55537;55698;2012;VIAJEROS;73376.999999207;A
A;55537;55698;2011;VIAJEROS;74761.999999907;A
A;55537;55698;2010;VIAJEROS;70677.776569868;A
A;55537;55698;2009;VIAJEROS;71910.18761474;A
A;55537;55698;2008;VIAJEROS;78999.602076513;A
A;55537;55698;2007;VIAJEROS;81803.999999774;A
A;55537;55565;2020;VIAJEROS;59364.035761727;A
A;55537;55565;2019;VIAJEROS;71792.554320063;A
A;55537;55565;2018;VIAJEROS;58667.514217415;A
A;55537;55565;2017;VIAJEROS;61990.661336815;A
A;55537;55565;2016;VIAJEROS;59805.410550086;A
A;55537;55565;2015;VIAJEROS;55309.19949886;A
A;55537;55565;2014;VIAJEROS;50784.567919058;A
A;55537;55565;2013;VIAJEROS;49119.604851717;A
A;55537;55565;2012;VIAJEROS;48257.827266842;A
A;55537;55565;2011;VIAJEROS;48122.801302092;A
A;55537;55565;2010;VIAJEROS;45105.349892501;A
A;55537;55565;2009;VIAJEROS;44600.82934628;A
A;55537;55565;2008;VIAJEROS;51918.592718521;A
A;55537;55565;2007;VIAJEROS;54362.128518684;A
A;55537;55697;2020;VIAJEROS;18808.770216451;A
A;55537;55697;2019;VIAJEROS;40003.445679934;A
A;55537;55697;2018;VIAJEROS;39183.485782362;A
A;55537;55697;2017;VIAJEROS;32432.338663058;A
A;55537;55697;2016;VIAJEROS;34536.64649751;A
A;55537;55697;2015;VIAJEROS;33417.800500655;A
A;55537;55697;2014;VIAJEROS;27571.43208054;A
A;55537;55697;2013;VIAJEROS;28614.911221667;A
A;55537;55697;2012;VIAJEROS;25119.172732365;A
A;55537;55697;2011;VIAJEROS;26639.198697815;A
A;55537;55697;2010;VIAJEROS;25572.426677367;A
A;55537;55697;2009;VIAJEROS;27309.35826846;A
A;55537;55697;2008;VIAJEROS;27081.009357992;A
A;55537;55697;2007;VIAJEROS;27441.87148109;A
A;55537;55577;2020;VIAJEROS;4455.466159053;A
A;55537;55577;2019;VIAJEROS;10156.379760168;A
A;55537;55577;2018;VIAJEROS;9011.56373301;A
A;55537;55577;2017;VIAJEROS;7429.45243398;A
